,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
207,cap_and_trade,Alabama's congressional delegation opposes 'cap and trade',Dana Beyerle Times Montgomery Bureau,"Gadsden Times; Gadsden, Ala.","Jun 29, 2009","Gadsden, Ala.",,,https://www.proquest.com/newspapers/alabamas-congressional-delegation-opposes-cap/docview/435241077/se-2?accountid=13360,AL
497,cap_and_trade,Indians were right about environment,Anonymous,"The Tuscaloosa News; Tuscaloosa, Ala.","Jun 20, 2010","Tuscaloosa, Ala.",,,https://www.proquest.com/newspapers/indians-were-right-about-environment/docview/504330762/se-2?accountid=13360,AL
626,cap_and_trade,"Global warming is real, must be stopped",Anonymous,"The Tuscaloosa News; Tuscaloosa, Ala.","Jul 8, 2009","Tuscaloosa, Ala.",,,https://www.proquest.com/newspapers/global-warming-is-real-must-be-stopped/docview/379653434/se-2?accountid=13360,AL
1330,cap_and_trade,IDEAS & ISSUES: EPA's proposed carbon regulations will kill manufacturing jobs,"Clark, George; Manufacture Alabama","The Tuscaloosa News; Tuscaloosa, Ala.","Oct 11, 2014","Tuscaloosa, Ala.",,,https://www.proquest.com/newspapers/ideas-issues-epas-proposed-carbon-regulations/docview/1610677877/se-2?accountid=13360,AL
2308,cap_and_trade,Candidates split on whether government should play a role in issue,"Lyman, Brian","Montgomery Advertiser; Montgomery, Ala.","Jul 15, 2017","Montgomery, Ala.",A.8,News,https://www.proquest.com/newspapers/candidates-split-on-whether-government-should/docview/1919073393/se-2?accountid=13360,AL
2444,cap_and_trade,Businesses see potential profits in going green,"Wagner, Thomas","The Tuscaloosa News; Tuscaloosa, Ala.","Aug 19, 2007","Tuscaloosa, Ala.",,Biz,https://www.proquest.com/newspapers/businesses-see-potential-profits-going-green/docview/379506599/se-2?accountid=13360,AL
2555,cap_and_trade,Leftover issues await new GOP majority,Dana Beyerle Montgomery Bureau Chief,"The Tuscaloosa News; Tuscaloosa, Ala.","Feb 27, 2011","Tuscaloosa, Ala.",,,https://www.proquest.com/newspapers/leftover-issues-await-new-gop-majority/docview/853938051/se-2?accountid=13360,AL
2836,cap_and_trade,Alabama Voices: Energetic approach,,"Montgomery Advertiser; Montgomery, Ala.","Feb 4, 2011","Montgomery, Ala.",,OPINION,https://www.proquest.com/newspapers/alabama-voices-energetic-approach/docview/1223825722/se-2?accountid=13360,AL
2854,cap_and_trade,Alabama Voices: Warming claims getting cooler reception,,"Montgomery Advertiser; Montgomery, Ala.","May 5, 2010","Montgomery, Ala.",,OPINION,https://www.proquest.com/newspapers/alabama-voices-warming-claims-getting-cooler/docview/1223691814/se-2?accountid=13360,AL
3025,cap_and_trade,ALABAMA VOICES: Going green sensibly,,"Montgomery Advertiser; Montgomery, Ala.","Apr 22, 2009","Montgomery, Ala.",,OPINION,https://www.proquest.com/newspapers/alabama-voices-going-green-sensibly/docview/413663047/se-2?accountid=13360,AL
3092,cap_and_trade,Bright hears concerns over health reform,"Kitchen, Sebastian","Montgomery Advertiser; Montgomery, Ala.","Aug 23, 2009","Montgomery, Ala.",,NEWS,https://www.proquest.com/newspapers/bright-hears-concerns-over-health-reform/docview/413721631/se-2?accountid=13360,AL
3767,cap_and_trade,D.C. briefing,,"Montgomery Advertiser; Montgomery, Ala.","Aug 3, 2001","Montgomery, Ala.",,A,https://www.proquest.com/newspapers/d-c-briefing/docview/1232646693/se-2?accountid=13360,AL
3812,cap_and_trade,Obama wrong not to waive statute,,"Montgomery Advertiser; Montgomery, Ala.","Jun 29, 2010","Montgomery, Ala.",,OPINION,https://www.proquest.com/newspapers/obama-wrong-not-waive-statute/docview/1223698134/se-2?accountid=13360,AL
4606,cap_and_trade,Leftover issues await GOP legislative majority at legislative session,"Beyerle, Dana","Gadsden Times; Gadsden, Ala.","Feb 27, 2011","Gadsden, Ala.",,,https://www.proquest.com/newspapers/leftover-issues-await-gop-legislative-majority-at/docview/854048031/se-2?accountid=13360,AL
4736,cap_and_trade,Report: State lacks climate change plan,"Lyman, Brian","Montgomery Advertiser; Montgomery, Ala.","Apr 23, 2012","Montgomery, Ala.",,NEWS,https://www.proquest.com/newspapers/report-state-lacks-climate-change-plan/docview/1008870337/se-2?accountid=13360,AL
4786,cap_and_trade,GUEST COLUMN: Environmentalists should be transparent,"Smith, Cameron","The Tuscaloosa News; Tuscaloosa, Ala.","Jul 28, 2013","Tuscaloosa, Ala.",,,https://www.proquest.com/newspapers/guest-column-environmentalists-should-be/docview/1412867893/se-2?accountid=13360,AL
4974,cap_and_trade,Report: State lacks climate change plan,"Lyman, Brian","Montgomery Advertiser; Montgomery, Ala.","Apr 23, 2012","Montgomery, Ala.",,A,https://www.proquest.com/newspapers/report-state-lacks-climate-change-plan/docview/1223707003/se-2?accountid=13360,AL
5895,carbon_tax,Just celebrating our environment not enough,,"Montgomery Advertiser; Montgomery, Ala.","Apr 27, 2015","Montgomery, Ala.",7,A,https://www.proquest.com/newspapers/just-celebrating-our-environment-not-enough/docview/1675865315/se-2?accountid=13360,AL
6026,carbon_tax,Conservatives rediscover climate remedy,,"Montgomery Advertiser; Montgomery, Ala.","Feb 26, 2017","Montgomery, Ala.",E.4,Opinion,https://www.proquest.com/newspapers/conservatives-rediscover-climate-remedy/docview/1871915453/se-2?accountid=13360,AL
6289,carbon_tax,Parker: Energy standards could hurt Southeast,"Powell, Andy","Gadsden Times; Gadsden, Ala.","Feb 25, 2009","Gadsden, Ala.",,,https://www.proquest.com/newspapers/parker-energy-standards-could-hurt-southeast/docview/435214087/se-2?accountid=13360,AL
6849,carbon_tax,User fees differ from other taxes,,"Montgomery Advertiser; Montgomery, Ala.","Feb 3, 2016","Montgomery, Ala.",A.8,Opinion,https://www.proquest.com/newspapers/user-fees-differ-other-taxes/docview/1762021911/se-2?accountid=13360,AL
9025,gas_tax,IDEAS & ISSUES: Gas tax should be modernized to meet transportation needs,,"The Tuscaloosa News; Tuscaloosa, Ala.","Jan 3, 2015","Tuscaloosa, Ala.",,,https://www.proquest.com/newspapers/ideas-issues-gas-tax-should-be-modernized-meet/docview/1641755844/se-2?accountid=13360,AL
9359,gas_tax,Sparks calls possible rule on greenhouse gases a cow tax',Anonymous,"Gadsden Times; Gadsden, Ala.","Dec 7, 2008","Gadsden, Ala.",,,https://www.proquest.com/newspapers/sparks-calls-possible-rule-on-greenhouse-gases/docview/435207177/se-2?accountid=13360,AL
9682,gas_tax,Study: Ala. residents driving more miles,"Anderson, Brian","Montgomery Advertiser; Montgomery, Ala.","Sep 6, 2013","Montgomery, Ala.",3,B,https://www.proquest.com/newspapers/study-ala-residents-driving-more-miles/docview/1430483307/se-2?accountid=13360,AL
11141,gas_tax,OVER A BARREL,"Troyan, Mary","Montgomery Advertiser; Montgomery, Ala.","Nov 24, 2014","Montgomery, Ala.",1,A,https://www.proquest.com/newspapers/over-barrel/docview/1629930072/se-2?accountid=13360,AL
11563,gas_tax,Huntingdon moves focus on funding,Regan Loyola Connolly,"Montgomery Advertiser; Montgomery, Ala.","May 25, 2004","Montgomery, Ala.",,A,https://www.proquest.com/newspapers/huntingdon-moves-focus-on-funding/docview/412817522/se-2?accountid=13360,AL
11881,gas_tax,"Congress to tackle highways, education","Davis, Susan","Montgomery Advertiser; Montgomery, Ala.","Jul 5, 2015","Montgomery, Ala.",3,B,https://www.proquest.com/newspapers/congress-tackle-highways-education/docview/1693522409/se-2?accountid=13360,AL
12261,gas_tax,Transit bill delay causes states grief,,"Montgomery Advertiser; Montgomery, Ala.","Sep 28, 2003","Montgomery, Ala.",,A,https://www.proquest.com/newspapers/transit-bill-delay-causes-states-grief/docview/1225896203/se-2?accountid=13360,AL
12333,gas_tax,"Ethanol good for Iowa, bad for rest of us",,"Montgomery Advertiser; Montgomery, Ala.","Jun 14, 2015","Montgomery, Ala.",6,E,https://www.proquest.com/newspapers/ethanol-good-iowa-bad-rest-us/docview/1688013485/se-2?accountid=13360,AL
12672,gas_tax,Economic spiral clouds state budget picture,"Lyman, Brian","Montgomery Advertiser; Montgomery, Ala.","Mar 20, 2020","Montgomery, Ala.",A.7,Obits,https://www.proquest.com/newspapers/economic-spiral-clouds-state-budget-picture/docview/2379382433/se-2?accountid=13360,AL
12758,gas_tax,User fees differ from other taxes,,"Montgomery Advertiser; Montgomery, Ala.","Feb 3, 2016","Montgomery, Ala.",A.8,Opinion,https://www.proquest.com/newspapers/user-fees-differ-other-taxes/docview/1762021911/se-2?accountid=13360,AL
13428,gas_tax,Your Alabama primary primer: A voter's guide to the Democratic candidates,"Lyman, Brian","Montgomery Advertiser; Montgomery, Ala.","Jun 3, 2018","Montgomery, Ala.",A.8,News,https://www.proquest.com/newspapers/your-alabama-primary-primer/docview/2048919104/se-2?accountid=13360,AL
14513,net_metering,Alabama Voices: Pollution is a civil rights issue,"Benard Simelton; Patterson, Jacqueline","Montgomery Advertiser; Montgomery, Ala.","Jan 22, 2014","Montgomery, Ala.",,Guest Columns,https://www.proquest.com/newspapers/alabama-voices-pollution-is-civil-rights-issue/docview/1490931017/se-2?accountid=13360,AL
15195,RPS,ALABAMA VOICES: Punishing the South,,"Montgomery Advertiser; Montgomery, Ala.","Apr 9, 2009","Montgomery, Ala.",,OPINION,https://www.proquest.com/newspapers/alabama-voices-punishing-south/docview/413825033/se-2?accountid=13360,AL
