,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
433,cap_and_trade,Environment top priority of Arizonans,,"Tucson Citizen; Tucson, Ariz.","Nov 24, 2008","Tucson, Ariz.",,Citizen Voices,https://www.proquest.com/newspapers/environment-top-priority-arizonans/docview/237216775/se-2?accountid=13360,AZ
533,cap_and_trade,Take care to protect the Vistas' environment,,"Arizona Republic; Phoenix, Ariz.","Sep 19, 2009","Phoenix, Ariz.",,Gilbert Republic 12,https://www.proquest.com/newspapers/take-care-protect-vistas-environment/docview/239183179/se-2?accountid=13360,AZ
879,cap_and_trade,Pushing for cleaner energy,"McKinnon, Shaun","Arizona Republic; Phoenix, Ariz.","Jun 24, 2008","Phoenix, Ariz.",,Front,https://www.proquest.com/newspapers/pushing-cleaner-energy/docview/239031083/se-2?accountid=13360,AZ
1015,cap_and_trade,Initiative to fix climate flux merits state participation,,"Tucson Citizen; Tucson, Ariz.","Mar 5, 2009","Tucson, Ariz.",,Citizen Voices,https://www.proquest.com/newspapers/initiative-fix-climate-flux-merits-state/docview/237222504/se-2?accountid=13360,AZ
1252,cap_and_trade,Utilities gear up to face energy demands as Arizona grows,"YAQUINTO, GARY N","Tucson Citizen; Tucson, Ariz.","Jul 2, 2008","Tucson, Ariz.",,,https://www.proquest.com/newspapers/utilities-gear-up-face-energy-demands-as-arizona/docview/237203924/se-2?accountid=13360,AZ
1278,cap_and_trade,Multistate climate coalitions struggling,"McKinnon, Shaun","Arizona Republic; Phoenix, Ariz.","Nov 29, 2009","Phoenix, Ariz.",,Front,https://www.proquest.com/newspapers/multistate-climate-coalitions-struggling/docview/239219170/se-2?accountid=13360,AZ
1331,cap_and_trade,Hero to zero: Arizona falls silent about climate policy: State led 15 years ago; today it's on sidelines,"Stone, Erin","Arizona Republic; Phoenix, Ariz.","Oct 11, 2020","Phoenix, Ariz.",AA.7,News,https://www.proquest.com/newspapers/hero-zero-arizona-falls-silent-about-climate/docview/2449710325/se-2?accountid=13360,AZ
1557,cap_and_trade,Az's voice needed in climate talks,"YAQUINTO, GARY","Tucson Citizen; Tucson, Ariz.","Apr 2, 2009","Tucson, Ariz.",,Citizen Voices,https://www.proquest.com/newspapers/azs-voice-needed-climate-talks/docview/237227980/se-2?accountid=13360,AZ
1653,cap_and_trade,"MAKE WARMING A TAXING MATTER: POLLUTERS SHOULD PAY FOR GREENHOUSE EMISSIONS, NOT GAIN FROM PAST BEHAVIOR","Robb, Robert","Arizona Republic; Phoenix, Ariz.","Apr 26, 2006","Phoenix, Ariz.",,Opinions,https://www.proquest.com/newspapers/make-warming-taxing-matter/docview/238661396/se-2?accountid=13360,AZ
1865,cap_and_trade,CLIMATE ACT CAN PUT U.S. IN ROLE OF LEADERSHIP,"Foster, William A","Arizona Republic; Phoenix, Ariz.","Oct 28, 2003","Phoenix, Ariz.",,Opinions,https://www.proquest.com/newspapers/climate-act-can-put-u-s-role-leadership/docview/238356883/se-2?accountid=13360,AZ
