,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
17,cap_and_trade,'Cap and Trade' Allows Mercury Pollution: [HOME EDITION],,"Los Angeles Times; Los Angeles, Calif.","Dec 8, 2003","Los Angeles, Calif.",,California Metro; Part B; Editorial Pages Desk,https://www.proquest.com/newspapers/cap-trade-allows-mercury-pollution/docview/421842527/se-2?accountid=13360,CA
25,cap_and_trade,Majority of Californians say they know nothing about emissions cap-and-trade program: BUT FEW WELL-VERSED IN STATE'S LANDMARK 'CAP-AND-TRADE' LAW,"Hull, Dana","San Jose Mercury News; San Jose, Calif.","Aug 2, 2012","San Jose, Calif.",B.1,Local,https://www.proquest.com/newspapers/majority-californians-say-they-know-nothing-about/docview/1030899087/se-2?accountid=13360,CA
29,cap_and_trade,State must stop diverting cap-and-trade revenue: It's not slush fund for pet projects that don't improve environment,,"The Desert Sun; Palm Springs, Calif.","Jul 3, 2019","Palm Springs, Calif.",A.1,News,https://www.proquest.com/newspapers/state-must-stop-diverting-cap-trade-revenue/docview/2250938408/se-2?accountid=13360,CA
37,cap_and_trade,GLOBAL WARMING BILL BACKED UTILITIES ENDORSE FEINSTEIN'S CAP-AND- TRADE PROPOSAL: [VALLEY Edition],LISA FRIEDMAN\ Washington Bureau,"Daily News; Los Angeles, Calif.","Jan 18, 2007","Los Angeles, Calif.",,Business,https://www.proquest.com/newspapers/global-warming-bill-backed-utilities-endorse/docview/282623005/se-2?accountid=13360,CA
46,cap_and_trade,ENVIRONMENT; Business fumes over Brown plan; Governor intends to spend cap-and-trade revenue to help shrink the budget shortfall.,"Lifsher, Marc","Los Angeles Times; Los Angeles, Calif.","Jan 11, 2012","Los Angeles, Calif.",,Business; Part B; Business Desk,https://www.proquest.com/newspapers/environment-business-fumes-over-brown-plan/docview/915015333/se-2?accountid=13360,CA
48,cap_and_trade,"Why California needs a carbon tax; It would serve the environment, business community and nation better than cap and trade.","Wara, Michael; Morris, Adele; Taylor, Jerry","Los Angeles Times; Los Angeles, Calif.","Aug 10, 2016","Los Angeles, Calif.",,Main News; Part A; Opinion Desk,https://www.proquest.com/newspapers/why-california-needs-carbon-tax-would-serve/docview/1810245519/se-2?accountid=13360,CA
49,cap_and_trade,ENVIRONMENT; State's first carbon-credit auction nears; Critics are still fighting the cap-and-trade program to cut greenhouse gases.,"Lifsher, Marc","Los Angeles Times; Los Angeles, Calif.","Nov 6, 2012","Los Angeles, Calif.",,Business; Part B; Business Desk,https://www.proquest.com/newspapers/environment-states-first-carbon-credit-auction/docview/1134433382/se-2?accountid=13360,CA
50,cap_and_trade,Cap and trade isn't best approach to environment: Letters,,"Press - Telegram; Long Beach, Calif.","Jul 24, 2017","Long Beach, Calif.",,Local 1,https://www.proquest.com/newspapers/cap-trade-isnt-best-approach-environment-letters/docview/1922786789/se-2?accountid=13360,CA
51,cap_and_trade,Mayes sues over ballot measure: Lawmaker says wording on cap-and-trade is misleading,"Roth, Sammy","The Desert Sun; Palm Springs, Calif.","Mar 9, 2018","Palm Springs, Calif.",A.6,News,https://www.proquest.com/newspapers/mayes-sues-over-ballot-measure/docview/2012034957/se-2?accountid=13360,CA
61,cap_and_trade,ELECTION 2010 45TH CONGRESSIONAL DISTRICT: TOPIC: ENVIRONMENT,,"The Desert Sun; Palm Springs, Calif.","Oct 11, 2010","Palm Springs, Calif.",,VALLEY,https://www.proquest.com/newspapers/election-2010-45th-congressional-district/docview/757711911/se-2?accountid=13360,CA
