,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
498,cap_and_trade,Bill should address jobs and environment,,"Fort Collins Coloradoan; Fort Collins, Colo.","Jan 17, 2010","Fort Collins, Colo.",,OPINION,https://www.proquest.com/newspapers/bill-should-address-jobs-environment/docview/435823336/se-2?accountid=13360,CO
797,cap_and_trade,UTILITIES: Bills go up if it passes,"Rappold, R Scott","The Gazette; Colorado Springs, Colo.","Nov 1, 2009","Colorado Springs, Colo.",A.1,MAIN,https://www.proquest.com/newspapers/utilities-bills-go-up-if-passes/docview/268313331/se-2?accountid=13360,CO
869,cap_and_trade,MCREA worried about the future,"Barker, Dan; Business Editor","The Fort Morgan Times; Fort Morgan, Colo.","Mar 22, 2010","Fort Morgan, Colo.",,News,https://www.proquest.com/newspapers/mcrea-worried-about-future/docview/918449225/se-2?accountid=13360,CO
955,cap_and_trade,Cooperative could help water owners,"Barker, Dan","The Fort Morgan Times; Fort Morgan, Colo.","Jul 30, 2010","Fort Morgan, Colo.",,News,https://www.proquest.com/newspapers/cooperative-could-help-water-owners/docview/918448828/se-2?accountid=13360,CO
1034,cap_and_trade,States lead charge against global warming,"Reese, April","High Country News; Paonia, Colo.","Oct 17, 2005","Paonia, Colo.",,,https://www.proquest.com/newspapers/states-lead-charge-against-global-warming/docview/363077374/se-2?accountid=13360,CO
1131,cap_and_trade,PRESIDENTIAL CANDIDATES,Anonymous,"The Gazette; Colorado Springs, Colo.","Oct 19, 2008","Colorado Springs, Colo.",Vo.2,Voters Guide,https://www.proquest.com/newspapers/presidential-candidates/docview/268298662/se-2?accountid=13360,CO
1190,cap_and_trade,Mercury debate pulls city in two directions,"Darst, Kevin","Fort Collins Coloradoan; Fort Collins, Colo.","Jan 27, 2007","Fort Collins, Colo.",,Local,https://www.proquest.com/newspapers/mercury-debate-pulls-city-two-directions/docview/435646474/se-2?accountid=13360,CO
1229,cap_and_trade,OUR VIEW: THE PRESIDENTS CHIEF ALARMIST,Anonymous,"The Gazette; Colorado Springs, Colo.","Jul 18, 2009","Colorado Springs, Colo.",A.17,MAIN,https://www.proquest.com/newspapers/our-view-presidents-chief-alarmist/docview/268303731/se-2?accountid=13360,CO
1386,cap_and_trade,Obama and Calderón meeting between/Dialogon Calderón y Obama,Anonymous,"La Voz Nueva; Denver, Colo.","Aug 12, 2009","Denver, Colo.",,,https://www.proquest.com/newspapers/obama-calderón-meeting-between-dialogon-y/docview/367946540/se-2?accountid=13360,CO
1668,cap_and_trade,Climate catalyst,"Langlois, Krista","High Country News; Paonia, Colo.","Nov 24, 2014","Paonia, Colo.",,CURRENTS,https://www.proquest.com/newspapers/climate-catalyst/docview/1628649226/se-2?accountid=13360,CO
2122,cap_and_trade,From this perspective: Legislative tripod is a destructive economic Waterloo,"May, David","Fort Collins Coloradoan; Fort Collins, Colo.","Sep 7, 2009","Fort Collins, Colo.",,COLUMNISTS,https://www.proquest.com/newspapers/this-perspective-legislative-tripod-is/docview/435814543/se-2?accountid=13360,CO
2153,cap_and_trade,"Corey Shott, National Wildlife Federation","Ring, Ray","High Country News; Paonia, Colo.","May 2, 2011","Paonia, Colo.",,,https://www.proquest.com/newspapers/corey-shott-national-wildlife-federation/docview/865662681/se-2?accountid=13360,CO
2311,cap_and_trade,LETTERS,Anonymous,"The Gazette; Colorado Springs, Colo.","Jan 14, 2010","Colorado Springs, Colo.",A.11,MAIN,https://www.proquest.com/newspapers/letters/docview/268307350/se-2?accountid=13360,CO
2325,cap_and_trade,City not known for being friendly to sustainability,"Rappold, R Scott","The Gazette; Colorado Springs, Colo.","Nov 29, 2009","Colorado Springs, Colo.",A.1,MAIN,https://www.proquest.com/newspapers/city-not-known-being-friendly-sustainability/docview/268313812/se-2?accountid=13360,CO
2329,cap_and_trade,Letters,Anonymous,"The Gazette; Colorado Springs, Colo.","Jun 8, 2008","Colorado Springs, Colo.",A.21,Opinion,https://www.proquest.com/newspapers/letters/docview/268294932/se-2?accountid=13360,CO
2628,cap_and_trade,Green and mean,"Durlin, Marty","High Country News; Paonia, Colo.","May 26, 2008","Paonia, Colo.",,,https://www.proquest.com/newspapers/green-mean/docview/363109539/se-2?accountid=13360,CO
2654,cap_and_trade,The Most Cooked-Up Catch,"Jenkins, Matt","High Country News; Paonia, Colo.","Aug 3, 2009","Paonia, Colo.",,FEATURE,https://www.proquest.com/newspapers/most-cooked-up-catch/docview/363063320/se-2?accountid=13360,CO
2753,cap_and_trade,OUR VIEW: COOLING TO GLOBAL WARMING,Anonymous,"The Gazette; Colorado Springs, Colo.","May 13, 2009","Colorado Springs, Colo.",A.17,MAIN,https://www.proquest.com/newspapers/our-view-cooling-global-warming/docview/268300355/se-2?accountid=13360,CO
2924,cap_and_trade,WHAT KILLED WASHINGTON'S CARBON TAX?,"Schimel, Kate","High Country News; Paonia, Colo.","Jan 21, 2019","Paonia, Colo.",,,https://www.proquest.com/newspapers/what-killed-washingtons-carbon-tax/docview/2172094465/se-2?accountid=13360,CO
2956,cap_and_trade,OUR VIEW,Anonymous,"The Gazette; Colorado Springs, Colo.","Nov 21, 2007","Colorado Springs, Colo.",A.22,Opinion,https://www.proquest.com/newspapers/our-view/docview/268286662/se-2?accountid=13360,CO
3069,cap_and_trade,STATE SENATE CANDIDATES,Anonymous,"The Gazette; Colorado Springs, Colo.","Oct 19, 2008","Colorado Springs, Colo.",Vo.6,Voter Guide,https://www.proquest.com/newspapers/state-senate-candidates/docview/268298561/se-2?accountid=13360,CO
3269,cap_and_trade,The struggle to save Colorado's forests in a changing world,"Forster, Liz","The Gazette; Colorado Springs, Colo.","Apr 13, 2019","Colorado Springs, Colo.",,Local,https://www.proquest.com/newspapers/struggle-save-colorados-forests-changing-world/docview/2209142593/se-2?accountid=13360,CO
3404,cap_and_trade,OUR VIEW: DESERTING THE WAR ON WARMING,Anonymous,"The Gazette; Colorado Springs, Colo.","Oct 14, 2009","Colorado Springs, Colo.",A.17,MAIN,https://www.proquest.com/newspapers/our-view-deserting-war-on-warming/docview/268313015/se-2?accountid=13360,CO
3415,cap_and_trade,Independent Ideas: The case for free-market environmentalism,"Green, J Craig","Colorado Daily; Boulder, Colo.","Jul 11, 2010","Boulder, Colo.",,Opinion,https://www.proquest.com/newspapers/independent-ideas-case-free-market/docview/918451520/se-2?accountid=13360,CO
3451,cap_and_trade,Letters To The Editor,,"Fort Collins Coloradoan; Fort Collins, Colo.","Mar 17, 2005","Fort Collins, Colo.",,Opinion,https://www.proquest.com/newspapers/letters-editor/docview/435592363/se-2?accountid=13360,CO
3494,cap_and_trade,THE CAMPAIGN AGAINST COAL,"Shogren, Elizabeth","High Country News; Paonia, Colo.","Nov 9, 2015","Paonia, Colo.",,,https://www.proquest.com/newspapers/campaign-against-coal/docview/1774551408/se-2?accountid=13360,CO
3641,cap_and_trade,Legacy Maker,"Shogren, Elizabeth","High Country News; Paonia, Colo.","May 25, 2015","Paonia, Colo.",,FEATURE,https://www.proquest.com/newspapers/legacy-maker/docview/1686089513/se-2?accountid=13360,CO
3672,cap_and_trade,SUNSHINE AND DOLLAR SIGNS,"Wineke, Andrew","The Gazette; Colorado Springs, Colo.","Mar 28, 2010","Colorado Springs, Colo.",,BUSINESS,https://www.proquest.com/newspapers/sunshine-dollar-signs/docview/268311116/se-2?accountid=13360,CO
3736,cap_and_trade,Walking on a Wire,"Lewis, Judith","High Country News; Paonia, Colo.","Jun 9, 2008","Paonia, Colo.",,,https://www.proquest.com/newspapers/walking-on-wire/docview/363169814/se-2?accountid=13360,CO
3745,cap_and_trade,Butterfield: EPA regulations bringing up the rear,"Butterfield, Anne B","The Daily Camera; Boulder, Colo.","Jun 8, 2014","Boulder, Colo.",,Opinion,https://www.proquest.com/newspapers/butterfield-epa-regulations-bringing-up-rear/docview/1534005367/se-2?accountid=13360,CO
