,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
3,alternative_energy_standard,"PRACTICAL GOVERNING, NOT PARTY IDEOLOGY",,Tampa Bay Times; Tampa Bay,"Sep 5, 2012","Tampa Bay, Fla.",A.12,NATIONAL,https://www.proquest.com/newspapers/practical-governing-not-party-ideology/docview/1037930188/se-2?accountid=13360,FL
4,alternative_energy_standard,NO CHEAP OPTIONS FOR NUKE PLANT,Anonymous,"St. Petersburg Times; St. Petersburg, Fla.","Jun 19, 2011","St. Petersburg, Fla.",P.2,PERSPECTIVE,https://www.proquest.com/newspapers/no-cheap-options-nuke-plant/docview/872525895/se-2?accountid=13360,FL
16,cap_and_trade,Today's mailbag: No cap-and-trade,,"The News Press; Fort Myers, Fla.","May 26, 2009","Fort Myers, Fla.",,Local & State,https://www.proquest.com/newspapers/todays-mailbag/docview/382540955/se-2?accountid=13360,FL
22,cap_and_trade,ENERGY-ENVIRONMENT Cap and trade,Anonymous,"Florida Times Union; Jacksonville, Fla.","Jun 4, 2008","Jacksonville, Fla.",B.6,,https://www.proquest.com/newspapers/energy-environment-cap-trade/docview/414658907/se-2?accountid=13360,FL
35,cap_and_trade,"Guest Opinion: Cap-and-trade can help environment, local economy","Janes, Bob","The News Press; Fort Myers, Fla.","May 21, 2009","Fort Myers, Fla.",,Local & State,https://www.proquest.com/newspapers/guest-opinion-cap-trade-can-help-environment/docview/382537470/se-2?accountid=13360,FL
60,cap_and_trade,PAWLENTY CHANGES COURSE ON CAP-AND-TRADE,"Richert, Catharine","St. Petersburg Times; St. Petersburg, Fla.","Sep 24, 2009","St. Petersburg, Fla.",,,https://www.proquest.com/newspapers/pawlenty-changes-course-on-cap-trade/docview/264381936/se-2?accountid=13360,FL
77,cap_and_trade,"MCCAIN, DEMOCRATS GOOD FOR ENVIRONMENT: [SOUTH PINELLAS Edition]",,"St. Petersburg Times; St. Petersburg, Fla.","Jan 12, 2008","St. Petersburg, Fla.",,NATIONAL,https://www.proquest.com/newspapers/mccain-democrats-good-environment/docview/264132693/se-2?accountid=13360,FL
93,cap_and_trade,OBAMA GIVES UP ON CAP AND TRADE CAMPAIGN PROMISE,ANGIE DROBNIC HOLAN,"St. Petersburg Times; St. Petersburg, Fla.","Nov 10, 2010","St. Petersburg, Fla.",A.4,NATIONAL,https://www.proquest.com/newspapers/obama-gives-up-on-cap-trade-campaign-promise/docview/763301004/se-2?accountid=13360,FL
101,cap_and_trade,"CAP AND TRADE LEGISLATION WAS ORIGINALLY 'A REPUBLICAN IDEA,' WASSERMAN SCHULTZ SAYS","Sherman, Amy",Tampa Bay Times; Tampa Bay,"May 23, 2014","Tampa Bay, Fla.",,,https://www.proquest.com/newspapers/cap-trade-legislation-was-originally-republican/docview/1528360506/se-2?accountid=13360,FL
114,cap_and_trade,NEWT GINGRICH CLAIMS HE 'NEVER FAVORED CAP AND TRADE',"Moorhead, Molly","St. Petersburg Times; St. Petersburg, Fla.","Dec 7, 2011","St. Petersburg, Fla.",,,https://www.proquest.com/newspapers/newt-gingrich-claims-he-never-favored-cap-trade/docview/909468567/se-2?accountid=13360,FL
