previous_index,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
18,cap_and_trade,Senators balk at new mercury rule Industry supports EPA's 'cap-and- trade' emission plan: [Home Edition],"Nesmith, Jeff","The Atlanta Journal - Constitution; Atlanta, Ga.","Jun 30, 2005","Atlanta, Ga.",,News,https://www.proquest.com/newspapers/senators-balk-at-new-mercury-rule-industry/docview/337192590/se-2?accountid=13360,GA
23,cap_and_trade,"Considering cap and trade: Federal policymakers are considering a permit-trading system designed to create financial incentives for lowering pollution. It would cap carbon emission levels, allocate permits to businesses and allow low emitters to sell excess permits. Should the federal government create a cap and trade permitting system for greenhouse gas emissions?","Smith, Stephen A; Chang, Michael E","The Atlanta Journal - Constitution; Atlanta, Ga.","May 2, 2010","Atlanta, Ga.",,Business,https://www.proquest.com/newspapers/considering-cap-trade-federal-policymakers-are/docview/230731749/se-2?accountid=13360,GA
58,cap_and_trade,Proposal polarizes environment issue Bush outlines list of measures: [Home Edition],"Nesmith, Jeff","The Atlanta Journal - Constitution; Atlanta, Ga.","Feb 15, 2002","Atlanta, Ga.",,News,https://www.proquest.com/newspapers/proposal-polarizes-environment-issue-bush/docview/336870915/se-2?accountid=13360,GA
64,cap_and_trade,Is cap and trade necessary to ease climate change?,"Buzbee, William; Flatt, Victor B; Hertzmark, Donald","The Atlanta Journal - Constitution; Atlanta, Ga.","May 5, 2009","Atlanta, Ga.",,@issue,https://www.proquest.com/newspapers/is-cap-trade-necessary-ease-climate-change/docview/337569910/se-2?accountid=13360,GA
252,cap_and_trade,OUR OPINIONS: President's initiative will work against environment: [Home Edition],,"The Atlanta Journal - Constitution; Atlanta, Ga.","Feb 19, 2002","Atlanta, Ga.",,Editorial,https://www.proquest.com/newspapers/our-opinions-presidents-initiative-will-work/docview/336848904/se-2?accountid=13360,GA
714,cap_and_trade,OBAMA'S BIG SCAM: SELLING AIR,Anonymous,"Savannah Morning News; Savannah, Ga.","Jun 30, 2009","Savannah, Ga.",A.7,CAUSES,https://www.proquest.com/newspapers/obamas-big-scam-selling-air/docview/382048621/se-2?accountid=13360,GA
779,cap_and_trade,HIGH COURT MADE RIGHT CALL ON DAVIS,Anonymous,"Savannah Morning News; Savannah, Ga.","Sep 9, 2009","Savannah, Ga.",A.8,OPINION,https://www.proquest.com/newspapers/high-court-made-right-call-on-davis/docview/382063363/se-2?accountid=13360,GA
807,cap_and_trade,TOUGHER MERCURY LIMITS EXPECTED: [HOME Edition],"Larrabee, Brandon","Savannah Morning News; Savannah, Ga.","Jun 27, 2007","Savannah, Ga.",,COASTAL EMPIRE,https://www.proquest.com/newspapers/tougher-mercury-limits-expected/docview/381911851/se-2?accountid=13360,GA
840,cap_and_trade,A REVENUE NEUTRAL SYSTEM TO REDUCE CLIMATE CHANGE,"Zapp, Kenneth","Savannah Morning News; Savannah, Ga.","Aug 21, 2013","Savannah, Ga.",A.8,ENVIRONMENTAL ECONOMICS,https://www.proquest.com/newspapers/revenue-neutral-system-reduce-climate-change/docview/1426903339/se-2?accountid=13360,GA
877,cap_and_trade,BALLOON TOUR CONDEMNS GLOBAL WARMING SOLUTION,"Nahed, Aldo","Savannah Morning News; Savannah, Ga.","Jun 19, 2008","Savannah, Ga.",C.1,COASTAL EMPIRE,https://www.proquest.com/newspapers/balloon-tour-condemns-global-warming-solution/docview/381989268/se-2?accountid=13360,GA
