,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
218,cap_and_trade,MidAmerican president vows to fight cap and trade,"Piller, Dan","Des Moines Register; Des Moines, Iowa","Sep 19, 2009","Des Moines, Iowa",,BUSINESS,https://www.proquest.com/newspapers/midamerican-president-vows-fight-cap-trade/docview/237857028/se-2?accountid=13360,IA
285,cap_and_trade,"MidAmerican president vows to ""fight to our last breath"" against cap and trade","Piller, Dan","Des Moines Register; Des Moines, Iowa","Sep 19, 2009","Des Moines, Iowa",,BUSINESS,https://www.proquest.com/newspapers/midamerican-president-vows-fight-our-last-breath/docview/237862491/se-2?accountid=13360,IA
289,cap_and_trade,Oregon 2nd state to tackle climate change with cap-and-trade proposal,"Zimmerman, Sarah","Telegraph - Herald; Dubuque, Iowa","Jun 18, 2019","Dubuque, Iowa",B5,,https://www.proquest.com/newspapers/oregon-2nd-state-tackle-climate-change-with-cap/docview/2242559245/se-2?accountid=13360,IA
647,cap_and_trade,CARS program merits extension,Anonymous,"Telegraph - Herald; Dubuque, Iowa","Aug 5, 2009","Dubuque, Iowa",A.4,,https://www.proquest.com/newspapers/cars-program-merits-extension/docview/368672444/se-2?accountid=13360,IA
753,cap_and_trade,"Study: Iowa farms to benefit from climate bill, others won't","Brasher, Philip; Piller, Dan","Des Moines Register; Des Moines, Iowa","Sep 12, 2009","Des Moines, Iowa",,BUSINESS,https://www.proquest.com/newspapers/study-iowa-farms-benefit-climate-bill-others-wont/docview/237862392/se-2?accountid=13360,IA
1115,cap_and_trade,2 Iowa energy leaders call Obama plan a helpful step,"Beeman, Perry","Des Moines Register; Des Moines, Iowa","Apr 23, 2009","Des Moines, Iowa",,NEWS,https://www.proquest.com/newspapers/2-iowa-energy-leaders-call-obama-plan-helpful/docview/237845893/se-2?accountid=13360,IA
1200,cap_and_trade,Obama launches campaign to combat climate change,"Lederman, Josh","Telegraph - Herald; Dubuque, Iowa","Jun 26, 2013","Dubuque, Iowa",C.3,,https://www.proquest.com/newspapers/obama-launches-campaign-combat-climate-change/docview/1371611890/se-2?accountid=13360,IA
1205,cap_and_trade,Sen. Boxer says MidAmerican trying to block reduction of greenhouse gas,"Brasher, Philip","Des Moines Register; Des Moines, Iowa","Aug 7, 2009","Des Moines, Iowa",,BUSINESS,https://www.proquest.com/newspapers/sen-boxer-says-midamerican-trying-block-reduction/docview/237877894/se-2?accountid=13360,IA
1336,cap_and_trade,Green Fields: Trading group considers limit on energy futures investments,"Brasher, Philip; Piller, Dan","Des Moines Register; Des Moines, Iowa","Jul 12, 2009","Des Moines, Iowa",,BUSINESS,https://www.proquest.com/newspapers/green-fields-trading-group-considers-limit-on/docview/237869255/se-2?accountid=13360,IA
1483,cap_and_trade,"Boswell backed, Zaun opposed key bills","Petroski, William","Des Moines Register; Des Moines, Iowa","Sep 12, 2010","Des Moines, Iowa",,NEWS,https://www.proquest.com/newspapers/boswell-backed-zaun-opposed-key-bills/docview/750264106/se-2?accountid=13360,IA
