,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
19,cap_and_trade,"Climate plan takes heat over costs: Cap-and-trade could further slow sluggish economy, critics say","Tankersley, Jim","Chicago Tribune; Chicago, Ill.","Jan 26, 2009","Chicago, Ill.",,News,https://www.proquest.com/newspapers/climate-plan-takes-heat-over-costs/docview/420777490/se-2?accountid=13360,IL
34,cap_and_trade,Carbon cordon: Regional alliances enlist cap-and-trade approach to curtail greenhouse gases,"Swanson, Stevenson","Chicago Tribune; Chicago, Ill.","Oct 14, 2008","Chicago, Ill.",,News,https://www.proquest.com/newspapers/carbon-cordon/docview/420803310/se-2?accountid=13360,IL
55,cap_and_trade,"Carbon cuts: Cap and trade, the sequel?: Years after plan died in D.C., Exelon execs revive idea to help state comply with EPA","Wernau, Julie","Chicago Tribune; Chicago, Ill.","Oct 2, 2014","Chicago, Ill.",,Business,https://www.proquest.com/newspapers/carbon-cuts-cap-trade-sequel/docview/1566750860/se-2?accountid=13360,IL
73,cap_and_trade,Obama waters his green base: President's focus on environment could aid party turnout,"Reston, Maeve; Hennessey, Kathleen","Chicago Tribune; Chicago, Ill.","May 10, 2014","Chicago, Ill.",,News,https://www.proquest.com/newspapers/obama-waters-his-green-base/docview/1522895990/se-2?accountid=13360,IL
343,cap_and_trade,Obama taps environment team: Nobel laureate to head Energy,"Tankersley, Jim","Chicago Tribune; Chicago, Ill.","Dec 11, 2008","Chicago, Ill.",,News,https://www.proquest.com/newspapers/obama-taps-environment-team/docview/420792322/se-2?accountid=13360,IL
362,cap_and_trade,"Romney seeks rollback of rules: GOP rival challenges Obama's controls on financial industry, environment","Lauter, David","Chicago Tribune; Chicago, Ill.","Oct 17, 2012","Chicago, Ill.",,News,https://www.proquest.com/newspapers/romney-seeks-rollback-rules/docview/1112330879/se-2?accountid=13360,IL
366,cap_and_trade,Where they stand on ... environment,Campaign Web sites,"Chicago Tribune; Chicago, Ill.","Mar 7, 2008","Chicago, Ill.",,News,https://www.proquest.com/newspapers/where-they-stand-on-environment/docview/420708867/se-2?accountid=13360,IL
394,cap_and_trade,How do energy policies affect the environment?,"Fullerton, Don","News Gazette; Champaign, Ill.","Sep 30, 2012","Champaign, Ill.",C.1,,https://www.proquest.com/newspapers/how-do-energy-policies-affect-environment/docview/1125040733/se-2?accountid=13360,IL
404,cap_and_trade,C-U Greenpeace delegate going to climate summit: Group aims to show that U.S. cares about environment,"Wurth, Julie","News Gazette; Champaign, Ill.","Dec 1, 2008","Champaign, Ill.",A.1,,https://www.proquest.com/newspapers/c-u-greenpeace-delegate-going-climate-summit/docview/332949124/se-2?accountid=13360,IL
436,cap_and_trade,Energy security and the environment,"Gerwing, Bill; manager, General; Regulatory Affairs; BP America Inc","Chicago Tribune; Chicago, Ill.","Feb 16, 2008","Chicago, Ill.",,News,https://www.proquest.com/newspapers/energy-security-environment/docview/420675726/se-2?accountid=13360,IL
