,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
550,cap_and_trade,"Lt. Gov. says scientists, not politicians, will save environment","Fagan, Mark","Daily Journal World; Lawrence, Kan.","Apr 01, 2009","Lawrence, Kan.",,,https://www.proquest.com/newspapers/lt-gov-says-scientists-not-politicians-will-save/docview/238813316/se-2?accountid=13360,KS
836,cap_and_trade,Letters to the editor,Anonymous,"Topeka Capital Journal; Topeka, Kan.","Aug 10, 2009","Topeka, Kan.",4,OPINION,https://www.proquest.com/newspapers/letters-editor/docview/405795915/se-2?accountid=13360,KS
1273,cap_and_trade,Other voices,Anonymous,"Topeka Capital Journal; Topeka, Kan.","Jun 27, 2009","Topeka, Kan.",4,OPINION,https://www.proquest.com/newspapers/other-voices/docview/405785062/se-2?accountid=13360,KS
1404,cap_and_trade,"EPA, KDHE oversight at issue","Carpenter, Tim","Topeka Capital Journal; Topeka, Kan.","May 25, 2010","Topeka, Kan.",1,Local,https://www.proquest.com/newspapers/epa-kdhe-oversight-at-issue/docview/346200730/se-2?accountid=13360,KS
2027,cap_and_trade,Legislator speaks on ALEC,"Marso, Andy","Topeka Capital Journal; Topeka, Kan.","Aug 14, 2013","Topeka, Kan.",A.1,News,https://www.proquest.com/newspapers/legislator-speaks-on-alec/docview/1419981331/se-2?accountid=13360,KS
2268,cap_and_trade,Letters to the editor,Anonymous,"Topeka Capital Journal; Topeka, Kan.","Aug 5, 2009","Topeka, Kan.",4,OPINION,https://www.proquest.com/newspapers/letters-editor/docview/405792504/se-2?accountid=13360,KS
2382,cap_and_trade,Grim outlook for Democrats places House up for grabs,Julie Hirschfeld Davis,"Topeka Capital Journal; Topeka, Kan.","Sep 8, 2010","Topeka, Kan.",13,MAINC,https://www.proquest.com/newspapers/grim-outlook-democrats-places-house-up-grabs/docview/749934232/se-2?accountid=13360,KS
2483,cap_and_trade,Letters to the editor,Anonymous,"Topeka Capital Journal; Topeka, Kan.","Jul 5, 2010","Topeka, Kan.",4,OPINION,https://www.proquest.com/newspapers/letters-editor/docview/578456662/se-2?accountid=13360,KS
2766,cap_and_trade,Senator draws fire for amendment,"Clarkin, Mary","The Hutchinson News; Hutchinson, Kan","May 25, 2010","Hutchinson, Kan.",,,https://www.proquest.com/newspapers/senator-draws-fire-amendment/docview/324906732/se-2?accountid=13360,KS
2797,cap_and_trade,CO2 debate viewed anew,"Carpenter, Tim","Topeka Capital Journal; Topeka, Kan.","Apr 10, 2008","Topeka, Kan.",1,1A,https://www.proquest.com/newspapers/co2-debate-viewed-anew/docview/405780202/se-2?accountid=13360,KS
2830,cap_and_trade,Parkinson wants Kansas congressional representatives to get behind renewable energy bill,"Rothschild, Scott","Daily Journal World; Lawrence, Kan.","Oct 07, 2009","Lawrence, Kan.",,,https://www.proquest.com/newspapers/parkinson-wants-kansas-congressional/docview/238796106/se-2?accountid=13360,KS
2833,cap_and_trade,CO2 debate viewed anew,"Carpenter, Tim","Topeka Capital Journal; Topeka, Kan.","Apr 10, 2008","Topeka, Kan.",1,1A,https://www.proquest.com/newspapers/co2-debate-viewed-anew/docview/405776331/se-2?accountid=13360,KS
2962,cap_and_trade,Letters to the editor,Anonymous,"Topeka Capital Journal; Topeka, Kan.","Jul 14, 2010","Topeka, Kan.",4,OPINION,https://www.proquest.com/newspapers/letters-editor/docview/609938481/se-2?accountid=13360,KS
3351,cap_and_trade,Lawmaker takes aim at EPA rules in budget amendment,"Rothschild, Scott","Daily Journal World; Lawrence, Kan.","May 16, 2010","Lawrence, Kan.",,,https://www.proquest.com/newspapers/lawmaker-takes-aim-at-epa-rules-budget-amendment/docview/238861564/se-2?accountid=13360,KS
3387,cap_and_trade,Green investment could benefit economy,"Kalet, Hank","Daily Journal World; Lawrence, Kan.","Oct 27, 2008","Lawrence, Kan.",,,https://www.proquest.com/newspapers/green-investment-could-benefit-economy/docview/238779157/se-2?accountid=13360,KS
3582,cap_and_trade,KDHE seeks input on coal plantCoal drama still burns,"Carpenter, Tim","Topeka Capital Journal; Topeka, Kan.","Jul 5, 2010","Topeka, Kan.",1,Local,https://www.proquest.com/newspapers/kdhe-seeks-input-on-coal-plantcoal-drama-still/docview/613402556/se-2?accountid=13360,KS
3766,cap_and_trade,Letter: Common good,"Schmidt, Anthony","Daily Journal World; Lawrence, Kan.","Dec 31, 2015","Lawrence, Kan.",,,https://www.proquest.com/newspapers/letter-common-good/docview/1752762078/se-2?accountid=13360,KS
3870,cap_and_trade,Group against taxes seeks pledges from candidates,"Rothschild, Scott","Daily Journal World; Lawrence, Kan.","Jul 22, 2008","Lawrence, Kan.",,,https://www.proquest.com/newspapers/group-against-taxes-seeks-pledges-candidates/docview/238781503/se-2?accountid=13360,KS
3901,cap_and_trade,"Jenkins files, seeks third term: Term: 'We will not fall into the sewer with her'","Carpenter, Tim","Topeka Capital Journal; Topeka, Kan.","May 28, 2014","Topeka, Kan.",A.1,News,https://www.proquest.com/newspapers/jenkins-files-seeks-third-term/docview/1528625069/se-2?accountid=13360,KS
4047,cap_and_trade,Global warming conference doomed to fail,Anonymous,"Topeka Capital Journal; Topeka, Kan.","Nov 11, 2009","Topeka, Kan.",4,OPINION,https://www.proquest.com/newspapers/global-warming-conference-doomed-fail/docview/405790222/se-2?accountid=13360,KS
4056,cap_and_trade,EPA plan to regulate carbon dioxide has many unanswered,"Hart, Megan","Topeka Capital Journal; Topeka, Kan.","Dec 11, 2013","Topeka, Kan.",A.8,News,https://www.proquest.com/newspapers/epa-plan-regulate-carbon-dioxide-has-many/docview/1466530857/se-2?accountid=13360,KS
4171,cap_and_trade,Senate to open coal-plant hearings,"Rothschild, Scott","Daily Journal World; Lawrence, Kan.","Feb 13, 2008","Lawrence, Kan.",,,https://www.proquest.com/newspapers/senate-open-coal-plant-hearings/docview/238771872/se-2?accountid=13360,KS
4330,cap_and_trade,Lawrence residents take climate change fight to D.C.,"Hancock, Peter","Daily Journal World; Lawrence, Kan.","Jul 14, 2014","Lawrence, Kan.",,,https://www.proquest.com/newspapers/lawrence-residents-take-climate-change-fight-d-c/docview/1544931627/se-2?accountid=13360,KS
4367,cap_and_trade,Legislators have eye on energy in new session,,"The Salina Journal; Salina, Kan.","Jan 6, 2007","Salina, Kan.",,News,https://www.proquest.com/newspapers/legislators-have-eye-on-energy-new-session/docview/381166258/se-2?accountid=13360,KS
4389,cap_and_trade,Brownback rallies party faithful at GOP barbecue,"Linenberger, Shawn","Daily Journal World; Lawrence, Kan.","Jul 12, 2009","Lawrence, Kan.",,,https://www.proquest.com/newspapers/brownback-rallies-party-faithful-at-gop-barbecue/docview/238808341/se-2?accountid=13360,KS
4648,cap_and_trade,Obama is returning to his liberal agenda,"Krauthammer, Charles","Daily Journal World; Lawrence, Kan.","Jan 01, 2011","Lawrence, Kan.",,,https://www.proquest.com/newspapers/obama-is-returning-his-liberal-agenda/docview/821887393/se-2?accountid=13360,KS
4670,cap_and_trade,Common good calls for sacrifices,"Gurley, George","Daily Journal World; Lawrence, Kan.","Jul 03, 2011","Lawrence, Kan.",,,https://www.proquest.com/newspapers/common-good-calls-sacrifices/docview/874662301/se-2?accountid=13360,KS
4977,cap_and_trade,Letters to the editor,Anonymous,"Topeka Capital Journal; Topeka, Kan.","Sep 26, 2009","Topeka, Kan.",4,OPINION,https://www.proquest.com/newspapers/letters-editor/docview/405795996/se-2?accountid=13360,KS
5059,cap_and_trade,Letters to the editor,Anonymous,"Topeka Capital Journal; Topeka, Kan.","Oct 5, 2009","Topeka, Kan.",4,OPINION,https://www.proquest.com/newspapers/letters-editor/docview/405785755/se-2?accountid=13360,KS
5734,carbon_tax,Carbon tax no compromise,"Cobb, Alan","The Salina Journal; Salina, Kan.","Jan 3, 2008","Salina, Kan.",A.1,Columns,https://www.proquest.com/newspapers/carbon-tax-no-compromise/docview/381183581/se-2?accountid=13360,KS
6206,carbon_tax,"Energy testimony focuses on restrictions, tax: [Capital-Journal Edition]","Carlson, James","Topeka Capital Journal; Topeka, Kan.","Feb 6, 2008","Topeka, Kan.",,LOCAL,https://www.proquest.com/newspapers/energy-testimony-focuses-on-restrictions-tax/docview/405772126/se-2?accountid=13360,KS
6348,carbon_tax,House committee OKs energy legislation: [Second Edition],"Carlson, James","Topeka Capital Journal; Topeka, Kan.","Feb 13, 2008","Topeka, Kan.",,1A,https://www.proquest.com/newspapers/house-committee-oks-energy-legislation/docview/405768390/se-2?accountid=13360,KS
6350,carbon_tax,House committee OKs energy legislation: [Capital-Journal Edition],"Carlson, James","Topeka Capital Journal; Topeka, Kan.","Feb 13, 2008","Topeka, Kan.",,1A,https://www.proquest.com/newspapers/house-committee-oks-energy-legislation/docview/405768557/se-2?accountid=13360,KS
6425,carbon_tax,Political battle over state energy policy begins: [Second Edition],Tim Carpenter and James Carlson,"Topeka Capital Journal; Topeka, Kan.","Feb 5, 2008","Topeka, Kan.",,1A,https://www.proquest.com/newspapers/political-battle-over-state-energy-policy-begins/docview/405766518/se-2?accountid=13360,KS
6426,carbon_tax,Political battle over state energy policy begins: [Capital-Journal Edition],Tim Carpenter and James Carlson,"Topeka Capital Journal; Topeka, Kan.","Feb 5, 2008","Topeka, Kan.",,1A,https://www.proquest.com/newspapers/political-battle-over-state-energy-policy-begins/docview/405766470/se-2?accountid=13360,KS
6566,carbon_tax,Coal plant bill advances; Senate plans voice vote: [Capital-Journal Edition],"Carlson, James","Topeka Capital Journal; Topeka, Kan.","Feb 14, 2008","Topeka, Kan.",,1A,https://www.proquest.com/newspapers/coal-plant-bill-advances-senate-plans-voice-vote/docview/405770992/se-2?accountid=13360,KS
6576,carbon_tax,Coal plant bill advances; Senate plans voice vote: [Second Edition],"Carlson, James","Topeka Capital Journal; Topeka, Kan.","Feb 14, 2008","Topeka, Kan.",,1A,https://www.proquest.com/newspapers/coal-plant-bill-advances-senate-plans-voice-vote/docview/405766992/se-2?accountid=13360,KS
6592,carbon_tax,Committee tinkers with bill: [Second Edition],"Carlson, James","Topeka Capital Journal; Topeka, Kan.","Feb 12, 2008","Topeka, Kan.",,1A,https://www.proquest.com/newspapers/committee-tinkers-with-bill/docview/405767566/se-2?accountid=13360,KS
6596,carbon_tax,Committee tinkers with bill: [Capital-Journal Edition],"Carlson, James","Topeka Capital Journal; Topeka, Kan.","Feb 12, 2008","Topeka, Kan.",,1A,https://www.proquest.com/newspapers/committee-tinkers-with-bill/docview/405771217/se-2?accountid=13360,KS
6598,carbon_tax,Legislator speaks on ALEC,"Marso, Andy","Topeka Capital Journal; Topeka, Kan.","Aug 14, 2013","Topeka, Kan.",A.1,News,https://www.proquest.com/newspapers/legislator-speaks-on-alec/docview/1419981331/se-2?accountid=13360,KS
6660,carbon_tax,June 1 deadline set for coal plants: Developers' comments come after plan gains approval in House,"Rothschild, Scott","Daily Journal World; Lawrence, Kan.","Feb 19, 2008","Lawrence, Kan.",,,https://www.proquest.com/newspapers/june-1-deadline-set-coal-plants/docview/238755217/se-2?accountid=13360,KS
6712,carbon_tax,Local delegation sticks to party ties: [Second Edition],"Atkins, Taylor","Topeka Capital Journal; Topeka, Kan.","Feb 20, 2008","Topeka, Kan.",,1A,https://www.proquest.com/newspapers/local-delegation-sticks-party-ties/docview/405770231/se-2?accountid=13360,KS
