previous_index,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
94,cap_and_trade,Democratic Senate hopefuls split on 'cap and trade' energy bill,"Gerth, Joseph","Courier - Journal; Louisville, Ky.","Jul 11, 2009","Louisville, Ky.",,NEWS,https://www.proquest.com/newspapers/democratic-senate-hopefuls-split-on-cap-trade/docview/241544578/se-2?accountid=13360,KY
103,cap_and_trade,2010 U.S. Senate race; 'Cap and trade' energy bill splits Democratic hopefuls,"Gerth, Joseph","Courier - Journal; Louisville, Ky.","Jul 12, 2009","Louisville, Ky.",,News,https://www.proquest.com/newspapers/2010-u-s-senate-race-cap-trade-energy-bill-splits/docview/241593459/se-2?accountid=13360,KY
219,cap_and_trade,"Ben Chandler, Andy Barr debate economy, cap and trade","Steitzer, Stephenie","Courier - Journal; Louisville, Ky.","Oct 18, 2010","Louisville, Ky.",,NEWS,https://www.proquest.com/newspapers/ben-chandler-andy-barr-debate-economy-cap-trade/docview/759003300/se-2?accountid=13360,KY
278,cap_and_trade,Armstrong plans 2 coal mines Gooch criticizes proposed `cap-and-trade' energy legislation,"Lawrence, Keith","Messenger Inquirer; Owensboro, Ky.","Jul 9, 2009","Owensboro, Ky.",1,A,https://www.proquest.com/newspapers/armstrong-plans-2-coal-mines-gooch-criticizes/docview/378946401/se-2?accountid=13360,KY
345,cap_and_trade,"Once distrustful, Southern Baptists embrace government control of environment: [1]","Smith, Peter","Courier - Journal; Louisville, Ky.","Jun 24, 2010","Louisville, Ky.",,COLUMNISTS,https://www.proquest.com/newspapers/once-distrustful-southern-baptists-embrace/docview/577207196/se-2?accountid=13360,KY
523,cap_and_trade,"READERS FORUM: Environment, religion",,"Courier - Journal; Louisville, Ky.","Jul 2, 2010","Louisville, Ky.",,Forum,https://www.proquest.com/newspapers/readers-forum/docview/600704440/se-2?accountid=13360,KY
536,cap_and_trade,"Once distrustful, Southern Baptists embrace government control of environment","Smith, Peter","Courier - Journal; Louisville, Ky.","Jun 24, 2010","Louisville, Ky.",,COLUMNISTS,https://www.proquest.com/newspapers/once-distrustful-southern-baptists-embrace/docview/577210445/se-2?accountid=13360,KY
825,cap_and_trade,Coal must go to make room for new power,,"Messenger Inquirer; Owensboro, Ky.","Aug 5, 2015","Owensboro, Ky.",A.7,,https://www.proquest.com/newspapers/coal-must-go-make-room-new-power/docview/1701713105/se-2?accountid=13360,KY
931,cap_and_trade,McConnell settles for expediency on energy,"Cross, Al","Courier - Journal; Louisville, Ky.","Jun 20, 2010","Louisville, Ky.",,Forum,https://www.proquest.com/newspapers/mcconnell-settles-expediency-on-energy/docview/520070483/se-2?accountid=13360,KY
1146,cap_and_trade,READERS FORUM: Fighting climate change,,"Courier - Journal; Louisville, Ky.","May 22, 2009","Louisville, Ky.",,Forum,https://www.proquest.com/newspapers/readers-forum/docview/241570977/se-2?accountid=13360,KY
1281,cap_and_trade,ELECTION 2010; 9th District candidates clash on several issues,Lesley Stedman Weidenbener,"Courier - Journal; Louisville, Ky.","Oct 14, 2010","Louisville, Ky.",,News,https://www.proquest.com/newspapers/election-2010-9th-district-candidates-clash-on/docview/758198981/se-2?accountid=13360,KY
1290,cap_and_trade,"Baron Hill, Todd Young disagree on health care, energy at Jasper forum",Lesley Stedman Weidenbener,"Courier - Journal; Louisville, Ky.","Oct 13, 2010","Louisville, Ky.",,NEWS,https://www.proquest.com/newspapers/baron-hill-todd-young-disagree-on-health-care/docview/757849697/se-2?accountid=13360,KY
1723,cap_and_trade,Headline: EPA orders cuts in mercury pollution,"Bruggers, James","Courier - Journal; Louisville, Ky.","Mar 16, 2005","Louisville, Ky.",,NEWS,https://www.proquest.com/newspapers/headline-epa-orders-cuts-mercury-pollution/docview/241267157/se-2?accountid=13360,KY
