previous_index,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
215,cap_and_trade,Guest column: Cap and trade answers wrong question,,"The Times; Shreveport, La.","Sep 21, 2009","Shreveport, La.",,OPINION,https://www.proquest.com/newspapers/guest-column-cap-trade-answers-wrong-question/docview/389698258/se-2?accountid=13360,LA
379,cap_and_trade,Wayne DesLattes: Solar can save money and the environment,,"The Times; Shreveport, La.","Sep 26, 2009","Shreveport, La.",,OPINION,https://www.proquest.com/newspapers/wayne-deslattes-solar-can-save-money-environment/docview/389659463/se-2?accountid=13360,LA
700,cap_and_trade,"Where there's a will, there's a way",Dan Juneau Columnist,"The Courier; Houma, La.","Nov 1, 2009","Houma, La.",,,https://www.proquest.com/newspapers/where-theres-will-way/docview/435435158/se-2?accountid=13360,LA
713,cap_and_trade,YOUR MAIL,,"The Town Talk; Alexandria, La.","Jul 28, 2008","Alexandria, La.",,Opinion,https://www.proquest.com/newspapers/your-mail/docview/440285591/se-2?accountid=13360,LA
935,cap_and_trade,Local officials fought for local issues in DC,Anonymous,"The Courier; Houma, La.","Mar 12, 2010","Houma, La.",,,https://www.proquest.com/newspapers/local-officials-fought-issues-dc/docview/435442368/se-2?accountid=13360,LA
1023,cap_and_trade,"Officials from Terrebonne, Lafourche fight for issues in Washington, D.C.","Nelson, Lloyd J, III","The Courier; Houma, La.","Mar 13, 2010","Houma, La.",,,https://www.proquest.com/newspapers/officials-terrebonne-lafourche-fight-issues/docview/435436634/se-2?accountid=13360,LA
1064,cap_and_trade,What does the green movement mean for oil and gas?,"Buskey, Nikki","The Courier; Houma, La.","Oct 29, 2009","Houma, La.",,,https://www.proquest.com/newspapers/what-does-green-movement-mean-oil-gas/docview/435422406/se-2?accountid=13360,LA
1474,cap_and_trade,America needs to wake up,Anonymous,"The Courier; Houma, La.","May 14, 2010","Houma, La.",,,https://www.proquest.com/newspapers/america-needs-wake-up/docview/287971222/se-2?accountid=13360,LA
1521,cap_and_trade,Senator talks health to health-care professionals,"Buskey, Nikki; Schmidt, Kathrine, s","The Courier; Houma, La.","Sep 19, 2009","Houma, La.",,,https://www.proquest.com/newspapers/senator-talks-health-care-professionals/docview/435414811/se-2?accountid=13360,LA
1655,cap_and_trade,Emmissions battle begins,"Faust, Lisa R","The Daily Advertiser; Lafayette, La.","Apr 18, 2009","Lafayette, La.",,Growth And Business,https://www.proquest.com/newspapers/emmissions-battle-begins/docview/438389917/se-2?accountid=13360,LA
1713,cap_and_trade,Socialism or a free market?,Anonymous,"The Courier; Houma, La.","Oct 16, 2010","Houma, La.",,,https://www.proquest.com/newspapers/socialism-free-market/docview/758805495/se-2?accountid=13360,LA
1886,cap_and_trade,Trees help capture carbon and dollars,,"The Times; Shreveport, La.","Apr 27, 2019","Shreveport, La.",A.4,News,https://www.proquest.com/newspapers/trees-help-capture-carbon-dollars/docview/2215481426/se-2?accountid=13360,LA
1937,cap_and_trade,Charles Krauthammer: The new socialism,,"The Times; Shreveport, La.","Dec 14, 2009","Shreveport, La.",,OPINION,https://www.proquest.com/newspapers/charles-krauthammer-new-socialism/docview/389699908/se-2?accountid=13360,LA
2025,cap_and_trade,Obama's actions leave him fearful,,"News - Star; Monroe, La.","Aug 20, 2009","Monroe, La.",,OPINION,https://www.proquest.com/newspapers/obamas-actions-leave-him-fearful/docview/440226296/se-2?accountid=13360,LA
2133,cap_and_trade,Senator slams carbon tax,,"The Courier; Houma, La.","Feb 25, 2013","Houma, La.",,,https://www.proquest.com/newspapers/senator-slams-carbon-tax/docview/1312506768/se-2?accountid=13360,LA
2209,cap_and_trade,Congressman John Fleming Q & A,"Haag, Diane","The Times; Shreveport, La.","May 31, 2009","Shreveport, La.",,Conversations,https://www.proquest.com/newspapers/congressman-john-fleming-q/docview/389706251/se-2?accountid=13360,LA
2277,cap_and_trade,U.S. Rep. Steve Scalise: Misguided policies threaten job creation,,"The Times; Shreveport, La.","Mar 8, 2010","Shreveport, La.",,OPINION,https://www.proquest.com/newspapers/u-s-rep-steve-scalise-misguided-policies-threaten/docview/389716768/se-2?accountid=13360,LA
2632,cap_and_trade,Obama's politicized energy policy,Bobby Jindal Governor,"The Courier; Houma, La.","Mar 30, 2012","Houma, La.",,,https://www.proquest.com/newspapers/obamas-politicized-energy-policy/docview/963350158/se-2?accountid=13360,LA
2718,cap_and_trade,Educated by Glenn Beck show,,"News - Star; Monroe, La.","Jul 8, 2009","Monroe, La.",,OPINION,https://www.proquest.com/newspapers/educated-glenn-beck-show/docview/440217676/se-2?accountid=13360,LA
3746,cap_and_trade,"New Orleans' entrepreneurs see niches, fill them","Abrams, Rhonda","The Courier; Houma, La.","Apr 11, 2014","Houma, La.",,,https://www.proquest.com/newspapers/new-orleans-entrepreneurs-see-niches-fill-them/docview/1515302016/se-2?accountid=13360,LA
4013,cap_and_trade,Budget worries persist,"Johnson, William","The Daily World; Opelousas, La.","Oct 14, 2009","Opelousas, La.",,Main,https://www.proquest.com/newspapers/budget-worries-persist/docview/443044629/se-2?accountid=13360,LA
4053,cap_and_trade,Do not harm the nation's economy,Anonymous,"The Courier; Houma, La.","Jul 23, 2010","Houma, La.",,,https://www.proquest.com/newspapers/do-not-harm-nations-economy/docview/664785776/se-2?accountid=13360,LA
4213,cap_and_trade,GOP candidates tout domestic oil,"Bayles, Cara","The Courier; Houma, La.","Mar 13, 2012","Houma, La.",,,https://www.proquest.com/newspapers/gop-candidates-tout-domestic-oil/docview/927910289/se-2?accountid=13360,LA
4456,cap_and_trade,"COMMENTARY: Facing mock peril, world ignores climate rules","Will, George","The Daily Advertiser; Lafayette, La.","Nov 9, 2009","Lafayette, La.",,OPINION,https://www.proquest.com/newspapers/commentary-facing-mock-peril-world-ignores/docview/438398989/se-2?accountid=13360,LA
4673,cap_and_trade,0610_gerson column,,"The Daily World; Opelousas, La.","Jun 11, 2008","Opelousas, La.",,,https://www.proquest.com/newspapers/0610-gerson-column/docview/443031329/se-2?accountid=13360,LA
4904,cap_and_trade,"On offshore issues, presidential candidates have opposing views","Schmidt, Kathrine","The Courier; Houma, La.","Oct 28, 2008","Houma, La.",,,https://www.proquest.com/newspapers/on-offshore-issues-presidential-candidates-have/docview/435392296/se-2?accountid=13360,LA
4970,cap_and_trade,Hydrogen-powered buses coming to Calif.: $12.5M grant's fueling station may spur more fuel cell vehicles,"Roth, Sammy","News - Star; Monroe, La.","May 4, 2017","Monroe, La.",A.9,News,https://www.proquest.com/newspapers/hydrogen-powered-buses-coming-calif/docview/1992178261/se-2?accountid=13360,LA
5108,cap_and_trade,Hydrogen-powered buses coming to Calif.: $12.5M grant's fueling station may spur more fuel cell vehicles,"Roth, Sammy","News - Star; Monroe, La.","May 4, 2017","Monroe, La.",A.9,News,https://www.proquest.com/newspapers/hydrogen-powered-buses-coming-calif/docview/1894814113/se-2?accountid=13360,LA
5694,carbon_tax,Senator slams carbon tax,,"The Courier; Houma, La.","Feb 25, 2013","Houma, La.",,,https://www.proquest.com/newspapers/senator-slams-carbon-tax/docview/1312506768/se-2?accountid=13360,LA
6828,carbon_tax,Senator proposes energy bills,"Gordon, Aaren","The Courier; Houma, La.","Jan 9, 2015","Houma, La.",,,https://www.proquest.com/newspapers/senator-proposes-energy-bills/docview/1644295035/se-2?accountid=13360,LA
7170,carbon_tax,Emmissions battle begins,"Faust, Lisa R","The Daily Advertiser; Lafayette, La.","Apr 18, 2009","Lafayette, La.",,Growth And Business,https://www.proquest.com/newspapers/emmissions-battle-begins/docview/438389917/se-2?accountid=13360,LA
8810,gas_tax,Fuel for thought: Business unity on gas tax? Depends on who's at the pump,"Hilburn, Greg","News - Star; Monroe, La.","Apr 6, 2017","Monroe, La.",A.8,News,https://www.proquest.com/newspapers/fuel-thought/docview/1884365635/se-2?accountid=13360,LA
8811,gas_tax,Fuel for thought: Business unity on gas tax? Depends on who's at the pump,"Hilburn, Greg","The Times; Shreveport, La.","Apr 6, 2017","Shreveport, La.",A.4,News,https://www.proquest.com/newspapers/fuel-thought/docview/1884405456/se-2?accountid=13360,LA
8812,gas_tax,Fuel for thought: Business unity on gas tax? Depends on who's at the pump,"Hilburn, Greg","The Daily Advertiser; Lafayette, La.","Apr 6, 2017","Lafayette, La.",A.7,News,https://www.proquest.com/newspapers/fuel-thought/docview/1884388688/se-2?accountid=13360,LA
8900,gas_tax,Friedman pushes gas tax,"Largen, Stephen","News - Star; Monroe, La.","Dec 10, 2009","Monroe, La.",,NEWS,https://www.proquest.com/newspapers/friedman-pushes-gas-tax/docview/440243448/se-2?accountid=13360,LA
8963,gas_tax,Columnist says state could survive a gas tax,"Largen, Stephen","News - Star; Monroe, La.","Dec 9, 2009","Monroe, La.",,UPDATES,https://www.proquest.com/newspapers/columnist-says-state-could-survive-gas-tax/docview/440243270/se-2?accountid=13360,LA
