previous_index,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
38,cap_and_trade,Lawmakers agree on energy strategy for cars: Cap-and-trade proposal divides leaders by region,"Cappiello, Dina","Boston Globe; Boston, Mass.","May 6, 2009","Boston, Mass.",,National,https://www.proquest.com/newspapers/lawmakers-agree-on-energy-strategy-cars/docview/405171194/se-2?accountid=13360,MA
69,cap_and_trade,The next government target: mercury ; The EPA proposes a 'cap-and-trade' approach to reducing emission levels in air. Critics say it's a step backward.: [ALL Edition],Brad Knickerbocker Staff writer of The Christian Science Monitor,"The Christian Science Monitor; Boston, Mass.","Dec 17, 2003","Boston, Mass.",,USA,https://www.proquest.com/newspapers/next-government-target-mercury-epa-proposes-cap/docview/405687939/se-2?accountid=13360,MA
128,cap_and_trade,Western states propose cap-and-trade system for greenhouse gases,"Arnoldy, Ben","The Christian Science Monitor; Boston, Mass.","Jul 25, 2008","Boston, Mass.",,Environment,https://www.proquest.com/newspapers/western-states-propose-cap-trade-system/docview/405560725/se-2?accountid=13360,MA
230,cap_and_trade,Cap and trade is still the right call,"Lange, Mark","The Christian Science Monitor; Boston, Mass.","Apr 13, 2009","Boston, Mass.",,OPINION,https://www.proquest.com/newspapers/cap-trade-is-still-right-call/docview/405577709/se-2?accountid=13360,MA
251,cap_and_trade,Harry Reid: Senate will abandon cap-and-trade energy reform,Gail Russell Chaddock; Tarini Parti,"The Christian Science Monitor; Boston, Mass.","Jul 22, 2010","Boston, Mass.",,USA,https://www.proquest.com/newspapers/harry-reid-senate-will-abandon-cap-trade-energy/docview/639730484/se-2?accountid=13360,MA
262,cap_and_trade,Stripped down energy bill leaves out 'cap and trade',"Clayton, Mark","The Christian Science Monitor; Boston, Mass.","Jul 27, 2010","Boston, Mass.",,USA,https://www.proquest.com/newspapers/stripped-down-energy-bill-leaves-out-cap-trade/docview/729367196/se-2?accountid=13360,MA
301,cap_and_trade,Recession byproduct - a cut in emissions: But low level may hurt cap and trade program,"Daley, Beth","Boston Globe; Boston, Mass.","Mar 11, 2009","Boston, Mass.",,Metro,https://www.proquest.com/newspapers/recession-byproduct-cut-emissions/docview/405156005/se-2?accountid=13360,MA
319,cap_and_trade,"Baker orders review of 'onerous' regulations: Sweeping directive alarms advocates for environment, labor","Phillips, Frank","Boston Globe; Boston, Mass.","Apr 12, 2015","Boston, Mass.",,Metro,https://www.proquest.com/newspapers/baker-orders-review-onerous-regulations/docview/1672344094/se-2?accountid=13360,MA
336,cap_and_trade,"Hot air versus realism: Environment, development must coexist",Anonymous,"Telegram & Gazette; Worcester, Mass.","Jun 8, 2008","Worcester, Mass.",A.10,EDITORIAL,https://www.proquest.com/newspapers/hot-air-versus-realism/docview/269032014/se-2?accountid=13360,MA
341,cap_and_trade,"Hot air versus realism: [Environment, development must coexist 1]",Anonymous,"Telegram & Gazette; Worcester, Mass.","Jun 8, 2008","Worcester, Mass.",A.10,EDITORIAL,https://www.proquest.com/newspapers/hot-air-versus-realism/docview/269021472/se-2?accountid=13360,MA
342,cap_and_trade,"After public life, a passion will continue: Kerry to further his efforts for environment when State Department stint ends next year","McGrane, Victoria","Boston Globe; Boston, Mass.","Sep 16, 2016","Boston, Mass.",,National,https://www.proquest.com/newspapers/after-public-life-passion-will-continue/docview/1819621060/se-2?accountid=13360,MA
507,cap_and_trade,Four ways Charlie Baker can help the environment,,"Boston Globe; Boston, Mass.","Dec 5, 2014","Boston, Mass.",,Metro,https://www.proquest.com/newspapers/four-ways-charlie-baker-can-help-environment/docview/1630162413/se-2?accountid=13360,MA
524,cap_and_trade,Patrick gets good grades on environment,"Daley, Beth","Boston Globe; Boston, Mass.","Apr 22, 2009","Boston, Mass.",,Metro,https://www.proquest.com/newspapers/patrick-gets-good-grades-on-environment/docview/405160448/se-2?accountid=13360,MA
610,cap_and_trade,"Amid rising concern about mercury, EPA sets new rules ; A proposal would set a cap, and allow emissions trading by industry.: [ALL Edition]",Brad Knickerbocker Staff writer of The Christian Science Monitor,"The Christian Science Monitor; Boston, Mass.","Mar 16, 2005","Boston, Mass.",,USA,https://www.proquest.com/newspapers/amid-rising-concern-about-mercury-epa-sets-new/docview/405697731/se-2?accountid=13360,MA
629,cap_and_trade,"Jeff JacobyNo climate debate? Yes, there is",Anonymous,"Boston Globe; Boston, Mass.","Jul 1, 2009","Boston, Mass.",,Opinion,https://www.proquest.com/newspapers/jeff-jacobyno-climate-debate-yes-there-is/docview/405170269/se-2?accountid=13360,MA
778,cap_and_trade,Trading up to green: Compact's carbon credit auction a positive step,Anonymous,"Telegram & Gazette; Worcester, Mass.","Sep 26, 2008","Worcester, Mass.",A.8,EDITORIAL,https://www.proquest.com/newspapers/trading-up-green/docview/269025117/se-2?accountid=13360,MA
784,cap_and_trade,Pagliuca: Next senator must vote for reform,"Murphy, Matt","The Sun; Lowell, Mass.","Dec 1, 2009","Lowell, Mass.",,Today's Headlines,https://www.proquest.com/newspapers/pagliuca-next-senator-must-vote-reform/docview/378823107/se-2?accountid=13360,MA
876,cap_and_trade,N.H. residents should vote in the Jan. 8 primary,,"The Sun; Lowell, Mass.","Jan 3, 2008","Lowell, Mass.",1,Pres. Opinion,https://www.proquest.com/newspapers/n-h-residents-should-vote-jan-8-primary/docview/378866494/se-2?accountid=13360,MA
894,cap_and_trade,US DELAYS CLEAN AIR REVIEW EPA SAYS NEW LAW IS BETTER APPROACH TO POWER PLANTS: [THIRD Edition],"Schlesinger, Robert","Boston Globe; Boston, Mass.","Aug 15, 2001","Boston, Mass.",,National/Foreign,https://www.proquest.com/newspapers/us-delays-clean-air-review-epa-says-new-law-is/docview/405417995/se-2?accountid=13360,MA
909,cap_and_trade,"A CLEAR WATER REVIVAL: 20 years ago, Congress and the president took on acid rain with stunning success. Could such a thing happen today?","Kranish, Michael","Boston Globe; Boston, Mass.","Oct 17, 2010","Boston, Mass.",,National,https://www.proquest.com/newspapers/clear-water-revival/docview/758770260/se-2?accountid=13360,MA
911,cap_and_trade,"Jon Wellinghoff, Obama's energy futurist","Clayton, Mark","The Christian Science Monitor; Boston, Mass.","Jun 9, 2009","Boston, Mass.",,Environment,https://www.proquest.com/newspapers/jon-wellinghoff-obamas-energy-futurist/docview/405564910/se-2?accountid=13360,MA
