,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
26,cap_and_trade,Both congressional candidates call environmental issues a top priority: Election 2008: Chellie Pingree and Charlie Summers differ on cap-and-trade agreements.,"Hoey, Dennis","Portland Press Herald; Portland, Me.","Sep 29, 2008","Portland, Me.",A.4,FRONT,https://www.proquest.com/newspapers/both-congressional-candidates-call-environmental/docview/277322118/se-2?accountid=13360,ME
47,cap_and_trade,Coalition to make emissions statement: A 10-state group that formed a cap-and-trade program will hold its first auction Thursday to sell pollution allowances.,"Richardson, John","Portland Press Herald; Portland, Me.","Sep 23, 2008","Portland, Me.",A.1,Front,https://www.proquest.com/newspapers/coalition-make-emissions-statement/docview/277374498/se-2?accountid=13360,ME
53,cap_and_trade,Senators sign on to force vote on mercury ; Maine Sens. Collins and Snowe oppose the EPA's plan for a cap-and- trade system to limit emissions.: [Final Edition],BART JANSEN Washington D.C. Correspondent,"Portland Press Herald; Portland, Me.","Jun 30, 2005","Portland, Me.",,FRONT,https://www.proquest.com/newspapers/senators-sign-on-force-vote-mercury-maine-sens/docview/277253399/se-2?accountid=13360,ME
56,cap_and_trade,Northeast emissions project plots course for national plan: RGGI - or 'Reggie' - is a cap-and-trade effort that began this year and may help to shape U.S. policy.,"Richardson, John","Portland Press Herald; Portland, Me.","Oct 4, 2009","Portland, Me.",A.1,Front,https://www.proquest.com/newspapers/northeast-emissions-project-plots-course-national/docview/277390902/se-2?accountid=13360,ME
136,cap_and_trade,Readers skeptical of proposed 'cap and trade' system,Anonymous,"Bangor Daily News; Bangor, Me.","Jul 3, 2009","Bangor, Me.",11,A,https://www.proquest.com/newspapers/readers-skeptical-proposed-cap-trade-system/docview/414395741/se-2?accountid=13360,ME
155,cap_and_trade,Northeast cap-and-trade pact raises taxes behind 'green' smokescreen,,"Morning Sentinel; Waterville, Me.","Mar 29, 2014","Waterville, Me.",1.A,,https://www.proquest.com/newspapers/northeast-cap-trade-pact-raises-taxes-behind/docview/1534997220/se-2?accountid=13360,ME
158,cap_and_trade,Northeast cap-and-trade pact raises taxes behind 'green' smokescreen,,"Kennebec Journal; Augusta, Me.","Mar 29, 2014","Augusta, Me.",1.A,,https://www.proquest.com/newspapers/northeast-cap-trade-pact-raises-taxes-behind/docview/1534993928/se-2?accountid=13360,ME
185,cap_and_trade,"Green jobs myth muddies debate: Creating a healthier environment costs money, but it's money we'd be wise to spend.",John W Porter ial page,"Portland Press Herald; Portland, Me.","Jun 8, 2008","Portland, Me.",C.6,Editorial,https://www.proquest.com/newspapers/green-jobs-myth-muddies-debate/docview/277383164/se-2?accountid=13360,ME
211,cap_and_trade,Potential still huge for cap-and-trade,"Richardson, John","Morning Sentinel; Waterville, Me.","Oct 4, 2009","Waterville, Me.",A.1,Local News,https://www.proquest.com/newspapers/potential-still-huge-cap-trade/docview/381711056/se-2?accountid=13360,ME
263,cap_and_trade,State among pioneers of cap-and-trade carbon control,"Richardson, John","Kennebec Journal; Augusta, Me.","Oct 4, 2009","Augusta, Me.",A.1,Local News,https://www.proquest.com/newspapers/state-among-pioneers-cap-trade-carbon-control/docview/241775801/se-2?accountid=13360,ME
