previous_index,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
85,cap_and_trade,The environment ; Bush's radical dismantling: [METRO Edition],,"Star Tribune; Minneapolis, Minn.","Oct 3, 2004","Minneapolis, Minn.",,NEWS,https://www.proquest.com/newspapers/environment-bushs-radical-dismantling/docview/427662618/se-2?accountid=13360,MN
102,cap_and_trade,Peterson: Cap and trade 'dead' in Congress -- but not at EPA,"Wallbank, Derek","MinnPost.com; Minneapolis, Minn.","Aug 24, 2010","Minneapolis, Minn.",,News,https://www.proquest.com/newspapers/peterson-cap-trade-dead-congress-not-at-epa/docview/968680309/se-2?accountid=13360,MN
183,cap_and_trade,Forum takes on cap-and-trade,"Schumacher, Lawrence","St. Cloud Times; St. Cloud, Minn.","Apr 10, 2009","St. Cloud, Minn.",,World/Nation,https://www.proquest.com/newspapers/forum-takes-on-cap-trade/docview/378560207/se-2?accountid=13360,MN
224,cap_and_trade,Peterson in the middle of cap-and-trade tussle,"Dizikes, Cynthia","MinnPost.com; Minneapolis, Minn.","Mar 30, 2009","Minneapolis, Minn.",,News,https://www.proquest.com/newspapers/peterson-middle-cap-trade-tussle/docview/992837268/se-2?accountid=13360,MN
235,cap_and_trade,"Climate changes require new strategies: How can Minnesota deal with the costs of a warming climate? An advisory panel's research group suggests one answer is to try implementing a ""cap and trade.""","McAuliffe, Bill","Star Tribune; Minneapolis, Minn.","Nov 9, 2007","Minneapolis, Minn.",B.5,NEWS,https://www.proquest.com/newspapers/climate-changes-require-new-strategies/docview/427927892/se-2?accountid=13360,MN
344,cap_and_trade,"Bachmann's forum on energy emissions draws cheers, jeers: The U.S. representative and her fellow presenter were critical of cap-and-trade energy savings strategy.","McAULIFFE, BILL","Star Tribune; Minneapolis, Minn.","Apr 10, 2009","Minneapolis, Minn.",B.5,NEWS,https://www.proquest.com/newspapers/bachmanns-forum-on-energy-emissions-draws-cheers/docview/428039743/se-2?accountid=13360,MN
425,cap_and_trade,The environment cries for Obama's leadership: The election -- and the circumstances all around -- encourage it.,"Lenfestey, James P","Star Tribune; Minneapolis, Minn.","Jan 14, 2013","Minneapolis, Minn.",A.11,NEWS,https://www.proquest.com/newspapers/environment-cries-obamas-leadership/docview/1269179545/se-2?accountid=13360,MN
455,cap_and_trade,Readers Write,Anonymous,"Star Tribune; Minneapolis, Minn.","Jun 19, 2008","Minneapolis, Minn.",A.14,NEWS,https://www.proquest.com/newspapers/readers-write/docview/427972569/se-2?accountid=13360,MN
457,cap_and_trade,National Journal looks at Pawlenty's changing stance on the environment,"Kimball, Joe","MinnPost.com; Minneapolis, Minn.","Jun 24, 2011","Minneapolis, Minn.",,News,https://www.proquest.com/newspapers/national-journal-looks-at-pawlentys-changing/docview/963931097/se-2?accountid=13360,MN
565,cap_and_trade,Ross Douthat: Pope Francis' call to action goes beyond the environment,"Douthat, Ross","Saint Paul Pioneer Press; Saint Paul, Minn.","Jun 23, 2015","Saint Paul, Minn.",,Columnists,https://www.proquest.com/newspapers/ross-douthat-pope-francis-call-action-goes-beyond/docview/1691066282/se-2?accountid=13360,MN
573,cap_and_trade,"On energy and the environment, Michael Noble keeps politicians honest","Shelby, Don","MinnPost.com; Minneapolis, Minn.","Apr 19, 2011","Minneapolis, Minn.",,News,https://www.proquest.com/newspapers/on-energy-environment-michael-noble-keeps/docview/992849920/se-2?accountid=13360,MN
747,cap_and_trade,Michele Bachmann re-enters public eye with some bipartisan words but also more attacks on Obamacare,"Brucato, Cyndy","MinnPost.com; Minneapolis, Minn.","Jul 12, 2013","Minneapolis, Minn.",,News,https://www.proquest.com/newspapers/michele-bachmann-re-enters-public-eye-with-some/docview/1399667169/se-2?accountid=13360,MN
998,cap_and_trade,Could the green economy replace the fading industrial sector?,Julie,"Saint Paul Pioneer Press; Saint Paul, Minn.","Aug 20, 2011","Saint Paul, Minn.",,Business,https://www.proquest.com/newspapers/could-green-economy-replace-fading-industrial/docview/884514594/se-2?accountid=13360,MN
1187,cap_and_trade,Forgetting about cutting gas consumption?,"deFiebre, Conrad","MinnPost.com; Minneapolis, Minn.","Sep 17, 2012","Minneapolis, Minn.",,News,https://www.proquest.com/newspapers/forgetting-about-cutting-gas-consumption/docview/1040775487/se-2?accountid=13360,MN
1204,cap_and_trade,DUST-UP OVER CARBON: North Dakota is none too pleased with Minnesota as a deadline nears for what North Dakota claims will be a tax on coal-fired electricity.,"BJORHUS, JENNIFER","Star Tribune; Minneapolis, Minn.","Jan 15, 2010","Minneapolis, Minn.",D.1,BUSINESS,https://www.proquest.com/newspapers/dust-up-over-carbon/docview/428080048/se-2?accountid=13360,MN
1294,cap_and_trade,"Gearing up to meet clean-air mandates, lawmakers hope governor walks the talk","Way, Ron","MinnPost.com; Minneapolis, Minn.","Jul 30, 2008","Minneapolis, Minn.",,News,https://www.proquest.com/newspapers/gearing-up-meet-clean-air-mandates-lawmakers-hope/docview/992823262/se-2?accountid=13360,MN
1356,cap_and_trade,"Climate change, nuclear power, Next Gen on legislative energy agenda","Way, Ron","MinnPost.com; Minneapolis, Minn.","Nov 11, 2008","Minneapolis, Minn.",,News,https://www.proquest.com/newspapers/climate-change-nuclear-power-next-gen-on/docview/992836152/se-2?accountid=13360,MN
1418,cap_and_trade,"Loris, Spencer: Dear Congress -- Don't take the renewable mandate bait","Loris, Nicolas; Spencer, Jack","Saint Paul Pioneer Press; Saint Paul, Minn.","Nov 7, 2010","Saint Paul, Minn.",,Opinion,https://www.proquest.com/newspapers/loris-spencer-dear-congress-dont-take-renewable/docview/762665655/se-2?accountid=13360,MN
