previous_index,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
1,alternative_energy_standard,Fuel law requiring ethanol under fire,"Livengood, Chad","Springfield News Leader; Springfield, Mo.","Feb 5, 2009","Springfield, Mo.",,Main,https://www.proquest.com/newspapers/fuel-law-requiring-ethanol-under-fire/docview/434200788/se-2?accountid=13360,MO
82,cap_and_trade,Missourians do not want job-killing cap-and-trade bills,"Bond, Kit","Springfield News Leader; Springfield, Mo.","Nov 29, 2009","Springfield, Mo.",,Opinion,https://www.proquest.com/newspapers/missourians-do-not-want-job-killing-cap-trade/docview/434316252/se-2?accountid=13360,MO
86,cap_and_trade,"Cap and trade would hurt the economy, raise energy prices",,"Springfield News Leader; Springfield, Mo.","Jan 9, 2010","Springfield, Mo.",,Opinion,https://www.proquest.com/newspapers/cap-trade-would-hurt-economy-raise-energy-prices/docview/434340059/se-2?accountid=13360,MO
209,cap_and_trade,Ad attacks Blunt for opposing cap-and-trade,"Livengood, Chad","Springfield News Leader; Springfield, Mo.","Nov 8, 2009","Springfield, Mo.",,Main,https://www.proquest.com/newspapers/ad-attacks-blunt-opposing-cap-trade/docview/434321492/se-2?accountid=13360,MO
220,cap_and_trade,Cap-and-trade?: A new energy policy,"Waters, Henry J, III","Columbia Daily Tribune; Columbia, Mo.","Jun 30, 2009","Columbia, Mo.",A.4,Commentary,https://www.proquest.com/newspapers/cap-trade/docview/644930868/se-2?accountid=13360,MO
244,cap_and_trade,Dump cap-and-trade in favor of more comprehensive policy,"Kruse, Charles E","Springfield News Leader; Springfield, Mo.","Jul 30, 2009","Springfield, Mo.",,Opinion,https://www.proquest.com/newspapers/dump-cap-trade-favor-more-comprehensive-policy/docview/434265377/se-2?accountid=13360,MO
256,cap_and_trade,"Cap-and-trade: Bad for MU, et al","Waters, Henry J, III","Columbia Daily Tribune; Columbia, Mo.","Nov 29, 2009","Columbia, Mo.",D.2,Commentary,https://www.proquest.com/newspapers/cap-trade/docview/733054618/se-2?accountid=13360,MO
273,cap_and_trade,"Cap and trade will hike costs, drive jobs away from U.S.","Hall, Mike","Springfield News Leader; Springfield, Mo.","Jul 21, 2009","Springfield, Mo.",,Opinion,https://www.proquest.com/newspapers/cap-trade-will-hike-costs-drive-jobs-away-u-s/docview/434264613/se-2?accountid=13360,MO
298,cap_and_trade,"Cap-and-trade bad for MU, Forsee says: Measure would cost power plant millions.","Heavin, Janese","Columbia Daily Tribune; Columbia, Mo.","Nov 24, 2009","Columbia, Mo.",A.1,News,https://www.proquest.com/newspapers/cap-trade-bad-mu-forsee-says/docview/733043345/se-2?accountid=13360,MO
321,cap_and_trade,Carbon plan stirs anxiety The cap-and-trade plan worries states that get most of their electricity from coal.,"Tomich, Jeffrey","St. Louis Post - Dispatch; St. Louis, Mo.","Jul 26, 2009","St. Louis, Mo.",,Business,https://www.proquest.com/newspapers/carbon-plan-stirs-anxiety-cap-trade-worries/docview/403226432/se-2?accountid=13360,MO
332,cap_and_trade,Energy and the environment: [Third Edition],,"St. Louis Post - Dispatch; St. Louis, Mo.","Nov 22, 2006","St. Louis, Mo.",,Editorial,https://www.proquest.com/newspapers/energy-environment/docview/403061955/se-2?accountid=13360,MO
334,cap_and_trade,Ameren balances environmental and cost concerns Cap-and-trade Customers want energy utilities to be good stewards of the planet. OTHER VIEWS,"Voss, Thomas R","St. Louis Post - Dispatch; St. Louis, Mo.","Jun 10, 2009","St. Louis, Mo.",,Editorial,https://www.proquest.com/newspapers/ameren-balances-environmental-cost-concerns-cap/docview/403220788/se-2?accountid=13360,MO
335,cap_and_trade,Bond ups ante in fight over cap-and-trade His budget amendment could throw roadblock in any effort to pass climate change laws.,"Rose, Sean","St. Louis Post - Dispatch; St. Louis, Mo.","Apr 8, 2009","St. Louis, Mo.",,News,https://www.proquest.com/newspapers/bond-ups-ante-fight-over-cap-trade-his-budget/docview/403218240/se-2?accountid=13360,MO
357,cap_and_trade,Climate change bill faces a storm in Senate McCaskill isn't sold on cap-and-trade and Bond says legislation is being pushed by states that don't rely on coal for electricity.,"Lambrecht, Bill; Carpenter, Jacob","St. Louis Post - Dispatch; St. Louis, Mo.","Sep 30, 2009","St. Louis, Mo.",,News,https://www.proquest.com/newspapers/climate-change-bill-faces-storm-senate-mccaskill/docview/403231540/se-2?accountid=13360,MO
422,cap_and_trade,Washington voters to decide on nation's first carbon tax,"Le, Phuong","St. Louis Post - Dispatch; St. Louis, Mo.","Oct 9, 2016","St. Louis, Mo.",,News,https://www.proquest.com/newspapers/washington-voters-decide-on-nations-first-carbon/docview/1827093062/se-2?accountid=13360,MO
424,cap_and_trade,"Christians join war on global warming EVangelical environmentalisTs Viewing the environment as God's creation, religious groups lobby lawmakers to protect it.","Cooper, Jonathan J","St. Louis Post - Dispatch; St. Louis, Mo.","May 9, 2008","St. Louis, Mo.",,News,https://www.proquest.com/newspapers/christians-join-war-on-global-warming-evangelical/docview/403176030/se-2?accountid=13360,MO
430,cap_and_trade,"California governor turns to housing, rail after climate win","Ronayne, Kathleen","St. Louis Post - Dispatch; St. Louis, Mo.","Jul 23, 2017","St. Louis, Mo.",,News,https://www.proquest.com/newspapers/california-governor-turns-housing-rail-after/docview/1922282709/se-2?accountid=13360,MO
468,cap_and_trade,"Terrorists, dictators and climate change Our view Global warming threatens more than just the environment. OPINION",Anonymous,"St. Louis Post - Dispatch; St. Louis, Mo.","Aug 6, 2009","St. Louis, Mo.",,Editorial,https://www.proquest.com/newspapers/terrorists-dictators-climate-change-our-view/docview/403227063/se-2?accountid=13360,MO
493,cap_and_trade,Environment of contention,"Nelson, Annie","Columbia Daily Tribune; Columbia, Mo.","Jun 14, 2008","Columbia, Mo.",,,https://www.proquest.com/newspapers/environment-contention/docview/379297630/se-2?accountid=13360,MO
494,cap_and_trade,Clean break OUR VIEW | ENVIRONMENT,Anonymous,"St. Louis Post - Dispatch; St. Louis, Mo.","Jan 29, 2009","St. Louis, Mo.",,Editorial,https://www.proquest.com/newspapers/clean-break-our-view-environment/docview/403181693/se-2?accountid=13360,MO
496,cap_and_trade,Changing climate Our View | Environment,Anonymous,"St. Louis Post - Dispatch; St. Louis, Mo.","Feb 26, 2009","St. Louis, Mo.",,Editorial,https://www.proquest.com/newspapers/changing-climate-our-view-environment/docview/403197844/se-2?accountid=13360,MO
576,cap_and_trade,Environmental pragmatist? Energy & The Environment Rough Road Ahead for New President Inauguration Day,Anonymous,"St. Louis Post - Dispatch; St. Louis, Mo.","Jan 18, 2009","St. Louis, Mo.",,News,https://www.proquest.com/newspapers/environmental-pragmatist-energy-environment-rough/docview/403189677/se-2?accountid=13360,MO
581,cap_and_trade,Businesses quit U.S. Chamber over stance: Members part ways over environment.,Anonymous,"Columbia Daily Tribune; Columbia, Mo.","Oct 21, 2009","Columbia, Mo.",B.5,Business,https://www.proquest.com/newspapers/businesses-quit-u-s-chamber-over-stance/docview/733021098/se-2?accountid=13360,MO
600,cap_and_trade,Most GOP candidates flunk climate science,"Borenstein, Seth","St. Louis Post - Dispatch; St. Louis, Mo.","Nov 26, 2015","St. Louis, Mo.",,News,https://www.proquest.com/newspapers/most-gop-candidates-flunk-climate-science/docview/1736774067/se-2?accountid=13360,MO
614,cap_and_trade,A new day: [Third Edition],,"St. Louis Post - Dispatch; St. Louis, Mo.","Jan 9, 2007","St. Louis, Mo.",,Editorial,https://www.proquest.com/newspapers/new-day/docview/403069205/se-2?accountid=13360,MO
