previous_index,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
734,cap_and_trade,Keystone XL pipeline should be built,,"Hattiesburg American; Hattiesburg, Miss.","Feb 20, 2013","Hattiesburg, Miss.",,Editorials,https://www.proquest.com/newspapers/keystone-xl-pipeline-should-be-built/docview/1289021957/se-2?accountid=13360,MS
1994,cap_and_trade,GOP seeing climate change,,"The Clarion Ledger; Jackson, Miss.","Mar 14, 2015","Jackson, Miss.",11,A,https://www.proquest.com/newspapers/gop-seeing-climate-change/docview/1663351348/se-2?accountid=13360,MS
2575,cap_and_trade,Environmental policies likely to see changes with election of new president,"Kelly, Erin","Hattiesburg American; Hattiesburg, Miss.","Apr 20, 2008","Hattiesburg, Miss.",,Local News,https://www.proquest.com/newspapers/environmental-policies-likely-see-changes-with/docview/440525919/se-2?accountid=13360,MS
4245,cap_and_trade,GOP thinks the unthinkable: Victory,,"Hattiesburg American; Hattiesburg, Miss.","Aug 23, 2009","Hattiesburg, Miss.",,OPINION,https://www.proquest.com/newspapers/gop-thinks-unthinkable-victory/docview/440629285/se-2?accountid=13360,MS
4553,cap_and_trade,"Mississippi Steps: Proposed $43M program could create 4,800 jobs","Ayres, Jeff","The Clarion Ledger; Jackson, Miss.","Sep 16, 2009","Jackson, Miss.",,BIZ,https://www.proquest.com/newspapers/mississippi-steps-proposed-43m-program-could/docview/277565220/se-2?accountid=13360,MS
4776,cap_and_trade,Emissions cuts announced,"Ayres, Jeff","The Clarion Ledger; Jackson, Miss.","Jun 3, 2014","Jackson, Miss.",2,A,https://www.proquest.com/newspapers/emissions-cuts-announced/docview/1544774989/se-2?accountid=13360,MS
6010,carbon_tax,Keystone XL pipeline should be built,,"Hattiesburg American; Hattiesburg, Miss.","Feb 20, 2013","Hattiesburg, Miss.",,Editorials,https://www.proquest.com/newspapers/keystone-xl-pipeline-should-be-built/docview/1289021957/se-2?accountid=13360,MS
7006,carbon_tax,GOP seeing climate change,,"The Clarion Ledger; Jackson, Miss.","Mar 14, 2015","Jackson, Miss.",11,A,https://www.proquest.com/newspapers/gop-seeing-climate-change/docview/1663351348/se-2?accountid=13360,MS
7116,carbon_tax,Wicker joins boycott on nominee,Deborah Barfield Berry,"The Clarion Ledger; Jackson, Miss.","May 11, 2013","Jackson, Miss.",1,B,https://www.proquest.com/newspapers/wicker-joins-boycott-on-nominee/docview/1686113584/se-2?accountid=13360,MS
9749,gas_tax,Mississippi needs bipartisan solutions,,"The Clarion Ledger; Jackson, Miss.","Jan 14, 2017","Jackson, Miss.",A.8,Opinion,https://www.proquest.com/newspapers/mississippi-needs-bipartisan-solutions/docview/1858300330/se-2?accountid=13360,MS
10972,gas_tax,Sally Doty,,"The Clarion Ledger; Jackson, Miss.","Jun 3, 2018","Jackson, Miss.",C.4,Opinion,https://www.proquest.com/newspapers/sally-doty/docview/2048927425/se-2?accountid=13360,MS
11871,gas_tax,"Congress to tackle highways, education","Davis, Susan","The Clarion Ledger; Jackson, Miss.","Jul 5, 2015","Jackson, Miss.",3,B,https://www.proquest.com/newspapers/congress-tackle-highways-education/docview/1693521703/se-2?accountid=13360,MS
12205,gas_tax,Scott Waller,,"The Clarion Ledger; Jackson, Miss.","Sep 15, 2002","Jackson, Miss.",,BUSINESS,https://www.proquest.com/newspapers/scott-waller/docview/883332823/se-2?accountid=13360,MS
12547,gas_tax,Bridging the gap: Bipartisan approach to infrastructure needed,YOUR TURN; GOVS PHIL BRYANT; JOHN BEL EDWARDS,"The Clarion Ledger; Jackson, Miss.","May 6, 2018","Jackson, Miss.",C.2,Opinion,https://www.proquest.com/newspapers/bridging-gap/docview/2034932167/se-2?accountid=13360,MS
12550,gas_tax,"Senator: Hybrid, electric car tax a 'mistake'","Fowler, Sarah","The Clarion Ledger; Jackson, Miss.","Oct 17, 2018","Jackson, Miss.",A.4,News,https://www.proquest.com/newspapers/senator-hybrid-electric-car-tax-mistake/docview/2120663150/se-2?accountid=13360,MS
12567,gas_tax,"Hudson says hybrid, electric car tax 'mistake'","Fowler, Sarah","Hattiesburg American; Hattiesburg, Miss.","Oct 17, 2018","Hattiesburg, Miss.",A.4,News,https://www.proquest.com/newspapers/hudson-says-hybrid-electric-car-tax-mistake/docview/2120646861/se-2?accountid=13360,MS
14270,net_metering,"Advances in solar energy use, production celebrated","Mickens, Cassandra","The Clarion Ledger; Jackson, Miss.","Sep 18, 2011","Jackson, Miss.",,NEWS,https://www.proquest.com/newspapers/advances-solar-energy-use-production-celebrated/docview/898402254/se-2?accountid=13360,MS
14485,net_metering,Why solar booms in Trump country,"Gilpin, Lyndsey; INSIDECLIMATE NEWS","Hattiesburg American; Hattiesburg, Miss.","Nov 12, 2017","Hattiesburg, Miss.",B.7,Opinion,https://www.proquest.com/newspapers/why-solar-booms-trump-country/docview/1962716307/se-2?accountid=13360,MS
14486,net_metering,Why solar booms in Trump country,"Gilpin, Lyndsey; INSIDECLIMATE NEWS","The Clarion Ledger; Jackson, Miss.","Nov 12, 2017","Jackson, Miss.",C.2,Opinion,https://www.proquest.com/newspapers/why-solar-booms-trump-country/docview/1962717690/se-2?accountid=13360,MS
14500,net_metering,"Sierra Club, Miss. Power reach Kemper plant settlement","Gates, Jimmie E","The Clarion Ledger; Jackson, Miss.","Aug 5, 2014","Jackson, Miss.",1,A,https://www.proquest.com/newspapers/sierra-club-miss-power-reach-kemper-plant/docview/1551136537/se-2?accountid=13360,MS
14827,net_metering,Should you generate power on the roof?,,"The Clarion Ledger; Jackson, Miss.","May 29, 2017","Jackson, Miss.",A.10,Features,https://www.proquest.com/newspapers/should-you-generate-power-on-roof/docview/1903052884/se-2?accountid=13360,MS
14831,net_metering,6 vie for House District 4 office,"Lett, Mary","Hattiesburg American; Hattiesburg, Miss.","Oct 28, 2014","Hattiesburg, Miss.",1,A,https://www.proquest.com/newspapers/6-vie-house-district-4-office/docview/1617186069/se-2?accountid=13360,MS
