,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
174,cap_and_trade,Cap-and-trade legislation: Deep divide in Montana on next big policy issue,"Dennison, Mike","The Billings Gazette; Billings, Mont.","Feb 15, 2010","Billings, Mont.",,,https://www.proquest.com/newspapers/cap-trade-legislation-deep-divide-montana-on-next/docview/401172496/se-2?accountid=13360,MT
544,cap_and_trade,"New EPA rule will hurt economy, environment",,"Bozeman Daily Chronicle; Bozeman, Mont.","Nov 14, 2014","Bozeman, Mont.",A.6,Opinion,https://www.proquest.com/newspapers/new-epa-rule-will-hurt-economy-environment/docview/1624937419/se-2?accountid=13360,MT
976,cap_and_trade,"Next up: Energy, climate","Dennison, Mike","Missoulian; Missoula, Mont.","Feb 14, 2010","Missoula, Mont.",,,https://www.proquest.com/newspapers/next-up-energy-climate/docview/392290269/se-2?accountid=13360,MT
1145,cap_and_trade,Poor Great Falls,"Stevens, Robert T, Jr","Great Falls Tribune; Great Falls, Mont.","Dec 26, 2008","Great Falls, Mont.",,Viewpoints,https://www.proquest.com/newspapers/poor-great-falls/docview/441342618/se-2?accountid=13360,MT
1323,cap_and_trade,Appeals court throws out mercury emission standards for power plants,"Adams, John S","Great Falls Tribune; Great Falls, Mont.","Feb 9, 2008","Great Falls, Mont.",,A Section,https://www.proquest.com/newspapers/appeals-court-throws-out-mercury-emission/docview/441294082/se-2?accountid=13360,MT
1373,cap_and_trade,Dispirited Democrats,"Adams, John S","Great Falls Tribune; Great Falls, Mont.","Nov 9, 2014","Great Falls, Mont.",3,A,https://www.proquest.com/newspapers/dispirited-democrats/docview/1621943741/se-2?accountid=13360,MT
1759,cap_and_trade,Australian carbon tax on its way out,"McGuirk, Rod","Great Falls Tribune; Great Falls, Mont.","Jul 7, 2014","Great Falls, Mont.",5,A,https://www.proquest.com/newspapers/australian-carbon-tax-on-way-out/docview/1543308176/se-2?accountid=13360,MT
1830,cap_and_trade,OPINION,,"Bozeman Daily Chronicle; Bozeman, Mont.","Oct 24, 2010","Bozeman, Mont.",A.7,Opinion,https://www.proquest.com/newspapers/opinion/docview/759681980/se-2?accountid=13360,MT
1863,cap_and_trade,Company: Climate bill could bump energy costs,"Dennison, Mike","Missoulian; Missoula, Mont.","Aug 19, 2009","Missoula, Mont.",,,https://www.proquest.com/newspapers/company-climate-bill-could-bump-energy-costs/docview/392148796/se-2?accountid=13360,MT
1874,cap_and_trade,Climate bill prompts NWE letter of warning,"Dennison, Mike","The Billings Gazette; Billings, Mont.","Aug 19, 2009","Billings, Mont.",,,https://www.proquest.com/newspapers/climate-bill-prompts-nwe-letter-warning/docview/401172414/se-2?accountid=13360,MT
2473,cap_and_trade,"On our minds: Election, wolverines, candidates",,"Great Falls Tribune; Great Falls, Mont.","Oct 16, 2012","Great Falls, Mont.",,Viewpoints,https://www.proquest.com/newspapers/on-our-minds-election-wolverines-candidates/docview/1125565397/se-2?accountid=13360,MT
2807,cap_and_trade,LISTEN & ACT:,,"Bozeman Daily Chronicle; Bozeman, Mont.","Apr 14, 2011","Bozeman, Mont.",E.14,Earth Day,https://www.proquest.com/newspapers/listen-act/docview/864805094/se-2?accountid=13360,MT
2969,cap_and_trade,GOP hopefuls shift on global warming,,"Bozeman Daily Chronicle; Bozeman, Mont.","May 28, 2011","Bozeman, Mont.",A.4,Nation,https://www.proquest.com/newspapers/gop-hopefuls-shift-on-global-warming/docview/868910262/se-2?accountid=13360,MT
2989,cap_and_trade,Candidate Q&A,,"Great Falls Tribune; Great Falls, Mont.","Oct 12, 2014","Great Falls, Mont.",1,X,https://www.proquest.com/newspapers/candidate-q/docview/1610583408/se-2?accountid=13360,MT
2990,cap_and_trade,Candidate Q&A,,"Great Falls Tribune; Great Falls, Mont.","Oct 12, 2014","Great Falls, Mont.",12,X,https://www.proquest.com/newspapers/candidate-q/docview/1610583452/se-2?accountid=13360,MT
3031,cap_and_trade,"Interests, ideology and the global warming debate",,"Bozeman Daily Chronicle; Bozeman, Mont.","Jun 11, 2014","Bozeman, Mont.",A.6,Opinion,https://www.proquest.com/newspapers/interests-ideology-global-warming-debate/docview/1534511956/se-2?accountid=13360,MT
3347,cap_and_trade,Dog owner's guilt: pet's 'footprint' much too big,,"Bozeman Daily Chronicle; Bozeman, Mont.","Jan 10, 2010","Bozeman, Mont.",A.6,Opinion,https://www.proquest.com/newspapers/dog-owners-guilt-pets-footprint-much-too-big/docview/238538458/se-2?accountid=13360,MT
3768,cap_and_trade,Rehberg's 'facts' show he must be getting desperate,,"Bozeman Daily Chronicle; Bozeman, Mont.","Oct 4, 2012","Bozeman, Mont.",A.6,Opinion,https://www.proquest.com/newspapers/rehbergs-facts-show-he-must-be-getting-desperate/docview/1082258375/se-2?accountid=13360,MT
3819,cap_and_trade,Climate roles,"Owen, Richard","Great Falls Tribune; Great Falls, Mont.","Nov 24, 2009","Great Falls, Mont.",,Viewpoints,https://www.proquest.com/newspapers/climate-roles/docview/441402909/se-2?accountid=13360,MT
3843,cap_and_trade,EPA and CO2: EPA AND CO2,"Squires, P Joan","Great Falls Tribune; Great Falls, Mont.","Jul 13, 2011","Great Falls, Mont.",,Viewpoints,https://www.proquest.com/newspapers/epa-co2/docview/876262061/se-2?accountid=13360,MT
3950,cap_and_trade,Scholar discusses 'crisis' of pro-climate change campaign,"Russell, Lauren","Bozeman Daily Chronicle; Bozeman, Mont.","Feb 19, 2010","Bozeman, Mont.",C.1,The Big Sky,https://www.proquest.com/newspapers/scholar-discusses-crisis-pro-climate-change/docview/238570425/se-2?accountid=13360,MT
4050,cap_and_trade,Guest opinion: How to win against climate change,"Byron, Robert","The Billings Gazette; Billings, Mont.","Oct 27, 2018","Billings, Mont.",,Columnists,https://www.proquest.com/newspapers/guest-opinion-how-win-against-climate-change/docview/2183938201/se-2?accountid=13360,MT
4210,cap_and_trade,'SEEKING THE EDGE',"Gibney, Michael","Bozeman Daily Chronicle; Bozeman, Mont.","Feb 11, 2010","Bozeman, Mont.",A.3,The Big Sky,https://www.proquest.com/newspapers/seeking-edge/docview/238520559/se-2?accountid=13360,MT
4907,cap_and_trade,Obama wants to understand climate change?,"MacCracken, Michael","Great Falls Tribune; Great Falls, Mont.","Dec 8, 2012","Great Falls, Mont.",,Opinion,https://www.proquest.com/newspapers/obama-wants-understand-climate-change/docview/1237095933/se-2?accountid=13360,MT
4967,cap_and_trade,ROUNDUP'S MINE REVIVAL,"Falstad, Jan","The Billings Gazette; Billings, Mont.","Sep 3, 2009","Billings, Mont.",,,https://www.proquest.com/newspapers/roundups-mine-revival/docview/401171173/se-2?accountid=13360,MT
