,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
74,cap_and_trade,Support cap and trade,,"The Dispatch; Lexington, N.C.","Jun 4, 2013","Lexington, N.C.",,,https://www.proquest.com/newspapers/support-cap-trade/docview/1364544330/se-2?accountid=13360,NC
327,cap_and_trade,"ONE ENVIRONMENT, TWO POLITICAL VIEWS ENVIRONMENT COULD PALY KEY ROLE IN ELECTION","Ball, Julie","Asheville Citizen - Times; Asheville, N.C.","Oct 26, 2004","Asheville, N.C.",,NEWS,https://www.proquest.com/newspapers/one-environment-two-political-views-could-paly/docview/438644929/se-2?accountid=13360,NC
515,cap_and_trade,GOP is leading charge to despoil environment,WAYNE MADSEN McClatchy-Tribune News Service,"Times News; Hendersonville, N.C.","Dec 27, 2009","Hendersonville, N.C.",,,https://www.proquest.com/newspapers/gop-is-leading-charge-despoil-environment/docview/435358822/se-2?accountid=13360,NC
534,cap_and_trade,RESPONSES TO THE ENVIRONMENT QUESTIONNAIRE,,"Asheville Citizen - Times; Asheville, N.C.","Sep 8, 2002","Asheville, N.C.",,EDITORIAL,https://www.proquest.com/newspapers/responses-environment-questionnaire/docview/882113918/se-2?accountid=13360,NC
592,cap_and_trade,"This baby is just plain ugly, folks",Anonymous,"Star - News; Wilmington, N.C.","Jun 26, 2007","Wilmington, N.C.",,,https://www.proquest.com/newspapers/this-baby-is-just-plain-ugly-folks/docview/285577499/se-2?accountid=13360,NC
681,cap_and_trade,"Miller: Defund health care reform; freeze government hiring except for Defense, VA",Leigh Kelley Writer,"Times News; Hendersonville, N.C.","Oct 24, 2010","Hendersonville, N.C.",,,https://www.proquest.com/newspapers/miller-defund-health-care-reform-freeze/docview/759691041/se-2?accountid=13360,NC
732,cap_and_trade,Conservatives need conservation refresher course Conservatives need conservation refresher course,,"Times News; Hendersonville, N.C.","Jun 10, 2012","Hendersonville, N.C.",,,https://www.proquest.com/newspapers/conservatives-need-conservation-refresher-course/docview/1019433933/se-2?accountid=13360,NC
780,cap_and_trade,Climate change poses threat,,"The Dispatch; Lexington, N.C.","May 8, 2014","Lexington, N.C.",,,https://www.proquest.com/newspapers/climate-change-poses-threat/docview/1522289844/se-2?accountid=13360,NC
800,cap_and_trade,A Real Solution to Global Warming,Anonymous,"Star - News; Wilmington, N.C.","Apr 16, 2009","Wilmington, N.C.",,,https://www.proquest.com/newspapers/real-solution-global-warming/docview/285619178/se-2?accountid=13360,NC
884,cap_and_trade,Environmentalism: The new altar for socialism,Anonymous,"Times News; Hendersonville, N.C.","Dec 13, 2009","Hendersonville, N.C.",,,https://www.proquest.com/newspapers/environmentalism-new-altar-socialism/docview/435366488/se-2?accountid=13360,NC
1033,cap_and_trade,"Is reality setting in on global warming?: The EU, unable to bring its own member nations in line, also is frustrated with the lack of progress in the U.S.",Anonymous,"Times - News; Burlington, N.C.","Oct 14, 2009","Burlington, N.C.",4,Opinion,https://www.proquest.com/newspapers/is-reality-setting-on-global-warming/docview/378959855/se-2?accountid=13360,NC
1202,cap_and_trade,"ONE DOWN, ONE TO GO ON CLEAN AIR VICTORIES",,"Asheville Citizen - Times; Asheville, N.C.","Jul 18, 2008","Asheville, N.C.",A.6,News,https://www.proquest.com/newspapers/one-down-go-on-clean-air-victories/docview/1471876595/se-2?accountid=13360,NC
1209,cap_and_trade,"ONE DOWN, ONE TO GO ON CLEAN AIR VICTORIES",,"Asheville Citizen - Times; Asheville, N.C.","Jul 18, 2008","Asheville, N.C.",,News,https://www.proquest.com/newspapers/one-down-go-on-clean-air-victories/docview/438767290/se-2?accountid=13360,NC
1255,cap_and_trade,"WASHINGTON - In the fall of 1997, when the Clinton administration was forming [Derived Headline]","Broder, John M","Times News; Hendersonville, N.C.","Jan 3, 2009","Hendersonville, N.C.",,,https://www.proquest.com/newspapers/washington-fall-1997-when-clinton-administration/docview/435299576/se-2?accountid=13360,NC
1422,cap_and_trade,"Letters to the Editor July 10, 2009",Anonymous,"Star - News; Wilmington, N.C.","Jul 9, 2009","Wilmington, N.C.",,,https://www.proquest.com/newspapers/letters-editor-july-10-2009/docview/285640050/se-2?accountid=13360,NC
1466,cap_and_trade,"Letters to the editor, Nov. 15, 2010",Anonymous,"Star - News; Wilmington, N.C.","Nov 15, 2010","Wilmington, N.C.",,,https://www.proquest.com/newspapers/letters-editor-nov-15-2010/docview/768358198/se-2?accountid=13360,NC
1473,cap_and_trade,Wednesday's letters: Church reopening,,"Times News; Hendersonville, N.C.","Mar 19, 2014","Hendersonville, N.C.",,,https://www.proquest.com/newspapers/wednesdays-letters-church-reopening/docview/1508554105/se-2?accountid=13360,NC
