previous_index,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
95,cap_and_trade,"Reduce our CO2, yes ... but cap-and-trade, no",U.S. SEN. BYRON DORGAN,"Bismarck Tribune; Bismarck, ND","Jul 19, 2009","Bismarck, N.D.",C.6,Opinion,https://www.proquest.com/newspapers/reduce-our-co2-yes-cap-trade-no/docview/339173086/se-2?accountid=13360,ND
201,cap_and_trade,Kalk speaks out against 'cap-and-trade',"Duggan, Brian","Bismarck Tribune; Bismarck, ND","Jul 15, 2009","Bismarck, N.D.",B.1,Dakota Wire,https://www.proquest.com/newspapers/kalk-speaks-out-against-cap-trade/docview/339207454/se-2?accountid=13360,ND
257,cap_and_trade,Failure of cap and trade leaves utilities waiting for a policy,"Bjorke, Christopher","Bismarck Tribune; Bismarck, ND","Aug 1, 2010","Bismarck, N.D.",B.1,Money,https://www.proquest.com/newspapers/failure-cap-trade-leaves-utilities-waiting-policy/docview/734547713/se-2?accountid=13360,ND
460,cap_and_trade,An energy policy is essential,Anonymous,"Bismarck Tribune; Bismarck, ND","May 24, 2009","Bismarck, N.D.",C.6,Opinion,https://www.proquest.com/newspapers/energy-policy-is-essential/docview/339207528/se-2?accountid=13360,ND
462,cap_and_trade,Memo to new Congress: Don't take the renewable mandate bait,NICOLAS LORIS AND JACK SPENCER,"Bismarck Tribune; Bismarck, ND","Nov 8, 2010","Bismarck, N.D.",A.6,Opinion,https://www.proquest.com/newspapers/memo-new-congress-dont-take-renewable-mandate/docview/762742607/se-2?accountid=13360,ND
464,cap_and_trade,An energy policy is essential,Anonymous,"Bismarck Tribune; Bismarck, ND","May 24, 2009","Bismarck, N.D.",C.6,Opinion,https://www.proquest.com/newspapers/energy-policy-is-essential/docview/339206872/se-2?accountid=13360,ND
558,cap_and_trade,Pope Francis' call to action goes beyond the environment,,"Bismarck Tribune; Bismarck, ND","Jun 23, 2015","Bismarck, N.D.",5,A,https://www.proquest.com/newspapers/pope-francis-call-action-goes-beyond-environment/docview/1690457135/se-2?accountid=13360,ND
605,cap_and_trade,It's easy to sit in North Dakota and have the conservative... [Derived Headline],Anonymous,"Bismarck Tribune; Bismarck, ND","Dec 19, 2009","Bismarck, N.D.",1.A.0,Opinion,https://www.proquest.com/newspapers/easy-sit-north-dakota-have-conservative-derived/docview/339286564/se-2?accountid=13360,ND
640,cap_and_trade,Follow North Dakota on energy,"Miller, Jeff","Bismarck Tribune; Bismarck, ND","Aug 20, 2010","Bismarck, N.D.",A.10,Opinion,https://www.proquest.com/newspapers/follow-north-dakota-on-energy/docview/746584622/se-2?accountid=13360,ND
653,cap_and_trade,Democratic leaders in Congress who confidently... [Derived Headline],,"Bismarck Tribune; Bismarck, ND","Oct 19, 2007","Bismarck, N.D.",,Money,https://www.proquest.com/newspapers/democratic-leaders-congress-who-confidently/docview/339074471/se-2?accountid=13360,ND
666,cap_and_trade,Tribune editorial:Timing is everything for clean coal,Anonymous,"Bismarck Tribune; Bismarck, ND","Apr 24, 2009","Bismarck, N.D.",1.A.0,Opinion,https://www.proquest.com/newspapers/tribune-editorial-timing-is-everything-clean-coal/docview/339194413/se-2?accountid=13360,ND
735,cap_and_trade,Planet hidden on national ballot,,"Bismarck Tribune; Bismarck, ND","Mar 6, 2016","Bismarck, N.D.",6,C,https://www.proquest.com/newspapers/planet-hidden-on-national-ballot/docview/1772058785/se-2?accountid=13360,ND
781,cap_and_trade,Cramer has done a good job,Anonymous,"Bismarck Tribune; Bismarck, ND","Oct 12, 2010","Bismarck, N.D.",A.6,Opinion,https://www.proquest.com/newspapers/cramer-has-done-good-job/docview/757376890/se-2?accountid=13360,ND
993,cap_and_trade,BRIEFLY,,"Bismarck Tribune; Bismarck, ND","Feb 9, 2008","Bismarck, N.D.",,Wire,https://www.proquest.com/newspapers/briefly/docview/339102012/se-2?accountid=13360,ND
1113,cap_and_trade,Pope's encyclical neglects practical strategies,"Brooks, David","Bismarck Tribune; Bismarck, ND","Jun 28, 2015","Bismarck, N.D.",8,C,https://www.proquest.com/newspapers/popes-encyclical-neglects-practical-strategies/docview/1691497648/se-2?accountid=13360,ND
1392,cap_and_trade,Trusting in EPA tests faith in system,Anonymous,"Bismarck Tribune; Bismarck, ND","Apr 1, 2010","Bismarck, N.D.",1.A.0,Opinion,https://www.proquest.com/newspapers/trusting-epa-tests-faith-system/docview/339212134/se-2?accountid=13360,ND
1623,cap_and_trade,Hoeven pushes balanced energy policy,BRIANDUGGAN,"Bismarck Tribune; Bismarck, ND","Jul 22, 2009","Bismarck, N.D.",,Dakota Wire,https://www.proquest.com/newspapers/hoeven-pushes-balanced-energy-policy/docview/339199581/se-2?accountid=13360,ND
1628,cap_and_trade,"Crabtree, Cramer spar over Big Stone II","Beitsch, Rebecca","Bismarck Tribune; Bismarck, ND","Jun 26, 2010","Bismarck, N.D.",B.1,Dakota Wire,https://www.proquest.com/newspapers/crabtree-cramer-spar-over-big-stone-ii/docview/521305515/se-2?accountid=13360,ND
1688,cap_and_trade,Baesler has made education her life,"Boeckel, Steffanie; Carlson, Kelly; Herzog, Thomas; Berube, Gary; Huff, Ron; BURGUM, DOUG; Taylor, Marc; Carlson, Clare; YOCKIM, JAMES; RICK ROSSMAX CLELAND","Bismarck Tribune; Bismarck, ND","Nov 2, 2012","Bismarck, N.D.",A.8,Opinion,https://www.proquest.com/newspapers/baesler-has-made-education-her-life/docview/1125375064/se-2?accountid=13360,ND
1817,cap_and_trade,Conference to look at renewable energy,"Duggan, Brian","Bismarck Tribune; Bismarck, ND","Jun 19, 2009","Bismarck, N.D.",,Dakota Wire,https://www.proquest.com/newspapers/conference-look-at-renewable-energy/docview/339163714/se-2?accountid=13360,ND
2061,cap_and_trade,Hoeven to testify against measure,"Duggan, Brian","Bismarck Tribune; Bismarck, ND","Jul 21, 2009","Bismarck, N.D.",B.1,Dakota Wire,https://www.proquest.com/newspapers/hoeven-testify-against-measure/docview/339200406/se-2?accountid=13360,ND
2084,cap_and_trade,We've got energy to spare,Anonymous,"Bismarck Tribune; Bismarck, ND","Jan 31, 2010","Bismarck, N.D.",C.6,Opinion,https://www.proquest.com/newspapers/weve-got-energy-spare/docview/339189643/se-2?accountid=13360,ND
2221,cap_and_trade,The time to create an effective climate policy is now,"Carlson, Robert","Bismarck Tribune; Bismarck, ND","May 18, 2009","Bismarck, N.D.",A.6,Opinion,https://www.proquest.com/newspapers/time-create-effective-climate-policy-is-now/docview/339157544/se-2?accountid=13360,ND
