previous_index,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
672,cap_and_trade,LETTERS TO THE EDITOR,Anonymous,"Lincoln Journal Star; Lincoln, Neb.","Apr 14, 2009","Lincoln, Neb.",,,https://www.proquest.com/newspapers/letters-editor/docview/248303398/se-2?accountid=13360,NE
810,cap_and_trade,Value of a few media voices,"Walton, Don","Lincoln Journal Star; Lincoln, Neb.","Jan 31, 2011","Lincoln, Neb.",B.1,Local,https://www.proquest.com/newspapers/value-few-media-voices/docview/848418751/se-2?accountid=13360,NE
1227,cap_and_trade,Bit early to count Nelson out,"Walton, Don","Lincoln Journal Star; Lincoln, Neb.","Jan 18, 2010","Lincoln, Neb.",B.1,Local,https://www.proquest.com/newspapers/bit-early-count-nelson-out/docview/248171447/se-2?accountid=13360,NE
1446,cap_and_trade,LETTERS TO THE EDITOR,Anonymous,"Lincoln Journal Star; Lincoln, Neb.","Jul 9, 2009","Lincoln, Neb.",B.7,Opinion,https://www.proquest.com/newspapers/letters-editor/docview/248201252/se-2?accountid=13360,NE
3097,cap_and_trade,LETTERS TO THE EDITOR,Anonymous,"Lincoln Journal Star; Lincoln, Neb.","Mar 2, 2009","Lincoln, Neb.",B.5,Opinion,https://www.proquest.com/newspapers/letters-editor/docview/248148833/se-2?accountid=13360,NE
7291,carbon_tax,Nebraska Public Power District,Anonymous,"Lincoln Journal Star; Lincoln, Neb.","May 6, 2008","Lincoln, Neb.",16,X,https://www.proquest.com/newspapers/nebraska-public-power-district/docview/248331752/se-2?accountid=13360,NE
9396,gas_tax,LETTERS TO THE EDITOR,Anonymous,"Lincoln Journal Star; Lincoln, Neb.","Apr 11, 2011","Lincoln, Neb.",B.6,Opinion,https://www.proquest.com/newspapers/letters-editor/docview/861231728/se-2?accountid=13360,NE
9845,gas_tax,LEGISLATURE,Anonymous,"Lincoln Journal Star; Lincoln, Neb.","Oct 30, 2008","Lincoln, Neb.",E.10,2008 Voter's Guide,https://www.proquest.com/newspapers/legislature/docview/248223937/se-2?accountid=13360,NE
9946,gas_tax,Public Works' $17 million proposal to centralize operations questioned: [City Edition],"Jenkins, Nate","Lincoln Journal Star; Lincoln, Neb.","Apr 10, 2002","Lincoln, Neb.",,A,https://www.proquest.com/newspapers/public-works-17-million-proposal-centralize/docview/247883626/se-2?accountid=13360,NE
10033,gas_tax,Letters to the editor: [City Edition],,"Lincoln Journal Star; Lincoln, Neb.","Aug 1, 2004","Lincoln, Neb.",,E,https://www.proquest.com/newspapers/letters-editor/docview/248043855/se-2?accountid=13360,NE
10187,gas_tax,Letters: [City Edition],,"Lincoln Journal Star; Lincoln, Neb.","Sep 9, 2005","Lincoln, Neb.",,B,https://www.proquest.com/newspapers/letters/docview/248169479/se-2?accountid=13360,NE
10206,gas_tax,State Fair is issue the people deserve to decide,JO ROHRER GUTGSELL,"Lincoln Journal Star; Lincoln, Neb.","Jul 10, 2008","Lincoln, Neb.",B.5,Opinion,https://www.proquest.com/newspapers/state-fair-is-issue-people-deserve-decide/docview/248210914/se-2?accountid=13360,NE
10209,gas_tax,"State fair, smoke ban highlight '08 session","Hicks, Nancy","Lincoln Journal Star; Lincoln, Neb.","Apr 20, 2008","Lincoln, Neb.",1,B,https://www.proquest.com/newspapers/state-fair-smoke-ban-highlight-08-session/docview/248307533/se-2?accountid=13360,NE
10441,gas_tax,120 years ago: [City Edition],,"Lincoln Journal Star; Lincoln, Neb.","Feb 9, 1997","Lincoln, Neb.",,J,https://www.proquest.com/newspapers/120-years-ago/docview/247720999/se-2?accountid=13360,NE
10618,gas_tax,130 Years Ago: [City Edition],,"Lincoln Journal Star; Lincoln, Neb.","Feb 4, 2007","Lincoln, Neb.",,B,https://www.proquest.com/newspapers/130-years-ago/docview/248216828/se-2?accountid=13360,NE
10808,gas_tax,Six minutes to impress: [City Edition],"Winter, Deena","Lincoln Journal Star; Lincoln, Neb.","Feb 21, 2007","Lincoln, Neb.",,B,https://www.proquest.com/newspapers/six-minutes-impress/docview/248181389/se-2?accountid=13360,NE
11900,gas_tax,City to target 2 areas in resurfacing plans: [City Edition],"Andersen, Mark","Lincoln Journal Star; Lincoln, Neb.","Mar 9, 1999","Lincoln, Neb.",,B,https://www.proquest.com/newspapers/city-target-2-areas-resurfacing-plans/docview/247833179/se-2?accountid=13360,NE
12126,gas_tax,"It's all about jobs, education and no tax increases, governor says","O'Hanlon, Kevin","Lincoln Journal Star; Lincoln, Neb.","Jan 14, 2011","Lincoln, Neb.",A.1,Front Page,https://www.proquest.com/newspapers/all-about-jobs-education-no-tax-increases/docview/839737157/se-2?accountid=13360,NE
12139,gas_tax,"For our nation's long-term good, let's get off foreign oil: [City Edition]","Evans, Steve","Lincoln Journal Star; Lincoln, Neb.","Mar 25, 2000","Lincoln, Neb.",,A,https://www.proquest.com/newspapers/our-nations-long-term-good-lets-get-off-foreign/docview/247805944/se-2?accountid=13360,NE
12302,gas_tax,"Residents pay more, get more for taxes: [City Edition]","Stoddard, Martha","Lincoln Journal Star; Lincoln, Neb.","Aug 31, 1999","Lincoln, Neb.",,B,https://www.proquest.com/newspapers/residents-pay-more-get-taxes/docview/247811665/se-2?accountid=13360,NE
12441,gas_tax,Letters: [City Edition],,"Lincoln Journal Star; Lincoln, Neb.","Sep 7, 2004","Lincoln, Neb.",,B,https://www.proquest.com/newspapers/letters/docview/248061969/se-2?accountid=13360,NE
12520,gas_tax,$75 alternative fuel fee surprises hybrid car owner: [City Edition],"Laukaitis, Algis J","Lincoln Journal Star; Lincoln, Neb.","Jan 29, 2004","Lincoln, Neb.",,A,https://www.proquest.com/newspapers/75-alternative-fuel-fee-surprises-hybrid-car/docview/248054618/se-2?accountid=13360,NE
13383,gas_tax,Letters to the editor: [City Edition],,"Lincoln Journal Star; Lincoln, Neb.","Mar 9, 2003","Lincoln, Neb.",,E,https://www.proquest.com/newspapers/letters-editor/docview/248019146/se-2?accountid=13360,NE
14520,net_metering,Couple among first in city to embrace solar energy,,"Lincoln Journal Star; Lincoln, Neb.","Jun 21, 2012","Lincoln, Neb.",B.1,News,https://www.proquest.com/newspapers/couple-among-first-city-embrace-solar-energy/docview/1021344642/se-2?accountid=13360,NE
14575,net_metering,Old laws obstruct new energy concepts,Anonymous,"Lincoln Journal Star; Lincoln, Neb.","Aug 31, 2008","Lincoln, Neb.",F.4,Opinion,https://www.proquest.com/newspapers/old-laws-obstruct-new-energy-concepts/docview/248212273/se-2?accountid=13360,NE
14579,net_metering,There are financial rewards for going green: [City Edition],EarthTalk,"Lincoln Journal Star; Lincoln, Neb.","Aug 23, 2007","Lincoln, Neb.",,C,https://www.proquest.com/newspapers/there-are-financial-rewards-going-green/docview/248124819/se-2?accountid=13360,NE
15171,RPS,Clean energy legislation will help protect our freedom,"Toribio, Ed","Lincoln Journal Star; Lincoln, Neb.","Jul 21, 2010","Lincoln, Neb.",B.7,Opinion,https://www.proquest.com/newspapers/clean-energy-legislation-will-help-protect-our/docview/618712878/se-2?accountid=13360,NE
