previous_index,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
62,cap_and_trade,"Energy bill creates jobs, Corzine tells panel: GOP critics say 'cap and trade strategy' will backfire","Jackson, Herb; WASHINGTON CORRESPONDENT","The Record; Bergen County, N.J.","Jul 22, 2009","Bergen County, N.J.",A.5,NEWS,https://www.proquest.com/newspapers/energy-bill-creates-jobs-corzine-tells-panel/docview/426625601/se-2?accountid=13360,NJ
100,cap_and_trade,OF CAP AND TRADE AND A REGGIE BAR,"Doblin, Alfred P","The Record; Bergen County, N.J.","May 30, 2011","Bergen County, N.J.",A.13,OPINION,https://www.proquest.com/newspapers/cap-trade-reggie-bar/docview/869170753/se-2?accountid=13360,NJ
121,cap_and_trade,Christie adamant about cap-and-trade exit,"Jordan, Bob","Asbury Park Press; Asbury Park, N.J.","Aug 23, 2011","Asbury Park, N.J.",3,A,https://www.proquest.com/newspapers/christie-adamant-about-cap-trade-exit/docview/1317097949/se-2?accountid=13360,NJ
132,cap_and_trade,Pullout from cap-and-trade program prompts lawsuit,"Jordan, Bob","Asbury Park Press; Asbury Park, N.J.","Jun 7, 2012","Asbury Park, N.J.",,NJ Politics,https://www.proquest.com/newspapers/pullout-cap-trade-program-prompts-lawsuit/docview/1019397204/se-2?accountid=13360,NJ
134,cap_and_trade,Dems at odds with Christie over cap-and-trade,"Jordan, Bob","Asbury Park Press; Asbury Park, N.J.","Feb 29, 2012","Asbury Park, N.J.",3,A,https://www.proquest.com/newspapers/dems-at-odds-with-christie-over-cap-trade/docview/1316847019/se-2?accountid=13360,NJ
135,cap_and_trade,Dems at odds with Christie over cap-and-trade,"Jordan, Bob","Asbury Park Press; Asbury Park, N.J.","Feb 29, 2012","Asbury Park, N.J.",,NJNEWS,https://www.proquest.com/newspapers/dems-at-odds-with-christie-over-cap-trade/docview/923991534/se-2?accountid=13360,NJ
138,cap_and_trade,Pullout from cap-and-trade program prompts lawsuit,"Jordan, Bob","Home News Tribune; East Brunswick, N.J.","Jun 6, 2012","East Brunswick, N.J.",,News,https://www.proquest.com/newspapers/pullout-cap-trade-program-prompts-lawsuit/docview/1019400610/se-2?accountid=13360,NJ
143,cap_and_trade,Dems at odds with Christie over cap-and-trade,"Jordan, Bob","Home News Tribune; East Brunswick, N.J.","Feb 28, 2012","East Brunswick, N.J.",,NJNEWS,https://www.proquest.com/newspapers/dems-at-odds-with-christie-over-cap-trade/docview/923980808/se-2?accountid=13360,NJ
216,cap_and_trade,Cap and trade legislation is good for New Jersey,,"Daily Record; Morristown, N.J.","Jun 29, 2014","Morristown, N.J.",4,AA,https://www.proquest.com/newspapers/cap-trade-legislation-is-good-new-jersey/docview/1541205534/se-2?accountid=13360,NJ
222,cap_and_trade,Cap and trade legislation is good for New Jersey,,"Courier - News; Bridgewater, N.J.","Jun 29, 2014","Bridgewater, N.J.",3,E,https://www.proquest.com/newspapers/cap-trade-legislation-is-good-new-jersey/docview/1541207318/se-2?accountid=13360,NJ
223,cap_and_trade,Cap and trade legislation is good for New Jersey,,"Home News Tribune; East Brunswick, N.J.","Jun 29, 2014","East Brunswick, N.J.",3,F,https://www.proquest.com/newspapers/cap-trade-legislation-is-good-new-jersey/docview/1541205586/se-2?accountid=13360,NJ
356,cap_and_trade,It's our planet U: .S. takes a leadership role on the environment,Anonymous,"The Record; Bergen County, N.J.","Apr 22, 2009","Bergen County, N.J.",A.12,OPINION,https://www.proquest.com/newspapers/our-planet-u/docview/426603295/se-2?accountid=13360,NJ
380,cap_and_trade,First Environment in Boonton finds it hard toconvince small,"O'Reiley, Tim","Daily Record; Morristown, N.J.","Oct 3, 2005","Morristown, N.J.",,,https://www.proquest.com/newspapers/first-environment-boonton-finds-hard-toconvince/docview/439279708/se-2?accountid=13360,NJ
407,cap_and_trade,WHERE THEY STAND: PRESIDENTIAL ISSUES: THE ENVIRONMENT,"O'Neill, James M; Staff Writer 1 1  Staff Writer 
","The Record; Bergen County, N.J.","Oct 19, 2008","Bergen County, N.J.",A.1,NEWS,https://www.proquest.com/newspapers/where-they-stand/docview/426573386/se-2?accountid=13360,NJ
453,cap_and_trade,ENVIRONMENT SO FAR TAKING A BACK SEAT,"Fallon, Scott","The Record; Bergen County, N.J.","Oct 22, 2012","Bergen County, N.J.",A.1,NEWS,https://www.proquest.com/newspapers/environment-so-far-taking-back-seat/docview/1114334090/se-2?accountid=13360,NJ
469,cap_and_trade,Where North Jersey's congressional candidates stand,Anonymous,"The Record; Bergen County, N.J.","Oct 25, 2008","Bergen County, N.J.",L.3,LOCAL,https://www.proquest.com/newspapers/where-north-jerseys-congressional-candidates/docview/426576683/se-2?accountid=13360,NJ
501,cap_and_trade,NEW ASSEMBLY WATCHDOG FOR ENVIRONMENT LAUDED,"O'Neill, James M","The Record; Bergen County, N.J.","Sep 10, 2016","Bergen County, N.J.",L.5,LOCAL,https://www.proquest.com/newspapers/new-assembly-watchdog-environment-lauded/docview/1818228554/se-2?accountid=13360,NJ
509,cap_and_trade,N.J. fighting back on environment,,"Daily Record; Morristown, N.J.","Feb 3, 2018","Morristown, N.J.",B.1,Opinion,https://www.proquest.com/newspapers/n-j-fighting-back-on-environment/docview/1993540882/se-2?accountid=13360,NJ
510,cap_and_trade,NJ fighting back on environment,,"Courier - News; Bridgewater, N.J.","Feb 3, 2018","Bridgewater, N.J.",A.4,Opinion,https://www.proquest.com/newspapers/nj-fighting-back-on-environment/docview/1993534873/se-2?accountid=13360,NJ
511,cap_and_trade,180-degree turn on environment,,"Asbury Park Press; Asbury Park, N.J.","Feb 7, 2018","Asbury Park, N.J.",A.1,Opinion,https://www.proquest.com/newspapers/180-degree-turn-on-environment/docview/1994601714/se-2?accountid=13360,NJ
520,cap_and_trade,Christie remains enemy of the environment,,"Courier - News; Bridgewater, N.J.","Jan 21, 2016","Bridgewater, N.J.",A.4,Opinion,https://www.proquest.com/newspapers/christie-remains-enemy-environment/docview/1758399718/se-2?accountid=13360,NJ
526,cap_and_trade,"Gov, environment are a bad match",,"Courier - News; Bridgewater, N.J.","Sep 17, 2014","Bridgewater, N.J.",4,A,https://www.proquest.com/newspapers/gov-environment-are-bad-match/docview/1562644285/se-2?accountid=13360,NJ
527,cap_and_trade,180-degree turn on N.J. environment,,"Courier Post; Cherry Hill, N.J.","Feb 9, 2018","Cherry Hill, N.J.",A.6,Opinion,https://www.proquest.com/newspapers/180-degree-turn-on-n-j-environment/docview/1999497320/se-2?accountid=13360,NJ
531,cap_and_trade,Gov. Murphy is champion of the environment,,"The Record; Bergen County, N.J.","Feb 1, 2018","Bergen County, N.J.",A.1,Opinion,https://www.proquest.com/newspapers/gov-murphy-is-champion-environment/docview/1993171936/se-2?accountid=13360,NJ
546,cap_and_trade,180-degree turn on N.J. environment,,"Daily Journal; Vineland, N.J.","Feb 9, 2018","Vineland, N.J.",B.4,Opinion,https://www.proquest.com/newspapers/180-degree-turn-on-n-j-environment/docview/1999510394/se-2?accountid=13360,NJ
549,cap_and_trade,Grading Gov. Murphy's work on environment,"Zimmer, Russ","Daily Journal; Vineland, N.J.","Feb 2, 2019","Vineland, N.J.",A.5,News,https://www.proquest.com/newspapers/grading-gov-murphys-work-on-environment/docview/2175011369/se-2?accountid=13360,NJ
679,cap_and_trade,A CHANCE TO MOLD NATIONAL ENERGY POLICY,"Whitman, Christie","The Record; Bergen County, N.J.","Jun 30, 2010","Bergen County, N.J.",A.21,OPINION,https://www.proquest.com/newspapers/chance-mold-national-energy-policy/docview/603900537/se-2?accountid=13360,NJ
682,cap_and_trade,"Global warming study may be strongest yet ; Predicts hot, unpredictable weather in North by 2030: [All Editions]","BILL LAMBRECHT, ST. LOUIS POST-DISPATCH","The Record; Bergen County, N.J.","Jan 28, 2007","Bergen County, N.J.",,NEWS,https://www.proquest.com/newspapers/global-warming-study-may-be-strongest-yet/docview/426376375/se-2?accountid=13360,NJ
706,cap_and_trade,WHERE THEY STAND ; Positions of candidates actively campaigning in Tuesday's presidential primaries DEMOCRATS REPUBLICANS: [All Editions],"Elise Young, Adrienne Lu and John Reitmeyer","The Record; Bergen County, N.J.","Feb 3, 2008","Bergen County, N.J.",,NEWS,https://www.proquest.com/newspapers/where-they-stand-positions-candidates-actively/docview/426512312/se-2?accountid=13360,NJ
749,cap_and_trade,Christie: N.J. to quit greenhouse gas accord,"Jordan, Bob","Asbury Park Press; Asbury Park, N.J.","May 27, 2011","Asbury Park, N.J.",2,A,https://www.proquest.com/newspapers/christie-n-j-quit-greenhouse-gas-accord/docview/1317096714/se-2?accountid=13360,NJ
762,cap_and_trade,DEMOCRATS TO INVOKE OIL SPILL IN HOUSE RACES,"Friedman, Matt","The Record; Bergen County, N.J.","Aug 9, 2010","Bergen County, N.J.",A.3,NEWS,https://www.proquest.com/newspapers/democrats-invoke-oil-spill-house-races/docview/744209290/se-2?accountid=13360,NJ
824,cap_and_trade,More debate ahead on emissions ; State trails others on greenhouse gas rules: [All Editions],"Diskin, Colleen","The Record; Bergen County, N.J.","Aug 17, 2007","Bergen County, N.J.",,LOCAL,https://www.proquest.com/newspapers/more-debate-ahead-on-emissions-state-trails/docview/426445304/se-2?accountid=13360,NJ
838,cap_and_trade,YOUR VIEWS,Anonymous,"The Record; Bergen County, N.J.","Jun 20, 2009","Bergen County, N.J.",A.11,OPINION,https://www.proquest.com/newspapers/your-views/docview/426615536/se-2?accountid=13360,NJ
864,cap_and_trade,Greenhouse measure overcomes hurdle ; State closer to joining deal to limit emissions: [All Editions],"Nussbaum, Alex","The Record; Bergen County, N.J.","Dec 7, 2007","Bergen County, N.J.",,NEWS,https://www.proquest.com/newspapers/greenhouse-measure-overcomes-hurdle-state-closer/docview/426491105/se-2?accountid=13360,NJ
867,cap_and_trade,AIR QUALITY TAKES A HIT,"O'Neill, James M","The Record; Bergen County, N.J.","May 18, 2015","Bergen County, N.J.",A.1,NEWS,https://www.proquest.com/newspapers/air-quality-takes-hit/docview/1681252041/se-2?accountid=13360,NJ
885,cap_and_trade,N.J. sits in on emissions auction: Power plants now paying for polluting,"O'Neill, James M; Staff Writer 1 1  Staff Writer 
","The Record; Bergen County, N.J.","Dec 18, 2008","Bergen County, N.J.",A.4,NEWS,https://www.proquest.com/newspapers/n-j-sits-on-emissions-auction/docview/426584635/se-2?accountid=13360,NJ
913,cap_and_trade,AT ODDS OVER GREENHOUSE GAS,"Fallon, Scott","The Record; Bergen County, N.J.","Jun 24, 2011","Bergen County, N.J.",L.3,LOCAL,https://www.proquest.com/newspapers/at-odds-over-greenhouse-gas/docview/873518885/se-2?accountid=13360,NJ
921,cap_and_trade,THE DEBATE HEATS UP ; Make carbon emission caps mandatory: [All Editions],"Whitman, Christie Todd","The Record; Bergen County, N.J.","Apr 10, 2007","Bergen County, N.J.",,LOCAL,https://www.proquest.com/newspapers/debate-heats-up-make-carbon-emission-caps/docview/426402040/se-2?accountid=13360,NJ
964,cap_and_trade,Phony 'science' takes the place of reality,,"Daily Journal; Vineland, N.J.","Jul 4, 2009","Vineland, N.J.",,OPINION,https://www.proquest.com/newspapers/phony-science-takes-place-reality/docview/442169734/se-2?accountid=13360,NJ
1018,cap_and_trade,Emissions trading for all sizes: Exchange project adds individuals to carbon equation,"Morley, Hugh R; Staff Writer 1 1  Staff Writer 
","The Record; Bergen County, N.J.","Dec 17, 2008","Bergen County, N.J.",B.1,BUSINESS,https://www.proquest.com/newspapers/emissions-trading-all-sizes/docview/426586216/se-2?accountid=13360,NJ
1077,cap_and_trade,NEW PUSH FOR GREENHOUSE GAS COALITION,"O'Neill, James M","The Record; Bergen County, N.J.","Dec 18, 2015","Bergen County, N.J.",A.8,NEWS,https://www.proquest.com/newspapers/new-push-greenhouse-gas-coalition/docview/1749948452/se-2?accountid=13360,NJ
