,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
28,cap_and_trade,"Currents -- Environment: Cap-and-Trade's Unlikely Critics: Its Creators --- Economists Behind Original Concept Question the System's Large-Scale Usefulness, and Recommend Emissions Taxes Instead","Hilsenrath, Jon","Wall Street Journal, Eastern edition; New York, N.Y.","Aug 13, 2009","New York, N.Y.",,,https://www.proquest.com/newspapers/currents-environment-cap-trades-unlikely-critics/docview/399104475/se-2?accountid=13360,NY
30,cap_and_trade,California's Cap-and-Trade Plan Is Working; The cap-and-trade program is doing exactly what it's intended to do: help the state cut carbon pollution.,,"Wall Street Journal (Online); New York, N.Y.","Oct 27, 2017","New York, N.Y.",,Opinion,https://www.proquest.com/newspapers/californias-cap-trade-plan-is-working-program/docview/1956151794/se-2?accountid=13360,NY
54,cap_and_trade,California Cap-and-Trade Faces Potential Hurdle,,"Wall Street Journal (Online); New York, N.Y.","Mar 3, 2011","New York, N.Y.",,Business,https://www.proquest.com/newspapers/california-cap-trade-faces-potential-hurdle/docview/854843196/se-2?accountid=13360,NY
59,cap_and_trade,The Cap-and-Trade Bait and Switch,"Schoenbrod, David; Stewart, Richard B","Wall Street Journal, Eastern edition; New York, N.Y.","Aug 24, 2009","New York, N.Y.",,,https://www.proquest.com/newspapers/cap-trade-bait-switch/docview/399138894/se-2?accountid=13360,NY
67,cap_and_trade,California Adopts Cap And Trade,,"Wall Street Journal (Online); New York, N.Y.","Dec 17, 2010","New York, N.Y.",,US,https://www.proquest.com/newspapers/california-adopts-cap-trade/docview/818375374/se-2?accountid=13360,NY
68,cap_and_trade,'Cap and Trade Is Dead',"Strassel, Kimberley","Wall Street Journal, Eastern edition; New York, N.Y.","Nov 27, 2009","New York, N.Y.",,,https://www.proquest.com/newspapers/cap-trade-is-dead/docview/399102440/se-2?accountid=13360,NY
75,cap_and_trade,Who Pays for Cap and Trade?,Anonymous,"Wall Street Journal, Eastern edition; New York, N.Y.","Mar 9, 2009","New York, N.Y.",,,https://www.proquest.com/newspapers/who-pays-cap-trade/docview/399103734/se-2?accountid=13360,NY
91,cap_and_trade,California's Cap-and-Trade Plan Is Working,,"Wall Street Journal, Eastern edition; New York, N.Y.","Oct 28, 2017","New York, N.Y.",,Letters to the Editor,https://www.proquest.com/newspapers/californias-cap-trade-plan-is-working/docview/1956425696/se-2?accountid=13360,NY
92,cap_and_trade,Cap and Trade Could Be a Boon to New York,"Gillibrand, Kirsten E","Wall Street Journal, Eastern edition; New York, N.Y.","Oct 22, 2009","New York, N.Y.",,,https://www.proquest.com/newspapers/cap-trade-could-be-boon-new-york/docview/399146068/se-2?accountid=13360,NY
98,cap_and_trade,Cap and Trade Loses in Australia; The Rudd government bows to political reality.,Anonymous,"Wall Street Journal (Online); New York, N.Y.","Apr 29, 2010","New York, N.Y.",,Opinion,https://www.proquest.com/newspapers/cap-trade-loses-australia-rudd-government-bows/docview/194159852/se-2?accountid=13360,NY
