previous_index,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
0,alternative_energy_standard,Solar project in works for village: Developer says financing near for largest array in region.,"Bennish, Steve","Dayton Daily News; Dayton, Ohio","Jan 8, 2012","Dayton, Ohio",B.1,Local,https://www.proquest.com/newspapers/solar-project-works-village/docview/926342376/se-2?accountid=13360,OH
2,alternative_energy_standard,Mr. Kasich's leadership,,"The Blade; Toledo, Ohio","Dec 27, 2015","Toledo, Ohio",C.4,Pages of Opinion,https://www.proquest.com/newspapers/mr-kasichs-leadership/docview/1753953731/se-2?accountid=13360,OH
5,alternative_energy_standard,Watchdog group urges boycott of FirstEnergy: Sierra Club hits stance on renewable energy,"Provance, Jim","The Blade; Toledo, Ohio","Sep 19, 2013","Toledo, Ohio",,Energy,https://www.proquest.com/newspapers/watchdog-group-urges-boycott-firstenergy/docview/1436439933/se-2?accountid=13360,OH
9,alternative_energy_standard,"Amstutz vs. Miller Candidates for state rep discuss issues, goals Candidates","Kick, Chris","Daily Record; Wooster, Ohio","Oct 31, 2008","Wooster, Ohio",,,https://www.proquest.com/newspapers/amstutz-vs-miller-candidates-state-rep-discuss/docview/375793970/se-2?accountid=13360,OH
137,cap_and_trade,"CALIFORNIA LEADS ANTI-ENVIRONMENT RESISTANCE: With federal changes looming, state takes role on global stage.","Davenport, Coral; Nagourney, Adam; (c)2017 The New Rork Times","Dayton Daily News; Dayton, Ohio","May 30, 2017","Dayton, Ohio",SB.1,Nation & World Extra,https://www.proquest.com/newspapers/california-leads-anti-environment-resistance/docview/1903333257/se-2?accountid=13360,OH
171,cap_and_trade,Cap and trade,,"Marion Star; Marion, Ohio","Apr 21, 2009","Marion, Ohio",,OPINION,https://www.proquest.com/newspapers/cap-trade/docview/443229144/se-2?accountid=13360,OH
173,cap_and_trade,Feelings mixed on cap-and-trade bill,JESSICA WEHRMAN COMMENTARY,"Dayton Daily News; Dayton, Ohio","May 19, 2008","Dayton, Ohio",A.3,Local,https://www.proquest.com/newspapers/feelings-mixed-on-cap-trade-bill/docview/254783338/se-2?accountid=13360,OH
196,cap_and_trade,Cap and trade: Price of control,"Boyer, Mike","Cincinnati Enquirer; Cincinnati, Ohio","Jul 26, 2009","Cincinnati, Ohio",,EDIT,https://www.proquest.com/newspapers/cap-trade-price-control/docview/237635473/se-2?accountid=13360,OH
212,cap_and_trade,Rep. Jordan urges against cap and trade plan,"Kinton, Jami","News Journal; Mansfield, Ohio","Apr 18, 2009","Mansfield, Ohio",,NEWS,https://www.proquest.com/newspapers/rep-jordan-urges-against-cap-trade-plan/docview/441531712/se-2?accountid=13360,OH
340,cap_and_trade,ENVIRONMENT; POLICY STANCES OFFER CLEAR CHOICE: [CITY Edition],"Hulsey, Lynn","Dayton Daily News; Dayton, Ohio","Sep 26, 2004","Dayton, Ohio",,NEWS,https://www.proquest.com/newspapers/environment-policy-stances-offer-clear-choice/docview/254640161/se-2?accountid=13360,OH
373,cap_and_trade,"Driehaus defends 'cap and trade' vote: NORTH BEND - Standing in the shadow of massive pollution ""scrubbers"" at Duke Energy's Miami Fort Generating Station, U.S. Rep. Steve Driehaus on Thursday defended his vote for controversial climate legislation last week.","Boyer, Mike","Cincinnati Enquirer; Cincinnati, Ohio","Jul 3, 2009","Cincinnati, Ohio",,BIZ,https://www.proquest.com/newspapers/driehaus-defends-cap-trade-vote/docview/237658765/se-2?accountid=13360,OH
374,cap_and_trade,Congress should become more informed about how the environment works,"Abbott, C W","The Advocate; Newark, Ohio","Feb 20, 2010","Newark, Ohio",,OPINION,https://www.proquest.com/newspapers/congress-should-become-more-informed-about-how/docview/442183873/se-2?accountid=13360,OH
449,cap_and_trade,"Environment, estate tax lead farm agenda","Mills, Bart","Lima News; Lima, Ohio","Mar 09, 2009","Lima, Ohio",,Local News,https://www.proquest.com/newspapers/environment-estate-tax-lead-farm-agenda/docview/435237904/se-2?accountid=13360,OH
557,cap_and_trade,Pope's call to action goes beyond the environment,,"Dayton Daily News; Dayton, Ohio","Jun 23, 2015","Dayton, Ohio",A.7,Ideas & Voices,https://www.proquest.com/newspapers/popes-call-action-goes-beyond-environment/docview/1690383716/se-2?accountid=13360,OH
648,cap_and_trade,Utilities bracing for stiffer rules on carbon emissions Program targets coal-fired plants,"Henry, Tom","The Blade; Toledo, Ohio","Nov 9, 2008","Toledo, Ohio",A.11,Second News,https://www.proquest.com/newspapers/utilities-bracing-stiffer-rules-on-carbon/docview/380784200/se-2?accountid=13360,OH
663,cap_and_trade,Another healthy choice,Anonymous,"The Blade; Toledo, Ohio","Sep 1, 2009","Toledo, Ohio",A.10,Pages of Opinion,https://www.proquest.com/newspapers/another-healthy-choice/docview/380835671/se-2?accountid=13360,OH
675,cap_and_trade,Portman denies Ohio Democrats' charge of 'flip-flop' on cap-trade,"Troy, Tom","The Blade; Toledo, Ohio","Jul 8, 2010","Toledo, Ohio",A.3,,https://www.proquest.com/newspapers/portman-denies-ohio-democrats-charge-flip-flop-on/docview/737874049/se-2?accountid=13360,OH
683,cap_and_trade,Climate for change: [City Final Edition],,"The Blade; Toledo, Ohio","Feb 19, 2008","Toledo, Ohio",,Pages of Opinion,https://www.proquest.com/newspapers/climate-change/docview/380731805/se-2?accountid=13360,OH
704,cap_and_trade,Keep an eye on checklist of Renacci pledges,"Warren, Bobby","Daily Record; Wooster, Ohio","Jan 10, 2011","Wooster, Ohio",,,https://www.proquest.com/newspapers/keep-eye-on-checklist-renacci-pledges/docview/839312236/se-2?accountid=13360,OH
