previous_index,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
7,alternative_energy_standard,Outgoing Oklahoma House Speaker Chris Benge promotes natural gas as alternative fuel,"Carter, M Scott","Journal Record; Oklahoma City, Okla.","Sep 17, 2010","Oklahoma City, Okla.",,News,https://www.proquest.com/newspapers/outgoing-oklahoma-house-speaker-chris-benge/docview/753594976/se-2?accountid=13360,OK
596,cap_and_trade,Okla. U.S. Sen. Jim Inhofe: Election to change Senate behavior,"Tuttle, D Ray","Journal Record; Oklahoma City, Okla.","Nov 3, 2010","Oklahoma City, Okla.",,News,https://www.proquest.com/newspapers/okla-u-s-sen-jim-inhofe-election-change-senate/docview/763124258/se-2?accountid=13360,OK
637,cap_and_trade,"Opposition to clean energy acts in U.S. grows larger, louder","Carter, M Scott","Journal Record; Oklahoma City, Okla.","Oct 19, 2009","Oklahoma City, Okla.",,News,https://www.proquest.com/newspapers/opposition-clean-energy-acts-u-s-grows-larger/docview/259589603/se-2?accountid=13360,OK
678,cap_and_trade,"OKC-based Chesapeake, Devon combined spend $1.5M on lobbying","Bailey, Brianna","Journal Record; Oklahoma City, Okla.","Jun 14, 2010","Oklahoma City, Okla.",,News,https://www.proquest.com/newspapers/okc-based-chesapeake-devon-combined-spend-1-5m-on/docview/504549023/se-2?accountid=13360,OK
1613,cap_and_trade,Oklahoma attorneys see regulatory changes in 'green law',"Price, Marie","Journal Record; Oklahoma City, Okla.","Apr 22, 2009","Oklahoma City, Okla.",,News,https://www.proquest.com/newspapers/oklahoma-attorneys-see-regulatory-changes-green/docview/259485619/se-2?accountid=13360,OK
2640,cap_and_trade,Earthly economics: Covering the costs of climate change,"Terry-Cobo, Sarah","Journal Record; Oklahoma City, Okla.","Apr 21, 2016","Oklahoma City, Okla.",,News,https://www.proquest.com/newspapers/earthly-economics-covering-costs-climate-change/docview/1784368553/se-2?accountid=13360,OK
3978,cap_and_trade,Study: Access to domestic energy sources key to recovery,"Tuttle, D Ray","Journal Record; Oklahoma City, Okla.","Jan 7, 2011","Oklahoma City, Okla.",,News,https://www.proquest.com/newspapers/study-access-domestic-energy-sources-key-recovery/docview/839385111/se-2?accountid=13360,OK
6591,carbon_tax,Oklahoma lawmakers prepare for debate on nuclear power,"Francis-Smith, Janice","Journal Record; Oklahoma City, Okla.","Nov 26, 2007","Oklahoma City, Okla.",1,News,https://www.proquest.com/newspapers/oklahoma-lawmakers-prepare-debate-on-nuclear/docview/259521237/se-2?accountid=13360,OK
8075,carbon_tax,YEARS OF CHEAP FUEL MAY PROVE COSTLY,"Hershey, Robert D","Journal Record; Oklahoma City, Okla.","Aug 18, 1990","Oklahoma City, Okla.",,NEWS,https://www.proquest.com/newspapers/years-cheap-fuel-may-prove-costly/docview/259272027/se-2?accountid=13360,OK
8342,demand-side_management,Wind conference set in OKC,Anonymous,"Journal Record; Oklahoma City, Okla.","Oct 22, 2009","Oklahoma City, Okla.",,News,https://www.proquest.com/newspapers/wind-conference-set-okc/docview/259541992/se-2?accountid=13360,OK
8358,demand-side_management,Harlow: Electricity Best Energy to Use,"Fears, Ronda","Journal Record; Oklahoma City, Okla.","Apr 16, 1992","Oklahoma City, Okla.",,NEWS,https://www.proquest.com/newspapers/harlow-electricity-best-energy-use/docview/259267045/se-2?accountid=13360,OK
8381,demand-side_management,"From slowing vehicles to fast meat packers, Oklahoma's legal trends are taking on a green hue","Price, Marie","Journal Record; Oklahoma City, Okla.","Apr 22, 2008","Oklahoma City, Okla.",,News,https://www.proquest.com/newspapers/slowing-vehicles-fast-meat-packers-oklahomas/docview/259556602/se-2?accountid=13360,OK
8394,demand-side_management,"Wind energy, natural gas among topics at Oklahoma Wind Energy Conference","Page, David","Journal Record; Oklahoma City, Okla.","Nov 23, 2009","Oklahoma City, Okla.",,News,https://www.proquest.com/newspapers/wind-energy-natural-gas-among-topics-at-oklahoma/docview/259556734/se-2?accountid=13360,OK
8640,emissions_tax,Wind industry tax credits about to blow away,"Sweeney, Catherine","Journal Record; Oklahoma City, Okla.","Jun 16, 2017","Oklahoma City, Okla.",,News,https://www.proquest.com/newspapers/wind-industry-tax-credits-about-blow-away/docview/1912027736/se-2?accountid=13360,OK
8659,emissions_tax,Legislature looks at caps on energy credits,"Sweeney, Catherine","Journal Record; Oklahoma City, Okla.","Apr 9, 2018","Oklahoma City, Okla.",,News,https://www.proquest.com/newspapers/legislature-looks-at-caps-on-energy-credits/docview/2024308128/se-2?accountid=13360,OK
8663,emissions_tax,Energy industry hopeful for a quiet legislative session,"Sweeney, Catherine","Journal Record; Oklahoma City, Okla.","Jan 7, 2019","Oklahoma City, Okla.",,News,https://www.proquest.com/newspapers/energy-industry-hopeful-quiet-legislative-session/docview/2165993548/se-2?accountid=13360,OK
8664,emissions_tax,House harnesses wind credits,"Sweeney, Catherine","Journal Record; Oklahoma City, Okla.","Apr 25, 2018","Oklahoma City, Okla.",,News,https://www.proquest.com/newspapers/house-harnesses-wind-credits/docview/2032668163/se-2?accountid=13360,OK
8676,emissions_tax,Top legislators still at odds on revenue,"Sweeney, Catherine","Journal Record; Oklahoma City, Okla.","Dec 12, 2017","Oklahoma City, Okla.",,News,https://www.proquest.com/newspapers/top-legislators-still-at-odds-on-revenue/docview/1977721360/se-2?accountid=13360,OK
8681,emissions_tax,Wind energy tax bill sent to conference committee,"Sweeney, Catherine","Journal Record; Oklahoma City, Okla.","Apr 30, 2018","Oklahoma City, Okla.",,News,https://www.proquest.com/newspapers/wind-energy-tax-bill-sent-conference-committee/docview/2034114397/se-2?accountid=13360,OK
8682,emissions_tax,Not all wind power producers on board with additional taxes,"Sweeney, Catherine","Journal Record; Oklahoma City, Okla.","Apr 20, 2018","Oklahoma City, Okla.",,News,https://www.proquest.com/newspapers/not-all-wind-power-producers-on-board-with/docview/2030554134/se-2?accountid=13360,OK
9157,gas_tax,"Study: Oklahoma's entrepreneurial environment ""less than friendly""","Neese, Terry","Journal Record; Oklahoma City, Okla.","Aug 5, 2002","Oklahoma City, Okla.",,,https://www.proquest.com/newspapers/study-oklahomas-entrepreneurial-environment-less/docview/259352785/se-2?accountid=13360,OK
9158,gas_tax,Commentary: Oklahoma has less-than-friendly entrepreneurial environment,"Neese, Terry","Journal Record; Oklahoma City, Okla.","Aug 5, 2002","Oklahoma City, Okla.",,Commentary,https://www.proquest.com/newspapers/commentary-oklahoma-has-less-than-friendly/docview/259445875/se-2?accountid=13360,OK
9239,gas_tax,Tax surplus spurs highway battle,Glen Johnson Associated Press,"Journal Record; Oklahoma City, Okla.","Feb 3, 1999","Oklahoma City, Okla.",,,https://www.proquest.com/newspapers/tax-surplus-spurs-highway-battle/docview/259451204/se-2?accountid=13360,OK
14416,net_metering,California couple saves money by installing solar energy system,George Raine San Francisco Examiner,"Journal Record; Oklahoma City, Okla.","Oct 8, 1997","Oklahoma City, Okla.",,,https://www.proquest.com/newspapers/california-couple-saves-money-installing-solar/docview/259362723/se-2?accountid=13360,OK
14504,net_metering,Industry observers hope to brighten solar market,"Terry-Cobo, Sarah","Journal Record; Oklahoma City, Okla.","Jul 14, 2017","Oklahoma City, Okla.",,News,https://www.proquest.com/newspapers/industry-observers-hope-brighten-solar-market/docview/1920188114/se-2?accountid=13360,OK
14811,net_metering,New solar technology pitched as a bargain for investors,"Mills, Kateleigh","Journal Record; Oklahoma City, Okla.","May 26, 2017","Oklahoma City, Okla.",,News,https://www.proquest.com/newspapers/new-solar-technology-pitched-as-bargain-investors/docview/1904275871/se-2?accountid=13360,OK
14862,net_metering,Oklahoma near last in adding new solar capacity,"Grant, Daisy","Journal Record; Oklahoma City, Okla.","Mar 25, 2019","Oklahoma City, Okla.",,News,https://www.proquest.com/newspapers/oklahoma-near-last-adding-new-solar-capacity/docview/2198888119/se-2?accountid=13360,OK
14983,RPS,"Oklahoma Clean Energy Independence Commission to debate pros, cons of RPS","Lindley, Tom","Journal Record; Oklahoma City, Okla.","Jan 14, 2010","Oklahoma City, Okla.",,News,https://www.proquest.com/newspapers/oklahoma-clean-energy-independence-commission/docview/259583304/se-2?accountid=13360,OK
14995,RPS,"Commission to debate pros, cons of renewable portfolio standard in Okla.","Lindley, Tom","Journal Record; Oklahoma City, Okla.","Jan 14, 2010","Oklahoma City, Okla.",,News,https://www.proquest.com/newspapers/commission-debate-pros-cons-renewable-portfolio/docview/259583520/se-2?accountid=13360,OK
15055,RPS,"After 30 years, Norman-based Bergey Windpower takes off","Lindley, Tom","Journal Record; Oklahoma City, Okla.","Mar 5, 2010","Oklahoma City, Okla.",,News,https://www.proquest.com/newspapers/after-30-years-norman-based-bergey-windpower/docview/259633246/se-2?accountid=13360,OK
15059,RPS,Managing in good times challenges businesses,"Geewax, Marilyn","Journal Record; Oklahoma City, Okla.","Aug 14, 1997","Oklahoma City, Okla.",,,https://www.proquest.com/newspapers/managing-good-times-challenges-businesses/docview/259380426/se-2?accountid=13360,OK
15080,RPS,Natural gas takes stage at OKC meeting,"Lindley, Tom","Journal Record; Oklahoma City, Okla.","Jan 14, 2010","Oklahoma City, Okla.",,News,https://www.proquest.com/newspapers/natural-gas-takes-stage-at-okc-meeting/docview/259582655/se-2?accountid=13360,OK
15081,RPS,Okla. Gas and Electric makes pact to help protect the prairie chicken,"Lindley, Tom","Journal Record; Oklahoma City, Okla.","Jan 7, 2010","Oklahoma City, Okla.",,News,https://www.proquest.com/newspapers/okla-gas-electric-makes-pact-help-protect-prairie/docview/259586148/se-2?accountid=13360,OK
15247,system_benefit_charge,Renewable energy proposal draws fire,Marie Price The Journal Record,"Journal Record; Oklahoma City, Okla.","Jan 8, 2002","Oklahoma City, Okla.",,,https://www.proquest.com/newspapers/renewable-energy-proposal-draws-fire/docview/259418701/se-2?accountid=13360,OK
