previous_index,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
31,cap_and_trade,Capitol convoy: Hundreds of truckers protest carbon cap-and-trade bill,"Woodworth, Whitney; Davis, David; CONNOR RADNOVICH","Statesman Journal; Salem, Or.","Feb 7, 2020","Salem, Or.",A.3,News,https://www.proquest.com/newspapers/capitol-convoy/docview/2351979458/se-2?accountid=13360,OR
33,cap_and_trade,Carbon cap and trade could backfire on the environment,TEAM SPRINGFIELD By Bob Linahan For The Register-Guard,"The Register - Guard; Eugene, Or.","Sep 4, 2008","Eugene, Or.",L.2,,https://www.proquest.com/newspapers/carbon-cap-trade-could-backfire-on-environment/docview/377837835/se-2?accountid=13360,OR
129,cap_and_trade,Cap-and-trade policy facing backlash,"Brown, Alex","The Register - Guard; Eugene, Or.","Dec 29, 2020","Eugene, Or.",A.9,News,https://www.proquest.com/newspapers/cap-trade-policy-facing-backlash/docview/2531462347/se-2?accountid=13360,OR
259,cap_and_trade,Governor urges 'cap and trade' plan to reduce greenhouse gases,David Steves The Register-Guard,"The Register - Guard; Eugene, Or.","Jan 25, 2007","Eugene, Or.",,,https://www.proquest.com/newspapers/governor-urges-cap-trade-plan-reduce-greenhouse/docview/377801874/se-2?accountid=13360,OR
328,cap_and_trade,"New session, same issue Cap-and-trade bill: GOP wants voters to decide greenhouse gas emissions solution",CONNOR RADNOVICH,"Statesman Journal; Salem, Or.","Feb 4, 2020","Salem, Or.",A.3,News,https://www.proquest.com/newspapers/new-session-same-issue-cap-trade-bill/docview/2350229955/se-2?accountid=13360,OR
448,cap_and_trade,"At last, a climate bill",The Register-Guard,"The Register - Guard; Eugene, Or.","Oct 5, 2009","Eugene, Or.",A.8,,https://www.proquest.com/newspapers/at-last-climate-bill/docview/377839073/se-2?accountid=13360,OR
529,cap_and_trade,Environment activists vent frustration at Capitol rally,"Hawkins, Samantha","Statesman Journal; Salem, Or.","Jun 26, 2019","Salem, Or.",A.9,News,https://www.proquest.com/newspapers/environment-activists-vent-frustration-at-capitol/docview/2246673436/se-2?accountid=13360,OR
542,cap_and_trade,Bills to protect environment derailed by finances,"Casper, Beth; Knowlton, Stefanie","Statesman Journal; Salem, Or.","Jun 15, 2009","Salem, Or.",,Page One,https://www.proquest.com/newspapers/bills-protect-environment-derailed-finances/docview/440345271/se-2?accountid=13360,OR
575,cap_and_trade,House District 7: Hanna,The Register-Guard,"The Register - Guard; Eugene, Or.","Oct 16, 2008","Eugene, Or.",A.8,,https://www.proquest.com/newspapers/house-district-7-hanna/docview/377830424/se-2?accountid=13360,OR
692,cap_and_trade,Utilities using renewable energy ought to be rewarded,Bob Linahan For The Register-Guard,"The Register - Guard; Eugene, Or.","Mar 13, 2008","Eugene, Or.",L.4,,https://www.proquest.com/newspapers/utilities-using-renewable-energy-ought-be/docview/377816902/se-2?accountid=13360,OR
709,cap_and_trade,Letters in the Editor's Mailbag: [9],The Register-Guard,"The Register - Guard; Eugene, Or.","Mar 16, 2002","Eugene, Or.",,,https://www.proquest.com/newspapers/letters-editors-mailbag/docview/377736648/se-2?accountid=13360,OR
866,cap_and_trade,Sitting out Kyoto,The Register-Guard,"The Register - Guard; Eugene, Or.","Feb 16, 2005","Eugene, Or.",,,https://www.proquest.com/newspapers/sitting-out-kyoto/docview/377796219/se-2?accountid=13360,OR
1094,cap_and_trade,"New Orleans' entrepreneurs see niches, fill them",,"Statesman Journal; Salem, Or.","Apr 13, 2014","Salem, Or.",3,F,https://www.proquest.com/newspapers/new-orleans-entrepreneurs-see-niches-fill-them/docview/1515660502/se-2?accountid=13360,OR
1285,cap_and_trade,Oregon revisits carbon trades,"Loew, Tracy","Statesman Journal; Salem, Or.","Feb 21, 2017","Salem, Or.",A.1,News,https://www.proquest.com/newspapers/oregon-revisits-carbon-trades/docview/1870200724/se-2?accountid=13360,OR
1296,cap_and_trade,Oregon explores its energy future,"Casper, Beth","Statesman Journal; Salem, Or.","Jun 6, 2007","Salem, Or.",,Page One,https://www.proquest.com/newspapers/oregon-explores-energy-future/docview/440205929/se-2?accountid=13360,OR
1316,cap_and_trade,Will Oregon regulate carbon emissions?,"Loew, Tracy","Statesman Journal; Salem, Or.","Mar 1, 2017","Salem, Or.",B.3,News,https://www.proquest.com/newspapers/will-oregon-regulate-carbon-emissions/docview/1872746522/se-2?accountid=13360,OR
1486,cap_and_trade,The green pendulum,The Register-Guard,"The Register - Guard; Eugene, Or.","Nov 17, 2006","Eugene, Or.",,,https://www.proquest.com/newspapers/green-pendulum/docview/377793800/se-2?accountid=13360,OR
1488,cap_and_trade,Oregon must do its small part,,"Statesman Journal; Salem, Or.","Feb 2, 2020","Salem, Or.",C.5,News,https://www.proquest.com/newspapers/oregon-must-do-small-part/docview/2349611011/se-2?accountid=13360,OR
1556,cap_and_trade,Mercury madness,The Register-Guard,"The Register - Guard; Eugene, Or.","Mar 10, 2005","Eugene, Or.",,,https://www.proquest.com/newspapers/mercury-madness/docview/377739040/se-2?accountid=13360,OR
1610,cap_and_trade,Republicans in House walk out to protest emissions legislation,CONNOR RADNOVICH,"Statesman Journal; Salem, Or.","Feb 26, 2020","Salem, Or.",A.5,News,https://www.proquest.com/newspapers/republicans-house-walk-out-protest-emissions/docview/2363776981/se-2?accountid=13360,OR
1650,cap_and_trade,GOP senators walk out again: Republicans block ability to pass landmark climate legislation by leaving Capitol,CONNOR RADNOVICH,"Statesman Journal; Salem, Or.","Feb 25, 2020","Salem, Or.",A.2,News,https://www.proquest.com/newspapers/gop-senators-walk-out-again/docview/2362757476/se-2?accountid=13360,OR
1678,cap_and_trade,LETTERS IN THE EDITOR'S MAILBAG,,"The Register - Guard; Eugene, Or.","Nov 27, 2015","Eugene, Or.",A.10,,https://www.proquest.com/newspapers/letters-editors-mailbag/docview/1765371202/se-2?accountid=13360,OR
1698,cap_and_trade,Report: Climate-change package can help economy,"Casper, Beth","Statesman Journal; Salem, Or.","Jan 28, 2009","Salem, Or.",,Mid-Valley,https://www.proquest.com/newspapers/report-climate-change-package-can-help-economy/docview/440313632/se-2?accountid=13360,OR
1744,cap_and_trade,Shift from timber- to carbon-based economy,"Niemi, Ernie","The Register - Guard; Eugene, Or.","Feb 13, 2013","Eugene, Or.",A.7,,https://www.proquest.com/newspapers/shift-timber-carbon-based-economy/docview/1288471860/se-2?accountid=13360,OR
1829,cap_and_trade,'An awful lot of dithering': Cascadia not on track to reduce emissions,"Fairley, Peter","The Register - Guard; Eugene, Or.","Jan 19, 2021","Eugene, Or.",A.1,Obits,https://www.proquest.com/newspapers/awful-lot-dithering/docview/2531405625/se-2?accountid=13360,OR
1872,cap_and_trade,Ignoring the 'plain text',The Register-Guard,"The Register - Guard; Eugene, Or.","Feb 12, 2008","Eugene, Or.",,,https://www.proquest.com/newspapers/ignoring-plain-text/docview/377823050/se-2?accountid=13360,OR
1928,cap_and_trade,Cleaner fuels should be a priority,,"Statesman Journal; Salem, Or.","Feb 9, 2020","Salem, Or.",C.4,News,https://www.proquest.com/newspapers/cleaner-fuels-should-be-priority/docview/2352377602/se-2?accountid=13360,OR
1931,cap_and_trade,Plans put livelihoods of rural Oregonians under assault,,"Statesman Journal; Salem, Or.","Nov 24, 2019","Salem, Or.",C.8,News,https://www.proquest.com/newspapers/plans-put-livelihoods-rural-oregonians-under/docview/2317183426/se-2?accountid=13360,OR
2169,cap_and_trade,Garbage burner wants renewable energy label,"Loew, Tracy","Statesman Journal; Salem, Or.","Mar 9, 2019","Salem, Or.",A.3,News,https://www.proquest.com/newspapers/garbage-burner-wants-renewable-energy-label/docview/2189193438/se-2?accountid=13360,OR
2170,cap_and_trade,"Timber Unity plans huge truck convoy, protest over carbon bill","Loew, Tracy","Statesman Journal; Salem, Or.","Feb 1, 2020","Salem, Or.",A.3,News,https://www.proquest.com/newspapers/timber-unity-plans-huge-truck-convoy-protest-over/docview/2349148942/se-2?accountid=13360,OR
2190,cap_and_trade,"Timber Unity plans huge truck convoy, protest over carbon bill","Loew, Tracy","Statesman Journal; Salem, Or.","Feb 1, 2020","Salem, Or.",A.3,News,https://www.proquest.com/newspapers/timber-unity-plans-huge-truck-convoy-protest-over/docview/2350424291/se-2?accountid=13360,OR
2227,cap_and_trade,Bill to cap emissions gets first hearing: Advocates say latest legislation needs work,CONNOR RADNOVICH,"Statesman Journal; Salem, Or.","Jan 14, 2020","Salem, Or.",A.2,News,https://www.proquest.com/newspapers/bill-cap-emissions-gets-first-hearing/docview/2336967881/se-2?accountid=13360,OR
2251,cap_and_trade,Traffic delays expected for Timber Unity rally,"Woodworth, Whitney","Statesman Journal; Salem, Or.","Feb 6, 2020","Salem, Or.",A.2,News,https://www.proquest.com/newspapers/traffic-delays-expected-timber-unity-rally/docview/2351352531/se-2?accountid=13360,OR
2363,cap_and_trade,Oregon takes a leadership role,"Casper, Beth","Statesman Journal; Salem, Or.","Jan 25, 2007","Salem, Or.",,Page One,https://www.proquest.com/newspapers/oregon-takes-leadership-role/docview/440177265/se-2?accountid=13360,OR
2438,cap_and_trade,GOP's environmental siege,,"The Register - Guard; Eugene, Or.","Jun 24, 2012","Eugene, Or.",H.40,,https://www.proquest.com/newspapers/gops-environmental-siege/docview/1025747443/se-2?accountid=13360,OR
2480,cap_and_trade,Get involved in local climate change effort,"GUEST VIEWPOINT By Josh Proudfoot; Wostmann, Jan","The Register - Guard; Eugene, Or.","Sep 23, 2009","Eugene, Or.",A.9,,https://www.proquest.com/newspapers/get-involved-local-climate-change-effort/docview/377788329/se-2?accountid=13360,OR
2488,cap_and_trade,Oregon's big climate bill of 2021 generates little friction,"VanderHart, Dirk","The Register - Guard; Eugene, Or.","May 29, 2021","Eugene, Or.",A.1,News,https://www.proquest.com/newspapers/oregons-big-climate-bill-2021-generates-little/docview/2537064971/se-2?accountid=13360,OR
