,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
11,alternative_energy_standard,Environmentalists see mixed results: The legislature passed energy and water measures. But Growing Greener II failed to move.,"Worden, Amy; Avril, Tom","Philadelphia Inquirer; Philadelphia, Pa.","Nov 23, 2004","Philadelphia, Pa.",B.6,LOCAL NEWS PHILADELPHIA & ITS SUBURBS,https://www.proquest.com/newspapers/environmentalists-see-mixed-results/docview/1903914278/se-2?accountid=13360,PA
40,cap_and_trade,CAP AND TRADE VS. PA. WE CAN PROTECT THE ENVIRONMENT WITHOUT LOSING SO MANY JOBS,"Toomey, Pat","Pittsburgh Post - Gazette; Pittsburgh, Pa.","Nov 6, 2009","Pittsburgh, Pa.",B.7,EDITORIAL,https://www.proquest.com/newspapers/cap-trade-vs-pa-we-can-protect-environment/docview/390540787/se-2?accountid=13360,PA
70,cap_and_trade,PA. TO JOIN CAP-AND-TRADE MARKET GOVERNOR ISSUES EXECUTIVE ORDER TO BRING STATE INTO REGIONAL PROGRAM TO CUT CARBON EMISSIONS,"Legere, Laura","Pittsburgh Post - Gazette; Pittsburgh, Pa.","Oct 4, 2019","Pittsburgh, Pa.",A-1,STATE,https://www.proquest.com/newspapers/pa-join-cap-trade-market-governor-issues/docview/2300514393/se-2?accountid=13360,PA
83,cap_and_trade,CAP-AND-TRADE IS A GOOD PLACE FOR US TO START,ERIKA STAAF Clean Water Advocate PennEnvironment Squirrel Hill,"Pittsburgh Post - Gazette; Pittsburgh, Pa.","Apr 27, 2009","Pittsburgh, Pa.",B.6,EDITORIAL,https://www.proquest.com/newspapers/cap-trade-is-good-place-us-start/docview/390716803/se-2?accountid=13360,PA
177,cap_and_trade,In My Opinion Left Cold By 'Cap And Trade' What's Your Opinion?,"Wichterman, Robert L","Sunday News; Lancaster, Pa.","May 23, 2010","Lancaster, Pa.",P.1,P,https://www.proquest.com/newspapers/my-opinion-left-cold-cap-trade-whats-your/docview/306971455/se-2?accountid=13360,PA
178,cap_and_trade,No cap and trade for neurotoxin,Anonymous,"The Times - Tribune; Scranton, Pa.","Feb 10, 2008","Scranton, Pa.",D.3,,https://www.proquest.com/newspapers/no-cap-trade-neurotoxin/docview/252318615/se-2?accountid=13360,PA
188,cap_and_trade,Get Behind ‘cap-and-trade’,,"Standard - Speaker; Hazleton, Pa.","Oct 6, 2019","Hazleton, Pa.",,Opinion,https://www.proquest.com/newspapers/get-behind-cap-trade/docview/2301185161/se-2?accountid=13360,PA
189,cap_and_trade,"N.J. withdrawing from cap-and-trade: Admitting emissions affect climate, Christie said the plan didn't work.",Maya Rao INQUIRER TRENTON BUREAU,"Philadelphia Inquirer; Philadelphia, Pa.","May 27, 2011","Philadelphia, Pa.",A.1,LOCAL,https://www.proquest.com/newspapers/n-j-withdrawing-cap-trade/docview/868931345/se-2?accountid=13360,PA
190,cap_and_trade,Gov. Wolf was right to nudge Pennsylvania toward regional cap-and-trade group,,"LNP; Lancaster, Pa.","Oct 11, 2019","Lancaster, Pa.",,Editorials,https://www.proquest.com/newspapers/gov-wolf-was-right-nudge-pennsylvania-toward/docview/2307414447/se-2?accountid=13360,PA
191,cap_and_trade,LETTERS Cap-and-trade systems work,"Widger, Nicole","York Daily Record; York, Pa.","Dec 29, 2008","York, Pa.",4,MAIN,https://www.proquest.com/newspapers/letters-cap-trade-systems-work/docview/274794983/se-2?accountid=13360,PA
