,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
820,cap_and_trade,"Clear Skies Act has loophole, group says; Lowcountry power plants could be exempt: [FINAL Edition]","Petersen, Bo","The Post and Courier; Charleston, S.C.","Apr 7, 2005","Charleston, S.C.",,LOCAL/ STATE,https://www.proquest.com/newspapers/clear-skies-act-has-loophole-group-says/docview/373953400/se-2?accountid=13360,SC
1099,cap_and_trade,"Ruling dumps mercury 'credits';Environmentalists hail decision, which will affect coal plants: [FINAL Edition]","Bartelme, Tony","The Post and Courier; Charleston, S.C.","Feb 9, 2008","Charleston, S.C.",,NATION,https://www.proquest.com/newspapers/ruling-dumps-mercury-credits-environmentalists/docview/374114589/se-2?accountid=13360,SC
1270,cap_and_trade,Clean energy issue draws crowd,"Lundeen, Nan","The Greenville News; Greenville, S.C.","Sep 1, 2009","Greenville, S.C.",,NEWS,https://www.proquest.com/newspapers/clean-energy-issue-draws-crowd/docview/438569423/se-2?accountid=13360,SC
1347,cap_and_trade,Warm up to climate reality; OPINION,Anonymous,"The Post and Courier; Charleston, S.C.","Jun 23, 2011","Charleston, S.C.",A.8,EDITORIAL/OPINION,https://www.proquest.com/newspapers/warm-up-climate-reality-opinion/docview/873444689/se-2?accountid=13360,SC
1463,cap_and_trade,Emission hazards are real; OPINION,Anonymous,"The Post and Courier; Charleston, S.C.","Dec 6, 2009","Charleston, S.C.",A.8,EDITORIAL/OPINION,https://www.proquest.com/newspapers/emission-hazards-are-real-opinion/docview/374218155/se-2?accountid=13360,SC
1784,cap_and_trade,County Republican Party leaders censure Sen. Graham,"Behre, Robert","The Post and Courier; Charleston, S.C.","Nov 11, 2009","Charleston, S.C.",B.3,LOCAL & STATE,https://www.proquest.com/newspapers/county-republican-party-leaders-censure-sen/docview/374306211/se-2?accountid=13360,SC
2075,cap_and_trade,Jump-start urged on climate solutions,"Langley, Lynne","The Post and Courier; Charleston, S.C.","Feb 2, 2002","Charleston, S.C.",,,https://www.proquest.com/newspapers/jump-start-urged-on-climate-solutions/docview/373796797/se-2?accountid=13360,SC
2364,cap_and_trade,"Richard Cash, Jeff Duncan promote job creation in 3rd Congressional District","Simon, Anna","The Greenville News; Greenville, S.C.","Jun 16, 2010","Greenville, S.C.",,NEWS,https://www.proquest.com/newspapers/richard-cash-jeff-duncan-promote-job-creation-3rd/docview/499762457/se-2?accountid=13360,SC
2399,cap_and_trade,Unemployment hits recotd 12.6%;; Jobs slashed at unusually high rate in December,"Stech, Katy","The Post and Courier; Charleston, S.C.","Jan 23, 2010","Charleston, S.C.",A.1,NATION,https://www.proquest.com/newspapers/unemployment-hits-recotd-12-6-jobs-slashed-at/docview/374064841/se-2?accountid=13360,SC
2495,cap_and_trade,GOING GREEN;Creating environmentally friendly jobs could put Charleston on the map as a national model,"Slade, David","The Post and Courier; Charleston, S.C.","Jun 22, 2009","Charleston, S.C.",A.1,NATION,https://www.proquest.com/newspapers/going-green-creating-environmentally-friendly/docview/374252861/se-2?accountid=13360,SC
2548,cap_and_trade,Santee Cooper denies charge from environmental group: [FINAL Edition],"Petersen, Bo","The Post and Courier; Charleston, S.C.","Jan 28, 2005","Charleston, S.C.",,SECTION A,https://www.proquest.com/newspapers/santee-cooper-denies-charge-environmental-group/docview/373913450/se-2?accountid=13360,SC
2702,cap_and_trade,"Graham: Energy, warming policies go together","Smith, Bruce","Spartanburg Herald - Journal; Spartanburg, S.C.","Oct 23, 2009","Spartanburg, S.C.",,,https://www.proquest.com/newspapers/graham-energy-warming-policies-go-together/docview/369119892/se-2?accountid=13360,SC
2757,cap_and_trade,GE warms to challenge of burning 'clean' coal,"Bell, Rudolph","The Greenville News; Greenville, S.C.","Jul 19, 2009","Greenville, S.C.",,BUSINESS,https://www.proquest.com/newspapers/ge-warms-challenge-burning-clean-coal/docview/438579524/se-2?accountid=13360,SC
2803,cap_and_trade,Rubin: Pope and Chinese president present very different solutions,"Rubin, Trudy","Spartanburg Herald - Journal; Spartanburg, S.C.","Sep 29, 2015","Spartanburg, S.C.",,,https://www.proquest.com/newspapers/rubin-pope-chinese-president-present-very/docview/1717238546/se-2?accountid=13360,SC
3244,cap_and_trade,LETTERS TO THE EDITOR; OPINION,Anonymous,"The Post and Courier; Charleston, S.C.","Dec 2, 2009","Charleston, S.C.",A.15,EDITORIAL/OPINION,https://www.proquest.com/newspapers/letters-editor-opinion/docview/374284393/se-2?accountid=13360,SC
