previous_index,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
141,cap_and_trade,A real 'pollutant' is the cap-and-trade legislation,"Valentine, Phil","The Tennessean; Nashville, Tenn.","Nov 1, 2009","Nashville, Tenn.",,COLUMNIST,https://www.proquest.com/newspapers/real-pollutant-is-cap-trade-legislation/docview/239926149/se-2?accountid=13360,TN
202,cap_and_trade,Return cap-and-trade proceeds to people,US BOB CORKER,"The Tennessean; Nashville, Tenn.","Apr 20, 2008","Nashville, Tenn.",,OPINION,https://www.proquest.com/newspapers/return-cap-trade-proceeds-people/docview/750211371/se-2?accountid=13360,TN
281,cap_and_trade,Even watered-down cap and trade beats status quo: Our View,,"The Tennessean; Nashville, Tenn.","Dec 30, 2009","Nashville, Tenn.",,OPINION,https://www.proquest.com/newspapers/even-watered-down-cap-trade-beats-status-quo/docview/239936722/se-2?accountid=13360,TN
426,cap_and_trade,Show us the ball,Anonymous,"Chattanooga Times Free Press; Chattanooga, Tenn.","Apr 9, 2009","Chattanooga, Tenn.",B.6,Times,https://www.proquest.com/newspapers/show-us-ball/docview/371524994/se-2?accountid=13360,TN
463,cap_and_trade,Rep. Wamp defends us,Anonymous,"Chattanooga Times Free Press; Chattanooga, Tenn.","Jun 21, 2009","Chattanooga, Tenn.",F.5,Free Press,https://www.proquest.com/newspapers/rep-wamp-defends-us/docview/371502431/se-2?accountid=13360,TN
495,cap_and_trade,Good news on the environment,Anonymous,"Chattanooga Times Free Press; Chattanooga, Tenn.","Apr 28, 2009","Chattanooga, Tenn.",B.7,Free Press,https://www.proquest.com/newspapers/good-news-on-environment/docview/371486728/se-2?accountid=13360,TN
755,cap_and_trade,Hilleary predicts GOP resurgence in Congress,"Wilson, Matt","Chattanooga Times Free Press; Chattanooga, Tenn.","Jul 14, 2009","Chattanooga, Tenn.",B.3,News,https://www.proquest.com/newspapers/hilleary-predicts-gop-resurgence-congress/docview/371477454/se-2?accountid=13360,TN
907,cap_and_trade,Governor's task force must hit the gas on sustainability: Our view,,"The Tennessean; Nashville, Tenn.","Jun 28, 2008","Nashville, Tenn.",,OPINION,https://www.proquest.com/newspapers/governors-task-force-must-hit-gas-on/docview/239860380/se-2?accountid=13360,TN
939,cap_and_trade,'Talking points' rather than facts,Anonymous,"Chattanooga Times Free Press; Chattanooga, Tenn.","May 10, 2009","Chattanooga, Tenn.",F.5,Free Press,https://www.proquest.com/newspapers/talking-points-rather-than-facts/docview/371508133/se-2?accountid=13360,TN
963,cap_and_trade,Democrats turn on Obama,Anonymous,"Chattanooga Times Free Press; Chattanooga, Tenn.","Jul 2, 2010","Chattanooga, Tenn.",B.7,Free Press,https://www.proquest.com/newspapers/democrats-turn-on-obama/docview/577622366/se-2?accountid=13360,TN
