previous_index,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
159,cap_and_trade,"Perry criticizes cap-and-trade bill, says Texans will pay more","Ladendorf, Kirk","Austin American Statesman; Austin, Tex.","Nov 10, 2009","Austin, Tex.",D.1,,https://www.proquest.com/newspapers/perry-criticizes-cap-trade-bill-says-texans-will/docview/255865126/se-2?accountid=13360,TX
952,cap_and_trade,Climate change bill gets caught in political crossfire,"Embry, Jason","Austin American Statesman; Austin, Tex.","Jun 7, 2008","Austin, Tex.",A.1,,https://www.proquest.com/newspapers/climate-change-bill-gets-caught-political/docview/255923326/se-2?accountid=13360,TX
959,cap_and_trade,"Thinking green, making money: [Final Edition]","Price, Asher","Austin American Statesman; Austin, Tex.","Jun 5, 2006","Austin, Tex.",,,https://www.proquest.com/newspapers/thinking-green-making-money/docview/255812588/se-2?accountid=13360,TX
1027,cap_and_trade,Texas plan to reduce haze in national parks wouldn’t require any new limits on pollution,"Douglas, Erin",The Texas Tribune; Austin,"Jun 30, 2021","Austin, Tex.",,,https://www.proquest.com/newspapers/texas-plan-reduce-haze-national-parks-wouldn-t/docview/2546781780/se-2?accountid=13360,TX
1238,cap_and_trade,Perry blasts new EPA carbon rules,"Price, Asher","Austin American Statesman; Austin, Tex.","Jun 3, 2014","Austin, Tex.",A.1,,https://www.proquest.com/newspapers/perry-blasts-new-epa-carbon-rules/docview/1531556357/se-2?accountid=13360,TX
1423,cap_and_trade,Senate committee rejects Bush's 'Clear Skies' plan,"Nesmith, Jeff","Austin American Statesman; Austin, Tex.","Mar 10, 2005","Austin, Tex.",,,https://www.proquest.com/newspapers/senate-committee-rejects-bushs-clear-skies-plan/docview/255756344/se-2?accountid=13360,TX
1429,cap_and_trade,RS Climate Bill,"Service, City","El Paso Times; El Paso, Tex.","Jul 18, 2017","El Paso, Tex.",,News,https://www.proquest.com/newspapers/rs-climate-bill/docview/1920045151/se-2?accountid=13360,TX
1431,cap_and_trade,Kasich: Forget the Green New Deal. We need climate solutions from free-market moderates.,"Kasich, John R",USA Today (Online); Arlington,"Mar 11, 2019","Arlington, Tex.",,opinion,https://www.proquest.com/newspapers/kasich-forget-green-new-deal-we-need-climate/docview/2189480822/se-2?accountid=13360,TX
1451,cap_and_trade,RS GOP Division,"Service, City","El Paso Times; El Paso, Tex.","Jul 20, 2017","El Paso, Tex.",,News,https://www.proquest.com/newspapers/rs-gop-division/docview/1921226105/se-2?accountid=13360,TX
1621,cap_and_trade,Bush's prudent proposal to cut mercury pollution,"Margaret N. Maxey, LOCAL CONTRIBUTOR","Austin American Statesman; Austin, Tex.","Apr 6, 2004","Austin, Tex.",,,https://www.proquest.com/newspapers/bushs-prudent-proposal-cut-mercury-pollution/docview/256853577/se-2?accountid=13360,TX
1895,cap_and_trade,"A gulf between Cornyn, Noriega on drilling","Embry, Jason","Austin American Statesman; Austin, Tex.","Oct 14, 2008","Austin, Tex.",A.1,,https://www.proquest.com/newspapers/gulf-between-cornyn-noriega-on-drilling/docview/255834244/se-2?accountid=13360,TX
2339,cap_and_trade,"New month may give Perry chance to get spark back campaign: Debate performances have hurt Perry, but race remains unsettled","Embry, Jason","Austin American Statesman; Austin, Tex.","Oct 1, 2011","Austin, Tex.",A.1,,https://www.proquest.com/newspapers/new-month-may-give-perry-chance-get-spark-back/docview/895792681/se-2?accountid=13360,TX
2570,cap_and_trade,Battling wildfires year-round is now the norm. How did we get here?,"Schnell, Lindsay",USA Today (Online); Arlington,"Nov 15, 2018","Arlington, Tex.",,news,https://www.proquest.com/newspapers/battling-wildfires-year-round-is-now-norm-how-did/docview/2133653013/se-2?accountid=13360,TX
2716,cap_and_trade,Closing arguments filed in emissions case,Susan Montoya Bryan,"El Paso Times; El Paso, Tex.","Nov 27, 2010","El Paso, Tex.",,News,https://www.proquest.com/newspapers/closing-arguments-filed-emissions-case/docview/814387144/se-2?accountid=13360,TX
2730,cap_and_trade,Climate Point: Big oil is headed back to court while Congress considers paying for its cleanup,"Olalde, Mark",USA Today (Online); Arlington,"Jun 26, 2020","Arlington, Tex.",,News,https://www.proquest.com/newspapers/climate-point-big-oil-is-headed-back-court-while/docview/2417581297/se-2?accountid=13360,TX
3082,cap_and_trade,Where the candidates stand on the issues: Charles A. Gonzalez,"Gonzalez, Ana Cristina","La Prensa; San Antonio, Tex.","Oct 24, 2010","San Antonio, Tex.",,Elections 2010,https://www.proquest.com/newspapers/where-candidates-stand-on-issues-charles-gonzalez/docview/762067624/se-2?accountid=13360,TX
3609,cap_and_trade,"Climate Point: Nepal is melting, and Trump wants to mine the moon","Olalde, Mark",USA Today (Online); Arlington,"Apr 10, 2020","Arlington, Tex.",,News,https://www.proquest.com/newspapers/climate-point-nepal-is-melting-trump-wants-mine/docview/2388079187/se-2?accountid=13360,TX
3666,cap_and_trade,Statewide races,Anonymous,"Austin American Statesman; Austin, Tex.","Oct 17, 2010","Austin, Tex.",E.2,,https://www.proquest.com/newspapers/statewide-races/docview/758861276/se-2?accountid=13360,TX
3868,cap_and_trade,NM Gov. Susana Martinez removes all EIB members,Anonymous,"El Paso Times; El Paso, Tex.","Jan 5, 2011","El Paso, Tex.",,News,https://www.proquest.com/newspapers/nm-gov-susana-martinez-removes-all-eib-members/docview/822477770/se-2?accountid=13360,TX
3891,cap_and_trade,RS Bus Grant,"Service, City","El Paso Times; El Paso, Tex.","Apr 20, 2017","El Paso, Tex.",,News,https://www.proquest.com/newspapers/rs-bus-grant/docview/1890237570/se-2?accountid=13360,TX
3916,cap_and_trade,TXU talks up coal plants to Congress: [Final Edition],"Nesmith, Jeff","Austin American Statesman; Austin, Tex.","Jan 26, 2007","Austin, Tex.",,,https://www.proquest.com/newspapers/txu-talks-up-coal-plants-congress/docview/255802625/se-2?accountid=13360,TX
4070,cap_and_trade,RS Bus Grant,"Service, City","El Paso Times; El Paso, Tex.","Apr 21, 2017","El Paso, Tex.",,News,https://www.proquest.com/newspapers/rs-bus-grant/docview/1890236835/se-2?accountid=13360,TX
4207,cap_and_trade,Biden to create a 'climate czar',,"El Paso Times; El Paso, Tex.","Nov 28, 2020","El Paso, Tex.",A.1,News,https://www.proquest.com/newspapers/biden-create-climate-czar/docview/2465973842/se-2?accountid=13360,TX
4249,cap_and_trade,Biden to create a 'climate czar',,"El Paso Times; El Paso, Tex.","Nov 28, 2020","El Paso, Tex.",A.1,News,https://www.proquest.com/newspapers/biden-create-climate-czar/docview/2465888703/se-2?accountid=13360,TX
4564,cap_and_trade,Letters: Privatize Sportspark,Anonymous,"El Paso Times; El Paso, Tex.","Oct 30, 2010","El Paso, Tex.",,Opinion,https://www.proquest.com/newspapers/letters-privatize-sportspark/docview/761154682/se-2?accountid=13360,TX
4827,cap_and_trade,LETTERS,Anonymous,"Austin American Statesman; Austin, Tex.","Jun 30, 2008","Austin, Tex.",A.8,,https://www.proquest.com/newspapers/letters/docview/255847222/se-2?accountid=13360,TX
4910,cap_and_trade,"Republicans created California, so why do Trump and his party treat it like the enemy?",Joe Mathews; Zócalo Public Square,USA Today (Online); Arlington,"Oct 27, 2019","Arlington, Tex.",,Opinion,https://www.proquest.com/newspapers/republicans-created-california-so-why-do-trump/docview/2308927402/se-2?accountid=13360,TX
5031,cap_and_trade,"Once Democrats take charge of the House, addressing climate change will become top priority again","King, Ledyard",USA Today (Online); Arlington,"Nov 26, 2018","Arlington, Tex.",,news,https://www.proquest.com/newspapers/once-democrats-take-charge-house-addressing/docview/2137442641/se-2?accountid=13360,TX
5072,cap_and_trade,Poor families get tips to slash energy costs: Volunteers supporting Obama's Clean Power Plan visit Austin homes.,"Price, Asher","Austin American Statesman; Austin, Tex.","Aug 18, 2015","Austin, Tex.",A.1,,https://www.proquest.com/newspapers/poor-families-get-tips-slash-energy-costs/docview/1704744749/se-2?accountid=13360,TX
5245,cap_and_trade,"Obama Unveils Climate Rules, With Texas-Wide Implications","Malewitz, Jim; Collier, Kiah",The Texas Tribune; Austin,"Aug 4, 2015","Austin, Tex.",,,https://www.proquest.com/newspapers/obama-unveils-climate-rules-with-texas-wide/docview/1701189050/se-2?accountid=13360,TX
5410,cap_and_trade,What does Trump's repeal of environmental rules mean for Texas?,"Collier, Kiah",The Texas Tribune; Austin,"Oct 13, 2017","Austin, Tex.",,,https://www.proquest.com/newspapers/what-does-trumps-repeal-environmental-rules-mean/docview/1950564061/se-2?accountid=13360,TX
5423,cap_and_trade,Utilities Hope Texas Plays Ball on Clean Air Plan,"Collier, Kiah",The Texas Tribune; Austin,"Aug 2, 2015","Austin, Tex.",,,https://www.proquest.com/newspapers/utilities-hope-texas-plays-ball-on-clean-air-plan/docview/1700576618/se-2?accountid=13360,TX
5488,cap_and_trade,"Ahead of Democrat debate in California, some controversial state laws have the field divided","Metz, Sam; Canon, Gabrielle",USA Today (Online); Arlington,"Dec 19, 2019","Arlington, Tex.",,News,https://www.proquest.com/newspapers/ahead-democrat-debate-california-some/docview/2328201519/se-2?accountid=13360,TX
5529,cap_and_trade,Democrats to debate in California. Some of the state's controversial laws have divided the field,"Metz, Sam; Canon, Gabrielle",USA Today (Online); Arlington,"Dec 19, 2019","Arlington, Tex.",,News,https://www.proquest.com/newspapers/democrats-debate-california-some-states/docview/2328202411/se-2?accountid=13360,TX
5588,cap_and_trade,"‘Molly of Denali,’ saloon discourse, ashes by mail: News from around our 50 states",From USA TODAY Network;wire reports,USA Today (Online); Arlington,"Jul 10, 2019","Arlington, Tex.",,news,https://www.proquest.com/newspapers/molly-denali-saloon-discourse-ashes-mail-news/docview/2254236700/se-2?accountid=13360,TX
5590,cap_and_trade,"Arthur Ashe, missing Marilyn, pacifier-eating pup: News from around our 50 states",From USA TODAY Network;wire reports,USA Today (Online); Arlington,"Jun 21, 2019","Arlington, Tex.",,news,https://www.proquest.com/newspapers/arthur-ashe-missing-marilyn-pacifier-eating-pup/docview/2243899826/se-2?accountid=13360,TX
5636,carbon_tax,"Jobs vs. environment?// Panel urges U.S. to seek link between economic, global health: [FINAL Edition]","Abramson, Rudy","Austin American Statesman; Austin, Tex.","Dec 12, 1992","Austin, Tex.",,NEWS,https://www.proquest.com/newspapers/jobs-vs-environment-panel-urges-u-s-seek-link/docview/256385034/se-2?accountid=13360,TX
5655,carbon_tax,Bush agenda does not list environment: [FINAL Edition],"Flattau, Edward","Austin American Statesman; Austin, Tex.","Mar 16, 1992","Austin, Tex.",,EDITORIAL,https://www.proquest.com/newspapers/bush-agenda-does-not-list-environment/docview/256351872/se-2?accountid=13360,TX
5763,carbon_tax,"Travel writer Rick Steves explains self-imposed $1M carbon tax, where that money is going",By Rick Steves,USA Today (Online); Arlington,"Nov 6, 2019","Arlington, Tex.",,Travel,https://www.proquest.com/newspapers/travel-writer-rick-steves-explains-self-imposed/docview/2312241881/se-2?accountid=13360,TX
5901,carbon_tax,Warning on environment is ignored,,"El Paso Times; El Paso, Tex.","Nov 1, 2017","El Paso, Tex.",A.6,News,https://www.proquest.com/newspapers/warning-on-environment-is-ignored/docview/1961146262/se-2?accountid=13360,TX
5942,carbon_tax,"Climate solutions include free-market innovation, not taxation: Sen. John Barrasso",John Barrasso; Opinion contributor,USA Today (Online); Arlington,"Feb 19, 2020","Arlington, Tex.",,Opinion,https://www.proquest.com/newspapers/climate-solutions-include-free-market-innovation/docview/2357693557/se-2?accountid=13360,TX
5981,carbon_tax,Democrats to debate in California. Some of the state's controversial laws have divided the field,"Metz, Sam; Canon, Gabrielle",USA Today (Online); Arlington,"Dec 19, 2019","Arlington, Tex.",,News,https://www.proquest.com/newspapers/democrats-debate-california-some-states/docview/2328202411/se-2?accountid=13360,TX
5982,carbon_tax,"Ahead of Democrat debate in California, some controversial state laws have the field divided","Metz, Sam; Canon, Gabrielle",USA Today (Online); Arlington,"Dec 19, 2019","Arlington, Tex.",,News,https://www.proquest.com/newspapers/ahead-democrat-debate-california-some/docview/2328201519/se-2?accountid=13360,TX
6145,carbon_tax,"Pay for pollution // Nations should pay tax for use and abuse of ailing oceans, atmosphere: [FINAL Edition]","Stone, Christopher D","Austin American Statesman; Austin, Tex.","Aug 30, 1989","Austin, Tex.",,EDITORIAL,https://www.proquest.com/newspapers/pay-pollution-nations-should-tax-use-abuse-ailing/docview/256030158/se-2?accountid=13360,TX
6381,carbon_tax,What Elon Musk stands to gain and lose with Trump,Marco della Cava,USA Today (Online); Arlington,"Feb 3, 2017","Arlington, Tex.",,tech,https://www.proquest.com/newspapers/what-elon-musk-stands-gain-lose-with-trump/docview/1864804135/se-2?accountid=13360,TX
6539,carbon_tax,"Climate change: Democrats see Trump, GOP inaction as 2020 opportunity","King, Ledyard",USA Today (Online); Arlington,"Dec 31, 2018","Arlington, Tex.",,news,https://www.proquest.com/newspapers/climate-change-democrats-see-trump-gop-inaction/docview/2161743671/se-2?accountid=13360,TX
6540,carbon_tax,"Climate change: Democrats see Trump, GOP inaction as 2020 opportunity","King, Ledyard",USA Today (Online); Arlington,"Dec 31, 2018","Arlington, Tex.",,news,https://www.proquest.com/newspapers/climate-change-democrats-see-trump-gop-inaction/docview/2161748008/se-2?accountid=13360,TX
6603,carbon_tax,These grandparents are dropping everything to fight climate change,"Weise, Elizabeth",USA Today (Online); Arlington,"Apr 23, 2019","Arlington, Tex.",,news,https://www.proquest.com/newspapers/these-grandparents-are-dropping-everything-fight/docview/2212709217/se-2?accountid=13360,TX
6615,carbon_tax,These grandparents are dropping everything to fight climate change,"Weise, Elizabeth",USA Today (Online); Arlington,"Apr 26, 2019","Arlington, Tex.",,news,https://www.proquest.com/newspapers/these-grandparents-are-dropping-everything-fight/docview/2215220555/se-2?accountid=13360,TX
6717,carbon_tax,Kasich: Forget the Green New Deal. We need climate solutions from free-market moderates.,"Kasich, John R",USA Today (Online); Arlington,"Mar 11, 2019","Arlington, Tex.",,opinion,https://www.proquest.com/newspapers/kasich-forget-green-new-deal-we-need-climate/docview/2189480822/se-2?accountid=13360,TX
6764,carbon_tax,Canada's environmental plan derided for lack of financing: [FINAL Edition],,"Austin American Statesman; Austin, Tex.","Dec 13, 1990","Austin, Tex.",,NEWS,https://www.proquest.com/newspapers/canadas-environmental-plan-derided-lack-financing/docview/256080427/se-2?accountid=13360,TX
6860,carbon_tax,Letters to the Editor,,"Austin American Statesman; Austin, Tex.","Sep 30, 2014","Austin, Tex.",A.6,,https://www.proquest.com/newspapers/letters-editor/docview/1566362746/se-2?accountid=13360,TX
6900,carbon_tax,"During Texas visit, Rick Perry touts Houston-area carbon capture system","Collier, Kiah",The Texas Tribune; Austin,"Apr 13, 2017","Austin, Tex.",,,https://www.proquest.com/newspapers/during-texas-visit-rick-perry-touts-houston-area/docview/1887194231/se-2?accountid=13360,TX
6995,carbon_tax,Sustainable beauty gifts for the holidays,"Sprankles, Julie",USA Today (Online); Arlington,"Dec 3, 2019","Arlington, Tex.",,Life,https://www.proquest.com/newspapers/sustainable-beauty-gifts-holidays/docview/2320916360/se-2?accountid=13360,TX
7032,carbon_tax,Q&A with 2020 candidate John Delaney: This election is going to be fought in the center,,USA Today (Online); Arlington,"Jul 9, 2019","Arlington, Tex.",,Opinion,https://www.proquest.com/newspapers/q-amp-with-2020-candidate-john-delaney-this/docview/2254128706/se-2?accountid=13360,TX
7316,carbon_tax,"An unlikely climate hero [Corrected 10/24/17]: In very red Georgetown, GOP mayor backs green energy.","Tilove, Jonathan","Austin American Statesman; Austin, Tex.","Oct 22, 2017","Austin, Tex.",A.1,,https://www.proquest.com/newspapers/unlikely-climate-hero-corrected-10-24-17/docview/1954009106/se-2?accountid=13360,TX
7498,carbon_tax,"MSC Cruises to be carbon neutral by 2020, adds new, more environmentally friendly ship","Hines, Morgan",USA Today (Online); Arlington,"Nov 8, 2019","Arlington, Tex.",,Travel,https://www.proquest.com/newspapers/msc-cruises-be-carbon-neutral-2020-adds-new-more/docview/2312739626/se-2?accountid=13360,TX
7596,carbon_tax,LETTERS TO THE EDITOR,,"Austin American Statesman; Austin, Tex.","Jan 29, 2013","Austin, Tex.",A.8,,https://www.proquest.com/newspapers/letters-editor/docview/1283761297/se-2?accountid=13360,TX
7840,carbon_tax,All the selfish reasons we need an anti-oil foreign policy. It's not just about climate.,"Burns, Sean",USA Today (Online); Arlington,"Nov 29, 2018","Arlington, Tex.",,opinion,https://www.proquest.com/newspapers/all-selfish-reasons-we-need-anti-oil-foreign/docview/2139004534/se-2?accountid=13360,TX
7877,carbon_tax,All the selfish reasons we need an anti-oil foreign policy. It's not just about climate.,"Burns, Sean",USA Today (Online); Arlington,"Nov 30, 2018","Arlington, Tex.",,opinion,https://www.proquest.com/newspapers/all-selfish-reasons-we-need-anti-oil-foreign/docview/2139691695/se-2?accountid=13360,TX
7879,carbon_tax,LETTERS,Anonymous,"Austin American Statesman; Austin, Tex.","Apr 13, 2011","Austin, Tex.",A.8,,https://www.proquest.com/newspapers/letters/docview/862259704/se-2?accountid=13360,TX
7883,carbon_tax,2020 White House race: Democrat Andrew Yang rolls out plan to tackle climate change,"Behrmann, Savannah",USA Today (Online); Arlington,"Aug 26, 2019","Arlington, Tex.",,news,https://www.proquest.com/newspapers/2020-white-house-race-democrat-andrew-yang-rolls/docview/2280259951/se-2?accountid=13360,TX
8141,carbon_tax,"Firm promotes fossil fuel beyond Texas: Texas Public Policy Foundation is exporting advocacy for oil, gas and coal","Price, Asher","Austin American Statesman; Austin, Tex.","Jun 16, 2019","Austin, Tex.",1,,https://www.proquest.com/newspapers/firm-promotes-fossil-fuel-beyond-texas/docview/2240621414/se-2?accountid=13360,TX
8314,clean_energy_standard,State of the Union speech text,,"El Paso Times; El Paso, Tex.","Jan 25, 2012","El Paso, Tex.",,News,https://www.proquest.com/newspapers/state-union-speech-text/docview/917580137/se-2?accountid=13360,TX
8416,demand-side_management,Mueller's latest purpose: lab for energy innovation,"Toohey, Marty","Austin American Statesman; Austin, Tex.","Aug 29, 2009","Austin, Tex.",A.1,,https://www.proquest.com/newspapers/muellers-latest-purpose-lab-energy-innovation/docview/255852378/se-2?accountid=13360,TX
8536,demand-side_management,Mueller's latest purpose: lab for energy innovation,"Toohey, Marty","Austin American Statesman; Austin, Tex.","Aug 29, 2009","Austin, Tex.",A.1,,https://www.proquest.com/newspapers/muellers-latest-purpose-lab-energy-innovation/docview/255852378/se-2?accountid=13360,TX
8685,emissions_tax,Earth Day: Fighting climate change requires political collaboration and immediate action,"Kerry, John; Moniz, Ernest",USA Today (Online); Arlington,"Apr 22, 2019","Arlington, Tex.",,opinion,https://www.proquest.com/newspapers/earth-day-fighting-climate-change-requires/docview/2211935854/se-2?accountid=13360,TX
8772,gas_tax,"Clinton targets Texans with talk of gas tax, collider: [FINAL Edition]","Malone, Julia","Austin American Statesman; Austin, Tex.","Jul 29, 1993","Austin, Tex.",,CITY/STATE,https://www.proquest.com/newspapers/clinton-targets-texans-with-talk-gas-tax-collider/docview/256253310/se-2?accountid=13360,TX
8809,gas_tax,"Economic session offers clues to Clinton's plans // Gas tax, health-care cost curbs look likely Series: CHANGING OF THE GUARD: [FINAL Edition]","Boyd, Robert S","Austin American Statesman; Austin, Tex.","Dec 17, 1992","Austin, Tex.",,NEWS,https://www.proquest.com/newspapers/economic-session-offers-clues-clintons-plans-gas/docview/256452294/se-2?accountid=13360,TX
8814,gas_tax,"Jobs vs. environment?// Panel urges U.S. to seek link between economic, global health: [FINAL Edition]","Abramson, Rudy","Austin American Statesman; Austin, Tex.","Dec 12, 1992","Austin, Tex.",,NEWS,https://www.proquest.com/newspapers/jobs-vs-environment-panel-urges-u-s-seek-link/docview/256385034/se-2?accountid=13360,TX
8823,gas_tax,Fuel efficiency standards backfire on environment: [FINAL Edition],"Chase, Alston","Austin American Statesman; Austin, Tex.","Nov 4, 1991","Austin, Tex.",,EDITORIAL,https://www.proquest.com/newspapers/fuel-efficiency-standards-backfire-on-environment/docview/256347500/se-2?accountid=13360,TX
8845,gas_tax,Senate to vote on pumping up highway money with gas tax,"Harlan, Christi","Austin American Statesman; Austin, Tex.","Mar 4, 1998","Austin, Tex.",,,https://www.proquest.com/newspapers/senate-vote-on-pumping-up-highway-money-with-gas/docview/255543625/se-2?accountid=13360,TX
9047,gas_tax,"Props 1, 7 curb need to hike gas tax in Texas","Wear, Ben","Austin American Statesman; Austin, Tex.","Jul 16, 2018","Austin, Tex.",B.1,,https://www.proquest.com/newspapers/props-1-7-curb-need-hike-gas-tax-texas/docview/2070451436/se-2?accountid=13360,TX
9080,gas_tax,Repeal of gas tax called `inevitable' Many Democrats feel compelled to back GOP plan; vote possible today,"Skidmore, Dave","Austin American Statesman; Austin, Tex.","May 7, 1996","Austin, Tex.",,,https://www.proquest.com/newspapers/repeal-gas-tax-called-inevitable-many-democrats/docview/256792420/se-2?accountid=13360,TX
9101,gas_tax,"Hutchison: Highway funding proposal shortchanges Texas ; State pumps more gas tax into fund than it gets back, senators say","Lindell, Chuck","Austin American Statesman; Austin, Tex.","May 17, 2005","Austin, Tex.",,,https://www.proquest.com/newspapers/hutchison-highway-funding-proposal-shortchanges/docview/255732217/se-2?accountid=13360,TX
9175,gas_tax,LETTER,Anonymous,"Austin American Statesman; Austin, Tex.","May 19, 2009","Austin, Tex.",A.8,,https://www.proquest.com/newspapers/letter/docview/255836714/se-2?accountid=13360,TX
9341,gas_tax,Why toll roads likely to multiply ; Texas leaders say we need them; how much is open to question,"Wear, Ben","Austin American Statesman; Austin, Tex.","Feb 8, 2004","Austin, Tex.",,,https://www.proquest.com/newspapers/why-toll-roads-likely-multiply-texas-leaders-say/docview/256895764/se-2?accountid=13360,TX
9410,gas_tax,"As oil and gas exports surge, West Texas becomes the world’s “extraction colony”","Collier, Kiah; The",The Texas Tribune; Austin,"Oct 11, 2018","Austin, Tex.",,,https://www.proquest.com/newspapers/as-oil-gas-exports-surge-west-texas-becomes-world/docview/2310475507/se-2?accountid=13360,TX
9920,gas_tax,Gasoline tax merits some serious debate: [FINAL Edition],,"Austin American Statesman; Austin, Tex.","Oct 14, 1992","Austin, Tex.",,EDITORIAL,https://www.proquest.com/newspapers/gasoline-tax-merits-some-serious-debate/docview/256371275/se-2?accountid=13360,TX
10066,gas_tax,Tax details offer true reading of Clinton's record: [FINAL Edition],"Ivins, Molly","Austin American Statesman; Austin, Tex.","Sep 2, 1992","Austin, Tex.",,EDITORIAL,https://www.proquest.com/newspapers/tax-details-offer-true-reading-clintons-record/docview/256420469/se-2?accountid=13360,TX
10374,gas_tax,We'll pay for problems with more than tolls: [Final Edition],Sen. Kirk Watson; D-Austin; TEXAS SENATE,"Austin American Statesman; Austin, Tex.","Jul 5, 2007","Austin, Tex.",,,https://www.proquest.com/newspapers/well-pay-problems-with-more-than-tolls/docview/256929272/se-2?accountid=13360,TX
10546,gas_tax,Environmental bills could have impact,"Price, Asher","Austin American Statesman; Austin, Tex.","Mar 16, 2013","Austin, Tex.",A.1,,https://www.proquest.com/newspapers/environmental-bills-could-have-impact/docview/1317449863/se-2?accountid=13360,TX
10557,gas_tax,Gas prices may have hit tipping point,"Wear, Ben","Austin American Statesman; Austin, Tex.","Jul 11, 2005","Austin, Tex.",,,https://www.proquest.com/newspapers/gas-prices-may-have-hit-tipping-point/docview/255752874/se-2?accountid=13360,TX
10693,gas_tax,LETTERS: [Final Edition],,"Austin American Statesman; Austin, Tex.","Feb 24, 2007","Austin, Tex.",,,https://www.proquest.com/newspapers/letters/docview/255768278/se-2?accountid=13360,TX
