,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
79,cap_and_trade,Bill would repeal N.H. cap-and-trade law,Anonymous,"The Brattleboro Reformer; Brattleboro, Vt.","Feb 11, 2011","Brattleboro, Vt.",,News,https://www.proquest.com/newspapers/bill-would-repeal-n-h-cap-trade-law/docview/851243588/se-2?accountid=13360,VT
165,cap_and_trade,Europe fights to save carbon cap-and-trade system as crisis hits,,"Bennington Banner; Bennington, Vt.","Dec 20, 2011","Bennington, Vt.",,Business,https://www.proquest.com/newspapers/europe-fights-save-carbon-cap-trade-system-as/docview/912065968/se-2?accountid=13360,VT
401,cap_and_trade,Political environment: Earth put on the back burner,"Johnson, Tim","The Burlington Free Press; Burlington, Vt.","Sep 26, 2010","Burlington, Vt.",,Green Mountain,https://www.proquest.com/newspapers/political-environment-earth-put-on-back-burner/docview/754947239/se-2?accountid=13360,VT
461,cap_and_trade,Let Free Market Decide the Best Sources of Electricity,"Loris, Nicolas; Spencer, Jack","Valley News; White River Junction, Vt.","Nov 9, 2010","White River Junction, Vt.",A.6,Opinion,https://www.proquest.com/newspapers/let-free-market-decide-best-sources-electricity/docview/763507379/se-2?accountid=13360,VT
758,cap_and_trade,The Long View,"Wooster, Chuck","Valley News; White River Junction, Vt.","Oct 5, 2014","White River Junction, Vt.",,Columns,https://www.proquest.com/newspapers/long-view/docview/1586051909/se-2?accountid=13360,VT
759,cap_and_trade,The Long View,"Wooster, Chuck","Valley News; White River Junction, Vt.","Oct 4, 2014","White River Junction, Vt.",,Opinion,https://www.proquest.com/newspapers/long-view/docview/1585907095/se-2?accountid=13360,VT
843,cap_and_trade,N.H. governor signs global warming initiative into law,"Love, Norma","The Brattleboro Reformer; Brattleboro, Vt.","Jun 11, 2008","Brattleboro, Vt.",,Breaking,https://www.proquest.com/newspapers/n-h-governor-signs-global-warming-initiative-into/docview/380239337/se-2?accountid=13360,VT
872,cap_and_trade,Obama opens second-term drive against climate change,,"Bennington Banner; Bennington, Vt.","Jun 25, 2013","Bennington, Vt.",,News,https://www.proquest.com/newspapers/obama-opens-second-term-drive-against-climate/docview/1371045196/se-2?accountid=13360,VT
903,cap_and_trade,N.H. House OKs global warming bill,"Love, Norma","The Brattleboro Reformer; Brattleboro, Vt.","Mar 20, 2008","Brattleboro, Vt.",,State,https://www.proquest.com/newspapers/n-h-house-oks-global-warming-bill/docview/380191942/se-2?accountid=13360,VT
947,cap_and_trade,Ayotte: Climate a Concern: Senator Bucks GOP Hard Line,"Wolfe, Rob","Valley News; White River Junction, Vt.","Oct 16, 2015","White River Junction, Vt.",,Newsletter,https://www.proquest.com/newspapers/ayotte-climate-concern/docview/1723741559/se-2?accountid=13360,VT
948,cap_and_trade,Ayotte: Climate a Concern: Senator Bucks GOP Hard Line,"Wolfe, Rob","Valley News; White River Junction, Vt.","Oct 15, 2015","White River Junction, Vt.",,News,https://www.proquest.com/newspapers/ayotte-climate-concern/docview/1722300883/se-2?accountid=13360,VT
1102,cap_and_trade,Premiers pressed on climate change,,"The Brattleboro Reformer; Brattleboro, Vt.","Jun 26, 2007","Brattleboro, Vt.",,State,https://www.proquest.com/newspapers/premiers-pressed-on-climate-change/docview/380185577/se-2?accountid=13360,VT
1108,cap_and_trade,Senate climate bill is tough,Anonymous,"The Brattleboro Reformer; Brattleboro, Vt.","Sep 30, 2009","Brattleboro, Vt.",,News,https://www.proquest.com/newspapers/senate-climate-bill-is-tough/docview/380071679/se-2?accountid=13360,VT
1166,cap_and_trade,McCain urges market principles to reduce global warming,Anonymous,"Bennington Banner; Bennington, Vt.","May 13, 2008","Bennington, Vt.",,News,https://www.proquest.com/newspapers/mccain-urges-market-principles-reduce-global/docview/379661190/se-2?accountid=13360,VT
1173,cap_and_trade,Republican wants to keep global warming committee,Anonymous,"The Brattleboro Reformer; Brattleboro, Vt.","Nov 9, 2010","Brattleboro, Vt.",,News,https://www.proquest.com/newspapers/republican-wants-keep-global-warming-committee/docview/763063230/se-2?accountid=13360,VT
1259,cap_and_trade,"Perry attacks Romney, Obama in policy speech",,"Bennington Banner; Bennington, Vt.","Sep 30, 2011","Bennington, Vt.",,News,https://www.proquest.com/newspapers/perry-attacks-romney-obama-policy-speech/docview/895147132/se-2?accountid=13360,VT
1263,cap_and_trade,N.H. Senate OKs global warming plan,"Love, Norma","The Brattleboro Reformer; Brattleboro, Vt.","May 16, 2008","Brattleboro, Vt.",,State,https://www.proquest.com/newspapers/n-h-senate-oks-global-warming-plan/docview/380201399/se-2?accountid=13360,VT
1276,cap_and_trade,'Cap and Tax' Plan Threatens Economy,"Palin, Sarah","Valley News; White River Junction, Vt.","Jul 15, 2009","White River Junction, Vt.",A.6,Opinion,https://www.proquest.com/newspapers/cap-tax-plan-threatens-economy/docview/378677954/se-2?accountid=13360,VT
1476,cap_and_trade,Colleges put focus on global warming,"Johnson, Tim","The Burlington Free Press; Burlington, Vt.","Jan 29, 2008","Burlington, Vt.",,Vermont,https://www.proquest.com/newspapers/colleges-put-focus-on-global-warming/docview/439845610/se-2?accountid=13360,VT
1504,cap_and_trade,Court: Mercury plan ignored law,,"Bennington Banner; Bennington, Vt.","Feb 9, 2008","Bennington, Vt.",,News,https://www.proquest.com/newspapers/court-mercury-plan-ignored-law/docview/379659742/se-2?accountid=13360,VT
1565,cap_and_trade,N.H. Senators Face Pressure,"Gregg, John P","Valley News; White River Junction, Vt.","Jun 6, 2008","White River Junction, Vt.",A.1,Local/Region,https://www.proquest.com/newspapers/n-h-senators-face-pressure/docview/378708294/se-2?accountid=13360,VT
1587,cap_and_trade,Zero credibility,Report,"The Burlington Free Press; Burlington, Vt.","Mar 25, 2004","Burlington, Vt.",,Opinion,https://www.proquest.com/newspapers/zero-credibility/docview/439788193/se-2?accountid=13360,VT
1716,cap_and_trade,Column: States Would Do Better to Cooperate on Greenhouse Gas Rules,,"Valley News; White River Junction, Vt.","Mar 16, 2015","White River Junction, Vt.",,Opinion,https://www.proquest.com/newspapers/column-states-would-do-better-cooperate-on/docview/1663783654/se-2?accountid=13360,VT
1736,cap_and_trade,Obama Generates an Energy Revolution,"Mufson, Steven","Valley News; White River Junction, Vt.","Apr 11, 2009","White River Junction, Vt.",A.10,Opinion,https://www.proquest.com/newspapers/obama-generates-energy-revolution/docview/378720977/se-2?accountid=13360,VT
1750,cap_and_trade,Column: States Would Do Better to Cooperate on Greenhouse Gas Rules,,"Valley News; White River Junction, Vt.","Mar 17, 2015","White River Junction, Vt.",,Columns,https://www.proquest.com/newspapers/column-states-would-do-better-cooperate-on/docview/1664035821/se-2?accountid=13360,VT
1855,cap_and_trade,Population: The repressed dimension of global warming,"Westing, Arthur H","The Brattleboro Reformer; Brattleboro, Vt.","Mar 19, 2010","Brattleboro, Vt.",,Opinion,https://www.proquest.com/newspapers/population-repressed-dimension-global-warming/docview/380135636/se-2?accountid=13360,VT
1903,cap_and_trade,Court: EPA ignored law when it eased rules for reducing mercury pollution,"Hebert, H Josef","The Brattleboro Reformer; Brattleboro, Vt.","Feb 9, 2008","Brattleboro, Vt.",,Local,https://www.proquest.com/newspapers/court-epa-ignored-law-when-eased-rules-reducing/docview/380201037/se-2?accountid=13360,VT
2164,cap_and_trade,Senators revise climate bill to court GOP support,Anonymous,"Bennington Banner; Bennington, Vt.","Dec 10, 2009","Bennington, Vt.",,News,https://www.proquest.com/newspapers/senators-revise-climate-bill-court-gop-support/docview/379725457/se-2?accountid=13360,VT
2166,cap_and_trade,Heed mercury warnings,Report,"The Burlington Free Press; Burlington, Vt.","Aug 26, 2004","Burlington, Vt.",,Opinion,https://www.proquest.com/newspapers/heed-mercury-warnings/docview/439794273/se-2?accountid=13360,VT
2176,cap_and_trade,RGGI will create green jobs for Vt.,Gov. JAMES DOUGLAS,"The Brattleboro Reformer; Brattleboro, Vt.","Sep 19, 2008","Brattleboro, Vt.",,Opinion,https://www.proquest.com/newspapers/rggi-will-create-green-jobs-vt/docview/380275086/se-2?accountid=13360,VT
2492,cap_and_trade,Global warming plan from Bush panned in Europe,,"Bennington Banner; Bennington, Vt.","Sep 29, 2007","Bennington, Vt.",,News,https://www.proquest.com/newspapers/global-warming-plan-bush-panned-europe/docview/379667082/se-2?accountid=13360,VT
2563,cap_and_trade,Numbers that count,"Plumb, George E","The Brattleboro Reformer; Brattleboro, Vt.","Jun 8, 2009","Brattleboro, Vt.",,Opinion,https://www.proquest.com/newspapers/numbers-that-count/docview/380034742/se-2?accountid=13360,VT
2599,cap_and_trade,"Dartmouth Professor Leads Study to Unite Science, Policy on Climate Change","Corriveau, David","Valley News; White River Junction, Vt.","Mar 15, 2009","White River Junction, Vt.",B.1,Local/Region,https://www.proquest.com/newspapers/dartmouth-professor-leads-study-unite-science/docview/378712787/se-2?accountid=13360,VT
2655,cap_and_trade,The Wrong Case for Renewable Energy,"Borenstein, Severin","Valley News; White River Junction, Vt.","Feb 15, 2012","White River Junction, Vt.",A.6,Opinion,https://www.proquest.com/newspapers/wrong-case-renewable-energy/docview/921614513/se-2?accountid=13360,VT
2813,cap_and_trade,The road to Bali,,"Bennington Banner; Bennington, Vt.","Dec 6, 2007","Bennington, Vt.",,Editorials,https://www.proquest.com/newspapers/road-bali/docview/379630253/se-2?accountid=13360,VT
2817,cap_and_trade,Carbon goes on sale in N.Y.,"Matthews, Karen","The Brattleboro Reformer; Brattleboro, Vt.","Sep 26, 2008","Brattleboro, Vt.",,National,https://www.proquest.com/newspapers/carbon-goes-on-sale-n-y/docview/380230920/se-2?accountid=13360,VT
2882,cap_and_trade,Global warming is a local issue,,"Bennington Banner; Bennington, Vt.","May 13, 2014","Bennington, Vt.",,Opinion,https://www.proquest.com/newspapers/global-warming-is-local-issue/docview/1524242269/se-2?accountid=13360,VT
2926,cap_and_trade,Invest in a low-carbon future,"Replogle, John","The Burlington Free Press; Burlington, Vt.","Aug 25, 2017","Burlington, Vt.",A.15,Opinion,https://www.proquest.com/newspapers/invest-low-carbon-future/docview/1931944478/se-2?accountid=13360,VT
3273,cap_and_trade,CARLESS -- Part VI: Up in the air,"Johnson, Tim","The Burlington Free Press; Burlington, Vt.","Sep 24, 2005","Burlington, Vt.",,Living,https://www.proquest.com/newspapers/carless-part-vi-up-air/docview/439816813/se-2?accountid=13360,VT
3276,cap_and_trade,CARLESS -- Part VI: Up in the air,"Johnson, Tim","The Burlington Free Press; Burlington, Vt.","Sep 26, 2005","Burlington, Vt.",,Business Monday,https://www.proquest.com/newspapers/carless-part-vi-up-air/docview/439816136/se-2?accountid=13360,VT
3297,cap_and_trade,6. CARLESS: Up in the air,"Johnson, Tim","The Burlington Free Press; Burlington, Vt.","Sep 26, 2005","Burlington, Vt.",,Business Monday,https://www.proquest.com/newspapers/6-carless-up-air/docview/439815452/se-2?accountid=13360,VT
3437,cap_and_trade,Obama points to Vermont as a model for carbon reduction,JOHN HERRICK VTDiggerorg,"Bennington Banner; Bennington, Vt.","Jun 6, 2014","Bennington, Vt.",,News,https://www.proquest.com/newspapers/obama-points-vermont-as-model-carbon-reduction/docview/1533846576/se-2?accountid=13360,VT
3453,cap_and_trade,President's strategy includes Vt. ingenuity,"Goswami, Neal P","Bennington Banner; Bennington, Vt.","Dec 8, 2009","Bennington, Vt.",,News,https://www.proquest.com/newspapers/presidents-strategy-includes-vt-ingenuity/docview/379643901/se-2?accountid=13360,VT
3474,cap_and_trade,Mercury in air linked to power plants,"Page, Candace","The Burlington Free Press; Burlington, Vt.","Oct 22, 2006","Burlington, Vt.",,Vermont,https://www.proquest.com/newspapers/mercury-air-linked-power-plants/docview/439829931/se-2?accountid=13360,VT
3480,cap_and_trade,Obama points to Vermont as a model for carbon reduction,"Herrick, John","The Brattleboro Reformer; Brattleboro, Vt.","Jun 3, 2014","Brattleboro, Vt.",,Breaking,https://www.proquest.com/newspapers/obama-points-vermont-as-model-carbon-reduction/docview/1532014322/se-2?accountid=13360,VT
3521,cap_and_trade,Principle vs. compromise,"Kelly, Erin","The Burlington Free Press; Burlington, Vt.","Oct 28, 2007","Burlington, Vt.",,News,https://www.proquest.com/newspapers/principle-vs-compromise/docview/439841847/se-2?accountid=13360,VT
3558,cap_and_trade,Obama won't fight global warming with bear rules,"Hebert, H Josef","The Brattleboro Reformer; Brattleboro, Vt.","May 9, 2009","Brattleboro, Vt.",,National,https://www.proquest.com/newspapers/obama-wont-fight-global-warming-with-bear-rules/docview/379988218/se-2?accountid=13360,VT
3692,cap_and_trade,"Miles to go, vows to keep for Obama","Woodward, Calvin","The Brattleboro Reformer; Brattleboro, Vt.","Apr 29, 2009","Brattleboro, Vt.",,National,https://www.proquest.com/newspapers/miles-go-vows-keep-obama/docview/380301766/se-2?accountid=13360,VT
