previous_index,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
109,cap_and_trade,Cap-and-trade carbon proposal for Washington,,"Spokesman Review; Spokane, Wash.","Mar 24, 2019","Spokane, Wash.",C.2,,https://www.proquest.com/newspapers/cap-trade-carbon-proposal-washington/docview/2196250080/se-2?accountid=13360,WA
231,cap_and_trade,"CLEAN FUEL STANDARD, 'CAP-AND-TRADE' PROPOSALS PASS STATE SENATE LATE THURSDAY Some senators see laws as controversial","Demkovich, Laurel","Spokesman Review; Spokane, Wash.","Apr 10, 2021","Spokane, Wash.",C.1,,https://www.proquest.com/newspapers/clean-fuel-standard-cap-trade-proposals-pass/docview/2512752733/se-2?accountid=13360,WA
346,cap_and_trade,"WITH 2 DAYS LEFT IN SESSION, WASHINGTON HOUSE PASSES 'CAP AND TRADE' PROPOSAL Bill goes back to Senate for approval","Demkovich, Laurel","Spokesman Review; Spokane, Wash.","Apr 24, 2021","Spokane, Wash.",C.1,,https://www.proquest.com/newspapers/with-2-days-left-session-washington-house-passes/docview/2521545567/se-2?accountid=13360,WA
396,cap_and_trade,Budget overshadows environment in Olympia,"Durbin, Kathie","Columbian; Vancouver, Wash.","Apr 22, 2011","Vancouver, Wash.",A.1,Clark County,https://www.proquest.com/newspapers/budget-overshadows-environment-olympia/docview/863037015/se-2?accountid=13360,WA
423,cap_and_trade,"UNIFIED STRATEGY; Our View: U.S. energy, environment needs are intertwined",Anonymous,"Spokesman Review; Spokane, Wash.","Apr 21, 2009","Spokane, Wash.",A.11,,https://www.proquest.com/newspapers/unified-strategy-our-view-u-s-energy-environment/docview/395093321/se-2?accountid=13360,WA
505,cap_and_trade,Vancouver measures its impact on environment,"Robinson, Erik","Columbian; Vancouver, Wash.","Jun 3, 2008","Vancouver, Wash.",A.1,Front Page,https://www.proquest.com/newspapers/vancouver-measures-impact-on-environment/docview/253379114/se-2?accountid=13360,WA
506,cap_and_trade,"INITIATIVES ON ENERGY, ENVIRONMENT FIND MIDDLE",Anonymous,"Spokesman Review; Spokane, Wash.","Apr 3, 2010","Spokane, Wash.",B.4,,https://www.proquest.com/newspapers/initiatives-on-energy-environment-find-middle/docview/395106525/se-2?accountid=13360,WA
643,cap_and_trade,Many green efforts beginning to wither,"Durbin, Kathie","Columbian; Vancouver, Wash.","Mar 5, 2009","Vancouver, Wash.",A.1,Clark County,https://www.proquest.com/newspapers/many-green-efforts-beginning-wither/docview/253335254/se-2?accountid=13360,WA
702,cap_and_trade,In our view: Inslee Awaits Climate Win,,"Columbian; Vancouver, Wash.","Apr 26, 2015","Vancouver, Wash.",C.6,Editorial,https://www.proquest.com/newspapers/our-view-inslee-awaits-climate-win/docview/1676397093/se-2?accountid=13360,WA
782,cap_and_trade,03/17/09 GREENHOUSE GAS,"Mayes, Scott","Yakima Herald - Republic; Yakima, Wash.","Mar 17, 2009","Yakima, Wash.",B.2,,https://www.proquest.com/newspapers/03-17-09-greenhouse-gas/docview/371835100/se-2?accountid=13360,WA
813,cap_and_trade,Environmental groups lay out green agenda,"Durbin, Kathie","Columbian; Vancouver, Wash.","Jan 13, 2009","Vancouver, Wash.",A.1,Clark County,https://www.proquest.com/newspapers/environmental-groups-lay-out-green-agenda/docview/253328404/se-2?accountid=13360,WA
