,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
44,cap_and_trade,"A CAREFUL APPROACH TO CAP AND TRADE: KOHL, FEINGOLD WISELY REJECT LIMITING DEBATE AND AMENDMENTS ON THE COMPLICATED CLIMATE ISSUE.",Anonymous,"Wisconsin State Journal; Madison, Wis.","Apr 14, 2009","Madison, Wis.",A.10,OPINION,https://www.proquest.com/newspapers/careful-approach-cap-trade/docview/391566499/se-2?accountid=13360,WI
63,cap_and_trade,Letter: Losing focus: GOP losing focus on environment,,"Herald Times Reporter; Manitowoc, Wis.","Feb 3, 2011","Manitowoc, Wis.",,Opinion,https://www.proquest.com/newspapers/letter-losing-focus/docview/849282778/se-2?accountid=13360,WI
229,cap_and_trade,Pro: Cap-and-trade system rewards special interests,"Morriss, Andrew P","The Janesville Gazette; Janesville, WI","Jun 20, 2009","Janesville, Wis.",,,https://www.proquest.com/newspapers/pro-cap-trade-system-rewards-special-interests/docview/241669254/se-2?accountid=13360,WI
370,cap_and_trade,"CAP AND TRADE BILL U.S. shouldn't wait to tackle climate change The cost of doing something would be dwarfed by the cost of doing nothing. The legislation isn't perfect, but it's a good place to start.",ERNST-ULRICH FRANZEN,"Milwaukee Journal Sentinel; Milwaukee, Wis.","Jun 28, 2009","Milwaukee, Wis.",J.3,Crossroads,https://www.proquest.com/newspapers/cap-trade-bill-u-s-shouldnt-wait-tackle-climate/docview/263827267/se-2?accountid=13360,WI
409,cap_and_trade,"FEINGOLD IS CRITICAL OF MERCURY PLAN ; IT CATERS TO SPECIAL INTERESTS, HE SAYS: [ALL Edition]",Emily Winter Correspondent for The Capital Times The writer retains the copyright for this article,"Madison Capital Times; Madison, Wis.","Aug 7, 2006","Madison, Wis.",,METRO,https://www.proquest.com/newspapers/feingold-is-critical-mercury-plan-caters-special/docview/395348088/se-2?accountid=13360,WI
416,cap_and_trade,"Legislature putting more focus on environment Issues in play include landfills, wind power, greenhouse gases","Bergquist, Lee","Milwaukee Journal Sentinel; Milwaukee, Wis.","Jun 22, 2009","Milwaukee, Wis.",B.1,News,https://www.proquest.com/newspapers/legislature-putting-more-focus-on-environment/docview/263859340/se-2?accountid=13360,WI
421,cap_and_trade,Bush administration lags in clearing the air: [All Edition],"Krugman, Paul","Milwaukee Journal Sentinel; Milwaukee, Wis.","Apr 28, 2002","Milwaukee, Wis.",,Crossroads,https://www.proquest.com/newspapers/bush-administration-lags-clearing-air/docview/261541987/se-2?accountid=13360,WI
502,cap_and_trade,Band of Brothers' helps environment,,"Stevens Point Journal; Stevens Point, Wis.","Aug 10, 2004","Stevens Point, Wis.",,Opinion,https://www.proquest.com/newspapers/band-brothers-helps-environment/docview/439924911/se-2?accountid=13360,WI
513,cap_and_trade,Kagen praised as friend of environment,"Bivins, Larry","Herald Times Reporter; Manitowoc, Wis.","Feb 11, 2010","Manitowoc, Wis.",,A-section,https://www.proquest.com/newspapers/kagen-praised-as-friend-environment/docview/442397393/se-2?accountid=13360,WI
548,cap_and_trade,Conserve energy today to save our environment for tomorrow,EMILY VILES MONARI,"The Janesville Gazette; Janesville, WI","Jun 19, 2009","Janesville, Wis.",,,https://www.proquest.com/newspapers/conserve-energy-today-save-our-environment/docview/241672329/se-2?accountid=13360,WI
