,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
6,alternative_energy_standard,"Governors to tackle costs, controversies: National Governors Association meets in W.Va. to address variety of issues","Mattise, Jonathan","Charleston Gazette - Mail; Charleston, W.V.","Jul 24, 2015","Charleston, W.Va.",A.7,,https://www.proquest.com/newspapers/governors-tackle-costs-controversies/docview/1698477465/se-2?accountid=13360,WV
8,alternative_energy_standard,"Murray lays off 214 miners, wants lower taxes","MATTISE, JONATHAN","Charleston Daily Mail; Charleston, W.V.","Apr 20, 2015","Charleston, W.Va.",A.5,,https://www.proquest.com/newspapers/murray-lays-off-214-miners-wants-lower-taxes/docview/1674514393/se-2?accountid=13360,WV
10,alternative_energy_standard,"Amid reform, Murray blasts coal severance tax","Mattise, Jonathan","The Charleston Gazette; Charleston, W.V.","Apr 20, 2015","Charleston, W.Va.",A.2,,https://www.proquest.com/newspapers/amid-reform-murray-blasts-coal-severance-tax/docview/1674514387/se-2?accountid=13360,WV
12,cap_and_trade,ENVIRONMENT:: UC to host cap-and-trade debate Monday night,Anonymous,"Sunday Gazette - Mail; Charleston, W.V.","Dec 6, 2009","Charleston, W.Va.",E.1,News,https://www.proquest.com/newspapers/environment/docview/332427797/se-2?accountid=13360,WV
14,cap_and_trade,"Byrd, Rockefeller need to save W.Va.:: Cap-and-trade measure would hurt their state","Roberts, Steve","Charleston Daily Mail; Charleston, W.V.","Sep 9, 2009","Charleston, W.Va.",A.4,Editorial,https://www.proquest.com/newspapers/byrd-rockefeller-need-save-w-va/docview/332129570/se-2?accountid=13360,WV
39,cap_and_trade,Climategate has killed cap-and-trade:: Senators should now fear the public more than the EPA,"Kercheval, Hoppy","Charleston Daily Mail; Charleston, W.V.","Mar 5, 2010","Charleston, W.Va.",A.4,Editorial,https://www.proquest.com/newspapers/climategate-has-killed-cap-trade/docview/332198520/se-2?accountid=13360,WV
41,cap_and_trade,FRIENDS OF COAL:: Protesters say no to cap and trade; Hundreds rally against proposal at state Capitol,"Nyden, Paul J","Sunday Gazette - Mail; Charleston, W.V.","Jul 19, 2009","Charleston, W.Va.",A.1,News,https://www.proquest.com/newspapers/friends-coal/docview/332299497/se-2?accountid=13360,WV
42,cap_and_trade,Obama isn't really listening to coal people:: His administration still plans to pursue cap-and-trade taxes,"Kercheval, Hoppy","Charleston Daily Mail; Charleston, W.V.","Feb 9, 2010","Charleston, W.Va.",A.4,Editorial,https://www.proquest.com/newspapers/obama-isnt-really-listening-coal-people/docview/332133251/se-2?accountid=13360,WV
43,cap_and_trade,A cap by any other name ...:: Senators attempt to rebrand 'cap and trade' energy bill to reflect environmental benefits,FROM STAFF; WIRE REPORTS,"Charleston Daily Mail; Charleston, W.V.","Oct 1, 2009","Charleston, W.Va.",A.1,News,https://www.proquest.com/newspapers/cap-any-other-name/docview/332281544/se-2?accountid=13360,WV
84,cap_and_trade,The old reds are the new greens:: Global socialists are now using the environment,"Krauthammer, Charles","The Charleston Gazette; Charleston, W.V.","Dec 12, 2009","Charleston, W.Va.",A.5,Editorial,https://www.proquest.com/newspapers/old-reds-are-new-greens/docview/331692104/se-2?accountid=13360,WV
