previous_index,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
1715,cap_and_trade,Public and private can work together,Opinion - Local Column,"Wyoming Tribune - Eagle; Cheyenne, Wyo.","May 5, 2014","Cheyenne, Wyo.",A.7,Opinion - Local Column,https://www.proquest.com/newspapers/public-private-can-work-together/docview/1520732756/se-2?accountid=13360,WY
2412,cap_and_trade,Energy bill unplugged by Senate,"McCarthy, Bill","Wyoming Tribune - Eagle; Cheyenne, Wyo.","Dec 8, 2007","Cheyenne, Wyo.",,Local News - Main,https://www.proquest.com/newspapers/energy-bill-unplugged-senate/docview/373629722/se-2?accountid=13360,WY
2662,cap_and_trade,Wyoming failing to see reality of coal industry,opinion,"Wyoming Tribune - Eagle; Cheyenne, Wyo.","Jul 24, 2015","Cheyenne, Wyo.",C.6,Opinion - Local Column,https://www.proquest.com/newspapers/wyoming-failing-see-reality-coal-industry/docview/1698349132/se-2?accountid=13360,WY
2941,cap_and_trade,Keep open mind on climate,opinion,"Wyoming Tribune - Eagle; Cheyenne, Wyo.","Jun 19, 2014","Cheyenne, Wyo.",A.7,Opinion - Local Column,https://www.proquest.com/newspapers/keep-open-mind-on-climate/docview/1537169114/se-2?accountid=13360,WY
4857,cap_and_trade,New EPA rules could kill Wyo.'s economy,,"Wyoming Tribune - Eagle; Cheyenne, Wyo.","May 14, 2014","Cheyenne, Wyo.",B.6,Opinion - Local Column,https://www.proquest.com/newspapers/new-epa-rules-could-kill-wyo-s-economy/docview/1524196061/se-2?accountid=13360,WY
6694,carbon_tax,EPA HEAD DICTATORIAL,,"Wyoming Tribune - Eagle; Cheyenne, Wyo.","Nov 18, 1997","Cheyenne, Wyo.",,Opinion,https://www.proquest.com/newspapers/epa-head-dictatorial/docview/373586045/se-2?accountid=13360,WY
7382,carbon_tax,Oil and gas industry corrupted by power and greed,,"Wyoming Tribune - Eagle; Cheyenne, Wyo.","Jul 28, 2019","Cheyenne, Wyo.",6,C,https://www.proquest.com/newspapers/oil-gas-industry-corrupted-power-greed/docview/2376068449/se-2?accountid=13360,WY
7754,carbon_tax,New EPA rules could kill Wyo.'s economy,,"Wyoming Tribune - Eagle; Cheyenne, Wyo.","May 14, 2014","Cheyenne, Wyo.",B.6,Opinion - Local Column,https://www.proquest.com/newspapers/new-epa-rules-could-kill-wyo-s-economy/docview/1524196061/se-2?accountid=13360,WY
8449,demand-side_management,Business briefs,,"Wyoming Tribune - Eagle; Cheyenne, Wyo.","Aug 8, 2021","Cheyenne, Wyo.",7,C,https://www.proquest.com/newspapers/business-briefs/docview/2559256018/se-2?accountid=13360,WY
8569,demand-side_management,Business briefs,,"Wyoming Tribune - Eagle; Cheyenne, Wyo.","Aug 8, 2021","Cheyenne, Wyo.",7,C,https://www.proquest.com/newspapers/business-briefs/docview/2559256018/se-2?accountid=13360,WY
9282,gas_tax,Letters to the Editor,,"Wyoming Tribune - Eagle; Cheyenne, Wyo.","Jun 4, 1998","Cheyenne, Wyo.",,Opinion,https://www.proquest.com/newspapers/letters-editor/docview/373504827/se-2?accountid=13360,WY
9635,gas_tax,Landowners: 500-foot well setback puts us in danger,"High, Lucas","Wyoming Tribune - Eagle; Cheyenne, Wyo.","Mar 1, 2015","Cheyenne, Wyo.",A.1,Local News - Main,https://www.proquest.com/newspapers/landowners-500-foot-well-setback-puts-us-danger/docview/1658927004/se-2?accountid=13360,WY
9645,gas_tax,[ Opinion ],,"Wyoming Tribune - Eagle; Cheyenne, Wyo.","Apr 12, 1998","Cheyenne, Wyo.",,Opinion,https://www.proquest.com/newspapers/opinion/docview/373512606/se-2?accountid=13360,WY
10254,gas_tax,Letters to the editor,opinion,"Wyoming Tribune - Eagle; Cheyenne, Wyo.","Sep 15, 2015","Cheyenne, Wyo.",,Opinion - Letters To Editor,https://www.proquest.com/newspapers/letters-editor/docview/1712467200/se-2?accountid=13360,WY
10569,gas_tax,EPA HEAD DICTATORIAL,,"Wyoming Tribune - Eagle; Cheyenne, Wyo.","Nov 18, 1997","Cheyenne, Wyo.",,Opinion,https://www.proquest.com/newspapers/epa-head-dictatorial/docview/373586045/se-2?accountid=13360,WY
11294,gas_tax,Don't raise fuel tax for roads,"Wingert, Kevin","Wyoming Tribune - Eagle; Cheyenne, Wyo.","Jan 8, 2007","Cheyenne, Wyo.",,Local News - Main,https://www.proquest.com/newspapers/dont-raise-fuel-tax-roads/docview/373690799/se-2?accountid=13360,WY
11891,gas_tax,Oil and gas industry corrupted by power and greed,,"Wyoming Tribune - Eagle; Cheyenne, Wyo.","Jul 28, 2019","Cheyenne, Wyo.",6,C,https://www.proquest.com/newspapers/oil-gas-industry-corrupted-power-greed/docview/2376068449/se-2?accountid=13360,WY
11976,gas_tax,MORE HIGHWAY FUNDS IN STORE,"Lowell, Jessica","Wyoming Tribune - Eagle; Cheyenne, Wyo.","Feb 24, 2002","Cheyenne, Wyo.",,Front,https://www.proquest.com/newspapers/more-highway-funds-store/docview/373663269/se-2?accountid=13360,WY
12028,gas_tax,Boud to challenge for House District 9 seat,Local News - Main,"Wyoming Tribune - Eagle; Cheyenne, Wyo.","Jun 8, 2012","Cheyenne, Wyo.",6,Aerin Curtis,https://www.proquest.com/newspapers/boud-challenge-house-district-9-seat/docview/1019090359/se-2?accountid=13360,WY
12945,gas_tax,Gordon predicts more budget cuts,"Reynolds, Nick; Erickson, Camille","Wyoming Tribune - Eagle; Cheyenne, Wyo.","Oct 17, 2019","Cheyenne, Wyo.",2,A,https://www.proquest.com/newspapers/gordon-predicts-more-budget-cuts/docview/2376039934/se-2?accountid=13360,WY
12957,gas_tax,Local briefs,,"Wyoming Tribune - Eagle; Cheyenne, Wyo.","Jun 19, 2015","Cheyenne, Wyo.",A.3,Local News - Briefs,https://www.proquest.com/newspapers/local-briefs/docview/1689810660/se-2?accountid=13360,WY
13073,gas_tax,Letters From Readers,Anonymous,"Wyoming Tribune - Eagle; Cheyenne, Wyo.","Mar 8, 2009","Cheyenne, Wyo.",B.8,Opinion - Letters To Editor,https://www.proquest.com/newspapers/letters-readers/docview/373809521/se-2?accountid=13360,WY
13458,gas_tax,Letters from readers: [3],,"Wyoming Tribune - Eagle; Cheyenne, Wyo.","Sep 13, 2005","Cheyenne, Wyo.",,Opinion,https://www.proquest.com/newspapers/letters-readers/docview/373679542/se-2?accountid=13360,WY
14187,net_metering,"Bill would kill residential solar, critics say",,"Wyoming Tribune - Eagle; Cheyenne, Wyo.","Sep 28, 2019","Cheyenne, Wyo.",1,A,https://www.proquest.com/newspapers/bill-would-kill-residential-solar-critics-say/docview/2376032549/se-2?accountid=13360,WY
14529,net_metering,Electric companies? Who needs 'em,"Dynes, Michelle","Wyoming Tribune - Eagle; Cheyenne, Wyo.","Jun 11, 2008","Cheyenne, Wyo.",A.3,Local News - Main,https://www.proquest.com/newspapers/electric-companies-who-needs-em/docview/373770986/se-2?accountid=13360,WY
14746,net_metering,Lawmakers: Don't pass bill to impact solar industry,,"Wyoming Tribune - Eagle; Cheyenne, Wyo.","Oct 6, 2019","Cheyenne, Wyo.",8,C,https://www.proquest.com/newspapers/lawmakers-dont-pass-bill-impact-solar-industry/docview/2376263886/se-2?accountid=13360,WY
14762,net_metering,"Cheyenne Light, UW team up to talk energy","Evans, Baylie","Wyoming Tribune - Eagle; Cheyenne, Wyo.","Sep 3, 2009","Cheyenne, Wyo.",A.3,Local News - Main,https://www.proquest.com/newspapers/cheyenne-light-uw-team-up-talk-energy/docview/373780581/se-2?accountid=13360,WY
