,0
0,https://www.proquest.com/usnews/docview/232754178/abstract/4D7B53FEA293471EPQ/1?accountid=13360
1,https://www.proquest.com/usnews/docview/331901301/abstract/4D7B53FEA293471EPQ/2?accountid=13360
2,https://www.proquest.com/usnews/docview/1814460899/abstract/4D7B53FEA293471EPQ/3?accountid=13360
3,https://www.proquest.com/usnews/docview/332036284/abstract/4D7B53FEA293471EPQ/4?accountid=13360
4,https://www.proquest.com/usnews/docview/379400730/abstract/4D7B53FEA293471EPQ/5?accountid=13360
5,https://www.proquest.com/usnews/docview/863781870/abstract/4D7B53FEA293471EPQ/6?accountid=13360
6,https://www.proquest.com/usnews/docview/406549479/abstract/4D7B53FEA293471EPQ/7?accountid=13360
7,https://www.proquest.com/usnews/docview/306899124/abstract/4D7B53FEA293471EPQ/8?accountid=13360
8,https://www.proquest.com/usnews/docview/1512315923/abstract/4D7B53FEA293471EPQ/9?accountid=13360
9,https://www.proquest.com/usnews/docview/332057419/abstract/4D7B53FEA293471EPQ/10?accountid=13360
10,https://www.proquest.com/usnews/docview/324171097/abstract/4D7B53FEA293471EPQ/12?accountid=13360
11,https://www.proquest.com/usnews/docview/324154130/abstract/4D7B53FEA293471EPQ/13?accountid=13360
12,https://www.proquest.com/usnews/docview/426471894/abstract/4D7B53FEA293471EPQ/14?accountid=13360
13,https://www.proquest.com/usnews/docview/332033727/abstract/4D7B53FEA293471EPQ/15?accountid=13360
14,https://www.proquest.com/usnews/docview/239857121/abstract/4D7B53FEA293471EPQ/16?accountid=13360
15,https://www.proquest.com/usnews/docview/439410294/abstract/4D7B53FEA293471EPQ/18?accountid=13360
16,https://www.proquest.com/usnews/docview/332179579/abstract/4D7B53FEA293471EPQ/20?accountid=13360
17,https://www.proquest.com/usnews/docview/2394762470/citation/4D7B53FEA293471EPQ/11?accountid=13360
18,https://www.proquest.com/usnews/docview/412229929/citation/4D7B53FEA293471EPQ/17?accountid=13360
19,https://www.proquest.com/usnews/docview/2351972555/citation/4D7B53FEA293471EPQ/19?accountid=13360
20,https://www.proquest.com/usnews/docview/1356884714/abstract/4D7B53FEA293471EPQ/21?accountid=13360
21,https://www.proquest.com/usnews/docview/388483496/abstract/4D7B53FEA293471EPQ/22?accountid=13360
22,https://www.proquest.com/usnews/docview/753930075/abstract/4D7B53FEA293471EPQ/23?accountid=13360
23,https://www.proquest.com/usnews/docview/278197329/abstract/4D7B53FEA293471EPQ/24?accountid=13360
24,https://www.proquest.com/usnews/docview/279492214/abstract/4D7B53FEA293471EPQ/25?accountid=13360
25,https://www.proquest.com/usnews/docview/1492050006/abstract/4D7B53FEA293471EPQ/26?accountid=13360
