,0
0,https://www.proquest.com/usnews/docview/332427797/abstract/C0A4392283CB4D1APQ/1?accountid=13360
1,https://www.proquest.com/usnews/docview/324395706/abstract/C0A4392283CB4D1APQ/2?accountid=13360
2,https://www.proquest.com/usnews/docview/332129570/abstract/C0A4392283CB4D1APQ/6?accountid=13360
3,https://www.proquest.com/usnews/docview/324377804/abstract/C0A4392283CB4D1APQ/7?accountid=13360
4,https://www.proquest.com/usnews/docview/382540955/abstract/C0A4392283CB4D1APQ/8?accountid=13360
5,https://www.proquest.com/usnews/docview/421842527/abstract/C0A4392283CB4D1APQ/9?accountid=13360
6,https://www.proquest.com/usnews/docview/337192590/abstract/C0A4392283CB4D1APQ/10?accountid=13360
7,https://www.proquest.com/usnews/docview/420777490/abstract/C0A4392283CB4D1APQ/11?accountid=13360
8,https://www.proquest.com/usnews/docview/404436786/abstract/C0A4392283CB4D1APQ/12?accountid=13360
9,https://www.proquest.com/usnews/docview/324392289/abstract/C0A4392283CB4D1APQ/13?accountid=13360
10,https://www.proquest.com/usnews/docview/414658907/abstract/C0A4392283CB4D1APQ/14?accountid=13360
11,https://www.proquest.com/usnews/docview/230731749/abstract/C0A4392283CB4D1APQ/15?accountid=13360
12,https://www.proquest.com/usnews/docview/324347599/abstract/C0A4392283CB4D1APQ/16?accountid=13360
13,https://www.proquest.com/usnews/docview/1030899087/abstract/C0A4392283CB4D1APQ/17?accountid=13360
14,https://www.proquest.com/usnews/docview/277322118/abstract/C0A4392283CB4D1APQ/18?accountid=13360
15,https://www.proquest.com/usnews/docview/443416815/abstract/C0A4392283CB4D1APQ/19?accountid=13360
16,https://www.proquest.com/usnews/docview/399104475/abstract/C0A4392283CB4D1APQ/20?accountid=13360
17,https://www.proquest.com/usnews/docview/2250938408/citation/C0A4392283CB4D1APQ/3?accountid=13360
18,https://www.proquest.com/usnews/docview/1956151794/citation/C0A4392283CB4D1APQ/4?accountid=13360
19,https://www.proquest.com/usnews/docview/2351979458/citation/C0A4392283CB4D1APQ/5?accountid=13360
20,https://www.proquest.com/usnews/docview/351812771/abstract/C0A4392283CB4D1APQ/21?accountid=13360
21,https://www.proquest.com/usnews/docview/377837835/abstract/C0A4392283CB4D1APQ/22?accountid=13360
22,https://www.proquest.com/usnews/docview/420803310/abstract/C0A4392283CB4D1APQ/23?accountid=13360
23,https://www.proquest.com/usnews/docview/382537470/abstract/C0A4392283CB4D1APQ/25?accountid=13360
24,https://www.proquest.com/usnews/docview/1531533471/abstract/C0A4392283CB4D1APQ/26?accountid=13360
25,https://www.proquest.com/usnews/docview/282623005/abstract/C0A4392283CB4D1APQ/27?accountid=13360
26,https://www.proquest.com/usnews/docview/405171194/abstract/C0A4392283CB4D1APQ/29?accountid=13360
27,https://www.proquest.com/usnews/docview/332198520/abstract/C0A4392283CB4D1APQ/30?accountid=13360
28,https://www.proquest.com/usnews/docview/390540787/abstract/C0A4392283CB4D1APQ/31?accountid=13360
29,https://www.proquest.com/usnews/docview/332299497/abstract/C0A4392283CB4D1APQ/32?accountid=13360
30,https://www.proquest.com/usnews/docview/332133251/abstract/C0A4392283CB4D1APQ/33?accountid=13360
