,0
0,https://www.proquest.com/usnews/docview/1827093062/abstract/B3603D6BB41444C0PQ/1?accountid=13360
1,https://www.proquest.com/usnews/docview/422087844/abstract/B3603D6BB41444C0PQ/2?accountid=13360
2,https://www.proquest.com/usnews/docview/1494510653/abstract/B3603D6BB41444C0PQ/3?accountid=13360
3,https://www.proquest.com/usnews/docview/1400391484/abstract/B3603D6BB41444C0PQ/4?accountid=13360
4,https://www.proquest.com/usnews/docview/1611158784/abstract/B3603D6BB41444C0PQ/5?accountid=13360
5,https://www.proquest.com/usnews/docview/428560136/abstract/B3603D6BB41444C0PQ/6?accountid=13360
6,https://www.proquest.com/usnews/docview/428487647/abstract/B3603D6BB41444C0PQ/11?accountid=13360
7,https://www.proquest.com/usnews/docview/1819283554/abstract/B3603D6BB41444C0PQ/15?accountid=13360
8,https://www.proquest.com/usnews/docview/1548189690/abstract/B3603D6BB41444C0PQ/17?accountid=13360
9,https://www.proquest.com/usnews/docview/405060699/abstract/B3603D6BB41444C0PQ/18?accountid=13360
10,https://www.proquest.com/usnews/docview/1769295747/abstract/B3603D6BB41444C0PQ/19?accountid=13360
11,https://www.proquest.com/usnews/docview/410155454/abstract/B3603D6BB41444C0PQ/20?accountid=13360
12,https://www.proquest.com/usnews/docview/2022152461/citation/B3603D6BB41444C0PQ/7?accountid=13360
13,https://www.proquest.com/usnews/docview/2022151797/citation/B3603D6BB41444C0PQ/8?accountid=13360
14,https://www.proquest.com/usnews/docview/2022148973/citation/B3603D6BB41444C0PQ/9?accountid=13360
15,https://www.proquest.com/usnews/docview/1867476765/citation/B3603D6BB41444C0PQ/10?accountid=13360
16,https://www.proquest.com/usnews/docview/1550968860/citation/B3603D6BB41444C0PQ/12?accountid=13360
17,https://www.proquest.com/usnews/docview/1953637959/citation/B3603D6BB41444C0PQ/13?accountid=13360
18,https://www.proquest.com/usnews/docview/433677581/citation/B3603D6BB41444C0PQ/14?accountid=13360
19,https://www.proquest.com/usnews/docview/2299516457/citation/B3603D6BB41444C0PQ/16?accountid=13360
