,0
0,https://www.proquest.com/usnews/docview/378110457/abstract/F36EBAD6D5134F32PQ/2?accountid=13360
1,https://www.proquest.com/usnews/docview/917538535/abstract/F36EBAD6D5134F32PQ/3?accountid=13360
2,https://www.proquest.com/usnews/docview/1512880399/abstract/F36EBAD6D5134F32PQ/6?accountid=13360
3,https://www.proquest.com/usnews/docview/1830769918/abstract/F36EBAD6D5134F32PQ/8?accountid=13360
4,https://www.proquest.com/usnews/docview/1764756260/abstract/F36EBAD6D5134F32PQ/9?accountid=13360
5,https://www.proquest.com/usnews/docview/1755665672/abstract/F36EBAD6D5134F32PQ/10?accountid=13360
6,https://www.proquest.com/usnews/docview/2549718891/abstract/F36EBAD6D5134F32PQ/11?accountid=13360
7,https://www.proquest.com/usnews/docview/1833013674/abstract/F36EBAD6D5134F32PQ/12?accountid=13360
8,https://www.proquest.com/usnews/docview/1851706247/abstract/F36EBAD6D5134F32PQ/13?accountid=13360
9,https://www.proquest.com/usnews/docview/437278632/abstract/F36EBAD6D5134F32PQ/14?accountid=13360
10,https://www.proquest.com/usnews/docview/439960103/abstract/F36EBAD6D5134F32PQ/15?accountid=13360
11,https://www.proquest.com/usnews/docview/1833120169/abstract/F36EBAD6D5134F32PQ/17?accountid=13360
12,https://www.proquest.com/usnews/docview/1692222558/abstract/F36EBAD6D5134F32PQ/18?accountid=13360
13,https://www.proquest.com/usnews/docview/1808336503/abstract/F36EBAD6D5134F32PQ/19?accountid=13360
14,https://www.proquest.com/usnews/docview/2549871580/citation/F36EBAD6D5134F32PQ/1?accountid=13360
15,https://www.proquest.com/usnews/docview/2496960832/citation/F36EBAD6D5134F32PQ/4?accountid=13360
16,https://www.proquest.com/usnews/docview/2496959003/citation/F36EBAD6D5134F32PQ/5?accountid=13360
17,https://www.proquest.com/usnews/docview/2530708337/citation/F36EBAD6D5134F32PQ/7?accountid=13360
18,https://www.proquest.com/usnews/docview/2501178187/citation/F36EBAD6D5134F32PQ/16?accountid=13360
19,https://www.proquest.com/usnews/docview/2541172872/citation/F36EBAD6D5134F32PQ/20?accountid=13360
20,https://www.proquest.com/usnews/docview/919613841/abstract/F36EBAD6D5134F32PQ/24?accountid=13360
21,https://www.proquest.com/usnews/docview/1764724013/abstract/F36EBAD6D5134F32PQ/26?accountid=13360
22,https://www.proquest.com/usnews/docview/238125314/abstract/F36EBAD6D5134F32PQ/31?accountid=13360
23,https://www.proquest.com/usnews/docview/881676140/abstract/F36EBAD6D5134F32PQ/32?accountid=13360
24,https://www.proquest.com/usnews/docview/436361909/abstract/F36EBAD6D5134F32PQ/34?accountid=13360
25,https://www.proquest.com/usnews/docview/1349320835/abstract/F36EBAD6D5134F32PQ/35?accountid=13360
26,https://www.proquest.com/usnews/docview/1829360435/abstract/F36EBAD6D5134F32PQ/38?accountid=13360
27,https://www.proquest.com/usnews/docview/2478881314/citation/F36EBAD6D5134F32PQ/21?accountid=13360
28,https://www.proquest.com/usnews/docview/2546084291/citation/F36EBAD6D5134F32PQ/22?accountid=13360
29,https://www.proquest.com/usnews/docview/2453988746/citation/F36EBAD6D5134F32PQ/23?accountid=13360
30,https://www.proquest.com/usnews/docview/2466486298/citation/F36EBAD6D5134F32PQ/25?accountid=13360
31,https://www.proquest.com/usnews/docview/1893109051/citation/F36EBAD6D5134F32PQ/27?accountid=13360
32,https://www.proquest.com/usnews/docview/1893118121/citation/F36EBAD6D5134F32PQ/28?accountid=13360
33,https://www.proquest.com/usnews/docview/2508278417/citation/F36EBAD6D5134F32PQ/29?accountid=13360
34,https://www.proquest.com/usnews/docview/2211391536/citation/F36EBAD6D5134F32PQ/30?accountid=13360
35,https://www.proquest.com/usnews/docview/438009101/citation/F36EBAD6D5134F32PQ/33?accountid=13360
36,https://www.proquest.com/usnews/docview/1864995689/citation/F36EBAD6D5134F32PQ/36?accountid=13360
37,https://www.proquest.com/usnews/docview/1864994506/citation/F36EBAD6D5134F32PQ/37?accountid=13360
38,https://www.proquest.com/usnews/docview/2362916687/citation/F36EBAD6D5134F32PQ/39?accountid=13360
39,https://www.proquest.com/usnews/docview/2508138379/citation/F36EBAD6D5134F32PQ/40?accountid=13360
40,https://www.proquest.com/usnews/docview/918766902/abstract/F36EBAD6D5134F32PQ/41?accountid=13360
41,https://www.proquest.com/usnews/docview/1838592636/abstract/F36EBAD6D5134F32PQ/43?accountid=13360
42,https://www.proquest.com/usnews/docview/1417572865/abstract/F36EBAD6D5134F32PQ/45?accountid=13360
43,https://www.proquest.com/usnews/docview/391038903/abstract/F36EBAD6D5134F32PQ/50?accountid=13360
44,https://www.proquest.com/usnews/docview/1838593173/abstract/F36EBAD6D5134F32PQ/51?accountid=13360
45,https://www.proquest.com/usnews/docview/859275748/abstract/F36EBAD6D5134F32PQ/53?accountid=13360
46,https://www.proquest.com/usnews/docview/378837520/abstract/F36EBAD6D5134F32PQ/54?accountid=13360
47,https://www.proquest.com/usnews/docview/1015640622/abstract/F36EBAD6D5134F32PQ/57?accountid=13360
48,https://www.proquest.com/usnews/docview/2511820343/citation/F36EBAD6D5134F32PQ/42?accountid=13360
49,https://www.proquest.com/usnews/docview/1943873805/citation/F36EBAD6D5134F32PQ/44?accountid=13360
50,https://www.proquest.com/usnews/docview/1825363371/citation/F36EBAD6D5134F32PQ/46?accountid=13360
51,https://www.proquest.com/usnews/docview/2495192739/citation/F36EBAD6D5134F32PQ/47?accountid=13360
52,https://www.proquest.com/usnews/docview/1321935409/citation/F36EBAD6D5134F32PQ/48?accountid=13360
53,https://www.proquest.com/usnews/docview/2532438344/citation/F36EBAD6D5134F32PQ/49?accountid=13360
54,https://www.proquest.com/usnews/docview/2234509468/citation/F36EBAD6D5134F32PQ/52?accountid=13360
55,https://www.proquest.com/usnews/docview/2437554054/citation/F36EBAD6D5134F32PQ/55?accountid=13360
56,https://www.proquest.com/usnews/docview/2234510579/citation/F36EBAD6D5134F32PQ/56?accountid=13360
57,https://www.proquest.com/usnews/docview/2071020382/citation/F36EBAD6D5134F32PQ/58?accountid=13360
58,https://www.proquest.com/usnews/docview/2450862146/citation/F36EBAD6D5134F32PQ/59?accountid=13360
59,https://www.proquest.com/usnews/docview/1991695373/citation/F36EBAD6D5134F32PQ/60?accountid=13360
60,https://www.proquest.com/usnews/docview/1675955637/abstract/F36EBAD6D5134F32PQ/61?accountid=13360
61,https://www.proquest.com/usnews/docview/1838595505/abstract/F36EBAD6D5134F32PQ/62?accountid=13360
62,https://www.proquest.com/usnews/docview/2549766165/abstract/F36EBAD6D5134F32PQ/67?accountid=13360
63,https://www.proquest.com/usnews/docview/1812107309/abstract/F36EBAD6D5134F32PQ/69?accountid=13360
64,https://www.proquest.com/usnews/docview/815984077/abstract/F36EBAD6D5134F32PQ/73?accountid=13360
65,https://www.proquest.com/usnews/docview/239843563/abstract/F36EBAD6D5134F32PQ/74?accountid=13360
66,https://www.proquest.com/usnews/docview/744232833/abstract/F36EBAD6D5134F32PQ/77?accountid=13360
