,0
0,https://www.proquest.com/usnews/docview/278202544/abstract/F0E45B26AD2744ADPQ/2?accountid=13360
1,https://www.proquest.com/usnews/docview/294542527/abstract/F0E45B26AD2744ADPQ/3?accountid=13360
2,https://www.proquest.com/usnews/docview/442474843/abstract/F0E45B26AD2744ADPQ/4?accountid=13360
3,https://www.proquest.com/usnews/docview/392070201/abstract/F0E45B26AD2744ADPQ/5?accountid=13360
4,https://www.proquest.com/usnews/docview/883073750/abstract/F0E45B26AD2744ADPQ/6?accountid=13360
5,https://www.proquest.com/usnews/docview/240009445/abstract/F0E45B26AD2744ADPQ/8?accountid=13360
6,https://www.proquest.com/usnews/docview/1439528844/abstract/F0E45B26AD2744ADPQ/9?accountid=13360
7,https://www.proquest.com/usnews/docview/1439529751/abstract/F0E45B26AD2744ADPQ/11?accountid=13360
8,https://www.proquest.com/usnews/docview/647551435/abstract/F0E45B26AD2744ADPQ/12?accountid=13360
9,https://www.proquest.com/usnews/docview/399038386/abstract/F0E45B26AD2744ADPQ/13?accountid=13360
10,https://www.proquest.com/usnews/docview/428575249/abstract/F0E45B26AD2744ADPQ/14?accountid=13360
11,https://www.proquest.com/usnews/docview/259541992/abstract/F0E45B26AD2744ADPQ/15?accountid=13360
12,https://www.proquest.com/usnews/docview/372331409/abstract/F0E45B26AD2744ADPQ/16?accountid=13360
13,https://www.proquest.com/usnews/docview/291201893/abstract/F0E45B26AD2744ADPQ/17?accountid=13360
14,https://www.proquest.com/usnews/docview/382710638/abstract/F0E45B26AD2744ADPQ/18?accountid=13360
15,https://www.proquest.com/usnews/docview/379574271/abstract/F0E45B26AD2744ADPQ/19?accountid=13360
16,https://www.proquest.com/usnews/docview/646898328/abstract/F0E45B26AD2744ADPQ/20?accountid=13360
17,https://www.proquest.com/usnews/docview/1839573695/citation/F0E45B26AD2744ADPQ/1?accountid=13360
18,https://www.proquest.com/usnews/docview/2171046003/citation/F0E45B26AD2744ADPQ/7?accountid=13360
19,https://www.proquest.com/usnews/docview/2122272923/citation/F0E45B26AD2744ADPQ/10?accountid=13360
20,https://www.proquest.com/usnews/docview/1713542395/abstract/F0E45B26AD2744ADPQ/21?accountid=13360
21,https://www.proquest.com/usnews/docview/427679698/abstract/F0E45B26AD2744ADPQ/22?accountid=13360
