,0
0,https://www.proquest.com/usnews/docview/405777554/abstract/49D0774BB48547D5PQ/1?accountid=13360
1,https://www.proquest.com/usnews/docview/902704834/abstract/49D0774BB48547D5PQ/2?accountid=13360
2,https://www.proquest.com/usnews/docview/399026887/abstract/49D0774BB48547D5PQ/3?accountid=13360
3,https://www.proquest.com/usnews/docview/398995263/abstract/49D0774BB48547D5PQ/4?accountid=13360
4,https://www.proquest.com/usnews/docview/424823042/abstract/49D0774BB48547D5PQ/5?accountid=13360
5,https://www.proquest.com/usnews/docview/365932193/abstract/49D0774BB48547D5PQ/6?accountid=13360
6,https://www.proquest.com/usnews/docview/365874139/abstract/49D0774BB48547D5PQ/7?accountid=13360
7,https://www.proquest.com/usnews/docview/849420206/abstract/49D0774BB48547D5PQ/9?accountid=13360
8,https://www.proquest.com/usnews/docview/275742544/abstract/49D0774BB48547D5PQ/10?accountid=13360
9,https://www.proquest.com/usnews/docview/414618739/abstract/49D0774BB48547D5PQ/11?accountid=13360
10,https://www.proquest.com/usnews/docview/282733920/abstract/49D0774BB48547D5PQ/12?accountid=13360
11,https://www.proquest.com/usnews/docview/1240330498/abstract/49D0774BB48547D5PQ/13?accountid=13360
12,https://www.proquest.com/usnews/docview/1912027736/abstract/49D0774BB48547D5PQ/14?accountid=13360
13,https://www.proquest.com/usnews/docview/379919463/abstract/49D0774BB48547D5PQ/15?accountid=13360
14,https://www.proquest.com/usnews/docview/379205966/abstract/49D0774BB48547D5PQ/16?accountid=13360
15,https://www.proquest.com/usnews/docview/379694944/abstract/49D0774BB48547D5PQ/17?accountid=13360
16,https://www.proquest.com/usnews/docview/899269602/abstract/49D0774BB48547D5PQ/18?accountid=13360
17,https://www.proquest.com/usnews/docview/432516762/abstract/49D0774BB48547D5PQ/19?accountid=13360
18,https://www.proquest.com/usnews/docview/263624455/abstract/49D0774BB48547D5PQ/20?accountid=13360
19,https://www.proquest.com/usnews/docview/1886912244/citation/49D0774BB48547D5PQ/8?accountid=13360
20,https://www.proquest.com/usnews/docview/1125565397/abstract/49D0774BB48547D5PQ/24?accountid=13360
21,https://www.proquest.com/usnews/docview/422082478/abstract/49D0774BB48547D5PQ/27?accountid=13360
22,https://www.proquest.com/usnews/docview/331445553/abstract/49D0774BB48547D5PQ/28?accountid=13360
23,https://www.proquest.com/usnews/docview/410264780/abstract/49D0774BB48547D5PQ/29?accountid=13360
24,https://www.proquest.com/usnews/docview/1545076127/abstract/49D0774BB48547D5PQ/31?accountid=13360
25,https://www.proquest.com/usnews/docview/282052837/abstract/49D0774BB48547D5PQ/32?accountid=13360
26,https://www.proquest.com/usnews/docview/237993714/abstract/49D0774BB48547D5PQ/33?accountid=13360
27,https://www.proquest.com/usnews/docview/403047530/abstract/49D0774BB48547D5PQ/35?accountid=13360
28,https://www.proquest.com/usnews/docview/391452019/abstract/49D0774BB48547D5PQ/36?accountid=13360
29,https://www.proquest.com/usnews/docview/399113116/abstract/49D0774BB48547D5PQ/38?accountid=13360
30,https://www.proquest.com/usnews/docview/876262061/abstract/49D0774BB48547D5PQ/40?accountid=13360
31,https://www.proquest.com/usnews/docview/2024308128/citation/49D0774BB48547D5PQ/21?accountid=13360
32,https://www.proquest.com/usnews/docview/2077788272/citation/49D0774BB48547D5PQ/22?accountid=13360
33,https://www.proquest.com/usnews/docview/2072947470/citation/49D0774BB48547D5PQ/23?accountid=13360
34,https://www.proquest.com/usnews/docview/2072936839/citation/49D0774BB48547D5PQ/25?accountid=13360
35,https://www.proquest.com/usnews/docview/2165993548/citation/49D0774BB48547D5PQ/26?accountid=13360
36,https://www.proquest.com/usnews/docview/2032668163/citation/49D0774BB48547D5PQ/30?accountid=13360
37,https://www.proquest.com/usnews/docview/2369819686/citation/49D0774BB48547D5PQ/34?accountid=13360
38,https://www.proquest.com/usnews/docview/2299516457/citation/49D0774BB48547D5PQ/37?accountid=13360
39,https://www.proquest.com/usnews/docview/2299645272/citation/49D0774BB48547D5PQ/39?accountid=13360
40,https://www.proquest.com/usnews/docview/645196837/abstract/49D0774BB48547D5PQ/41?accountid=13360
41,https://www.proquest.com/usnews/docview/303588796/abstract/49D0774BB48547D5PQ/42?accountid=13360
42,https://www.proquest.com/usnews/docview/237808776/abstract/49D0774BB48547D5PQ/44?accountid=13360
43,https://www.proquest.com/usnews/docview/848288389/abstract/49D0774BB48547D5PQ/46?accountid=13360
44,https://www.proquest.com/usnews/docview/438968151/abstract/49D0774BB48547D5PQ/48?accountid=13360
45,https://www.proquest.com/usnews/docview/421951353/abstract/49D0774BB48547D5PQ/49?accountid=13360
46,https://www.proquest.com/usnews/docview/433434488/abstract/49D0774BB48547D5PQ/50?accountid=13360
47,https://www.proquest.com/usnews/docview/1823514812/abstract/49D0774BB48547D5PQ/52?accountid=13360
48,https://www.proquest.com/usnews/docview/1977721360/abstract/49D0774BB48547D5PQ/53?accountid=13360
49,https://www.proquest.com/usnews/docview/1802431219/abstract/49D0774BB48547D5PQ/55?accountid=13360
50,https://www.proquest.com/usnews/docview/420575248/abstract/49D0774BB48547D5PQ/56?accountid=13360
51,https://www.proquest.com/usnews/docview/332486594/abstract/49D0774BB48547D5PQ/58?accountid=13360
52,https://www.proquest.com/usnews/docview/1847099817/abstract/49D0774BB48547D5PQ/59?accountid=13360
53,https://www.proquest.com/usnews/docview/2034114397/citation/49D0774BB48547D5PQ/43?accountid=13360
54,https://www.proquest.com/usnews/docview/2030554134/citation/49D0774BB48547D5PQ/45?accountid=13360
55,https://www.proquest.com/usnews/docview/2343969914/citation/49D0774BB48547D5PQ/47?accountid=13360
56,https://www.proquest.com/usnews/docview/2212621154/citation/49D0774BB48547D5PQ/51?accountid=13360
57,https://www.proquest.com/usnews/docview/2211935854/citation/49D0774BB48547D5PQ/54?accountid=13360
58,https://www.proquest.com/usnews/docview/2140143565/citation/49D0774BB48547D5PQ/57?accountid=13360
59,https://www.proquest.com/usnews/docview/1842217957/citation/49D0774BB48547D5PQ/60?accountid=13360
60,https://www.proquest.com/usnews/docview/2478731463/citation/49D0774BB48547D5PQ/61?accountid=13360
61,https://www.proquest.com/usnews/docview/2189476391/citation/49D0774BB48547D5PQ/62?accountid=13360
