,0
0,https://www.proquest.com/usnews/docview/399131819/abstract/C8B3D1302F904F72PQ/1?accountid=13360
1,https://www.proquest.com/usnews/docview/1030608193/abstract/C8B3D1302F904F72PQ/2?accountid=13360
2,https://www.proquest.com/usnews/docview/1080905152/abstract/C8B3D1302F904F72PQ/3?accountid=13360
3,https://www.proquest.com/usnews/docview/1543036457/abstract/C8B3D1302F904F72PQ/4?accountid=13360
4,https://www.proquest.com/usnews/docview/1543037947/abstract/C8B3D1302F904F72PQ/6?accountid=13360
5,https://www.proquest.com/usnews/docview/1543037909/abstract/C8B3D1302F904F72PQ/7?accountid=13360
6,https://www.proquest.com/usnews/docview/761048996/abstract/C8B3D1302F904F72PQ/8?accountid=13360
7,https://www.proquest.com/usnews/docview/375638892/abstract/C8B3D1302F904F72PQ/9?accountid=13360
8,https://www.proquest.com/usnews/docview/282400872/abstract/C8B3D1302F904F72PQ/10?accountid=13360
9,https://www.proquest.com/usnews/docview/395376356/abstract/C8B3D1302F904F72PQ/11?accountid=13360
10,https://www.proquest.com/usnews/docview/864795653/abstract/C8B3D1302F904F72PQ/12?accountid=13360
11,https://www.proquest.com/usnews/docview/868777222/abstract/C8B3D1302F904F72PQ/13?accountid=13360
12,https://www.proquest.com/usnews/docview/338459241/abstract/C8B3D1302F904F72PQ/14?accountid=13360
13,https://www.proquest.com/usnews/docview/867492999/abstract/C8B3D1302F904F72PQ/15?accountid=13360
14,https://www.proquest.com/usnews/docview/1270393576/abstract/C8B3D1302F904F72PQ/16?accountid=13360
15,https://www.proquest.com/usnews/docview/420311741/abstract/C8B3D1302F904F72PQ/17?accountid=13360
16,https://www.proquest.com/usnews/docview/238522351/abstract/C8B3D1302F904F72PQ/18?accountid=13360
17,https://www.proquest.com/usnews/docview/440671928/abstract/C8B3D1302F904F72PQ/19?accountid=13360
18,https://www.proquest.com/usnews/docview/395071061/abstract/C8B3D1302F904F72PQ/20?accountid=13360
19,https://www.proquest.com/usnews/docview/2073209003/citation/C8B3D1302F904F72PQ/5?accountid=13360
20,https://www.proquest.com/usnews/docview/395076395/abstract/C8B3D1302F904F72PQ/21?accountid=13360
21,https://www.proquest.com/usnews/docview/238482584/abstract/C8B3D1302F904F72PQ/26?accountid=13360
22,https://www.proquest.com/usnews/docview/1566774841/abstract/C8B3D1302F904F72PQ/27?accountid=13360
23,https://www.proquest.com/usnews/docview/246959177/abstract/C8B3D1302F904F72PQ/29?accountid=13360
24,https://www.proquest.com/usnews/docview/1114766510/abstract/C8B3D1302F904F72PQ/30?accountid=13360
25,https://www.proquest.com/usnews/docview/1983671017/abstract/C8B3D1302F904F72PQ/31?accountid=13360
26,https://www.proquest.com/usnews/docview/1451792058/abstract/C8B3D1302F904F72PQ/32?accountid=13360
27,https://www.proquest.com/usnews/docview/439732254/abstract/C8B3D1302F904F72PQ/33?accountid=13360
28,https://www.proquest.com/usnews/docview/438726382/abstract/C8B3D1302F904F72PQ/34?accountid=13360
29,https://www.proquest.com/usnews/docview/1471907581/abstract/C8B3D1302F904F72PQ/35?accountid=13360
30,https://www.proquest.com/usnews/docview/439295788/abstract/C8B3D1302F904F72PQ/36?accountid=13360
31,https://www.proquest.com/usnews/docview/1856134711/abstract/C8B3D1302F904F72PQ/37?accountid=13360
32,https://www.proquest.com/usnews/docview/1636770641/abstract/C8B3D1302F904F72PQ/38?accountid=13360
33,https://www.proquest.com/usnews/docview/1030171761/abstract/C8B3D1302F904F72PQ/39?accountid=13360
34,https://www.proquest.com/usnews/docview/372285770/abstract/C8B3D1302F904F72PQ/40?accountid=13360
35,https://www.proquest.com/usnews/docview/238225530/citation/C8B3D1302F904F72PQ/22?accountid=13360
36,https://www.proquest.com/usnews/docview/2488477847/citation/C8B3D1302F904F72PQ/23?accountid=13360
37,https://www.proquest.com/usnews/docview/2486460505/citation/C8B3D1302F904F72PQ/24?accountid=13360
38,https://www.proquest.com/usnews/docview/403211405/citation/C8B3D1302F904F72PQ/25?accountid=13360
39,https://www.proquest.com/usnews/docview/2304067041/citation/C8B3D1302F904F72PQ/28?accountid=13360
40,https://www.proquest.com/usnews/docview/875586579/abstract/C8B3D1302F904F72PQ/41?accountid=13360
41,https://www.proquest.com/usnews/docview/1032807576/abstract/C8B3D1302F904F72PQ/42?accountid=13360
42,https://www.proquest.com/usnews/docview/352455542/abstract/C8B3D1302F904F72PQ/43?accountid=13360
