,0
0,https://www.proquest.com/usnews/docview/1875338239/abstract/69075DCB031A496BPQ/3?accountid=13360
1,https://www.proquest.com/usnews/docview/1771901060/abstract/69075DCB031A496BPQ/6?accountid=13360
2,https://www.proquest.com/usnews/docview/1716849182/abstract/69075DCB031A496BPQ/7?accountid=13360
3,https://www.proquest.com/usnews/docview/1727458772/abstract/69075DCB031A496BPQ/8?accountid=13360
4,https://www.proquest.com/usnews/docview/1635054047/abstract/69075DCB031A496BPQ/9?accountid=13360
5,https://www.proquest.com/usnews/docview/1015673412/abstract/69075DCB031A496BPQ/11?accountid=13360
6,https://www.proquest.com/usnews/docview/1697467757/abstract/69075DCB031A496BPQ/12?accountid=13360
7,https://www.proquest.com/usnews/docview/1692048362/abstract/69075DCB031A496BPQ/13?accountid=13360
8,https://www.proquest.com/usnews/docview/1698090605/abstract/69075DCB031A496BPQ/15?accountid=13360
9,https://www.proquest.com/usnews/docview/1662649786/abstract/69075DCB031A496BPQ/17?accountid=13360
10,https://www.proquest.com/usnews/docview/383247885/citation/69075DCB031A496BPQ/1?accountid=13360
11,https://www.proquest.com/usnews/docview/2424613801/citation/69075DCB031A496BPQ/2?accountid=13360
12,https://www.proquest.com/usnews/docview/1917617537/citation/69075DCB031A496BPQ/4?accountid=13360
13,https://www.proquest.com/usnews/docview/238766686/citation/69075DCB031A496BPQ/5?accountid=13360
14,https://www.proquest.com/usnews/docview/1930221820/citation/69075DCB031A496BPQ/10?accountid=13360
15,https://www.proquest.com/usnews/docview/2097909141/citation/69075DCB031A496BPQ/14?accountid=13360
16,https://www.proquest.com/usnews/docview/1879974406/citation/69075DCB031A496BPQ/16?accountid=13360
17,https://www.proquest.com/usnews/docview/1901810511/citation/69075DCB031A496BPQ/18?accountid=13360
18,https://www.proquest.com/usnews/docview/1765021579/citation/69075DCB031A496BPQ/19?accountid=13360
19,https://www.proquest.com/usnews/docview/2237446484/citation/69075DCB031A496BPQ/20?accountid=13360
20,https://www.proquest.com/usnews/docview/442363432/abstract/69075DCB031A496BPQ/21?accountid=13360
21,https://www.proquest.com/usnews/docview/1675219948/abstract/69075DCB031A496BPQ/23?accountid=13360
22,https://www.proquest.com/usnews/docview/1765048084/abstract/69075DCB031A496BPQ/28?accountid=13360
23,https://www.proquest.com/usnews/docview/1703412945/abstract/69075DCB031A496BPQ/29?accountid=13360
24,https://www.proquest.com/usnews/docview/1031369445/abstract/69075DCB031A496BPQ/30?accountid=13360
25,https://www.proquest.com/usnews/docview/1240651893/abstract/69075DCB031A496BPQ/31?accountid=13360
26,https://www.proquest.com/usnews/docview/1718387022/abstract/69075DCB031A496BPQ/32?accountid=13360
27,https://www.proquest.com/usnews/docview/1016458062/abstract/69075DCB031A496BPQ/33?accountid=13360
28,https://www.proquest.com/usnews/docview/1747373752/abstract/69075DCB031A496BPQ/34?accountid=13360
29,https://www.proquest.com/usnews/docview/1749000515/abstract/69075DCB031A496BPQ/35?accountid=13360
30,https://www.proquest.com/usnews/docview/1698053834/abstract/69075DCB031A496BPQ/36?accountid=13360
31,https://www.proquest.com/usnews/docview/403076263/abstract/69075DCB031A496BPQ/38?accountid=13360
32,https://www.proquest.com/usnews/docview/270824775/abstract/69075DCB031A496BPQ/40?accountid=13360
33,https://www.proquest.com/usnews/docview/2291222612/citation/69075DCB031A496BPQ/22?accountid=13360
34,https://www.proquest.com/usnews/docview/1647643687/citation/69075DCB031A496BPQ/24?accountid=13360
35,https://www.proquest.com/usnews/docview/2240433487/citation/69075DCB031A496BPQ/25?accountid=13360
36,https://www.proquest.com/usnews/docview/2136846998/citation/69075DCB031A496BPQ/26?accountid=13360
37,https://www.proquest.com/usnews/docview/2137095827/citation/69075DCB031A496BPQ/27?accountid=13360
38,https://www.proquest.com/usnews/docview/1030593031/citation/69075DCB031A496BPQ/37?accountid=13360
39,https://www.proquest.com/usnews/docview/1960492291/citation/69075DCB031A496BPQ/39?accountid=13360
40,https://www.proquest.com/usnews/docview/1672331912/abstract/69075DCB031A496BPQ/41?accountid=13360
41,https://www.proquest.com/usnews/docview/1751760438/abstract/69075DCB031A496BPQ/42?accountid=13360
42,https://www.proquest.com/usnews/docview/279184987/abstract/69075DCB031A496BPQ/44?accountid=13360
43,https://www.proquest.com/usnews/docview/403977081/abstract/69075DCB031A496BPQ/45?accountid=13360
44,https://www.proquest.com/usnews/docview/1873278239/abstract/69075DCB031A496BPQ/46?accountid=13360
45,https://www.proquest.com/usnews/docview/1694721785/abstract/69075DCB031A496BPQ/47?accountid=13360
46,https://www.proquest.com/usnews/docview/1722834077/abstract/69075DCB031A496BPQ/48?accountid=13360
47,https://www.proquest.com/usnews/docview/421916237/abstract/69075DCB031A496BPQ/49?accountid=13360
48,https://www.proquest.com/usnews/docview/1822763761/abstract/69075DCB031A496BPQ/50?accountid=13360
49,https://www.proquest.com/usnews/docview/274739363/abstract/69075DCB031A496BPQ/51?accountid=13360
50,https://www.proquest.com/usnews/docview/374046184/abstract/69075DCB031A496BPQ/54?accountid=13360
51,https://www.proquest.com/usnews/docview/331504494/abstract/69075DCB031A496BPQ/55?accountid=13360
52,https://www.proquest.com/usnews/docview/414581059/abstract/69075DCB031A496BPQ/56?accountid=13360
53,https://www.proquest.com/usnews/docview/1316719767/abstract/69075DCB031A496BPQ/58?accountid=13360
54,https://www.proquest.com/usnews/docview/808578286/abstract/69075DCB031A496BPQ/59?accountid=13360
55,https://www.proquest.com/usnews/docview/2091228353/citation/69075DCB031A496BPQ/43?accountid=13360
56,https://www.proquest.com/usnews/docview/2484195764/citation/69075DCB031A496BPQ/52?accountid=13360
57,https://www.proquest.com/usnews/docview/2484176381/citation/69075DCB031A496BPQ/53?accountid=13360
58,https://www.proquest.com/usnews/docview/2028407360/citation/69075DCB031A496BPQ/57?accountid=13360
59,https://www.proquest.com/usnews/docview/2449712595/citation/69075DCB031A496BPQ/60?accountid=13360
60,https://www.proquest.com/usnews/docview/1015768094/abstract/69075DCB031A496BPQ/61?accountid=13360
61,https://www.proquest.com/usnews/docview/1586025816/abstract/69075DCB031A496BPQ/63?accountid=13360
62,https://www.proquest.com/usnews/docview/1734846417/abstract/69075DCB031A496BPQ/64?accountid=13360
