,0
0,https://www.proquest.com/usnews/docview/259418701/abstract/888403C850E94FF4PQ/1?accountid=13360
1,https://www.proquest.com/usnews/docview/305621042/abstract/888403C850E94FF4PQ/2?accountid=13360
2,https://www.proquest.com/usnews/docview/911427388/abstract/888403C850E94FF4PQ/3?accountid=13360
3,https://www.proquest.com/usnews/docview/275187619/abstract/888403C850E94FF4PQ/4?accountid=13360
4,https://www.proquest.com/usnews/docview/1334922357/abstract/888403C850E94FF4PQ/5?accountid=13360
5,https://www.proquest.com/usnews/docview/1328376109/abstract/888403C850E94FF4PQ/6?accountid=13360
6,https://www.proquest.com/usnews/docview/1351503914/abstract/888403C850E94FF4PQ/7?accountid=13360
7,https://www.proquest.com/usnews/docview/440781599/abstract/888403C850E94FF4PQ/8?accountid=13360
8,https://www.proquest.com/usnews/docview/1503769618/abstract/888403C850E94FF4PQ/9?accountid=13360
9,https://www.proquest.com/usnews/docview/1285278513/abstract/888403C850E94FF4PQ/10?accountid=13360
10,https://www.proquest.com/usnews/docview/402954474/abstract/888403C850E94FF4PQ/11?accountid=13360
11,https://www.proquest.com/usnews/docview/1285217554/abstract/888403C850E94FF4PQ/12?accountid=13360
12,https://www.proquest.com/usnews/docview/1354553364/abstract/888403C850E94FF4PQ/13?accountid=13360
13,https://www.proquest.com/usnews/docview/1354177444/abstract/888403C850E94FF4PQ/14?accountid=13360
14,https://www.proquest.com/usnews/docview/1290320349/abstract/888403C850E94FF4PQ/15?accountid=13360
15,https://www.proquest.com/usnews/docview/239145049/abstract/888403C850E94FF4PQ/17?accountid=13360
16,https://www.proquest.com/usnews/docview/276225719/abstract/888403C850E94FF4PQ/18?accountid=13360
17,https://www.proquest.com/usnews/docview/269003942/abstract/888403C850E94FF4PQ/19?accountid=13360
18,https://www.proquest.com/usnews/docview/436796797/abstract/888403C850E94FF4PQ/20?accountid=13360
19,https://www.proquest.com/usnews/docview/2163611265/citation/888403C850E94FF4PQ/16?accountid=13360
20,https://www.proquest.com/usnews/docview/1617334191/abstract/888403C850E94FF4PQ/21?accountid=13360
21,https://www.proquest.com/usnews/docview/1878192977/abstract/888403C850E94FF4PQ/22?accountid=13360
22,https://www.proquest.com/usnews/docview/1878108148/abstract/888403C850E94FF4PQ/23?accountid=13360
23,https://www.proquest.com/usnews/docview/1290320880/abstract/888403C850E94FF4PQ/24?accountid=13360
24,https://www.proquest.com/usnews/docview/414366660/abstract/888403C850E94FF4PQ/25?accountid=13360
25,https://www.proquest.com/usnews/docview/378824055/abstract/888403C850E94FF4PQ/26?accountid=13360
26,https://www.proquest.com/usnews/docview/431626837/abstract/888403C850E94FF4PQ/27?accountid=13360
27,https://www.proquest.com/usnews/docview/268992653/abstract/888403C850E94FF4PQ/28?accountid=13360
28,https://www.proquest.com/usnews/docview/871193026/abstract/888403C850E94FF4PQ/29?accountid=13360
29,https://www.proquest.com/usnews/docview/405096383/abstract/888403C850E94FF4PQ/30?accountid=13360
30,https://www.proquest.com/usnews/docview/1350998850/abstract/888403C850E94FF4PQ/31?accountid=13360
31,https://www.proquest.com/usnews/docview/1350999757/abstract/888403C850E94FF4PQ/32?accountid=13360
32,https://www.proquest.com/usnews/docview/414398803/abstract/888403C850E94FF4PQ/33?accountid=13360
33,https://www.proquest.com/usnews/docview/1753264656/abstract/888403C850E94FF4PQ/34?accountid=13360
34,https://www.proquest.com/usnews/docview/277115877/abstract/888403C850E94FF4PQ/36?accountid=13360
35,https://www.proquest.com/usnews/docview/275208660/abstract/888403C850E94FF4PQ/37?accountid=13360
36,https://www.proquest.com/usnews/docview/436798923/citation/888403C850E94FF4PQ/35?accountid=13360
