,0
0,https://www.proquest.com/usnews/docview/1355301804/abstract/8E17DEA9E0A84128PQ/1?accountid=13360
1,https://www.proquest.com/usnews/docview/1355334042/abstract/8E17DEA9E0A84128PQ/2?accountid=13360
2,https://www.proquest.com/usnews/docview/1283769492/abstract/8E17DEA9E0A84128PQ/3?accountid=13360
3,https://www.proquest.com/usnews/docview/1223346645/abstract/8E17DEA9E0A84128PQ/4?accountid=13360
4,https://www.proquest.com/usnews/docview/1336031479/abstract/8E17DEA9E0A84128PQ/5?accountid=13360
5,https://www.proquest.com/usnews/docview/1412672059/abstract/8E17DEA9E0A84128PQ/6?accountid=13360
6,https://www.proquest.com/usnews/docview/1220896747/abstract/8E17DEA9E0A84128PQ/7?accountid=13360
7,https://www.proquest.com/usnews/docview/1426414196/abstract/8E17DEA9E0A84128PQ/8?accountid=13360
8,https://www.proquest.com/usnews/docview/1689683800/abstract/8E17DEA9E0A84128PQ/9?accountid=13360
9,https://www.proquest.com/usnews/docview/1412672316/abstract/8E17DEA9E0A84128PQ/10?accountid=13360
10,https://www.proquest.com/usnews/docview/1327398096/abstract/8E17DEA9E0A84128PQ/11?accountid=13360
11,https://www.proquest.com/usnews/docview/1353659753/abstract/8E17DEA9E0A84128PQ/12?accountid=13360
12,https://www.proquest.com/usnews/docview/1354453482/abstract/8E17DEA9E0A84128PQ/13?accountid=13360
13,https://www.proquest.com/usnews/docview/255752512/abstract/8E17DEA9E0A84128PQ/15?accountid=13360
14,https://www.proquest.com/usnews/docview/856963611/abstract/8E17DEA9E0A84128PQ/16?accountid=13360
15,https://www.proquest.com/usnews/docview/1353977670/abstract/8E17DEA9E0A84128PQ/17?accountid=13360
16,https://www.proquest.com/usnews/docview/1818734586/abstract/8E17DEA9E0A84128PQ/18?accountid=13360
17,https://www.proquest.com/usnews/docview/256856599/abstract/8E17DEA9E0A84128PQ/19?accountid=13360
18,https://www.proquest.com/usnews/docview/256876399/abstract/8E17DEA9E0A84128PQ/20?accountid=13360
19,https://www.proquest.com/usnews/docview/1220695858/citation/8E17DEA9E0A84128PQ/14?accountid=13360
20,https://www.proquest.com/usnews/docview/255759125/abstract/8E17DEA9E0A84128PQ/21?accountid=13360
21,https://www.proquest.com/usnews/docview/882299983/abstract/8E17DEA9E0A84128PQ/22?accountid=13360
22,https://www.proquest.com/usnews/docview/1239088674/abstract/8E17DEA9E0A84128PQ/23?accountid=13360
23,https://www.proquest.com/usnews/docview/1352870066/abstract/8E17DEA9E0A84128PQ/24?accountid=13360
24,https://www.proquest.com/usnews/docview/807400178/abstract/8E17DEA9E0A84128PQ/25?accountid=13360
25,https://www.proquest.com/usnews/docview/807406119/abstract/8E17DEA9E0A84128PQ/26?accountid=13360
26,https://www.proquest.com/usnews/docview/1689898863/abstract/8E17DEA9E0A84128PQ/27?accountid=13360
27,https://www.proquest.com/usnews/docview/256874398/abstract/8E17DEA9E0A84128PQ/28?accountid=13360
28,https://www.proquest.com/usnews/docview/1412440107/abstract/8E17DEA9E0A84128PQ/29?accountid=13360
29,https://www.proquest.com/usnews/docview/1355169764/abstract/8E17DEA9E0A84128PQ/30?accountid=13360
30,https://www.proquest.com/usnews/docview/1355301808/abstract/8E17DEA9E0A84128PQ/31?accountid=13360
31,https://www.proquest.com/usnews/docview/1355751610/abstract/8E17DEA9E0A84128PQ/32?accountid=13360
32,https://www.proquest.com/usnews/docview/255752022/abstract/8E17DEA9E0A84128PQ/33?accountid=13360
33,https://www.proquest.com/usnews/docview/926176112/abstract/8E17DEA9E0A84128PQ/34?accountid=13360
