0,"YELLOW SPRINGS -- This village could become home to the largest solar power array in Southwest Ohio in 2012 as part of a $65 million project to put new solar power in smaller Ohio villages and cities. \Mike Dickman, vice president of SolarVision of Westerville near Columbus, said he's close to a financing deal for the ambitious project. He'd like to break ground later this year, he said. \Aside from federal tax credits that will be part of the project, the financing now in its last phases is from private sources, Dickman said. \In Yellow Springs, a 2.5 megawatt array is planned for part of 44 acres of farmland owned by the village that's northwest of town off King Street, said Mark Cundiff, village manager. \Yellow Springs signed a purchase agreement for all the electricity and plans to use it during periods of high demand to lower costs during ""peak"" periods, Cundiff said. \A megawatt (MW) of power is equivalent to one million watts. Renewable energy, because it relies on natural factors, does not produce a consistent power stream. For example, the 1.1 MW Dayton Power & Light solar array in Washington Twp. produces enough electricity to power 150 average homes in a year, but up to 750 on bright days. \Between the solar array and new Ohio River hydroelectric projects being built now, Yellow Springs intends to draw more than 50 percent of its power needs from renewable sources in 2013, Cundiff said. \Yellow Springs owns its electric power distribution system. \The village's aggressive renewable goal is being helped by American Municipal Power Inc. or AMP, which is building new hydro projects on the Ohio River at existing dams. \AMP said that the projects will add 300 megawatts of capacity. AMP has called the projects ""the largest development of new run-of-the-river hydroelectric generation in the country."" \Dickman said other sites planned for solar arrays include Celina, Wapakoneta, Greenfield, Carey, Wellington, Clyde and Newark. The projects should generate 20 megawatts of electricity, more than any single solar installation operating in Ohio. \Dayton Power & Light's 1.1 megawatt facility at 9975 Yankee St. in Washington Twp. began operating in 2010. \Ohio law has an alternative energy standard requiring that 25 percent of electricity sold by Ohio's electric distribution utilities or electric services companies be generated from alternative energy sources by 2025. At least half must be from renewables, such as solar, wind, biomass and hydro with a minimum of one-half percent from solar. One half of the renewable energy must be from Ohio installations. \Coal powers 86 percent of Ohio's electric generation, natural gas and other gases account for 2 percent, Nuclear power is 10 percent and wind, solar and hydro make up about 1 percent.\Credit: By Steve Bennish, Staff Writer"
1,"News-Leader\Jefferson City -- The hot- button issue of Missouri's law mandating ethanol be blended into gasoline re-emerged in a Senate agriculture committee hearing Wednesday.\Sen. Matt Bartle, R-Lee's Summit, presented his case for repealing the 13-month-old 10 percent ethanol standard before a Senate panel of mostly farmers, a few of whom have a financial interest in the biofuels industry.\By mandating ethanol be blended into gasoline when the corn-based alcohol is cheaper than regular gasoline, Bartle said the state has created a system of winners and losers, disrupting the free market system.\""We're coming along and saying 'government knows better,'"" Bartle said in a nearly 20-minute monologue that delved deeply into conservative economic philosophy. ""We are picking ethanol over other alternative (energy) technologies ... that might produce less dependence on foreign oil.""\Missouri's alternative energy standard went into effect Jan. 1, 2008. Until November of last year, most gasoline sold at stations in the state contained 10 percent ethanol, as mandated by the new law.\But when gasoline and oil prices plummeted this fall, the ethanol mandate was voided by a price- trigger requirement designed to ensure customers are only forced to buy ethanol-blended gasoline when it's less expensive.\Before the mandate, Bartle said, 70 percent of Missouri's gas stations and convenience stores sold gasoline with 10 percent ethanol, also known as E10, which most internal combustion vehicles can handle.\""I didn't need government to tell me that I had to buy one fuel or another,"" Bartle said.\And with ethanol producers already receiving a 51-cent per gallon federal subsidy, Bartle said the mandate ensures ethanol is profitable when the price of gas is high. He equated it to a ""welfare"" system for corn farmers.\Bartle said the ethanol mandate has more to do with corn farmers having a powerful lobby in Jefferson City than sound public policy.\""The reason we do it is because we all like corn farmers,"" Bartle told the panel, which includes three corn farmers.\Bartle also said livestock farmers have been adversely affected by the rising demand for field corn at ethanol plants, which extract the alcohol to make the fuel.\Despite Bartle's pleas for the committee to renew their faith in capitalism and vote out a repeal of the mandate, he wasn't getting much sympathy.\""None of us here are going to change our minds,"" said Sen. Frank Barnitz, a livestock farmer and Democrat from Lake Spring.\Chaired by Republican Sen. Dan Clemens, a Webster County farmer, the agriculture committee includes of some of the Senate's most ardent supporters of biofuels.\Sen. Wes Shoemyer, a Democrat and farmer in northeast Missouri, is an ethanol and biodiesel investor. Sen. Bill Stouffer, R-Napton, is a Saline County farmer and also has invested in a biodiesel plant.\Both Shoemyer and Stouffer have received state tax credits for their investments in agribusinesses while serving in the legislature, The Associated Press reported last year.\Shoemyer said the emergence of biofuels and the profits that have followed has made farming a financial reality for his children.\""I really believe that this made a difference for my kid to come back home,"" Shoemyer told Bartle.\Prior to Bartle's hearing, Stouffer presented a bill that would extend the mandate to diesel fuel, requiring all diesel is blended with 5 percent biodiesel, which typically comes from soybean oil.\Stouffer defended Bartle's claim that the ethanol mandate has diverted field corn from its traditional use for feeding livestock to ethanol plants, thus driving up the price of food in the grocery store.\Stouffer noted that since field corn, gasoline and ethanol prices dropped a few months ago, the price of food has remained the same.\""If ethanol was what pushed the price of food up, why haven't they gone down?"" Stouffer asked.\Stouffer said there's a ""social value"" for Missouri by depending on less foreign oil.\Bartle later told Stouffer: ""It's always tempting to force our people to buy things that they would not otherwise buy."""
2,"
GOV. John Kasich interrupted his presidential campaign last week to return to Ohio. While he was in Columbus, he asserted that he sees no need even to ask voters in 2016 whether they want the state to borrow as much as $1 billion to help pay to clean up Lake Erie and other key waterways. ""I don't see any reason to really do any more at this point,"" he said.
\
The governor added that he has no interest in reversing one of the worst failures of his administration: his acquiescence in the terrible decision last year by the Republican-controlled General Assembly to repudiate Ohio's standards to promote renewable energy and energy efficiency. That measure was a transparent sop to Columbus' imposing fossil-fuel lobbies.
\
Mr. Kasich evidently believes that such positions burnish his credentials for national political leadership - or at least the GOP presidential nomination. Maybe the latter, but certainly not the former.
\
Northwest Ohioans do not need to be reminded that a harmful algae bloom in western Lake Erie generated a toxin that poisoned Toledo's water supply for three days in the summer of 2014, depriving nearly 500,000 consumers of their usual source of drinking water. A new study by scientists at Ohio State University and elsewhere warns that the number of major blooms in the lake, already chronically high, could double in the next 100 years.
\
Yet Mr. Kasich seems content with modest measures to limit agricultural pollution of Lake Erie's tributaries, such as a new law that restricts farmers' application of manure and chemical fertilizer on frozen or saturated ground. The governor has joined calls for a 40 percent reduction over the next decade in the amount of phosphorus, which feeds toxic algae, flowing into western Lake Erie. Some environmental scientists suggest that goal is already inadequate.
\
The proposal to place a clean-water bond issue on next year's statewide ballot is bipartisan; Republican state Sen. Randy Gardner of Bowling Green is one of its strongest advocates. It has support, at least in principle, from a range of environmental, farm, and business interests.
\
The plan would usefully address a variety of environmental risks - including toxic algae -to Lake Erie, the Ohio River, and other major bodies of water across the state. It seeks to reduce water pollution by a broad range of sources. A competing proposal would focus on sewer overflows.
\
Either way, Mr. Kasich's conspicuous disinterest in the ballot measure won't help. Last week, he instead blamed outsiders - other states, Detroit, Canada- for polluting Lake Erie.
\
The new Lake Erie study concludes that human-made climate change could""supercharge"" the growth of harmful algae. The two-year pause in Ohio's alternative-energy standard that the governor and legislature enacted last year is contributing to climate change by encouraging the state's over-reliance on fossil fuels, notably coal, to generate electric power. That outcome is at odds with, among other things, the new global agreement on climate change reached this month in Paris.
\
To his credit, Governor Kasich has rejected a legislative proposal to extend the freeze on energy standards indefinitely. But he also said last week that he doesn't want Ohio to revert fully to the former clean-energy mandates. That seems a distinction without much of a difference.
\
Mr. Kasich also has refused to petition the U.S. Environmental Protection Agency to declare the western Lake Erie basin a""distressed"" watershed. That action would allow closer scrutiny and regulation of pollution sources such as the heavily subsidized factory farms known as concentrated animal feeding operations.
\
The Kasich administration claims that such a designation would impair the public image of the western Lake Erie region. Not as much as a reprise of Toledo's water crisis would.
\
During the Republican debate this month, Mr. Kasich outlined the elements of political victory next year in Ohio, a key swing state in presidential elections. A candidate's message, he insisted, ""has to be big and bold and positive.""
\
A comprehensive, meaningful plan to repair Lake Erie, the state's most vital natural asset, would fit that description admirably. But such an economic and environmental boon doesn't appear to be on the governor's agenda.
\
Voters are told repeatedly that Governor Kasich is the thoughtful, responsible, moderate candidate in the GOP presidential field. And compared to his rivals, he is. It's all relative, but that observation isn't particularly comforting.
\
Credit: BLADE
"
3,"
Charlie Crist, the man without a party, still manages to find a way to be invited to one and deliver a message. President Barack Obama's invitation to the former Republican governor to speak at the Democratic National Convention on Thursday was attacked by Republicans in Florida and elsewhere as a desperate act by two self-serving politicians. But the reality is that Crist has a message to deliver about pragmatic governing based on consensus-building rather than ideological purity. When he felt unwelcome in his own political party, he left and changed his voter registration to no party affiliation. And that says more about the modern Republican Party than it does about the former Florida governor.
\
Crist said Tuesday that he will strive in his speech before an anticipated 65,000 people in a football stadium to give ""a fuller perspective on (Obama's) wonderful leadership."" And taken outside the partisan prism, it's not that surprising that Crist is backing Obama over the Republican nominee, former Massachusetts Gov. Mitt Romney.
\
As Florida governor from 2007-11, Crist's moderate agenda had more in common with the current Democratic platform than the stridently conservative one Republicans approved last week in Tampa at the Republican National Convention. Crist supported immigration reform, embraced stimulus funding as a way to keep Floridians working, backed public school teachers, sought to set a new alternative energy standard for the state to address climate change, provided a path for felons to get their civil rights restored, and even kept the polls open longer in 2008 for early voting.
\
Contrast that with today. In Florida under Gov. Rick Scott, Republicans have made it harder to register to vote and cast ballots. The governor rejected $2.4 billion for high-speed rail linking Tampa to Orlando, and he and legislative leaders have refused to accept millions in federal money for health care reform and to help low-income pregnant women. Scott signed a budget that cut $1.3 billion in public education last year, then bragged this year that the state had increased education spending by $1 billion when the truth is that Florida is still spending less on education than when he took office.
\
Of course, Crist is not wholly in line with Obama and Democrats - which actually makes his appearance more refreshing. He has repeatedly opposed raising taxes and gun control. He is no supporter of abortion rights and gay marriage. But on social issues, he has been a live-and-let-live lawmaker and has said the current GOP platform outlawing all abortions goes too far. Crist is a populist, and there is little room for populists anymore in the Republican Party.
\
Some have seen Crist's defection to Obama's camp as opportunistic, giving the possible future candidate a chance to address a national audience. But the real importance of Crist's presence is as a symbol of moderation and cooperation. Americans from different perspectives can work together for common goals toward a better future, even if they don't agree on everything. That is the antidote to extremism, writ large.
"
4,"
Progress Energy Florida leaders are emphatic that they want to repair the utility's Crystal River nuclear plant and return it to operation. But their acknowledgement last week that shuttering the nuclear plant might eventually prove more financially pragmatic caught customers of the state's second-largest utility by surprise. Now Progress Energy's long-assumed strategy for providing power for the region hangs in the balance given the uncertain future of the Crystal River plant and the continued ambiguity about whether a proposed nuclear plant will be built in Levy County. As Progress Energy proposes its solution for Crystal River, it must make a convincing argument that the fix will work, the expense will be prudent and the facility will continue to function safely.
\
Nothing about the recent events at Crystal River is encouraging. Discovery of a gap in the nuclear reactor's containment wall during scheduled maintenance took the facility off line in 2009, forcing the utility to shift power generation to coal or gas plants and increasing fuel costs. As repairs to the gap in one of the wall's six panels were near completion last month, the utility found a second gap in another panel. Progress Energy says it will update Florida's Public Service Commission on June 27 about its plan for repairs.
\
But there is no guarantee the facility will eventually return to service, prompting the acknowledgement last week that decommissioning the plant remains an option. Progress Energy's proposed fix for Crystal River will need to pass muster with the U.S. Nuclear Regulatory Commission, which deals with safety and operational issues, and the PSC, which will decide how the repairs or a decommissioning will be financed. Progress Energy is not yet offering cost estimates for either option beyond the $440 million that's already been spent. But neither alternative would be cheap.
\
Those costs, and how much insurance will cover, will clearly weigh heavily in the utility's decision. But so too should the long-term costs for its 1.6 million customers, whether that's for repairs or for decommissioning and the cost of switching to more expensive fuels such as natural gas.
\
Unfortunately, Progress Energy will make a final decision on Crystal River in the absence of any state or federal energy policy aimed at tackling the long-term need of both Florida and the nation to diversify the power supply and lessen the dependence on ozone-damaging fossil fuels. President Barack Obama and Congress remain paralyzed on the issue, and, when he was governor, Charlie Crist's effort to encourage an alternative energy standard fell largely on deaf ears in the Republican-led Legislature.
\
A clear energy policy would give Progress Energy and the public a far better understanding of the broader implications for repairing the Crystal River plant long term or replacing it with a combination of other technologies, be it natural gas or renewable solar or wind. Short of that, however, Progress Energy must remain forthcoming about its options, emphasize safety and respect its customers' financial interests in making a final proposal for moving forward.
"
5,"
COLUMBUS -- An environmental group on Wednesday launched a campaign urging Ohioans to boycott FirstEnergy Corp.'s marketing arm to protest what it says are efforts by Toledo Edison to undercut Ohio's renewable energy and efficiency standards.
\
""It is time for us to stop FirstEnergy,"" said Dan Sawmiller, senior representative of Sierra Club's Beyond Coal Campaign in Ohio. ""We will not stand by any longer without taking direct action.""
\
The first electronic billboard has gone up across from the Statehouse in Columbus where lawmakers may soon revisit Ohio's 2008 law requiring utilities to find at least 25 percent of their power from renewable or advanced technology sources by 2025.
\
FirstEnergy Solutions, the retail electricity supplier affiliate of the Akron-based utility, markets itself as an alternative to traditional utilities -- including FirstEnergy itself -- in multiple states in the Midwest and the East. Central Ohio is a major marketing target because FirstEnergy Solutions has been going after customers of American Electric Power there.
\
The boycott campaign plans paid advertising, online ads, mailers, and direct contact to urge consumers to sign a pledge that they will not sign a contract to buy their power from FirstEnergy Solutions.
\
Under state law, half of the 25 percent alternative energy standard, or 12.5 percent, must come from renewable sources such as wind, solar, and landfill gases. Half a percentage point must come from solar.
\
The advanced sources can also include such things as nuclear, fuel cells, and cleaner coal technology. Most of Ohio's electricity comes from coal-fired power plants.
\
The requirement for renewable and advanced energy could be suspended once the cost to consumers increases by more than 3 percent, but no utility has yet invoked that cap.
\
""We're not aware of any impact [the Sierra Club campaign] may be having, but we certainly feel their campaign is misleading,"" said FirstEnergy spokesman Doug Colafella.
\
""Like other utilities in Ohio, we have programs that help customers reduce their energy use,"" he said. ""It's a shame that this campaign could mislead customers into missing out on reducing their electric bills by switching to FirstEnergy Solutions.""
\
The Public Utilities Commission of Ohio recently ordered FirstEnergy Corp. to refund $43.3 million to its 2 million customers for overcharging them for renewable energy credits it acquired through its subsidiary to comply with the law. On Wednesday, at the request of multiple parties on both sides, including FirstEnergy, the PUCO agreed to reopen the case.
\
Ohio Sen. Bill Seitz (R., Cincinnati) is expected to introduce a bill sometime this fall to revisit the standards, with the emphasis expected to be primarily on efficiency as opposed to renewable energy.
\
Contact Jim Provance at: jprovance@theblade.com or 614-221-0496.
\
Credit: Jim Provance Blade Columbus Bureau Chief
"
6,"Money to repair highways, rising health-care costs and controversies surrounding attempts to combat global warming are among topics the nation's governors plan to tackle when they gather this week in West Virginia. The National Governors Association summer meeting, which runs until Saturday at The Greenbrier resort in White Sulphur Springs, comes as states find themselves grappling with an array of issues that defy easy answers. Those include long-range funding for infrastructure upgrades, the effects of prolonged drought and adequately funding public schools and colleges.\States' economic conditions generally have improved since the national recession, but the retirement of the baby boom population will put pressure on governments as public pension and health care costs continue to rise, said Jack Pitney, a political science professor at Claremont McKenna College in southern California.\""In the short term, it's not too bad because the economy has been recovering and a lot of the states are not in those dire fiscal situations they were in a few years ago, Pitney said. ""However, every farsighted state governor knows the good times won't last.\Some storm clouds already are appearing. An Associated Press analysis this spring found that at least 22 states will be dealing with budget shortfalls for the 2016 fiscal year. This month, the AP also found that enrollments and costs have surged way beyond projections in many of the states that opted to expand Medicaid under the federal Affordable Care Act.\Because Medicaid costs account for such a large part of state budgets, that is raising concerns that states will have to make cuts in education and other areas to afford the low-income health care program once the federal government begins reducing its share.\Missing from the conference will be the four governors who are vying for the Republican nomination for president next year. Chris Christie of New Jersey, Bobby Jindal of Louisiana, John Kasich of Ohio and Scott Walker of Wisconsin have commitments elsewhere, according to their staffs and campaign officials.\Democratic Gov. John Hickenlooper of Colorado, the association chairman, and Republican Gov. Gary Herbert of Utah, the vice chairman, did not make themselves available for interviews before the meeting.\West Virginia's struggling southern coalfields help illustrate the divide between governors who urge swift action on climate change and those who are fighting regulations against greenhouse gas emissions because of their state's reliance on the fossil fuel industry.\California Gov. Jerry Brown had been scheduled to give an address at the conference but instead flew to Rome, where he attended a Vatican summit called by Pope Francis following the release of his encyclical on climate change and poverty. In a speech Tuesday, Brown said global warming deniers were putting ""troglodytes into office rather than environmentally responsible leaders.\The Democratic governor is pushing a state plan that his administration calls the most aggressive carbon-reduction benchmark in North America. It would increase statewide renewable electricity use to 50 percent, have drivers use half as much gasoline and make buildings twice as energy-efficient as they are now.\By comparison, elected officials from both parties in West Virginia blast the Obama administration's push to curb greenhouse gas emissions. They say the regulations unfairly target an already-fizzling Appalachian coal industry.\The state has led or joined lawsuits against several U.S. Environmental Protection Agency regulations.\This year, West Virginia got rid of its state alternative energy standard, although it was hardly strict. Burning many types of coal - and even tires - counted as alternative energy. The coal industry helped write the law in the first place but came out in opposition to it this year.\""When we look at changes in our policy in this country, we need to also look at the economics involved with it and what effect it's having on coal states, said West Virginia Gov. Earl Ray Tomblin, a Democrat. ""Obviously, we can all see what effect it's having here in West Virginia, as far as the loss of jobs and, which goes along with that, the loss in tax dollars.\Faced with ballooning health-care costs, governors also will hear from U.S. Department of Health and Human Services Secretary Sylvia Mathews Burwell, a West Virginia native. U.S. Department of Labor Secretary Thomas Perez will be the other high-level federal official addressing the group.\Governors also are anxiously awaiting action from Congress on a transportation bill as their roads, highways and bridges worsen. Senate Majority Leader Mitch McConnell, R-Kentucky, announced a deal on a six-year funding bill earlier this week, but it immediately ran into procedural delays from Democrats.\Authority for transportation programs expires July 31, which would eliminate the transportation department's ability to process promised highway and transit aid to states.\Already, the total money available to states from the Federal Highway Trust Fund has declined 3.5 percent during the five-year period ending in 2013, according to figures compiled by The Associated Press.\Some states, including ones like Michigan with Republican leadership, are mulling tax and fee hikes to address pressing road problems.\Credit: Jonathan Mattise The Associated Press"
7,"While efforts to boost the use of natural gas as an alternative fuel in Oklahoma continue to gain momentum, those efforts need to continue, energy experts said last week.\In a media statement issued by outgoing House Speaker Chris Benge, the lawmaker said business leaders are showing increased interest in developing the state's natural gas market.\""From a public policy standpoint, energy security is one of the top issues facing this country right now,"" said Benge, R-Tulsa. ""It's clear that both Oklahoma's citizens and business leaders are embracing this idea and joining the effort to promote locally produced fuels like natural gas.""\Officials with the Oklahoma Independent Petroleum Association agreed.\""Several private companies, including Apache Corp. and Chesapeake Energy, are replacing their regular fuel vehicles with natural gas-powered vehicles,"" said Cody Bannister, OIPA spokesman.\Bannister said the biggest change could be spawned in fleet vehicles.\""The biggest gain is in fleet vehicles,"" he said. ""Companies are replacing cars and trucks that typically run the same routes with natural gas vehicles. Those are the most viable options.""\Benge agreed. Speaking at a Tulsa Metro Chamber event last week, he said the state is at the forefront in expanding the nation's natural gas market.\""When looking at alternative fuels, the no-brainer for Oklahoma is natural gas,"" Benge said. ""It creates jobs in Oklahoma and provides greater energy security for the country.""\Industry studies show the United States spends about $100 million per day on imported oil, including oil generated in regions hostile to Americans. But at the same time, those studies show an estimated 100-year supply of natural gas is still available for production on the American continent.\""And that supply is increasing, thanks to successful technological advancements in horizontal drilling,"" Benge said.\Benge said energy security - on the state and national level - has been a focal point of his tenure as speaker of the Oklahoma House of Representatives.\He said state lawmakers have enacted policies that encourage the use of natural gas for vehicles and the installation of corresponding fueling infrastructure and continue to develop proposals for the development of the fueling infrastructure.\""We want to be aggressive in building the network of fueling stations,"" he said. ""As a result of Oklahoma's policies, there are currently around a dozen more natural gas fueling stations in the development pipeline.""\Bannister said those ideas would allow natural gas to be used as a ""bridge fuel"" as the country makes a switch from petroleum to other energy sources.\""We've seen a lot of promotion for natural gas as a bridge fuel,"" he said. ""It's here, it's affordable and it's accessible.""\And new technologies, Bannister said, have expanded the supply.\""The use of horizontal drilling and hydraulic fracturing have opened vast amounts of natural gas across the country that were, 20 years ago, unproducable,"" he said.\To help develop the state's market for natural gas, Benge said lawmakers passed the Oklahoma Energy Security Act this year, which set an alternative-energy goal, including having one public natural gas fueling station every 100 miles along the state's interstate system by the year 2015 and every 50 miles by 2025.\""Oklahoma is reportedly the only state with an alternative-energy standard set specifically for natural gas,"" he said.\Benge said the price advantage of natural gas, along with the increased energy security, will make the fuel a major part of the national energy policy discussion.\""Everyone was really focused on this issue when gasoline was $4 per gallon,"" he said. ""I don't want the public to forget we still have a real challenge ahead of us. Prices may have come down from a high of a couple of years ago, but we are still facing the need to address the nation's energy security.""\That's the right direction, Bannister said.\""We taken some great first steps to develop the market,"" he said. ""But there are still more steps to take.""\Credit: M. Scott Carter"
8,"The day after West Virginia Republican lawmakers started tax reform talks, coal giant Murray Energy laid off 214 miners with a clear message calling for lower state taxes to unearth coal. After last week's layoffs, Murray's subsidiary condemned the Obama administration and lamented cheaper natural gas reserves. What surprised Gov. Earl Ray Tomblin, though, was that Murray blasted the state coal severance tax as ""extremely excessive.\""That's really the first time I've had anyone say anything about our severance tax, said Tomblin, a Democrat.\The tax will be under review as the GOP-led Legislature mulls ways to reshape the tax code, said Senate President Bill Cole, R-Mercer.\During the industry's downturn, the spigot of coal severance cash has slowed considerably. Tomblin expressed concerns about trying to cut an already-shrinking revenue source that helps cover a variety of costs, from education to health care.\A chunk also goes back to county governments. Recently, struggling southern coal counties have laid off law enforcement officers and made other cuts, attributing them at least partly to falling severance money.\""One of the things we're blessed with is our energy in West Virginia, Tomblin said. ""I can't imagine right now reducing the taxes.\Cole called the tax review ""the next step to help coal, after passing bills last session to trim mining regulations and scrap a state alternative energy standard. Tomblin signed both.\A committee on tax reform is underway, and the next session starts in January.\Robert Murray, the company's namesake and a loud critic of President Obama's energy policies, just last week bet even bigger on coal. Murray Energy paid $1.4 billion for a controlling interest of Foresight Energy, which mines the thick coal seams in the Illinois Basin. Murray's West Virginia mines are up north, which has remained a more productive region than the state's thinning southern seams.\The coal executive also gave state Republicans a big lift last election. His company's $250,000 donation to a conservative super PAC was one of the biggest all cycle, and helped lift Republicans to their first state legislative majorities in more than eight decades.\At the federal level, Murray and other coal operators say they'll be crippled by Obama's climate change pushes, which call for reductions in carbon emissions from coal-fired power plants.\At the state level, the company says coal pays well more than its fair share.\Other than a surtax likely disappearing next year, the coal severance tax hasn't been raised since 1989. In 1997, mines with thinner seams got a break.\Companies now pay 1, 2 or 5 percent, depending on seam thickness.\Since December 2005, producers have paid 56 cents per ton to cover a worker's compensation debt, a tax expected to be dropped sometime next year, according to the Department of Revenue.\Combined, coal severance brought in $407.2 million last budget year, including $63.7 million for the debt payback. That's compared to $451.6 million in 2013 and $531.1 million in 2012.\Similar taxes exist for extracting resources like natural gas, which has boomed and helped prop up the budget during coal's decline.\It's hard to compare severance taxes across states because different coal burns at different rates, state Deputy Revenue Secretary Mark Muchow said.\Wyoming charges 3.74 percent underground and 7 percent for surface mining; Kentucky taxes a flat 4.5 percent; Pennsylvania has none; Ohio levies 10 cents per ton, plus reclamation fees; and North Dakota taxes 37.5 cents per ton, according to the West Virginia Department of Revenue.\West Virginia Coal Association President Bill Raney said the state's severance tax level puts it at a competitive disadvantage. However, he doesn't want money that goes to counties cut, either.\""I think there's a balance in there, Raney said. ""I don't know where that line is.\Credit: JONATHAN MATTISE The Associated Press"
9,"
By CHRIS KICK
\
Staff Writer
\
WOOSTER -- Whichever candidate is elected as state representative in the 3rd District will likely take with him some new ideas about education, business and the role of government.
\
Republican Ron Amstutz, who now serves in the Ohio Senate, is running against Democrat Merle Joe Miller for state representative.
\
Both have differing views on the major issues and different goals about how to improve the state's education system and economy.
\
Amstutz said one of the biggest tasks is helping Ohioans become more connected with the workplace. He said internships and similar programs are a necessary means of engaging students with the work world and that such programs should start as early as the sixth-grade.
\
""The seeds for that need to be planted earlier and started earlier,"" he said. ""I think there's a whole lot of students that have no connections for work, all the way through high school even. It's not true for all, but it's true for a lot.""
\
Miller, who is vice president of sales for the Santmyer Oil Co., supports a modified version of President Ronald Reagan's plan to get the most out of school days, school years and curriculum. He advocates extending the school year to about 230 days and the school day by 30-60 minutes.
\
Additionally, Miller said high school students should be required to study four years of English (as most already require), four years of science and math and that foreign language should begin in the sixth grade, possibly the third grade.
\
Miller said these standards would cost more and require more support by educators and communities, but it is the kind of direction he thinks education should go.
\
""That's the kind of effort we need in our education,"" he said.
\
Along with better education, which both candidates said will improve graduates for the demands of today's jobs, both candidates also support the work of BioHio, which they expect to create some of the jobs students pursue.
\
Amstutz said BioHio has already attracted existing businesses, such as Schmack BioEnergy, which produces biogas, and will continue to do so as it develops.
\
""All the major research universities in Ohio and beyond have been pushing to do this,"" Amstutz said. ""It's part of jump-starting our economy. It's not the only thing, by any means, but it's a very important frontier for us to be working in.""
\
Miller said Ohio is behind in its pursuit of alternative energy and acting on a bioenergy standard, which is largely why he's running for office. He said of BioHio that he's ""encouraged that we can encourage research to come in and to do research in our part of the country.""
\
Miller said he has invested in a biodiesel plant in Toledo, expected to begin production in about a month, something he said the local area could also support. He's also working on a project in Toledo to turn seaweed into usable energy, which he said if works there, then it could also work in Wayne County.
\
""We have to encourage this industry to come in,"" Miller said. ""If it's (BioHio) like Toledo, once you get industry in, one thing leads to another.""
\
Amstutz said some of the specific changes he hopes to make are with the Ohio Environmental Protection Agency and the Bureau of Workers' Compensation.
\
Both, he said, have lost their focus and are hurting the business community, especially medium- to small-sized businesses. The problem with the EPA, he said, is communities are being fined for issues related to paperwork.
\
""We've got to break that cycle because it is a very discouraging thing to our business community when they come up against these almost 'attack fines' from the OEPA,"" Amstutz said.
\
As for Workers' Compensation, Amstutz said the problem isn't in legitimate claims, but instead is in claims that defeat the program's purpose.
\
""It (Worker's Compensation) has a very important purpose, but that purpose has been sidetracked by inappropriate abuse by the trial attorneys,"" Amstutz said.
\
Miller said his biggest focus in the House will be to improve the state's standing with alternative energy, and get it to become more business-oriented.
\
He said the biggest issue is ""inaction from the state government standpoint. Ohio has not been an aggressive state to go out and get industry.""
\
Miller said the state is ""dead last"" in establishing alternative energy for Ohio, which he said is the result of inaction.
\
""I would like to see Ohio go to a minimum (ethanol requirement) of 15 percent, if not 20 percent, on all vehicles the next three-five years,"" he said.
\
Miller said he understands the impact increased ethanol production could have on the area's livestock farmers, who would likely be faced with higher feed bills, but that many also produce their own feed and that more benefit from higher grain prices than do not.
\
""Some of these grain farmers have made more money the past three or four years than they have for years and years,"" Miller said. ""Yes, they (livestock farmers) get hurt in the situation, but you can't scrap the whole thing because a few people get hurt.""
\
Amstutz said the state has adopted a standard with Gov. Ted Strickland's alternative energy standard, which requires that by 2025 at least 25 percent of the state's electricity be produced by advanced energy technology.
\
He said the state has also identified fuel cells as an area Ohio can succeed and has several ongoing efforts already in place, including at Case Western Reserve University.
\
Miller said he plans to apply business principles he gained in the gas industry to the government, and the idea of taking action on whatever front is necessary, reducing the number of government employees and offices, if necessary.
\
""You cannot use this mindset of things will take care of themselves, problems will take care of themselves and do nothing,"" he said. ""You have to go in and take on the problems of the day.""
\
Amstutz said he plans to carry his eight years in the Ohio Senate into office, along with his ""experience, expertise and passion for service."" He spent 20 years as a state representative for this area before becoming a senator.
\
He said he especially plans to work the separation between rural and central urban areas, to ""try to help people in those areas find a way to improve themselves.""
\
Reporter Chris Kick can be reached at 330-287-1635 or e-mail .
\
Credit: By CHRIS KICK Staff Writer
"
