,Full_text
0," Washington --- A group of senators introduced a resolution Wednesday to block a Bush administration plan that environmentalists say coddles industries responsible for mercury pollution.\ At issue is an Environmental Protection Agency move to install an industry-backed ""cap-and-trade"" plan in which power companies could buy and sell allowances for releasing mercury into the air from coal- burning power plants.\ Alarmed at evidence of fetal brain damage caused when pregnant women are exposed to mercury, more than 600,000 Americans have contacted the EPA in recent years, objecting to plans to set up the pollution-swapping system.\ Although supporters of the Senate resolution acknowledged that it may never pass, the measure has more than enough sponsors --- 32 --- to force a vote by the full Senate.\ An identical resolution was introduced late Wednesday in the House, with five co-sponsors, including House Minority Leader Nancy Pelosi of California.\ ""It will be an uphill fight, but this is our best opportunity to hold senators accountable on this very important issue,"" said Felice Stadler, a mercury specialist at the National Wildlife Federation.\ Spokesmen for electric power interests that lobbied hard for the cap-and-trade plan ridiculed the resolution.\ Scott Segal, head of a lobbying organization that represents Southern Co. and other coal-burning utilities, called it ""yet another attempt to gum up the works of mercury regulation in the United States.""\ ""Even though the senators argue for faster regulation of mercury emissions, today's petition is a recipe for delay and uncertainty in federal mercury policy, much to the detriment of the American people,"" said Segal, director of the Electric Reliability Coordinating Council.\ Dan Riedinger, spokesman for the Edison Electric Institute, a trade group for the electric power industry, said the stringent regulation anticipated in the Clinton administration declaration would not have held up in court.\ ""Had the agency adhered to this plan as critics of the current rule would have preferred, the resulting regulation would have fallen in the courts like a house of cards in a hurricane,"" he said.\ EPA spokeswoman Eryn Witcher said the resolution ""threatens to delay the world's first mercury regulation on power plants --- a regulation that will cut harmful emissions by 70 percent nationwide.\ ""EPA and the Bush administration continue to feel strongly that we must act now to effectively reduce mercury emissions from power plants,"" she said.\ If passed by both the House and Senate, the resolution would overturn a regulation that the EPA used to rescind a Clinton administration declaration requiring reduction of mercury emissions from coal-burning electric power plants.\ The Senate ""resolution of disapproval"" was introduced Wednesday under the Congressional Review Act, a law passed as part of the Republican Contract with America to give Congress a simple means of vetoing regulations imposed by federal agencies.\ Chief sponsors were Sens. Patrick Leahy (D-Vt.), Susan Collins (R- Maine) and James Jeffords, a Vermont independent. Senators from California, Hawaii, Oregon, Minnesota and other states signed on as co-sponsors.\ Complaining that Senate Environment and Public Works Committee Chairman James Inhofe (R-Okla.) had refused to hold ""a single hearing"" on the EPA mercury rule, Leahy said the administration and Senate Republican leaders had tried ""to avoid any public daylight"" on the matter.\ ""Their aim is to keep the public in the dark, and I would guess that most Americans in fact do not know what EPA and the big polluters have been up to with this rule.""\ Senate rules require a floor vote on the resolution if 30 senators request it.\ CAPTION: KEN CEDENO / Bloomberg News Sen. Pat Leahy (D-Vt.) says the Bush administration and Republican leaders are trying ""to keep the public in the dark"" on the mercury emissions plan."
1,"Carbon bleeds out of every pore of our economy. There is no way to finesse the 80 percent emissions reduction that scientists suggest is needed to stave off the worst impacts of climate change. Consumers need clear and consistent price signals on every carbon emitting activity, product and service so that they can properly evaluate their choices. And in this already hyper-turbulent economic environment, producers need stability. They need to know what their costs will be, now and in the future. Cap and trade would require the creation of a huge new and complicated market --- one that is every bit as volatile, murky and subject to manipulation as those that pushed us into this financial quagmire. More economic tricks, gimmicks and derivatives are not going to solve a problem this big. Tax carbon directly if you must. Just get the prices right, and the rest will take care of itself.\Cap and trade programs are a proven way to achieve environmental standards and protect public health while providing flexibility to industries that seek market-based solutions. Utilities successfully used cap and trade to cost-effectively reduce acid rain-causing emissions over the past two decades. A well-structured program provides an equitable way to shift to a low-carbon economy by auctioning a high percentage of pollution credits to generate funds for rebates to energy consumers and technology incentives. If implemented with complementary policies, such as renewable energy and energy efficiency standards, cap and trade could meet pollution-reduction goals while spurring investments in new jobs, increasing energy security and yielding net savings to consumers and businesses. By setting a firm limit on carbon pollution, a cap and trade program can drive clean technology innovation, strengthen America's role as a green-tech leader, and protect Georgia's treasured places.\Federal policymakers are considering a permit-trading system designed to create financial incentives for lowering pollution. It would cap carbon emission levels, allocate permits to businesses and allow low emitters to sell excess permits. Should the federal government create a cap and trade permitting system for greenhouse gas emissions?\YES\Stephen A. Smith, Executive Director, Southern Alliance for Clean Energy\Cap and trade programs are a proven way to achieve environmental standards and protect public health while providing flexibility to industries that seek market-based solutions. Utilities successfully used cap and trade to cost-effectively reduce acid rain-causing emissions over the past two decades. A well-structured program provides an equitable way to shift to a low-carbon economy by auctioning a high percentage of pollution credits to generate funds for rebates to energy consumers and technology incentives. If implemented with complementary policies, such as renewable energy and energy efficiency standards, cap and trade could meet pollution-reduction goals while spurring investments in new jobs, increasing energy security and yielding net savings to consumers and businesses. By setting a firm limit on carbon pollution, a cap and trade program can drive clean technology innovation, strengthen America's role as a green-tech leader, and protect Georgia's treasured places.\NO\Michael E. Chang, Deputy Director, Brook Byers Institute for Sustainable Systems, Georgia Tech\Carbon bleeds out of every pore of our economy. There is no way to finesse the 80 percent emissions reduction that scientists suggest is needed to stave off the worst impacts of climate change. Consumers need clear and consistent price signals on every carbon emitting activity, product and service so that they can properly evaluate their choices. And in this already hyper-turbulent economic environment, producers need stability. They need to know what their costs will be, now and in the future. Cap and trade would require the creation of a huge new and complicated market --- one that is every bit as volatile, murky and subject to manipulation as those that pushed us into this financial quagmire. More economic tricks, gimmicks and derivatives are not going to solve a problem this big. Tax carbon directly if you must. Just get the prices right, and the rest will take care of itself.\Compiled and edited by Kathy Brister. Send topic suggestions to kathybrister@yahoo.com.\Credit: For the AJC"
2," Washington --- President Bush outlined a collection of energy efficiency measures Thursday that he said will deal with global warming and result in a lower rate of increase of ""greenhouse gases"" that are released.\ Under the Kyoto Protocol, which was negotiated by more than 100 nations in Japan in 1997, the United States would be required to reduce its greenhouse gas emissions to 7 percent below 1990 levels.\ The Kyoto treaty, negotiated by the Clinton administration, was never ratified by the Senate. After taking office last year, Bush rejected the agreement.\ Under Bush's plan, the United States would increase its greenhouse gas emissions by about 14 percent during the next decade --- roughly the same amount that emissions increased during the past decade.\ Bush said his plan called for a reduction of ""greenhouse gas intensity,"" or the quantity of carbon dioxide, methane and other atmosphere-warming gases.\ If the president's targets are met, for each dollar in economic growth the country achieves during the next decade, the amount of greenhouse gas going into the air will go up by 72 percent as much as it would if there were no efficiency improvements.\ The heart of the plan is to encourage companies to voluntarily slow the growth in their greenhouse gas emissions by giving them ""credits"" that could be cashed in at some time in the future if the government decided to impose mandatory reductions.\ Bush's other proposal Thursday, a ""cap-and-trade"" plan for controlling air pollution by power plants, has been promoted by the industry since before Bush took office in January 2001. Utilities want such a system to replace a provision of the Clean Air Act known as ""new-source review.""\ The Clean Air Act exempted hundreds of older power plants and other industries from the tightest controls on sulfur dioxide and nitrogen oxides. However, the new source review provision states that if significant modifications are made to those older facilities, they become subject to the reduction requirements.\ In lawsuits filed during the Clinton administration, the Environmental Protection Agency and representatives of several Northeastern states accused power companies of disguising modernization as routine maintenance to evade the rules.\ The companies have chafed under the lawsuits, and a White House energy task force chaired by Vice President Dick Cheney recommended last year that the policy be reviewed. The administration did not disclose its plans for the new-source review provision Thursday. An announcement is expected next week.\ A senior administration official who described the cap-and-trade plan to reporters said the electric power industry would be put on notice that by 2018, national emissions of three pollutants --- nitrogen oxides, sulphur dioxide and mercury --- must be below specified limits.\ The White House said the plan will reduce sulfur dioxide emissions to about 3 million tons a year by 2018, from about 11 million tons this year. Nitrogen oxide emissions would go from 5 million tons this year to 1.7 million tons in 2018; mercury pollution would drop from 48 tons to 15 tons.\ Information from Scripps-Howard News Service was used in this article.\ Credit: COX WASHINGTON BUREAU"
3,"Yes: Tough caps would likely curb pollution and cool warming\By William Buzbee and Victor B. Flatt\Congress is beginning to grapple with climate change. Reps. Henry Waxman (D-Calif.) and Ed Markey (D-Mass.) have introduced a bill that would establish a cap-and-trade mechanism for significant reductions in U.S. global warming emissions. The bill is smart and comprehensive, covering energy, fuels, cars and more. Despite some shortcomings, it's a good place to start the discussion about how to fix the most serious environmental problem the planet has ever faced.\Polluting industries have mounted a scare campaign to persuade us that it's too severe, will cost jobs, choke the economy --- the same complaints we hear every time industry worries about being inconvenienced. But the truth is that in important ways, the bill doesn't go far enough.\The core of the bill is a cap-and-trade system, under which big polluters will acquire allowances that would permit them to emit greenhouse gases --- carbon dioxide, for example. If polluters emit less than anticipated, they can sell excess ""credits"" to other polluters, who can use them to effectively raise their own caps. The question is where the caps are set, and the bill ultimately sets the cap considerably above the levels recommended by scientists and international negotiators. The effort will be for naught if developing countries such as China balk at emissions targets because they believe the United States isn't shouldering its fair share.\The bill also embraces the sorts of offsets we've already seen in the markets, where a product's associated greenhouse gases are ""offset"" by carbon absorption from say, planting trees. Polluters could buy carbon offsets --- from wind farms, for example --- and use the saved emissions as a credit against their own emissions. The bill also discounts offset-created pollution rights with respect to ordinary allowances. This gives polluters sound incentives to cut their own emissions, and it adjusts offset credits to account for risks that offsets aren't as beneficial as hoped. But the bill needs to do better to ensure that environmental harms associated with offsets can be addressed.\Industry is hoping that a federal bill will have a generous cap and that it will preempt state efforts. Waxman-Markey would indeed require states to surrender their own cap-and-trade markets for five years, but otherwise preserves the possibility of state legislation. In addition, the draft bill's language needs to be strengthened to ensure states retain their usual powers to otherwise protect their citizens and the environment. Without such clarification, wasteful litigation over retained state power is likely.\One reason a cap-and-trade scheme makes sense is that it doesn't really matter where carbon emissions occur; it's the cumulative effect that matters. Unfortunately, the co-pollutants that go up the smokestack with carbon dioxide can have a severe impact on nearby communities, and those communities are usually poor. And since some polluters will accumulate credits or offsets allowing them to burn more fuel, there's good reason to worry about ""hot spots"" where co-pollutants get out of control.\April brought news that climate change has brought a major ice shelf in the Antarctic to the verge of collapse, while a six-year-long study by NASA concludes that Arctic ice is melting faster than thought. Climate change is upon us, and Waxman-Markey could be the vehicle by which the United States finally takes action.\William Buzbee, a law professor at Emory, and Victor B. Flatt, University of Houston Law Center, are scholars with the Center for Progressive Reform.\No: Caps could hinder jobs, energy sector in U.S. economy\By Donald Hertzmark\Congress is about to debate a bill that promises to remake the most fundamental resource in the U.S. economy: energy. In this, we might learn a few things:\> Energy is the largest sector of the U.S. economy, even greater than the primary energy output of the Middle East, including the Persian Gulf oil producers.\> Jobs that leave the U.S. because of cap and trade will result in more pollution worldwide than if those jobs remained here.\> The revenue base for cap and trade is only temporary, as the bill promises to kill the industries that fund the permits.\> The replacement jobs in renewable energy pay far less than do the jobs in primary energy and manufacturing that will be lost.\As California has shown, premature zeal about carbon dioxide reductions can be a big job killer. For states with a lot of heavy industry and power generation, cap-and-trade legislation, in which climate costs would be distributed across regions and income groups, is likely to force wholesale shifts in economic activity. But where will these jobs go? And will the world's environment be better or worse off?\All indications are that cap-and-trade will lead to wholesale shifts in jobs to nonparticipating countries that decline to sign a climate-change treaty. China is a nonparticipant. When industry moves to China, its carbon dioxide emissions will go up compared to the U.S. China's economy as a whole uses about twice as much energy per dollar of GDP as the U.S. manufacturing sector. This means that energy-related emissions will double or more due to this shift in activity. Moreover, since China relies on coal for almost 70 percent of its primary energy, compared to 32 percent in the United States, not only carbon dioxide, but many other emissions will more than double.\A skilled U.S. workforce will eventually find something else to make. Unfortunately, as a recent University of Massachusetts study found, the average wage in ""green energy"" jobs is about 65 percent of that in the industrial and energy jobs that are lost.\Alas, only the lawyers will do well, for cap-and-trade promises to ignite a global trade war, one already promised by Secretary of Energy Steven Chu. The cap-and-trade bill specifically permits the government to levy carbon fees on imports from non-complying countries, such as China. Such duties are contrary to world trade agreements and will lead to endless litigation and, possibly, a trade war with China, our country's largest creditor.\Europe tried cap-and-trade for its carbon dioxide program a few years back, allocating permits by firm and industry. For a few years there was a thriving market in these tradable permits, mostly to sell excess carbon dioxide permits, purchased from firms that had not used up their allowances, or to ""offset"" emissions in Europe with reductions in other countries, by investing in various clean energy projects elsewhere. When it was discovered that the initial allocation of permits had been far higher than Europe's industries actually generated, the price of permits collapsed.\Proponents in the U.S. claim that they have learned these lessons. Perhaps, but are we really serious about tacking on new costs to already struggling industries such as autos and primary metals? Or will we find a way to make special considerations for weak industries, and regions, and states? And pretty soon we will be back to the European system that reduced carbon dioxide by not one bit, but produced a whirlwind of regulations and trading activity.\Donald Hertzmark, an energy economist, consults for government and oil, gas and power businesses.\CAPTION: Donald Hertzmark, an energy economist, consults for government and oil, gas and power businesses. William Buzbee, a law professor at Emory, and Victor B. Flatt, University of Houston Law Center, are scholars with the Center for Progressive Reform.\Credit: FOR THE JOURNAL-CONSTITUTION"
4," At long last, President Bush is acknowledging air pollution and global warming as very real threats to the environment and human health. It's disappointing then, if not surprising, that his plan for fixing these problems may make matters worse.\ In a Valentine's Day speech that set the hearts of power industry executives aflutter, the president announced his ""Clear Skies"" initiative to reduce pollutants linked to thousands of premature deaths and respiratory ailments in the United States. These pollutants also have contributed to intractable air and water quality problems in metro Atlanta and other smog-choked communities.\ Bush's incentive system would give operators of coal-fired power plants and other regulated facilities permits for each ton of pollution they emit. If a company reduces emissions below its permit level (by installing better equipment, for example), it would rack up transferrable credits that could be traded to another company that exceeded its quota.\ By 2018, Bush says, this cap-and-trade system would significantly lower emissions of the most harmful smokestack pollutants: nitrogen oxides, sodium dioxide and mercury. Left unsaid is that Bush's pollution targets are far higher than benchmarks already set forth in the federal Clean Air Act.\ Just last September, the Environmental Protection Agency found that ""business-as-usual"" enforcement of the CAA would result in a 1.25 million-ton cap on nitrogen oxide, a 2 million ton cap on sulfur dioxide and a 7.5-ton cap on mercury by 2012. Bush's plan would raise those caps to 1.7 million tons, 3 million tons and 15 tons, respectively --- and take six years longer to achieve.\ On the global warming front, Bush wants to reduce ""greenhouse gases"" that are slowly heating the planet like a Crock-Pot. But Bush has rejected the 1997 Kyoto Protocol, which would have committed the United States and other industrialized nations to mandatory reductions of greenhouse emissions. Instead, he's proposed a voluntary approach that would provide no enforcement mechanism. Even in the unlikely event that Bush's reduction targets were met, we would still be releasing far more greenhouse gases than a decade ago. That's not real progress, and the president must know that.\ While Bush was dubbed a hero on the anti-terrorism front, he's taken a drubbing as a defender of the environment. It doesn't help that his vice president is stubbornly refusing to divulge information about utility companies he met with last year while formulating energy policy.\ It's unfortunate that Bush has chosen to reward his old buddies in the business when he could have called for stricter enforcement of the Clean Air Act, advocated for higher fuel efficiency standards for passenger vehicles and boldly led the nation toward cleaner, more sustainable sources of energy.\ Credit: STAFF"
5,"
President Obama's cap and trade legislation is a scam. He says carbon dioxide (CO2) destroys the environment. Yet we all exhale CO2. Does this mean we're causing pollution with every breath we take?
\
But Obama's legislation doesn't suggest we stop breathing ... at least not yet.
\
The cap and trade bill permits private businesses to continue emitting CO2 if they buy something called ""carbon credits"" to offset the so-called pollution. So, the government is selling air.
\
Not to be left out, the commodities markets jumped on board and will list carbon credits along with oil, wheat, cattle and other commodities. Traders will happily be buying, selling and trading air.
\
Carbon credits, air, might just be the only intangible on the commodities market. We can't see or touch a unit of CO2. But the government created it and will determine the prices. However, demand in the commodities market may drive prices up, sort of a nightmare scenario for private businesses forced to buy the carbon credits.
\
I never thought I'd see the day when a U.S. president could convince Congress that they could make money by selling air. Has he also convinced the people that this is somehow legitimate? If so, we are witnessing the biggest scam ever perpetrated on the nation.
\
Jane Kenny, Sun City
"
6,"
How kind of Tom Barton to credit Amnesty International with the U.S. Supreme Court decision to order an evidentiary hearing for Troy Davis (""Merry-go-round still spins in cop killing,"" Aug. 22).
\
It is flattering, yet troubling, to think the nation's highest court would be persuaded by ""smoke and mirrors"" rather than the legal principles and compelling facts that are the backbone of this case.
\
Seven of the nine original witnesses have changed their testimony in sworn affidavits. One of the two has been implicated as the actual shooter. This principal alternative suspect admitted to possessing a .38 caliber handgun. Someone swore to seeing him frantically hide a gun shortly after Officer MacPhail's murder. As for the shell casings that Mr. Barton references, these merit reexamination given that the murder weapon was never found and significant testimony discredits their link to Davis.
\
While it's true that Davis has had access to the legal process, no court has ever examined the witnesses themselves. At each stage the courts have deferred to technicalities and procedures.
\
Far from giving Davis a Get Out of Jail Free Card, the U.S. Supreme Court has set an incredibly high bar for Davis to prove his innocence. Still, the evidentiary hearing could finally provide a fair legal venue to scrutinize the evidence. Amnesty International will remain vigilant. After all, a man's life and the reputation of the justice system itself are on the line.
\
LARRY COX
\
Executive Director, Amnesty International USA
\
New York, NY \
\
MORE DEBT NOT THE SOLUTION
\
In the 1970s, I could pay all monthly bills with my first week's paycheck. I paid cash for my first four cars. I could pay most medical expenses out-of-pocket, and pay for/or recover quickly from most all emergencies. Essentially, I had no economic worries.
\
I just asked my doctor to change my prescriptions to generic. Most of my name-brand shirts and pants fray in less than a year. All of my appliances self-destruct just after their warranties expire. I'm doing without a number of things I used to take for granted. And, I've now forgotten what disposable income looks like. What comes next, bank loans for groceries and gasoline? (The reason that may sound funny is because it has an ominous element of truth).
\
What is the definition of insanity? Our president and Congress just increased our national debt by 400 percent, and took over (socialized) our auto and banking industries.
\
Now they want to ""protect our environment"" with history's largest tax increase, called ""cap-and-trade,"" and quadruple our health costs with national health care. Doesn't this spell totalitarian-insanity, which means a few government devils want to completely control society, by controlling our money?
\
JOHN GREENWAIDE
\
Savannah
\
LEFTISTS DISDAIN DISSENT FROM RIGHT
\
David Nagle expresses consternation about concerned citizens actually yelling and gesturing at politicians during town hall meetings. He believes that they are immature and out of control. (""Republicans are tantrum-throwing babies,"" Aug. 24)
\
I wonder if Mr. Nagle is old enough to recall a radical left group in the late 1960s and '70s calling themselves The Weathermen? Leaders of the group, Bill Ayers and Bernadette Dohrn, were pals of our current president. They were against our nation's involvement in halting the spread of communism in Vietnam. They yelled and gesticulated, but went well beyond that when they bombed the United States Capitol building and the Pentagon.
\
Personally, I hope this national dissension doesn't reach that level. However, our national leaders must realize that the majority of the citizenry is fed up with elite politicians telling us what we really need. Our country was founded on individual rights and our citizens have profited over the years by individual efforts. The current government is trying to take those rights away from us and wants to install a system of governance that has been proven not to work anywhere in the world.
\
Government, get out of our way. Citizens, get out and vote these cretins out of office.
\
DICK MILLER
\
Savannah
\
RINCON PROPERTY FLAP: A TRAGIC COMEDY
\
Charges of terroristic threats and acts; criminal damage to property in the first degree; and interference with government property filed against Herman Woods by the Rincon police would be laughable if not so tragic. Why had the Rincon police not filed charges against the government of Rincon for failing to stop construction on private property?
\
They act as if government is not subject to law.
\
It was for this reason a court of law is one of three branches of government established to base judgments on constitutional law in preventing the executive branch from overstepping its boundaries.
\
Twice, Judge Turner had the opportunity to get it right.
\
His ruling that the city could continue construction during a property dispute indicates government is not held accountable by law.
\
Therein lies the problem.
\
In a democracy, government cannot rule outside or above law while citizens are subject to law. Constitutional rights are to be protected by government, not taken; courts of law are charged with the responsibility to ensure freedom from tyranny.
\
If rulings are no longer based on constitutional law, what's next? If property rights as protected by the Constitution are not safe, how about freedom of speech, right to bear arms, or right of assembly?
\
CAROLYN COLLINS
\
Guyton \
\
COLUMNIST FAKES PARENTAL CONCERN
\
Now he's a tough guy? ""I'd be out to wring necks;"" ""He would've needed a doctor, not the police, to sew his entrails back in."" (""Of fish and entrails,"" Sept. 5, Edward Fulford)
\
I've read Edward Fulford's stuff in the past. He's a punk. Nothing but another right wing gasbag.
\
TOM PARRISH
\
Savannah
"
7,"
New state restrictions on power plants' mercury emissions are expected to gain approval today from the Board of Natural Resources.
\
And while they go further than federal standards, they are still too weak in the eyes of some environmental groups.
\
Georgia is one of several states moving to pass rules tougher than those adopted by the federal Environmental Protection Agency.
\
Under the regulations approved Tuesday by the board's Environmental Protection Committee, the state would require the use of specific air-cleaning equipment at new power plants and nearly half of the 32 existing coal-fired utility boilers in Georgia by 2015. The hope is that the technology would slice emissions of mercury, a powerful neurotoxin, by 75 to 85 percent.
\
""We have succeeded in doing what we needed to do in Georgia in protecting our environment from the mercury emissions,"" said Heather Abrams, chief of the air protection branch of the state Environmental Protection Division.
\
Committee chairman Tom Wheeler also praised the rule.
\
""This is certainly a great improvement (over) where we are now,"" he said.
\
Some environmental groups, however, said the rules should be tougher still.
\
While conceding that ""the environmental community in Georgia is somewhat divided over this rule,"" Ogeechee-Canoochee Riverkeeper Executive Director Chandra Brown decried the fact that the rule doesn't limit emissions from individual smokestacks. Instead, it sets up a ""cap-and-trade system"" where total emissions are capped but individual plants with higher emissions can trade or buy credits issued to plants that beat the standards.
\
Abrams acknowledged the environmental complaints.
\
""Instead, we elected to go with a technology standard and not set emissions limits,"" she said.
\
Under a cap-and-trade system, power plants can use credits to legally put more mercury into the air as long as there were cuts elsewhere.
\
That could lead to ""hot spots,"" environmentalists argue, where emissions would be too high even though the overall industry was technically meeting the standards. Mercury collected in the air often makes its way into rivers and other bodies of water, then into fish. People who eat the fish then absorb the mercury.
\
The problem could be especially acute in the slow-moving rivers of south Georgia, environmentalists say, where the waters more easily absorb the mercury and where many of the plants exempted from the rules are located.
\
""We want to be able to eat all the fish we regularly catch from all waters at all times,"" Brown said. ""Nothing less is acceptable.""
\
Environmental groups also said the rule doesn't provide a robust enough system for tracking how much mercury is being absorbed into the atmosphere, something that will make it difficult to determine whether the rules are working.
\
""We would like to know how much mercury is actually being reduced,"" said Alexandra Adams, policy director for the Upper Chattahoochee Riverkeeper.
\
Credit: BY BRANDON LARRABEE, 678-977-3709, brandon.larrabee@morris.com
"
8,"
""If you dispute the overwhelming scientific understanding that we humans are significantly exacerbating climate change, evidence is unlikely to change your opinion."" - Laura Tyson, dean of the College of Business, University of California.
\
If you accept the scientific consensus, you should know that economists of all political persuasions agree a carbon tax is the most efficient way to reduce carbon combustion.
\
Fossil fuel combustion causes ground level ozone accumulation, acid rain, global warming and other problems. Economists have found two market-based ways to reduce the emissions: the carbon tax and a cap-and-trade system.
\
In a carbon tax application, a tax is levied on how much carbon is released through fossil-fuel combustion. This enables the price of the fuel to reflect the full cost of its impact on the environment.
\
Normal market pricing allows buyers and sellers to negotiate a price based on the private costs and the private benefits. In the normal market, costs imposed on society (called negative externalities) are ignored.
\
As a society, we do understand this concept. For example, when we purchase a new battery for an automobile, we are charged for the proper disposal of the old one. We place an extra tax on cigarettes to reduce their consumption and to pay for the negative health impact of smokers on health care costs.
\
Raising the price of fossil-fuel combustion has several benefits. It encourages efficient use by everyone (utilities, businesses and consumers).
\
A recent study found that people in Sweden use half the energy per capita compared to Americans. Why? Because higher energy prices in Sweden causes its more efficient use.
\
This is basic economics. We humans waste what is cheap but economize on what costs us more. Making carbon combustion more expensive assures more competitive options for alternative energy sources, thereby causing less environmental harm.
\
The cap-and-trade system is more complex. First, government decides how much carbon effluents may be omitted in a region. Then, it auctions the right to omit carbon pollution during the year.
\
Firms that emit the pollution bid against each other for the right to pollute. Economists like this method because it allows firms to decide whether to pay to pollute or to clean up their process in order to omit less pollution.
\
Firms with the most expensive clean-up costs would most likely purchase the pollution permits. Those with lower clean-up costs would rather avoid the costs of the permits and reduce their emissions.
\
The total actual costs would therefore be minimized. Expensive ones would be avoided, and the cheap ones would be financed to avoid the permit costs. The implementation of this process, however, requires constant government monitoring of pollution emissions (to eliminate cheating) and annual operation of the permit auctions.
\
The argument against both options is clear. Higher costs for energy would decimate the economy. Some of the pessimistic projections ignore the ability of our economy to transform itself into a more energy efficient mode.
\
The potential economic costs have swung political momentum against both the carbon tax and the cap-and-trade system.
\
Economists have proposed ways to reduce or eliminate the negative impacts of the carbon tax on the economy. The key is what to do with revenue collected from the tax on carbon emissions.
\
Adele Morris of the Brookings Institute has proposed that 15 percent of a $16 per ton tax on carbon emissions could be used to make lower income households whole. Another idea is to use the carbon tax revenue to cut corporate income tax rates from 35 to 28 percent.
\
Conservative economist Gary Becker advocates returning the revenue directly to taxpayers by lump sum or per capita rebates.
\
The simplest proposal comes from Henry Jacoby and John Riley from the MIT Business School. They say the revenue from the carbon tax should be used to reduce the tax rates for all tax payers.
\
By lowering these tax rates, all consumers would be able to pay the higher prices for goods and services without losing any actual purchasing power. In this way, there would not be economic losses, but there would be substantial environmental improvements.
\
Economic policy debates in Congress are being hijacked by ideological blinders. We all suffer from decisions driven by dogma. Economists rarely find consensus on big questions. Here we have one: the carbon tax.
\
We recently learned that China, a growing source of carbon emissions, will impose a carbon tax on their producers. We cannot afford to be behind them on this. Their firms will have a head start adjusting to the new reality. \ Kenneth Zapp, PhD, is a professor emeritus at Metropolitan State University, an adjunct professor at Savannah State University and a mentor for SCORE Savannah. Contact him at Kenneth.Zapp@metrostate.edu.
\
Credit: BY KENNETH ZAPP\For Business in Savannah
"
9,"
Note: ON THE WEB - Photos: Log onto spotted. savannahnow.com to check out dozens of vibrant photos of the hot-air balloon and people in Forsyth Park. - Video: To watch video from the hot-air balloon tour in Forsyth Park, go to savannahnow.com/news and click on the related Flash player image.
\
Americans for Prosperity, an anti-tax group with a Georgia chapter, offered free hot-air balloon rides Wednesday at Forsyth Park to call attention to what the group says might be dire economic consequences of the fight to stop global warming.
\
More than two dozen parents and their children showed up for the rides and to hear the group's underlying message of opposition to future legislation aimed at reducing emissions too quickly and haphazardly.
\
""We are concerned about the environment,"" said Tim Phillips, president of the non-profit. ""But we want to make sure that while we are protecting the environment, we are not hurting families with higher gasoline prices and home energy prices and other necessities.""
\
Phillips said more drilling for oil in the U.S. is one way to reduce prices at the pump.
\
Economics and environmental experts said the so-called cap-and-trade legislation, which both presumptive presidential candidates have said they would support, undoubtedly will increase prices.
\
Cap-and-trade is a system in which polluters could meet limits on greenhouse gases by either reducing emissions on their own or buying credits from efficient producers.
\
But one observer indicated higher prices might not be a bad thing if their effect is to achieve a cleaner environment.
\
""Charging a carbon tax will make things more expensive,"" said Dr. Richard McGrath, an associate professor of economics at Armstrong Atlantic State University. ""If it doesn't, it won't have any effect.""
\
McGrath said that in the long run, when all industries make the switch to more environment-friendly production processes, the prices of goods and services for both consumers and businesses will begin to level off.
\
Phillips and his entourage are traveling to about 40 locations - including Marietta; Jacksonville, Fla.; Birmingham, Ala., and Nashville, Tenn. Members plan to stage a protest at former vice president Al Gore's home.
\
""We are saying that the legislation they want to pass, their remedy, is going to cause great alarm for the average Americans and the economy at large,"" Phillips said. ""We need to not hurt the prosperity we have here in America.""
\
Patrick DeMouy, a lecturer at the Moore School of Business at the University of South Carolina, said carbon dioxide is just one of the greenhouse gases that needs to be dealt with, and that methane is another gas that deserves a closer look.
\
""At the end of the day, it's going to be a little more expensive,"" DeMouy said, ""But hopefully, we can produce less waste.""
\
Credit: BY ALDO NAHED, 912-652-0448, aldo.nahed@savannahnow.com
"
