,Full_text
0,"Democrats in Congress think they are on a roll after passing the stimulus bill. But we can't let the urgent economic needs create a snowball effect of bad legislation.\One example is the push for a cap-and-trade carbon policy. This would create an artificial market open to manipulation and speculation, without the assurance of doing anything for the environment.\I don't know how legislators can even bring up such a scheme at a time when millions of Americans are out of work and businesses are struggling to survive. A cap-and-trade policy would add billions of dollars in energy costs, without reducing emissions. In addition, it would require the creation and funding of a government bureaucracy to try to regulate against speculators.\When there aren't real market forces to contain prices, regulation and oversight are the only options. But as we have seen with recent financial scandals and the speculative run-up in the price of oil last summer, regulation and oversight don't work. Investors lost their entire life savings in the case of financial scandal. Instead, we need a simple, transparent carbon tax that will reduce our emissions, without the political ""gaming.""\We cannot afford the additional costs and resultant loss of jobs the cap-and-trade scheme would bring. Congress must stand firm against this bad idea.\Paul Hoffman\Indianapolis"
1,"In response to ""Reckless warnings on warming"" by George Will, published April 12:\There is no question that the U.S. government should set national policies to fight global warming. In the absence of federal action, however, states have both the obligation and the opportunity to ""act locally.""\In California -- the world's 13th-largest greenhouse gas emitter -- Gov. Arnold Schwarzenegger is enacting groundbreaking policies, including emissions reduction goals that are more aggressive than Kyoto, a new emissions cap-and-trade program, and a first in the world low-carbon fuel standard.\These policies will have profound environmental and economic effects. The governor's emissions goals will clear more than 170 million tons of emissions from California's skies by 2020. That's equivalent to taking more than 32 million passenger cars off the road for one year. Experts predict that his goals will also result in more than $60 billion in new investments. That means new business, more jobs and a stronger economy for California.\Dan Dunmoyer\Deputy chief of staff\Office of Governor Arnold Schwarzenegger\Sacramento, Calif."
2,"
Just because U.S. Rep. Fred Upton, R-St. Joseph, has taken a stand against the Environmental Protection Agency, don't think he's anti-environment, he says.
\
""Sure, I care about the environment. We all do. ... but this impacts all segments of the economy,"" he said, referring to the EPA's recently enforced limitations on carbon-dioxide emissions at power plants and refineries. ""It raises the price of gasoline by 20 cents a gallon.
\
""This really is a jobs issue. China and India, they're not going to impose the same regulations on air. We can't afford to lose any more (jobs overseas).""
\
As the new chairman of the House Energy and Commerce Committee, Upton's standing in Congress has been considerably enhanced. So his criticism of the EPA hasn't gone unnoticed, creating a backlash by the Sierra Club and other high-profile environmental groups that have targeted Upton in a billboard and telephone campaign.
\
Upton said the ball began rolling with his opposition to President Barack Obama's cap-and-trade legislation, which was intended to slow down climate change by imposing caps on greenhouse gas emissions. Upton opposed the bill, arguing the requirement to have companies pay up for each ton of carbon emitted was too high a price for Michigan based on its greater dependence on coal-fired power plants.
\
Upton pointed out, too, that when he toured the Niles Steel Tank Co. prior to the 2009 vote on cap-and-trade, the plant manager told him layoffs would be inevitable should the bill become law.
\
""He said the only way they could compete would be to operate only with a night shift, when utility costs are less,"" he said.
\
Cap-and-trade passed in the House but stalled in the Senate. To get around the legislation's failure, the EPA ""went through the back door,"" Upton said, and early this year began enforcing restrictions on greenhouse gas emissions.
\
""What they couldn't legislate they decided to regulate,"" Upton said.
\
Arguing the EPA's enforcement would drive up electricity prices and eliminate jobs, Upton then introduced a bill to repeal the EPA's authority to regulate such emissions. It passed the Republican-controlled House but four similar measures, including one offered by U.S. Sen. Debbie Stabenow, D-Michigan, failed in the Democratic-controlled Senate.
\
The amendments' defeat in the Senate was expected but Upton said he was buoyed that 64 of the Senate votes were in favor of no less than a two-year moratorium on the EPA's restrictions. The votes would seem to indicate Upton has some support even in the Senate in his belief that the EPA over-stepped its bounds by adding greenhouse gases to the mix.
\
""The EPA can't act without the oversight of Congress,"" he said.
\
But it seemingly has, and its actions will have consequences, the congressman said.
\
""My committee just had testimony today (Friday) from DTE Energy CEO Tony Earley that some of the regulations the EPA is promoting would see the shuttering of 25 to 30 percent of coal operations within four years,"" he said.
\
Asked if EPA Administrator Lisa Jackson might be willing to compromise on the issue, Upton said she hasn't to this point. He's hoping her position softens, he said, arguing there's too much at stake.
\
""This is the biggest job killer ever in the United States,"" he said.
\
Staff writer Lou Mumford: lmumford@sbtinfo.com 269-687-3551
\
Credit: Tribune Staff Writer
"
3,"As the debate about global warming continues, our national focus has shifted from whether something needs to be done, to what we should be doing. A number of entrepreneurially minded groups have come forward with ideas that could revolutionize the way we think about sustainable growth. From a cap-and-trade system to green buildings and products, the private sector has embraced the growing ecological awareness.\For example, venture capitalists have looked for opportunities to invest in and develop clean technologies. In fact, market analysts estimate that in the last few years more than $3 billion have been invested in clean technology companies. Indianapolis is one of the few Midwest cities that boast a venture capital fund devoted entirely to investing in clean technologies.\On the political side, President Bush recently announced a new environmental policy calling for halting the growth of greenhouse gas emissions by 2025. The next administration is likely to impose even more ambitious goals, as Sens. McCain, Clinton and Obama each has spoken in favor of some system to further regulate the emission of greenhouse gasses and to increase investment in renewable energy sources. A number of state and local governments have banded together to form multistate or regional compacts geared toward reducing greenhouse gas emissions.\Forward-thinking members of the business community are also looking to reduce their carbon footprint. Companies are participating in voluntary carbon trading systems, implementing sustainability policies, and assessing their energy sources and consumption through energy audits. The trend is so pervasive that even the Dow Jones has developed an index, the Dow Jones Sustainability Index, which identifies and tracks sustainability business leaders on both a national and international level.\Companies, individuals and state government must each assess how these developments will impact growth opportunities or risk falling behind. The green and sustainable marketplace has already been established. These efforts and the resulting dialogue on alternative energy present a tremendous opportunity for businesses and entrepreneurs focused on providing technological and market-based innovation to this developing marketplace. To flourish in this green marketplace and become a truly ""sustainable"" economy, we all must embrace the green debate and critically evaluate the benefits and opportunities for our enterprises.\Alex Forman\Associate, Ice Miller LLP\Mike McNally\Associate, Ice Miller LLP\Indianapolis"
4,"
One of the most important events of our lifetimes may have just transpired. A federal agency has decided that it has the power to regulate everything, including the air you breathe.
\
Nominally, the Environmental Protection Agency's announcement last Friday only applies to new-car emissions. But pretty much everyone agrees that the ruling opens the door to regulating, well, everything.
\
According to the EPA, greenhouse gases include carbon dioxide -- the gas you exhale -- as well as methane, nitrous oxide, hydrofluorocarbons, perfluorocarbons and sulfur hexafluoride. It is impossible to imagine a significant economic or human activity that does not involve the production of one of these gases. Cow flatulence is a serious concern of the EPA's already. What next? Perhaps an EPA mandarin will pick up a copy of ""The Greenpeace Guide to Environmentally Friendly Sex"" and go after the root causes of global warming.
\
Whether or not global warming is a crisis that warrants immediate, drastic action (I don't think it does), and whether or not such wholesale measures would be an economic calamity (they would be), the EPA's decision should be disturbing to people who believe in democratic, constitutional government.
\
Two years ago, the Supreme Court -- the least democratic branch of our formal government -- decided in Massachusetts v. EPA that the agency could regulate greenhouse gases under the Clean Air Act. The EPA has launched its power grab over all that burns, breathes, burps, flies, drives and passes gas.
\
Yes, the head of the EPA reports to the president, which gives some patina of democratic accountability. Except the EPA is supposed to be politically autonomous, doing what it thinks best according to what President Obama calls ""sound science."" So the government bureaucracy is on its way to strong-arming the economy in ways Congress never imagined when it passed the Clean Air Act in 1970. Or the president has suddenly gained sweeping new powers over American life, in ways never imagined by Congress. This is not a sudden development. Vast swaths of the state have been on autopilot for years, effectively immune to democratic influence. The Federal Reserve, particularly of late, has been acting like the fourth branch of government. Fed Chairman Ben Bernanke, without congressional, presidential or court approval, has been committing trillions of dollars to fix the financial crisis. That may be warranted. But there's still something troubling about an institution so immune to democratic control.
\
In 2002, Congress created the Public Company Accounting Oversight Board. It covers its expenses by taxing all publicly traded corporations. It alone determines the amount to tax, without approval of the White House or Congress, which, according to the Constitution, has the sole authority to levy taxes: ""All bills for raising revenue shall originate in the House of Representatives"" (Article 1, Section 7). In 1999, the Federal Communications Commission raised the so-called Gore tax on long-distance phone calls by 73 percent without seeking congressional approval. Lord knows what the EPA could collect by extorting ""climate criminals.""
\
In fairness, the Obama administration and congressional Democrats reportedly don't want to cede authority to the EPA. Rather, they want to use the threat of an EPA takeover -- and its presumably draconian impositions on business -- to force reluctant moderate Democratic and Republican members of Congress to sign on to the president's cap-and-trade scheme. California's Barbara Boxer, who chairs the Senate Environment and Public Works Committee, has said as much: ""EPA, through its scientists, has given us a warning that global warming pollution is a clear, present and future danger to America's families. If Congress does not act to pass legislation, then I will call on the EPA to take all steps authorized by law to protect our families.""
\
Translation: Either you vote our way or we'll render voting meaningless.
\
Other Democrats are delighted by the EPA decision because it allows them to have their preferred policy -- carbon regulation -- without actually having to vote for it.
\
Either way, it doesn't sound like these folks take their oaths of office very seriously.
\
Write to Jonah Goldberg in care of this newspaper or by e-mail at JonahsColumn@aol.com.
"
5,"I find it ironic that the same day (May 15) The Star published Gary Varvel's cartoon showing ""Cap and Trade"" beating up on ""Small Business,"" The Star also published Dana Hunsinger's article, ""Supermarkets stock up on energy savings."" She documents how the Nora Kroger has won an award from the Environmental Protection Agency by reducing energy in a number of ways including installing LED (low energy) lights in freezers.\I have a friend who is helping to grow a startup company that manufactures and sells LED lights to large commercial clients. His company is located here in Indiana.\If cap-and-trade legislation is passed and the cost of electricity rises, there will be a greater need for LED and other energy-saving innovations. This is great news for my friend and his company and other entrepreneurs willing to market products to meet the growing need. It's also great news for the environment if the rate of energy consumption growth is slowed.\Let's lead on this issue rather than make excuses. To the innovators will come the spoils.\Roland Bydlon\Indianapolis"
6,"On Thursday night, Richmond Power & Light officials Steve Saum, general manager; Harry Phillips, energy services director; and Phil Quinn, who as a Richmond Common Council member chairs the RP&L board of directors, answered questions from customers and the Palladium-Item as part of the weekly P-I Live! online show. These are excerpts from that chat. To view the complete transcript, log on to www.pal-item.com/chats/pilive.\*\Question: Let's talk for a minute on the status of Parallax (provides Internet and other services). Council had some tough questions some months back about its profitability.\Saum: Parallax has had a positive cash flow the past two months. They made their first payment on the loan last month.\Quinn: The board was pleased with the positive turnaround so far for Parallax. Several members also want to see a layout of future marketing efforts.\Question: When will Parallax expand to more remote locations? There is no high-speed of any kind in many areas of the county.\Saum: Parallax now uses wireless technology to reach customers out of town in remote areas. Service depends on the availability of signal from one of our towers. And like any other business, we need more than one customer to build and install a tower that will serve one person. The first step is to contact Parallax for information.\Question: Is the price of coal steady, and what's expected?\Quinn: It's as steady as the price at the pump. However, we are seeing a SLIGHT dip in coal prices, don't hang your hat on it. Steve and others are preparing for negotiations to try and limit price spikes.\Question: What is RP&L doing for the environment locally?\Phillips: Environmental Management System (EMS) Recycling -- RP&L has implemented a holistic companywide recycling program. RP&L collects eight cubic yards weekly of office waste and 2,000 to 3,000 pounds of electronic waste annually. Hybrid cars -- to date we have five hybrid vehicles. Earlham College Wind Solar Test Program P4P2 -- Partners for Pollution Prevention. Another highlight to this commitment was being awarded the Environmental Stewardship Company for 2006 by the Cope Environmental Center. RP&L has just completed construction on an $8 million baghouse, making this the largest environmental investment for the utility.\The baghouse was installed to eliminate the fine particulate emissions from the stack. We have reduced our emission by a factor of 10 with the baghouse.\We easily meet EPA standards for particulate emissions.\Question: What kind of dollar contingency reserves does RPL typically store and depend on for ice, wind, storms, per year? We got hit pretty hard last year.\Saum: We use our normal reserves for the storms. However, when we are declared a disaster area, we apply for relief money from the government. This last storm, Hurricane Ike, we received approximately $250,000 for our expenses. That, however, does not cover all costs and doesn't cover lost revenue.\Question: What is the maintenance fee on a residential bill of $10 used for?\Phillips: The easiest way to describe this is to visit our Web site http://www.rp-l.com/residentialrates.htm. This is a facility charge. Signing up on our Web site can give you a more complete view of your usage. It is a free service.\COMING SUNDAY\Cap and trade is the name given the Obama administration's energy plan intended to reduce carbon emissions, or greenhouse gases. But many legislators, notably Midwest legislators, and utility officials fear it could carry a steep price tag that will be passed along to utility customers. We'll learn more about cap and trade and the concerns from Indiana legislators and Richmond Power & Light officials."
7,"Imagine opening your electric bill to find your rates have risen by 79 percent, or pulling up to the fuel pump to find the cost of gasoline has doubled.\Would you complain to your elected officials?\If so, you might want to contact Sens. Evan Bayh and Richard Lugar immediately.\A debate is currently underway in the U.S. Senate on a proposal that will have a devastating impact on Indiana's economy. In a perhaps well intended, but poorly conceived, effort to reduce greenhouse gasses, Congress is poised to cap carbon emissions by fossil fuel users, particularly power plants.\If approved, utility companies emitting more CO2 than permitted would be forced to raise electric rates to buy or trade for allowances on the open market.\For Indiana, which relies on coal-fired plants to produce 96 percent of its electricity, the impact of so-called cap and trade legislation will be felt in lost jobs, reduced global competitiveness and skyrocketing costs to consumers and businesses.\While there might be a growing consensus about global warming, its causes remain the subject of spirited debate and the environmental impact of a unilateral move by the United States is questionable.\Many proponents point to carbon taxes imposed in Europe as a model for the U.S. The European experience has been incomplete at best.\The United Kingdom is facing energy shortages; Germany, which has some of the highest energy costs in Europe, is eyeing more nuclear power; and France's carbon tax has limited impact, because 80 percent of its power generation is already nuclear.\What has been conclusively proven is that the current Senate proposal will hit Hoosiers squarely in the wallet and will do so disproportionately harder than in most other states.\Independent assessments by the Heritage Center for Data Analysis evaluated the negative impacts of cap and trade on congressional districts. Among the 435 congressional districts nationwide, they identified eight of the 20 hardest hit are in Indiana.\The 4th Congressional District, which includes Lafayette, is projected to be the 14th hardest hit, and the 2nd Congressional District, which includes Delphi, is the second most negatively impacted district in America. It should come as no surprise that U.S. Reps. Steve Buyer and Joe Donnelley cast a bi-partisan ""no"" vote against cap and trade when it was considered by the U.S. House.\Now is the time to call upon both of our U.S. senators to do the same.\Diverse sources including the U.S. Environmental Protection Agency, the National Association of Manufacturers and the Heritage Institute have predicted that electric rates could increase from 44 to 129 percent; gas prices could raise from 61 cents to $2.53 per gallon, and 1.8 to 7 million jobs could be lost.\The Wall Street Journal called cap and trade the biggest tax in American history. This is a proposal that will not work for Indiana or the nation.\While the negative economic impact is certain, the environmental benefits are unproven. The fastest growing producers of CO2 emissions in the world, China and India, have announced they will not enact similar restrictions.\China uses more coal than the U.S., the European Union and Japan combined. India is close behind and is projected to overtake China in population by 2030.\A unilateral cap and trade effort by the U.S. would adversely raise energy and manufacturing costs in the U.S. while providing an edge to our global competition and a negligible reduction in global greenhouse gas emissions.\Does this mean we should do nothing? No.\Opportunities exist to diversify our national energy portfolio, increase our energy security, reduce our dependence on foreign oil and encourage renewable and domestic energy sources.\Last session I authored SB 420 l which would have created a modest renewable energy standard in Indiana, broadened our use of alternative and renewable energy and maintained low electric rates.\The bill passed the Senate overwhelmingly, but died in the House.\Nonetheless, Indiana is leading the way in energy production with Duke's coal gasification plant under construction in Knox County, ongoing efforts to attract a multi-billion dollar synthetic natural gas plant to Spencer County and the passage of legislation supporting the growth of ethanol and biodiesel industries in the state.\Throughout Central Indiana, wind turbines and wind farms are being built, making Indiana the fastest growing wind energy state in the nation. Emerging battery research is occurring and managing our state's energy use through smartgrid technology has proven to reduce demand while being inexpensive.\All of these efforts will help our economy and our environment, and each has occurred without cap and trade.\State Sen. Brandt Hershman represents District 7, which includes parts of Tippecanoe, Carroll, White, Clinton, Jasper and Howard counties. He is the chairman of the Senate Committee on Tax and Fiscal Policy and is former chairman of the Committee on Utilities and Regulatory Affairs."
8,"
For the congressional candidates running in Indiana's 2nd District, energy policy is more than a plan for powering the machines in Americans' lives.
\
It's the nation's greatest opportunity to fuel a surge in the job market, not to mention shrink a key funding source for nations that may pose threats to U.S. security.
\
U.S. Rep. Joe Donnelly, a Democrat, said an all-American energy policy -- including oil, natural gas, clean coal and nuclear power as well as ethanol, biofuels and renewable sources such as solar and wind energy -- would be a huge boon to U.S. job growth.
\
""We spend hundreds of billions of dollars each year to buy energy from other countries,"" he said. ""Here in Indiana alone, an all-American energy policy would be about $5 billion a year invested in Indiana's economy, which would be a staggering job creator.""
\
Republican Jackie Walorski, a state representative, agreed that ""the jobs of the future are in energy production"" from all sources.
\
But she said Donnelly, who has talked about energy independence since before he was elected to his first term in 2006, hasn't achieved results.
\
""Here we are in 2010,"" Walorski said, ""just as reliant on foreign energy and with mandates coming down in a thing called cap and trade that are going to continue to keep those natural resources of ours in the ground.""
\
Mark Vogel, a Libertarian, said the government should let the free market decide which energy source is best.
\
""The federal government should play a hands-off role,"" he said. ""They shouldn't subsidize one source of energy over another. Let them all compete against each other.""
\
In 2008, Donnelly was one of 28 congressmen in a bipartisan group that crafted the National Conservation, Environment and Energy Independence Act. The bill was never approved, but it remains a potential blueprint to free the U.S. from dependence on foreign energy sources.
\
The bill was projected to generate an additional $2.6 trillion in royalty payments for the government over 10 years by opening up new areas for offshore oil drilling. About a third of that revenue would have been used to reduce the federal debt, another third to assist states with coastlines next to drilling areas and the final third for tax credits and other incentives for energy research and development.
\
Donnelly said those royalties would allow the federal government, without using taxpayer dollars, to foster advances such as technologies for clean-burning coal and nuclear power that produces less waste.
\
""I'm confident that, if we really go after this, we'll be in a position where, instead of importing energy, we can be exporting not only energy but also the technology that created it,"" he said.
\
Walorski agreed clean coal and nuclear power are key to the nation's energy future. But she added that the government should cut spending, lower taxes and reduce regulations to create an environment where the private market thrives and develops cleaner energy on its own.
\
""The government's job is not to come in and solve everything - they can't, they're not capable,"" she said. ""It's not bureaucrats who are going to solve these problems. It's the ingenuity of the American people who have always solved the problems.""
\
Vogel said politicians are not trustworthy or smart enough to decide which companies deserve incentives.
\
Both Donnelly and Walorski said the U.S. needs to allow more domestic oil and coal to be used. Coal produces nearly all of Indiana's electricity.
\
And, while Donnelly called for more offshore oil exploration, he said British Petroleum's oil spill in the Gulf of Mexico highlights the need for federal regulators to do a better job of enforcing safety laws.
\
""What we need to do is have the least amount of regulations possible,"" he said, ""but have the amount of regulation needed so that companies like BP conduct themselves the right way.""
\
Walorski agreed companies need to be held accountable for damages like that in the Gulf of Mexico, but she also said the federal government should have acted more decisively when the spill occurred.
\
""The president reacted very slow to that and didn't come out with a the-buck-stops-here kind of mentality,"" she said.
\
Vogel said state governments should be responsible for responding to such disasters. The federal government should step in only if states ask for help, he said.
\
All three candidates are opposed to legislation known as cap and trade that is meant to address climate change.
\
Both Donnelly and Walorski are skeptical of manmade climate change. Vogel explicitly said he doesn't believe in it.
\
""I don't know to what degree it is created by man,"" Donnelly said, ""but I do know this: The less particulates and less materials we put into our environment the better off we'll be.""
\
Walorski said climate change research has ""gaping holes"" in it.
\
""When I was in college, they said we were in a global cooling period,"" she said. ""I emerged from college and got in the work force, and now they say we're in a global warming period.""
\
Staff writer Kevin Allen: kallen@sbtinfo.com 574-235-6244
\
About this series
\
The three candidates for Congress in Indiana's 2nd District talked with The Tribune last week about their views on the main issues facing the nation. Today's article is the final installment in the four-part series.
\
* Sunday: The economy
\
* Monday: Health care
\
* Tuesday: National security
\
* Today: Energy
\
Credit: Tribune Staff Writer
"
9,"
In Lewis Carroll's timeless book ""Alice's Adventures in Wonderland,"" Carroll created a character named The Mad Hatter. At the time Carroll wrote ""Alice"" in 1865, the phrase ""mad as a hatter"" had been common for at least 30 years. The phrase originated from an occupational hazard that exposed individuals who worked in the hat making industry to mercury.
\
Mercury, a powerful neurotoxin, was used to finish beaver and other furs in the hat-making process. Workers who were exposed to mercury vapors suffered mercury poisoning of their nervous systems, resulting in muscle tremors, twitching limbs, confused speech, hallucinations and other phsychotic symptoms. This tragic outcome was known as ""Hatter's syndrome.""
\
On Dec. 1, 1941, the U. S. Public Health Service brought an end to mercury's use by hat manufacturers, in part from pressure by the Hatters, Cap and Millinery Workers Union. Unfortunately, many of the sites where hats were made remain poisoned by toxic levels of mercury.
\
Worse still, mercury continues to be dumped into our environment planet-wide to the peril of us all. Mercury is a component of all fossil fuels, including coal, oil and natural gas. In addition to America's and other western countries' fossil-fuel addiction, the explosion of industry in China is giving rise to a proliferation of power plants whose emission standards are worse than U.S. power plants.
\
Our government warns us, especially children and women planning on bearing children, to limit consumption of fish. This leads to the quandary of how to get the health benefits of eating fish, which are naturally rich in Omega-3 fatty oils that are good for the heart and fetal brain development, and still protect ourselves and our children from mercury.
\
Warning us to limit fish consumption is ""a Band-Aid approach to the real problem,"" says Dr. Katherine Shea, a North Carolina pediatrician and environmental health consultant for Physicians for Social Responsibility, ""which is that fish shouldn't be polluted in the first place because they are such excellent sources of important nutrients.""
\
An ongoing study by Greenpeace revealed that 21 percent of women of childbearing age have unacceptably high levels of mercury in their bodies.
\
Many of us are keenly aware of the sharp rise in cases of autism in children. What was once a rare disorder, the Centers for Disease Control now calls an epidemic; one in every 166 children born today will be diagnosed with an Autism Spectrum Disorder. Autism is a disorder of the nervous system in which the individual is unable to process auditory, tactile and visual stimulation normally. Significant delays in language acquisition, resistance to change and often stereotypical patterns of behavior are some of the most common anomalies.
\
The Autism Research Institute, an advocacy group in San Diego, supports the idea that vaccines containing mercury-based preservatives are the primary source of mercury poisoning in autistic children. Studies, several financed by drug companies, refute these claims. However, the anecdotal evidence for mercury being a major culprit in the conundrum remains, particularly for autistic children who undergo experimental and risky chelation drug therapies which strip the body of mercury. Parents and physicians are beginning to report some promising results in the reduction of autistic behaviors, although this is still in the experimental stages and the drug therapies can cause damage to other systems of children's little bodies. Chelation therapy is also being used with some success for Alzheimer patients, suggesting that mercury may also play a role in some cases of this disorder as well.
\
So here we are. We know that mercury is a neurotoxin that can be dangerous to everyone (will our government tell us if the ""fine particles"" in an air quality alert include toxic mercury?) Evidence is beginning to point to a neurotoxin of some sort as being responsible for at least some of the rise in cases of autism. And what is being done about mercury emissions?
\
Although the technology exists to reduce, by at least 70 percent, mercury emissions by the coal, oil and gas industries by 2010, President Bush has promised these industries that they would have until 2018 to reach these caps. An EPA analysis indicates that the cap-and-trade portion of the plan could delay mercury reductions until 2025. That's 20 years from today. That's one more generation of women, their fetuses, your daughters, your children, your grandchildren and the rest of us who will continue to be exposed to mercury; a neurotoxin whose effects are cumulative and which our human bodies cannot get rid of naturally.
\
The question arises: if mercury is poisoning us all and it might at least partly explain the rise in neurological disorders, is Bush to blame? Of course not, at least, not entirely. We are all to blame; every time we turn on a light whose energy source comes from a coal-burning power plant or drive a vehicle, we put mercury into the air. Bush is simply catering to those who helped finance his election.
\
His constituents in the coal, oil and gas industries do not want to spend money on technology to reduce mercury emissions if they don't have to. Money rules. Those of us who don't pay attention to where the money comes from that funds the campaigns of the people we vote for; who don't contact our elected officials and demand cleaner energy sources; who invest in companies that pollute our air, land and water rather than renewable energy such as wind or solar, are to blame.
\
In Wonderland, Alice is frustrated when The Mad Hatter poses to her a riddle for which there is no answer. Here's a riddle for our times: Why are the profits of a few more important than the health of us all? For that I have no answer.
\
Kathleen Petitjean is co-coordinator of the St. Joe Valley Greens and lives in South Bend.
"
