,Full_text
0,"If cap and trade is the answer, just what exactly is the question? Understanding a question is vital to coming up with a correct answer or to solve a problem.\If we accept the premise that global climate change is a serious threat to human existence on the planet and that global warming is due to human factors, then a global strategy must be devised and executed. This strategy must be effective, economically and environmentally viable, and must reach worldwide in its scope.\The strategy proposed in the Waxman-Markey legislation (Clean Energy and Security Act of 2009) is the cap and trade approach. Basically, here is how cap and trade works. Facilities emitting greenhouse gasses will be assigned a maximum permitted level. This will be their ""cap."" A portion of or the entire cap for a particular greenhouse gas like CO2 will be designated an ""allowance."" The allowance will be reduced over time by the government. In order to meet the reduced emissions, emitting companies will have to install control technologies, purchase credits (there's the ""trade""), or cease operations. These credits will come from an emissions banking system that brokers excess allowances t.\It has been argued that this approach has been effectively used to reduce acid rain and release of ozone depleting substances. It was also used to reduce smog in California.\Here's the problem. It is a regional or national answer to a hypothetical global problem. I certainly support environmental stewardship, clean air and a sustainable planet. However, if the question is how we address human induced factors for global climate change, cap and trade is at best an incomplete yet costly answer.\If Cap and Trade is the answer, the question must be one or more of the following questions.\* How can we export jobs, stifle the American economy, reduce tax revenues forcing increased taxes just to curb the effect on the national debt? Estimates are up to 1.9 million job losses by 2012.\* How can we reduce greenhouse gas emissions in North America while increasing greenhouse gas emissions around the planet? Emission transference to other countries is not a global answer.\* How can we set up an emissions trading scheme allowing the politically connected to become rich while actually accomplishing or producing absolutely nothing for the environment? Does anyone think the government setting up another financial institution is a good idea?\* How can we increase energy costs for Americans while limiting availability of domestic energy sources? A family of four could see energy costs raise as much as $829 per year. I wonder where the power will come from when plug-in hybrids hit the market in the next couple of years.\All this yields a best-case effect of 0.2 degrees Celsius by the year 2100 according to climatologists and that does not consider transfer of greenhouse gas emissions to less regulated areas of the planet.\The path forward to address the question of global climate change should include at least the following.\* Employ ""sound science,"" and start with re-defining the phrase. Every time I hear environmental policymakers say they are using sound science to address an environmental issue I am excited until I discover how they define the phrase. It is defined in Washington as a conclusion derived by any scientist that agrees with a certain political philosophy.\* Provide tax breaks for developing and installing control technologies to recover, reuse, destroy or eliminate greenhouse gas emissions. This is partially being done but again tends to support certain regions, energy sources, or industry sectors.\* Support research into global climate change. There is much we know now and much more we can learn. This is vital to understanding the question so we can indeed come up with the right answer for the planet.\*\David Burroughs, of Haughton, is a former member of The Times Community Board."
1,"Remember the commercial from the '70s depicting the driver of an automobile littering, while an American Indian witnessing the atrocity, turns towards the camera with a tear streaming down his cheek? The first buds of a greening America sprouted.\I consider myself to be green. You know, turning off lights when not in use, replacing incandescents with CFLs, insulating well, using energy efficient appliances, low E glass, etc. Now, if you want to be good to the environment by reducing your carbon footprint ""[broken bar] fine. And I'm glad to do that.\Some of the political, global warming kool-aid is hard to swallow. Too much conjecture. Besides, it props up cap and trade, just another tax on Americans. Don't misunderstand. I like trees. I planted 13 last autumn. My concern isn't saving a tree ""[broken bar] just saving. But I've always thought it'd be great to go solar.\The cost of a solar setup has always been prohibitive though. Photovoltaics aren't cheap to manufacture. As technology progresses, costs may not necessarily decrease. But better technology will produce photovoltaics that convert energy with higher efficiency.\Though pricey, systems have just become less expensive through government incentives.\The federal government now offers 30 percent of the cost of a solar energy system as a residential/business tax credit! Just months ago, the credit was 25 percent. Any unused, excess credit is carried forward for as many years as the residential customer wants. For a business or organization, it must be used within two accounting years. Rural Ag producers and rural businesses can qualify for a 25 percent grant on top of the tax credit. Louisiana offers an additional residential 50 percent tax credit on the first $25,000 in system costs!\This credit can be used over a 10-year period or received as a refund no later than the year end. The Legislature passed two bills. One allows this state tax credit to pass to third parties. The other, Senate Bill 224 (Act 348), allows parishes to set up ""energy efficient districts"" which enable them to sell bonds for making loans to home and business owners for renewable energy improvements.\So think about it, now in Louisiana a solar energy system that costs $25,000 can be reduced to approximately $5,000 after credits and refunds! Not bad. The system could pay for itself in less than 10 years easy, plus it adds to the resale value. And guess what, the additional value it adds to your home can't be assessed to raise your property tax by the tax assessor because it's a renewable energy source. The government put the kibosh on that. And if you're selling your home, energy generation is an appealing feature.\If you are concerned about your carbon footprint, solar is clean and doesn't pollute the air or water. It replaces electricity from facilities powered by coal, natural gas and other non-renewable fuels, eliminating threats to public health from industrial emissions.\Since solar generates onsite from the sun, it's dependable and doesn't need to go through the grid first before supplying your home, making you less dependent on the utility company. Plus, any unused electrical power turns back your meter, crediting your electric bill. How cool is that?\The more we can conserve and produce our own energy, the better off we'll be. With the summer rolling blackouts and talk on Capitol Hill about a national energy tax, it's worth considering. Here's to catching rays and saving dollars.\Wayne DesLattes, of Shreveport, is a member of the Times Community Board."
2,"
What are the rules in Congress these days? It seems the playing field gets changed daily, depending on the leadership's ability to accomplish whatever it is it wants. ""Who needs a bill' to read?"" ""Let's just adopt a concept.' "" ""We'll work out the details later."" ""I'm committee chairman, and I'll get back to you with the specifics.""
\
The same thoughts are running through the Obama administration. The debate on ""cap-and-trade"" legislation has slowed in recent weeks and taken a back seat to health-care ""reform."" But, since cap and trade may also be in jeopardy of failing, the administration isn't idle in its efforts to limit greenhouse gases.
\
Now that the Waxman-Markey bill is in peril, the Environmental Protection Agency has decided that it will become the regulator not just of the environment, but of all sectors of the economy-electricity generation, transportation, industry and agriculture. In late September, EPA Administrator Lisa Jackson said she will use the 33-year-old Clean Air Act to now limit greenhouse gases. In her speech to the Governors' Global Climate Summit, she announced her newest effort, a way to force investment in new technology by regulating old technology out of business.
\
Administrator Jackson had already stated publicly that EPA had been prompted to determine if greenhouse gases posed a threat to the health of Americans, and if so to regulate them under the Clean Air Act. ""We soon expect a final document that will lay the foundation for reducing greenhouse emissions and confronting climate change,"" Jackson said. Only weeks later, Jackson announced a new rule that, for the first time, requires ""large sources"" of greenhouse gases to report their emissions.
\
During the 2008 presidential campaign, there was much discussion about whether the EPA should use the Clean Air Act to deal with climate change. Then-Sen. Obama said he believed legislative action was the preferred course to take. Now-President Obama reverses course when Congress is unlikely to pass what he wants.
\
Does the end justify the means? Administration and congressional leaders seem to think so, much to the chagrin of folks in Louisiana. While our state's political and business leadership attempts to retain and attract investment and jobs, many dollars simply won't come to an energy-intensive state because of the looming legislation and now negative EPA regulation.
\
Whatever is finally done in Washington will lower Louisiana's industrial output due to higher prices for energy, higher costs of complying with required emissions cuts and greater competition from overseas manufacturers with lower energy costs. When that happens, most energy prices will start climbing higher, particularly electricity and natural gas.
\
With less economic growth because of limited investment, higher costs and fewer jobs, the state likely will see the gross state product decline by hundreds of millions of dollars during the next decade, and billions over the next 20 years. And higher energy prices will ripple through every household, particularly those homes of low- and fixed-income families.
\
The rest of the year and next will be tough for Louisiana congressmen and senators. First, most are finding themselves excluded from the debate because of political partisanship. Then, they suffer the negative impact from what is being passed and the harm it will have on their state. And, finally, they have a lot of new ""rules"" to learn, because none of the old rules apply any more.
\
Ginger Sawyer, vice vpresident and director of LABI's Energy Council, contributed to this column.
\
Dan Juneau is president of the Louisiana Association of Business and Industry.
"
3,"Care for, value all animals\While I agree that whoever shot and hung a family pet in a tree should be held accountable, I have a question for P.A.W.S. Would your $250 part of the reward be better spent educating the public on responsible animal ownership?\You could remind them that animals, especially those thought of as part of the family, must be properly confined, fed and treated humanely.\By proper confinement, I mean adequate fencing to keep cows, horses and dogs safe and off the road. Busy roads, animals and motor vehicles are a formula for disaster. Remind them rounding up roaming animals is their responsibility not the Rapides Parish Sheriff's Office or Animal Control.\By proper feeding, I mean animals should never be kept in enclosures or on chains without food or water. How many times have you witnessed a neighbor's trash strewn all over the yard thanks to a loose, hungry pet?\You would never place a beloved family member in a dirt corral with no shade, food or water. Shouldn't the same be true for a herd of 20 to 30 starving cows or horses?\By humane treatment, I mean valuing all animals and treating them with respect. Collars and harnesses should fit properly and be checked regularly to ensure they are not too tight or, worse yet, growing into the animals flesh.\If an animal dies, they should not be left to rot where they lie, becoming food for hungry dogs and coyotes. Is this any way to treat a member of the family?\If P.A.W.S. answers ""yes"" to my question, maybe such tragedies can be avoided in the future. Rest in peace, Junior.\Sarah Normand\Deville\Help at home first\After reading the June 6 Town Talk article ""Bill helps Iraqi refugees, ignores Katrina victims,"" it is irrational that our ever-wastful government is currently funneling more than $350 million to directly support the welfare and social services for Iraqi refugees.\Whatever happened to the understanding that charity begins at home?\I guess it's like pet rocks, polyester suits and platform shoes -- it died with Disco. Why aren't the Iraqi people taken care of by proceeds from Iraqi oil and gas? This country is the third largest producer in the world.\We are a compassionate people and will help take care of anyone, but we should take care of our own first.\With the homeless population more than doubled in New Orleans since the devastation of Hurricane Katrina, we are in need of some healing stateside don't you think?\Their are enough issues, problems, programs and projects that need and deserve financial help right here in the United States before we should consider shipping tons of federal green across the globe.\Evan Davidson\Alexandria\Senators saved us money\Senate Bill 2191 almost passed in the U.S. Senate without us knowing had Sen. Mary Landrieu and Sen. David Vitter not stopped it.\The bill was introduced by Lieberman-Werner and was with good intentions to improve the environment by putting a federal cap and trade program to significantly reduce greenhouse gas emissions.\The main problem with the bill would have been that we would pay for this great project out of our empty pockets.\The bill still remains at the Senate until some changes have been done.\But I have faith in our congressmen that we will have a healthier environment, here in the United States and in other countries.\Lissa Malone\Lafayette\Clean-up appreciated\I wrote a letter a while back about the appearance of South Alexandria.\I have noticed some positive changes since then. I just wanted to say thank you to the people responsible for the tearing down of the old Louisiana Battery building. It looks so much nicer to our visitors arriving from Interstate 49.\I would also like to say thank you to the group of concerned citizens who have been picking up litter along the roadways in South Alexandria and surrounding neighborhoods. There is still work to be done but at least there is an effort to improve the look of our town.\Stephanie Belgard\Alexandria"
4,"
THIBODAUX -- Local officials from Lafourche and Terrebonne flew to Washignton, DC last weekend to fight against environmental policy changes on a national platform at the National Association of Counties Legislative Conference.
\
Lafourche Parish President Charlotte Randolph, her assistant Donna Toups, Terrebonne Councilwoman Arlanda Williams and Council Clerk Paul Labot, all attended the conference March 6 though March 8.
\
Randolph, a member of the Environment, Energy and Land Use Steering Committee, said her committee was focused on discussing the number of legislative proposals that would implement a federally mandated cap-and-trade system, or a tax to regulate greenhouse gases.
\
Cap and trade is a proposed emissions trading program that would allow the government to set a limit, or a cap, on the amount of pollutant that can be exposed to the environment.
\
If companies were to go over the amount set by the government, they would have to buy credits from companies who produce less.
\
""It was a good trip,"" Randolph said. ""We could gauge some success. We didn't get them to oppose cap and trade but we got a seat at the table when they talk about climate legislation.""
\
The committee Randolph served on passed a resolution that asks Congress to work with counties when discussing climate legislation in order to make sure local governments can address problems in legislation before it takes effect.
"
5,"
THIBODAUX -- Parish officials from Lafourche and Terrebonne flew to the nation's capital last weekend for the National Association of Counties Legislative Conference and helped the organization craft resolutions on disaster relief and environmental policy.
\
Lafourche Parish President Charlotte Randolph, her assistant, Donna Toups, Terrebonne Council Chairwoman Arlanda Williams and Council Clerk Paul Labat attended the conference March 6 though March 8 in Washington, D.C. Randolph, a member of the Environment, Energy and Land Use Steering Committee, said the committee focused on legislative proposals that would implement a federally mandated cap-and-trade system, or a tax to regulate so-called greenhouse gases.
\
Cap and trade is a proposed emissions trading program that would allow the government to set a limit, or a cap, on the amount of pollutants that can be released into the environment.
\
If companies were to go over the amount set by the government, they would have to buy credits from companies who produce less.
\
""It was a good trip,"" Randolph said. ""We could gauge some success. We didn't get them to oppose cap and trade, but we got a seat at the table when they talk about climate legislation.""
\
The committee Randolph served on passed a resolution that asks Congress to work with counties when discussing climate legislation in order to make sure local governments can address problems in legislation before it takes effect.
\
Randolph said a cap-and-trade system would cripple industry in south Louisiana, starting first with large oil-and-gas companies and spreading to marine-services companies. The result, she said, could be massive layoffs.
\
""And this is not a regional problem,"" Randolph said. ""It's a national issue.""
\
Williams, who serves on NACo's Board of Directors and as a member of the Justice and Public Safety Steering Committee, said her committee also addressed issues that could have a major local impact.
\
Williams' committee passed a resolution that proposes changes to the Robert T. Stafford Act, the law that lays out the rules for federal disaster aid, that would allow FEMA to reimburse local governments 100 percent of assessed value for structures substantially damaged due to flooding.
\
""We want an automatic 100 percent in any federal disaster,"" Williams said. ""That way we won't have to worry or request any additional assistance. And so it doesn't cause any delay.""
\
The resolutions passed by the committee became NACo's official policy, meaning the group's lobbyists will begin contacting members of Congress.
\
""It goes to the heart of NACo,"" said Jim Philipps, spokesman for NACo. ""We want to be there from the beginning of the process, and this is a way to communicate and speak with credibility.""
\
NACo was founded in 1935 and is the only national organization that represents county and parish governments in the U.S. It currently represent more than 2,400 counties.
\
Staff Writer Lloyd Nelson can be reached at 448-7639 or lloyd.nelson@dailycomet.com. Follow him on Twitter @ GovReporter.
"
6,"
HOUMA The federal government aims to control pollution, and the environmental damage that could result, by providing economic incentives to companies that limit carbon-dioxide emissions.
\
Environmentalists say the move is necessary to the Gulf Coast's survival.
\
Energy officials question whether it's needed and warn that the associated costs will be harmful to residents statewide.
\
The climate-change legislation, called cap and trade, sets a limit on overall emissions linked to global warming. That's the cap.
\
Companies would be fined for exceeding the cap, unless they buy carbon credits from companies with emissions to spare. That's the trade.
\
A cap-and-trade program already exists in the U.S. for sulfur dioxide, the pollutant linked to acid rain.
\
Now the focus is on carbon dioxide.
\
The House version, which seeks a 17 percent carbon-dioxide reduction by 2020, passed in June. It was introduced to the Senate last month.
\
The Senate version seeks a 20 percent reduction.
\
Cap and trade is necessary to control emissions that could lead to global warming, triggering sea-level rise that will help drown Louisiana's coastal communities and result in stronger and more damaging hurricanes, said Aaron Viles, spokesman for the nonprofit Gulf Restoration Network.
\
""Anyone who says they care about the future of the coast should support cap-and-trade legislation,"" Viles said. ""We're ground zero for global warming because we are already sinking and facing wetland loss problems.""
\
And, he added, it's unwise to ask the federal government for help to restore Louisiana's coast while simultaneously ignoring global warming.
\
""If we're advocating for resources to fix coastal Louisiana, we have to recognize that some of these problems are going to be fueled by climate change,"" Viles said.
\
But critics say cap-and-trade legislation won't solve global warming and could inflict serious damage on Louisiana's economy, which relies heavily on the oil-and-gas industry.
\
Don Briggs, president of the Louisiana Oil and Gas Association, said cap-and-trade legislation ""will harm every citizen"" in Louisiana because the associated costs will be passed onto consumers.
\
""It will definitely have an impact, and it will have an impact on everyone,"" he said.
\
Estimates are that the average consumer will pay $1,761 more a year on utility bills, an increase equal to all other current environmental regulation combined, said Joel DiGrado, spokesman for U.S. Sen. David Vitter, R-La.
\
That's particularly burdensome, Briggs said, given the current economic climate.
\
He also questions whether carbon-dioxide emissions are truly harmful to the environment.
\
""I don't buy into the global-warming myth, and I don't think (cap and trade) will really do anything to cut back on carbon dioxide,"" Briggs said.
\
Scientists agree that global warming is occurring, but there's been some debate as to whether human influence is to blame. Research shows the Earth has a long history of climate changes periods of warmth followed by ice and some speculate that the current warming trend could be part of that cycle.
\
Briggs, like some conservatives, says global warming is a ""hoax"" being perpetrated by environmentalists. Even if the U.S. were to cap carbon emissions, he said, other countries wouldn't follow suit, hurting America's competitiveness in the world industrial market.
\
Viles said he doesn't buy the argument that carbon-dioxide caps will hurt businesses or the American economy. Though he acknowledges that greening the energy industry is a ""challenge,"" he said American manufacturers will adapt.
\
""We can respond to this energy challenge in a realistic and harmless way,"" he said. ""We're not saying that people should huddle in the dark. There are ways to help curb emissions and ensure our standard of living.""
\
Louisiana lawmakers say they oppose cap-and-trade legislation.
\
U.S. Rep. Charlie Melancon, D-Napoleonville, voted against the House version.
\
""We must work together as a nation to reduce the pollution causing this climate change, but not on the back of our energy industry in Louisiana,"" he said.
\
The House-passed cap and trade bill disproportionately penalizes the oil-and-gas industry, said Aaron Saunders, a spokesman for U.S. Sen. Mary Landrieu, D-La, and would reduce domestic energy production at a time when our nation should be increasing production.
\
Cap-and-trade legislation will hurt the fragile U.S. economy, create instability in the marketplace and result in a significant loss of Louisiana jobs, Saunders said.
\
Vitter remains strongly opposed to any sort of cap-and-trade provision as well, agreeing that it would hurt the economy and raise energy costs and taxes for American families.
"
7,"
What is happening to America? We are now wondering what will become of the tragic oil spill in the Gulf of Mexico? Will our environment and our Gulf waters ever be the same again? While all of us give our heartfelt sympathy to those who suffered greatly in this sad rig explosion, we must support the people in the fishing and oil industries who are working so hard to come up with a solution to correct this mishap. We have some of the greatest minds working on this oil crisis. It is not like someone intentionally did this to cause havoc in this country.
\
Things happen.
\
We need to have faith by praying that we will not lose both industries due to something that has unfortunately occurred. The state of Louisiana depends on the two most important industries we have. Otherwise, our state will become crippled with high unemployment for many years to come. President Obama and his administration are thinking about filing criminal charges against the oil company. They feel this mishap only confirms belief in taking our domestic oil and gas industry elsewhere along with other alternative sources of energy. We all will have no choice but to contact our elected officials once again to ask them not to pass the cap-and-trade bill, otherwise we will all be paying even higher prices for our resources. It will affect everyone. So, everyone must support our valuable Louisiana industries.
\
The state of Arizona also has its perils. It had no choice but to pass a bill to protect it from crime due to people coming across their border. President Obama and his administration feel sympathy for the wrong people and want Arizona to retract its new law or the government could pass a bill to override the state bill. What ever happened to defending the people of our own nation?
\
This is America. This administration needs to understand that we are the only country that welcomes immigrants, legal or illegal, into our country and ends up blessing them with all the entitlements that American people have paid into for many years. No wonder they are all trying to come here expecting and demanding to wave their flags in the streets and on our American soil. We have terrorists attempting to destroy our country. Yet this administration defends the very people committing these crimes rather than defending their own.
\
Support your capitalist society. Support your seafood industry. Support the domestic oil, gas and coal industries in our country by contacting your elected officials to stand on our side on these issues. Our country, our industries and our freedoms are worth saving. This covers it all. You should know that big government never worked in the early 1900s and it will not work now. Vote in only the people who will understand that we want our country back. Vote out the people who are in office for their own selfish motives or to give our money away to everyone. God bless America.
\
Judy LeBoeuf
\
Houma
"
8,"
HOUMA U.S. Sen. David Vitter made stops in Houma and Thibodaux Friday to voice his opposition to the newest health-care reform bill up for discussion in Congress, and discuss other topics.
\
""There are important aspects of our health care delivery system that are broken,"" Vitter, R-La., said to a room full of doctors at Terrebonne General Medical Center in Houma. ""We need to fix Medicare reimbursements. We need to train more health-care providers and physicians. And we need to take on tort reform. We don't want to disrupt the folks that are happy with the health coverage they have right now. The bills that I see being put forward in Congress right now are not taking that approach.""
\
""It is using a sledgehammer, and not a scalpel,"" Vitter added.
\
Prior to lunch in Thibodaux with members of the Bayou Industrial Group he held his health-care forum at Terrebonne General.
\
Vitter said he has several concerns about health-care reforms being proposed in the house right now.
\
One is making the cost of health care sustainable in the long run. He expressed worry that the current plan being bounced around in Congress would push the cost of federal health care higher.
\
A fee established by government for not providing care would lead companies to pay the fee rather than the far higher cost of coverage, he said. People who have good insurance with their employers today might then be ""dumped"" into a cheaper public option plan, he said.
\
""The government option could become the dominant option overnight, and the only option within a few years,"" Vitter said.
\
Vitter added there aren't enough doctors in many places now to properly serve patients.
\
Putting more patients into the system without solving the physician shortage first will make things go ""from bad to worse,"" he said, adding that tort reform must be addressed in any health-care reform bill.
\
""This is an enormous cost to the system that could be removed if we do it right,"" Vitter said.
\
Doctors are forced to perform ""defensive medicine"" and unnecessary tests due to the ""litigious environment"" in medicine right now, he said.
\
But some doctors who spoke at the meeting said more aggressive reforms are necessary to fix the American health-care system.
\
Dr. Owen Grossman, an emergency physician at Terrebonne General, said Americans haven't ""had the courage to take a sledgehammer"" to the a defective existing system.
\
The U.S. is facing many crises in health care, including more doctors choosing highly-paid specialized medicine rather than needed family practice roles to pay off eduction debts, increased obesity and a general health crisis in the population.
\
""Forty percent of our patients don't have insurance and can't see a doctor until they're in crisis,"" Grossman said. He said he is in favor of a single-payer universal health care system to solve the problem.
\
Dr. Moira Ogden, an internal medicine physician, said private health insurance companies often dictate what kind of treatment a patient receives.
\
But other doctors said their experience with Medicare gives them a lack of faith that any government-run health coverage could be better.
\
""Medicare limits our practices in an extreme way,"" said Dr. Christopher Saal, an oral surgeon with Terrebonne General Medical Center.
\
Vitter said reforms to private insurance practices might help, such as requiring insurers to cover people with preexisting conditions or creating a public pool to subsidize their coverage, and allowing insurance purchases across state lines.
\
But Vitter added that he would fight any universal single-payer system ""with his every waking hour.""
\
""It would destroy American health care,"" Vitter said.
\
In Thibodaux, Vitter also spoke to the Bayou Industrial Group about the health proposals, but focused more on what he called ""out-of-hand"" government spending.
\
Vitter also railed against other examples of what he called high government involvement in spending, including proposals to make it easier for employees to unionize and the ""cap and trade"" bill to combat global warming, which he called ""cap and tax.""
\
""It would be bad for the country, but it would be devastating for south Louisiana,"" he said. ""It's going to move us in exactly the wrong direction.""
\
He cast Louisiana as a state with ""reasonable"" labor costs, created by ""right to work"" laws, an added incentive for companies to move to the state. That could be undone by the bill, he said.
\
""If that advantage is wiped clean, we lose an enormous advantage in bringing business to Louisiana,"" he said. Asked if any compromise proposals looked to be emerging with Democrats in Congress or the White House, Vitter expressed pessimism.
\
""So far the president's method of governing has been anything but bipartisan,"" he said.
\
Harold Templet, 63, a retired banker from Labadieville, echoed Vitter's concerns about high government spending.
\
""If Washington keeps spending, sooner or later the people who buy the debt will stop,"" he said.
"
9,"Lisa R. Faust\lfaust@theadvertiser.com\and The Associated Press\Cars, power plants and factories could all soon face much tougher pollution limits that Louisiana's energy-intensive industries say would devastate the state's economy.\The federal government Friday took a major step toward regulating greenhouse gas emissions, concluding that carbon dioxide and five other greenhouse gases ""endanger public health and welfare"" under federal clean air laws, that they help cause climate change, or global warming and pose an enormous threat\""in both magnitude and probability.""\It is the first time that the federal government has said it is ready to use the Clean Air Act to require power plants, cars and trucks to curtail their release of climate-changing pollution, especially carbon dioxide from the burning of fossil fuels.\Environmental Protection Agency Administrator Lisa Jackson cautioned that regulations are not imminent and made clear that the Obama administration would prefer that Congress address the climate issue through a broader ""cap-and-trade"" program that would limit heat-trapping pollution.\Even if actual regulations are not imminent, the EPA action was seen as likely to encourage action on Capitol Hill.\Rep. Ed Markey, D-Mass., whose House Energy and Commerce subcommittee hopes to craft legislation in the coming weeks, called the EPA action ""a game changer.""\""It's now no longer doing a bill or doing nothing,"" Markey said. ""It is now a choice between regulation and legislation.""\Republicans and some centrist Democrats have been critical of proposed cap-and-trade legislation, arguing it would lead to much higher energy prices. Such a measure could impose an economy-wide limit on greenhouse gas emissions but let individual companies or plants trade emission allowances among each other to mitigate costs.\Louisiana's U.S. Sen. David Vitter called EPA's move ""particularly disturbing to American business owners, workers and consumers.""\""Assuming the endangerment finding is the first step towards a regulatory scheme or otherwise to push Congress into implementing cap-and-trade, this move could have a profoundly negative impact on Louisiana's economy in particular, bringing about significant job loss and increased energy prices -- neither of which we need in these trying economic times,"" Vitter, R-Metairie, said in a prepared statement.\U.S. Sen. Mary Landrieu, a Democrat who has consistently differed with the Obama administration over energy policy, took a less staunch approach, but remained skeptical of the move toward regulation.\""I share the administration's concern regarding the impact of greenhouse gases on the environment,"" Landrieu said in a prepared statement. ""However, I am equally concerned that misguided federal regulation of greenhouse gases could have a detrimental effect on our economy and potentially on the environment, as regulations can have unintended consequences.\""I look forward to working with the administration and Congress to ensure that we take a commonsense approach as the government weighs the costs and the benefits of regulating greenhouse gases.""\Environmentalists called the EPA action a watershed in addressing climate change.\""It's momentous. This has enormous legal significance. It is the first time the federal government has said officially the science is real, the danger is real and in this case that pollution from cars contributes to it,"" said David Doniger, climate policy director for the Natural Resources Defense Council, an advocacy group.\Reaction from Louisiana's energy intensive industries ranged from cautious to critical.\Don Briggs, president of the Louisiana Oil and Gas Association, called EPA's announcement ""pure politics.""\""You have a very green administration in Washington,"" Briggs said. ""These are all people who have a history of not supporting the oil and gas industry. Taken to its ultimate end, this would shut the country down. There are 250 million cars on the road. Put 250 million horses on the road and tell me what kind of CO2 you're dealing with.""\Henry Graham, environmental and legal affairs director for the Louisiana Chemical Association, said Friday's announcement was the first step in a very long process that everyone in Louisiana should be watching closely.\""A lot will depend on the details, on what Congress does, on how far any legislation or regulation would go,"" Graham said. ""The state should be concerned about the final outcome of any federal legislation, whether it's cap and trade or a carbon tax. Fundamentally, we're shifting the burden of our economy from energy intensive industries to other industries.""\Because the bulk of Louisiana's economy is dependent on energy intensive industries, Graham is a concerned that the state would suffer disproportionately by moves to regulate greenhouse gas emission.\""We hope any federal legislation will recognize the importance Louisiana has in the big picture of the national economy. We're one of the top 3 states in chemical production and in oil and gas production,"" Graham said.\But Graham said there is a larger impact he hopes lawmakers and regulators will take into effect.\""You have to remember, we're not talking about toxins or carcinogens,"" Graham said. ""CO2 is naturally occurring, as well as manmade. The bigger questions is at what level do we regulate ourselves in Louisiana and in the U.S. while allowing other countries to be unregulated. As we reduce emissions, countries like China and India double what they're producing. Do we bankrupt this state, this country simply to shift it overseas, and the planet is not better off for it. If this is a global problem, it requires a global solution.""\The Bush administration strongly opposed using the Clean Air Act to address climate change and stalled on producing the so-called ""endangerment finding"" that had been ordered by the Supreme Court two years ago when it declared greenhouse gases pollutants under the Clean Air Act.\The court case, brought by Massachusetts, focused only on emissions from automobiles. But it is widely assumed that if the EPA must regulate emissions from cars and trucks, it will have no choice but to control similar pollution from power plants and industrial sources."
