,Full_text
0,"
Mark gaffney
\
By Mark Gaffney
\
The economic meltdown, energy crisis and global warming are interconnected, and so are the solutions. By implementing the right policies, we can create jobs, secure our energy independence and power capacity, and protect natural resources for our future.
\
But we need a long-term strategy that provides better energy choices by driving investments to build, deliver and install clean energy solutions. We need energy policies that will support both a U.S. auto industry and other manufacturing and that are vibrant, competitive, technologically advanced and an integral part of the solution to global warming.
\
The cap-and-trade legislation will help take a balanced approach toward an economy-wide program that prevents foreign competitors from getting advantages over America companies. The nation should maintain a diverse energy portfolio that includes renewable energy, fossil fuels, nuclear and hydro electric. And solutions must protect individual industries and geographical regions from being disproportionably or adversely affected.
\
Such a strategy is the American Clean Energy &amp; Security Act, which is in the House Energy and Commerce Committee, which will help to create millions of new clean-energy jobs, reduce our dependence on foreign oil, encourage the development of cleaner, cheaper sources of energy, and dramatically cut the carbon pollution that causes global warming.
\
The historic changes in the legislation -- also known as the Waxman-Markey bill -- come with risks, and we must work to balance bettering the environment with job creation.
\
The Michigan congressional delegation has been working hard to protect and promote the auto industry, including garnering $50 billion in low-interest loans for automakers to retool their production facilities. U.S. Rep. John Dingell, D-Dearborn, deserves credit for leading the fight to secure 3 percent of the revenue from the auctioning of carbon emission permits, worth an estimated $10 billion to $20 billion over the next 20 years, for the auto industry to develop advanced technology vehicles.
\
Two labor-environmental groups, the Blue Green Alliance and Apollo Alliance, support this legislation.
\
We have seen other examples of trade unions working to both protect jobs and better our environment. Recently, union leaders stood with President Barack Obama when he announced new fuel-economy and tailpipe emission standards. This was truly an historic achievement, bringing together labor, industry, environmentalists and government in support of a comprehensive and consistent national policy.
\
While the resulting standards are aggressive, calling for a 30 percent improvement in fuel efficiency by 2016, they are achievable within the time lines proposed. And they can help to spur a renaissance in the American auto industry, creating new jobs as manufacturers restructure to build the clean energy vehicles of the future.
\
Creating a clean energy economy will be good for Michigan with the potential of thousands of new, well-paying jobs. According to the Michigan Department of Energy, Labor and Economic Development's ""green jobs"" report, from 2005 to 2008, more than 2,500 green jobs were added to Michigan's economy, a growth rate of 7.7 percent.
\
Green jobs also pay well; 13 of the top 15 sectors of green employment have weekly wages above the overall private sector weekly average. The Steel Workers union reminds us that each wind turbine built contain 250 tons of steel and thousands of machined parts.
\
We have an opportunity to rebuild our economy with millions of clean energy jobs, retool manufacturing, increase our energy independence and preserve the planet for future generations. It is time for the leaders in Washington to take the bold, forward-looking action that we need by passing the Waxman-Markey bill.
\
Labor Voices
\
Labor Voices columns are written for The News on a rotating basis by United Auto Workers President Ron Gettelfinger, Teamster President James Hoffa, Michigan AFL-CIO President Mark Gaffney and Michigan Education Association President Iris Salters. Look for Labor Voices every Wednesday in The Detroit News.
\
Labor voices Mark Gaffney is president of the Michigan AFL-CIO, a federation of state labor groups. E-mail comments to letters@detnews.com. Fax them to (313) 496-5253.
\
Credit: Mark Gaffney Special to The Detroit News
"
1,"Who is responsible for maintaining and improving our environment? The answer, of course, is: We are. That's why the April 19 editorial, ""Cap-and-trade system is really a tax,"" by Hillsdale College Economics and Public Policy Professor Gary Wolfram, Ph.D., was surprising and difficult to understand.\Dr. Wolfram argues that the cap-and-trade system should be shelved because we are unable to measure the environmental cost per ton of carbon dioxide emission in comparison to the benefits we receive from fossil fuel-produced goods. This is like firemen not fighting fires because we haven't measured the property values of the structures in comparison to firefighting costs. In fighting fires, we use our taxes to pay the costs and take action. We accept our responsibility.\Alarms have sounded in recent years because atmospheric carbon dioxide (CO2) and global temperatures are at record highs. Natural phenomenon, some beyond our control, can be the cause. The strong consensus among scientists, however, is that high CO2 levels, produced by human activity and over which we do have some control, are the cause of today's warming. We must reduce emissions. This is our responsibility. Consequences of inaction will be far greater than cap-and-trade system costs.\Glaciers worldwide are receding. Concern has been expressed that receding Himalayan glaciers will someday halt the water supply to major rivers in India and China. Economic and human impact would be devastating. The cost of a cap-and-trade system today, taking action now, assuming our responsibility to ourselves and to our planet, would not compare to the costs of such a disaster.\Increased ocean water acidity is another recent observation. Some absorbed CO2 is converted to carbonic acid. Shells collected today are significantly thinner than those measured in museum collections. Acidity, along with increased ocean water temperature, is the cause of observed coral bleaching. Some divers claim that action is unneeded because many reefs have never looked better. This is like the firemen saying not to worry about the fire in the kitchen since the living room looks great.\Dr. Wolfram points out that oil and natural gas companies and electric utilities will feel the greatest impact of a cap-and-trade system. Isn't this just as it should be? Action is going to require money. These companies, recording huge profits, are exactly where responsibility belongs. Incentives for alternative technologies and developments that reduce both emissions and costs are created. New jobs and employment opportunity will follow in the process. Cap-and-trade will stimulate economic growth.\Dr. Wolfram also points out that action to reduce emissions need not be taken because our improvements will be overwhelmed by emissions from China. This is like saying that we don't need to fight forest fires in Colorado because fires are going to be worse in Idaho. Also, we abdicate our leadership role, lose research and development opportunity and, through inaction, discard our voice for an improved environment.\Dr. Wolfram's editorial, ""Cap-and-trade system is really a tax,"" makes no reference to environmental responsibility. This is surprising and difficult to understand. Cap-and-trade is really an investment.\Robert Learner of Battle Creek is retired director of Kingman Museum of Natural History."
2,"WASHINGTON - Both of Michigan's senators voted against a measure that would have protected a sweeping climate-change bill from being filibustered.\Although the climate-change bill isn't even out of the hands of Henry Waxman, the California Democrat who chairs the House Energy and Commerce Committee and wrote the bill - the Senate passed an amendment to the budget resolution Wednesday night prohibiting it from falling under the process of reconciliation. If that process had been used, it would have meant a 60-vote supermajority wouldn't be needed to cut off debate.\That 60-vote margin is what is needed to end a filibuster - the legislative tool allowed in the Senate to continue discussions in the hope of killing or significantly altering a bill.\The vote against reconciliation was 67-31, including 26 Democrats.\Carl Levin and Debbie Stabenow of Michigan were among them. Levin was one of more than two dozen Republican and Democratic senators who signed a letter saying the climate-change bill and its biggest component - a cap-and-trade system of auctioning off pollution emission permits for industry - was too important and far-reaching, especially in the industrial Midwest, not to undergo substantial debate.\Another possibility worth mentioning: While media attention on the climate-change legislation has largely focused on cap-and-trade, the draft legislation also includes a provision saying future fuel-economy standards would have to match California's limits on cars and trucks and would preserve that state's power to set its own vehicle emission rules.\Detroit's automakers have been fighting the California rules and say they want a single national standard.\Stabenow spokesman Brad Carroll said Thursday that the senator ""continues to work to ensure that climate change legislation is done in a way that will create jobs"" and didn't think reconciliation was the way to go.\California's two senators - Democrats Barbara Boxer and Dianne Feinstein - voted for reconciliation.\ILLUSTRATION: Photo\CAPTION: U.S. Sens. Carl Levin and Debbie Stabenow, D-Mich., voted against reconciliation for the climate-change measure.\DISCLAIMER: THIS ELECTRONIC VERSION MAY DIFFER SLIGHTLY FROM THE PRINTED ARTICLE"
3,"
Cap-and-trade tax plan would damage Michigan
\
Cap-and-trade tax plan would damage Michigan
\
By Gary Wolfram
\
The proposed $650 billion ""cap and trade"" tax being pushed by the Obama administration will reduce economic growth in the United States, damage Michigan manufacturing, raise consumer costs sharply, increase our reliance on unstable sources of oil and harm free trade, all in the false hope of improving the environment.
\
The purpose of curbing carbon dioxide emissions is supposedly to prevent environmental damage from producing or using fossil fuels, which account for 85 percent of the energy used in the United States.
\
But to make any economic sense, the cap-and-trade tax in the proposed American Clean Energy and Security Act of 2009 would require that Congress compare the environmental cost per ton of carbon dioxide emissions to the benefit consumers get from the goods and services that are made possible from the use of oil, natural gas and coal. Then Congress would design a system where the benefit from reduced emissions was at least equal to the economic cost of reduced production.
\
No one in Congress has any idea what the cost to the environment of another ton of carbon dioxide is nor has a good idea of the lost value of production from requiring major emitters to purchase allowances. What is clear is that the allowances are being set to generate an enormous amount of tax revenue regardless of what the benefits are to the environment or the costs to the economy.
\
First, the primary argument that carbon dioxide emissions are a cost to the environment is that they contribute to global warming. That is debatable. S. Fred Singer, former director of the U.S. National Weather Satellite Service, argues persuasively in ""Unstoppable Global Warming"" that global warming is a naturally occurring phenomenon.
\
Second, it may be more cost effective to find a way to remove carbon dioxide from the atmosphere than to prevent it from getting into the atmosphere in the first place. Richard Branson has offered a $25-million prize to anyone who finds a commercially viable method of removing carbon dioxide from the atmosphere. Third, the effect on the environment of reductions in U.S. emissions is likely to be overwhelmed by emissions from China, the largest and fastest growing emitter of greenhouse gases, and other emerging economies.
\
The requirement that electric utilities, oil companies and large manufacturers buy allowances to emit carbon dioxide would increase the cost of producing manufactured goods since they will have to invest in a more expensive production process or purchase carbon allowances. The increased costs will result in lower production, fewer jobs and higher prices.
\
Because Michigan relies on coal-fueled power plants for 65 percent of its electricity, our state will be particularly hard hit. Manufacturing is likely to move overseas to countries that are not beset by higher environmental costs. U.S. manufacturers will face added uncertainties since the cost of emission allowances will almost surely fluctuate. As the cost of allowances rise and fall, there will be less incentive to expand or add new manufacturing facilities.
\
The effect of the carbon tax and the administration's proposal for an additional $81 billion in taxes on the electric utilities and oil and natural gas companies would be increased reliance on energy supplies from regions of the world that are unstable or unfriendly. With increasing unemployment, financial instability and uncertain political conditions in the Middle East, this is no time to boost taxes on energy production.
\
The notion of a cap-and-trade tax on carbon dioxide emissions should be shelved until sound science has provided a reasonable estimate of the net cost of manmade emissions.
\
Gary Wolfram is the William Simon professor of economics and public policy at Hillsdale College. E-mail: letters@detnews.com
\
Credit: Gary Wolfram / Special to The Detroit News
"
4,"The inconvenient truth about the proposed ""cap and trade"" system for reducing carbon dioxide emissions is this: It's really a tax. If adopted, the plan being pushed by the Obama administration and congressional Democratic leaders will reduce economic growth in the United States, damage Michigan manufacturing, raise consumer costs sharply, increase our reliance on unstable sources of oil and harm free trade, all in the false hope of improving the environment.\The purpose of curbing carbon dioxide emissions is supposedly to prevent environmental damage from producing or using fossil fuels, which account for 85 percent of the energy used in the United States. But to make any economic sense, the cap-and-trade tax in the proposed ""American Clean Energy and Security Act of 2009"" would require that Congress know what the environmental cost per ton of carbon dioxide emissions in the atmosphere is. Congress would also need to know how the cost compares to the benefit consumers get from the goods and services that are made possible from the use of oil, natural gas and coal. Then it would be able to design a system where the benefit from reduced emissions was at least equal to the economic cost from reduced production.\Clearly, no one in Congress has any idea what the cost to the environment of another ton of carbon dioxide is, nor has a good idea of the lost value of production from auctioning permits or allowances to major emitters. What is clear is that the allowances are being set to generate an enormous amount of tax revenue regardless of what the benefits to the environment are or the costs to the economy due to lost production.\The proposed legislation would require the nation's economy to reduce carbon dioxide emissions by 20 percent below 2005 levels by 2020, leading to an 83 percent reduction by 2050. There is not a chance that these targets were set by determining the cost to the environment from carbon dioxide emissions.\First, the primary argument that carbon dioxide emissions are a cost to the environment is that they contribute to global warming. There is not even a scientific consensus that global warming is being caused by man-made carbon emissions. S. Fred Singer, former director of the U.S. National Weather Satellite Service, argues persuasively in his book, ""Unstoppable Global Warming,"" that global warming is a natural occurring phenomenon.\Second, it may be more cost-effective to find a way to remove carbon dioxide from the atmosphere than to prevent it from getting into the atmosphere in the first place. Richard Branson has offered a $25-million prize to anyone who finds a commercially viable method of removing carbon dioxide from the atmosphere. Third, the effect on the environment of reductions in U.S. emissions is likely to be overwhelmed by emissions from China, now the largest and fastest growing emitter of greenhouse gases, and other emerging economies.\The cap-and-trade tax is purely a maneuver to increase taxes and allow administration officials and influential members of Congress to impose their will on the country. Last June the Heritage Foundation warned that a cap-and-trade tax would amount to an unprecedented government interference in the economy. Unfortunately, since then, the federal government has become engaged in running the auto industry and the financial services industry. And now we are about to invite some powerful congressional committee chairmen like California Rep. Henry Waxman to mold U.S. energy production to their own vision of the future.\The requirement that electric utilities, oil companies and large manufacturers buy allowances in order to emit carbon dioxide will increase the cost of producing manufactured goods since they will have to invest in a more expensive production process or purchase carbon allowances. The increased costs will result in lower production, fewer jobs and higher prices.\Because Michigan relies on coal-fueled power plants for 65 percent of its electricity, our state will be particularly hard hit. Manufacturing is likely to move overseas to countries that are not beset by higher environmental costs. U.S. manufacturers will face added uncertainties since the cost of emission allowances will almost surely fluctuate. As the cost of allowances rise and fall, there will be less incentive to expand or add new manufacturing facilities.\Two major industries in particular - electric utilities and oil and natural gas companies - are likely to be badly harmed by the combination of carbon fees and the administration's tax policy. It's estimated that companies would have to pay $650 billion for carbon allowances. And the administration's budget proposal includes an additional $81 billion in taxes on the oil and natural gas industry. The result is companies will have less money available to invest in domestic energy production, especially oil and gas exploration. This will increase the nation's reliance on energy supplies from regions of the world that are unstable or unfriendly. Now, with increasing unemployment, financial instability, and uncertain political conditions in the Middle East, this is no time to boost taxes on energy production. The notion of clamping a cap-and-trade tax on carbon dioxide emissions should be shelved until sound science has provided a reasonable estimate of the net cost of man-made emissions.\Gary Wolfram, Ph.D., is William Simon Professor of Economics and Public Policy at Hillsdale College."
5,"The U.S. House recently passed the American Clean Energy and Security Act of 2009, also known as cap and trade, to limit carbon emissions. Electric utilities, oil refiners and natural gas producers will all be taxed. All costs will be passed on to consumers. According to those who have studied the bill, the cap-and-trade tax will be expensive and kill millions of jobs.\This is the most convoluted attempt at economic and environmental central planning this nation has ever attempted. Cap and trade works by raising the cost of energy high enough so individuals and businesses are forced to use less of it.\This bill inflicts economic pain and will make all families poorer. As the increasing emissions standards are met, families will be forced to spend more on energy.\Terry W. Mulawa\Roseville\Small steps important\Though the July 3 article ""House climate bill wouldn't cut U.S. oil dependence much"" argued that the House passage of the American Clean Energy and Security Act takes only a modest step, the fact that this bill passed by only a few votes points to the necessity of praising even small steps in the contentious battle for our environment and future economic livelihood.\We should praise the representatives who voted yes and urge Sen. Debbie Stabenow and others to take the same stand. Strengthening the bill to further reduce oil and fossil fuel dependency in favor of renewable and cost-effective energy sources should be the next top priority.\Annette Arendt\Ann Arbor\Economic threat\As an engineer, I will advise you that this is the worst piece of legislation I ever heard discussed, as it does not solve either the clean air or energy problems. All it does is create a monstrous government organization costing trillions and eliminate many American jobs.\I want clean air and an energy policy that will make America independent from all foreign sources, but this Democratic-developed bill won't do it.\Richard Morrissett\President, International Institute\for Strategic Studies, Davison\Higher household costs\Your July 12 editorial ""Better to invest now in slowing global warming than risk calamity"" had the risks and rewards related to the cap-and-trade legislation passed by the U.S. House reversed. This bill would be an economic disaster for the United States and Michigan.\According to the nonpartisan Congressional Budget Office, this misguided, Democrat-sponsored legislation would cost each American household an average of $1,600 a year. In a worst-case scenario, the CBO estimates the extra cost would be $2,200 per household.\Randy Kniebes\Brighton\Expand bottle bill\With environmental issues on the rise, Michigan needs to take action. The state Senate is considering a bottle bill expansion that would add water bottles, juice, ice tea and power drinks to our state's deposit law. Getting this bill passed would mean less waste in our landfills and a bigger recycling program for our state.\Alana Hart\Rochester Hills\Power in sight\I thank Free Press travel writer Ellen Creager for her honest, if flippant, column bemoaning the ""ugliness"" of wind power (""Blowing hot and cold on wind turbines,"" June 7). She makes clear that since electricity is not magical and sourceless after all, darn it, its generation should remain hidden.\We've naively wanted cheap electricity with little or no regard to its production and effect on other environments and human lives. And we've wanted to believe that since we didn't see the plants or the mines, that our electricity was essentially invisible to produce -- and harmless.\Rebecca Hammond\Ferndale"
6,"The recent removal of the bald eagle from the Endangered Species List after its widespread recovery from near extinction was not just a victory for conservationists, but a victory for the American people. It demonstrated what's possible when we actively work to protect the natural world for our children.\And it reminded us of the foresight that gave birth to America's landmark conservation laws: the Endangered Species Act, the Clean Air Act, the Clean Water Act, and others.\Michigan's elder statesman, John Dingell, was pivotal in the drafting and passage of those laws. He recently showed that same visionary spirit by announcing plans to confront the greatest environmental challenge facing us: global warming.\Rep. Dingell, D-Dearborn, chairman of the U.S. House Energy and Commerce Committee, has committed himself to passing legislation that will cut global warming emissions by 60% to 80% by mid-century. This amounts to about 2% a year, the rate scientists say is needed to avoid the worst impacts of global warming.\The key to making this work, environmentally and economically, is to start reducing global warming emissions promptly. For that, we need to reverse emissions trends. American emissions of the gases that cause global warming have increased 14% in the 1990s, as our dependence on fossil fuels such as oil and coal has increased. Fortunately, emissions actually went down last year, and have grown only by roughly 1% since 2001.\We need a national program that freezes emissions before they start growing again and then cuts them by 2% every year. Waiting until later would be a costly mistake, economically and environmentally. If we allow emissions to grow unchecked in the near term, businesses will be forced to achieve far steeper and more costly reductions in the future. The country will also risk spending far more in attempts to protect the public from climate-related harms, risk greater threats of wildlife extinction and risk more extreme weather.\Dingell, of course, has faced criticism on the issue of automotive fuel economy standards, which are linked to curbing global warming. The key to moving past the political controversy is recognizing that those who pit the economy against the environment are presenting a false choice. Properly structured mileage standards, like building and appliance standards and renewable energy standards, can create jobs and stimulate the economy by sparking innovation and reinvestment in our manufacturing base. And they do these things best if they are part of an economy-wide policy to reduce global warming.\A staunch defender of economically embattled auto communities, Dingell is looking to forge a durable legislative compromise that will be both environmentally and economically responsible. He is trying to put this Congress on track to develop the nation's next landmark conservation law.\Here's what that law should look like. America can best achieve rapid, cost-effective reductions in greenhouse gas emissions by implementing an economy-wide ""cap-and-trade"" system. The plan would set an overall national limit on carbon emissions by major emitters (the cap) while allowing each to pick the most efficient way to reduce pollution. Emitters could buy and sell emissions permits, rewarding companies that innovate, and offering flexibility to everyone. It is no wonder that Ford and Chrysler recently joined General Motors in calling for a strong, mandatory national carbon reduction plan that includes cap-and-trade.\Another benefit of the cap-and-trade system would be the steady stream of revenue it could raise to help American industry, communities and working families rapidly transition to new technologies. It could also be used to help offset global warming's impacts on the natural world.\Global warming is a profound threat to nature, the economy, and our personal well-being. But it is also a tremendous opportunity. We can spur economic growth immediately by beginning the transition to a highly efficient, low carbon economy.\As he did years ago with the passage of America's bedrock conservation laws, Dingell is setting a course in the coming months for the well-being of generations to come. Leading the fight for a cap-and-trade bill to cut carbon emissions could be remembered for decades as his most important conservation legacy.\ANDY BUCHSBAUM is director of the National Wildlife Federation's Great Lakes Natural Resource Center in Ann Arbor. Write to him in care of the Free Press Editorial Page, 600 W. Fort St., Detroit 48226 or oped@freepress.com.\ILLUSTRATION: Drawing PAUL LACHINE Special to the Free Press;Photo\CAPTION: Andy Buchsbaum\MEMO: OTHER VOICES. LOCAL COMMENT.\DISCLAIMER: THIS ELECTRONIC VERSION MAY DIFFER SLIGHTLY FROM THE PRINTED ARTICLE"
7,"
If it accomplishes nothing else, the National Summit under way in the Renaissance Center will serve its mission if it wakes up Americans to the vital need for a sound national industrial policy.
\
In opening the summit Monday, Ford Motor Co. Executive Chairman Bill Ford Jr. noted ""there are still some in this country who don't care about our manufacturing base."" He is being kind.
\
He could have just as easily said there are too many who are openly hostile to manufacturing and consider it an environmental evil.
\
Both Ford and his summit co-chair, Andrew Liveris of Dow Chemical Co., called for an industrial policy that works in tandem with the environmental and energy policy.
\
Currently, environmental protection and industrial growth are competing agendas, with the environmentalists most often prevailing. Efforts to curtail greenhouse gases focus on policies such as carbon cap-and-trade that place severe limits on manufacturing and energy production.
\
Liveris said a ""sane energy policy has for too long been an oxymoron"" and echoed Ford's call for energy and environmental measures that both curb pollution and allow the country to get back to ""making real things -- real innovative things.""
\
America has little hope for a broad economic revival unless it shores up and expands its crumbling manufacturing base. As a percentage of gross domestic product, manufacturing has declined 25 percent in the past decade.
\
""We can't devastate a central component of the economy,"" said panelist Deborah Wince-Smith of the Council on Competitiveness. She added that the environment is no better off if America drives its manufacturing overseas and then buys back the imported products.
\
The summit is off to a good start in addressing the central challenge of shaping a new economy.
\
We can't continue to compartmentalize environmental and industrial policy. The two must be integrated with the goal of creating a vigorous economy in a clean environment.
\
Credit: The Detroit News
"
8,"FREE PRESS WASHINGTON STAFF\WASHINGTON -- Both of Michigan's senators voted against a measure that would have protected a sweeping climate-change bill from being filibustered.\Although the climate-change bill isn't even out of the hands of Henry Waxman, the California Democrat who chairs the House Energy and Commerce Committee and wrote the bill -- the Senate passed an amendment to the budget resolution Wednesday night prohibiting it from falling under the process of reconciliation. If that process had been used, it would have meant a 60-vote supermajority wouldn't be needed to cut off debate.\That 60-vote margin is what is needed to end a filibuster -- the legislative tool allowed in the Senate to continue discussions in the hope of killing or significantly altering a bill.\The vote against reconciliation was 67-31, including 26 Democrats.\Carl Levin and Debbie Stabenow of Michigan were among them. Levin was one of more than two dozen Republican and Democratic senators who signed a letter saying the climate-change bill and its biggest component -- a cap-and-trade system of auctioning off pollution emission permits for industry -- was too important and far-reaching, especially in the industrial Midwest, not to undergo substantial debate.\Another possibility worth mentioning: While media attention on the climate-change legislation has largely focused on cap-and-trade, the draft legislation also includes a provision saying future fuel-economy standards would have to match California's limits on cars and trucks and would preserve that state's power to set its own vehicle emission rules.\Detroit's automakers have been fighting the California rules and say they want a single national standard.\Stabenow spokesman Brad Carroll said Thursday that the senator ""continues to work to ensure that climate change legislation is done in a way that will create jobs"" and didn't think reconciliation was the way to go.\California's two senators -- Democrats Barbara Boxer and Dianne Feinstein -- voted for reconciliation."
9,"
Throughout history, climate change has adversely impacted low-income communities, which have become particularly vulnerable to flooding, high carbon emissions and co-pollutants. These events have led to displacement and high levels of cancer, asthma and other respiratory illnesses.
\
Detroiters Working for Environmental Justice (DWEJ) was established in 1994 to respond to the disproportional burdens facing people of color and low-income residents in environmentally distressed communities.
\
At a time when urban centers are depressed with job loss, aging infrastructure and numerous abandoned properties, DWEJ is on the cutting edge of finding unique solutions that integrate environmental justice, city revitalization and economic development.
\
Over the past several months, DWEJ and other environmental justice advocates have worked closely on the federal climate legislation - H.R. 2454 (American Clean Energy and Security Act of 2009) and S.1733 (Clean Energy Jobs and America Power Act) to ensure that stringent measures are adopted to closely monitor and regulate cap and trade, significantly increase green job opportunities for historically under-represented communities, and substantially curtail carbon emissions in low-income communities.
\
The passage of a climate justice energy bill is critically important because it will strengthen the United States position of negotiation in future Conference of Parties (COP) climate negotiations.
\
We must have a strong focus on substantially reducing green house gasses, carbon dioxide, providing financial support for adaptation and technology transfer for developing countries and small island states.
\
Thousands of people descended upon Copenhagen, Denmark, Dec. 7-18, ranging from world presidents to foreign ministers, to party leaders to non-government organizations (NGO's) to business groups, in anticipation of a climate agreement being reached. This Climate Conference (COP15) was considered the largest ever, drawing over 40,000 people. Indeed, it was considered a who's who of who's who premier functions.
\
There were 192 nations and over 110 heads of state in attendance. What a perfect and unique opportunity to develop a binding agreement that would immediately develop and enforce short- and long-term goals for reducing green house gasses. All of the necessary players were represented. The stage was set.
\
As DWEJ has played an active role in proposing amendments to the federal energy legislation, we were very excited to join with other environmental justice advocates to participate in the Climate Conference for the duration.
\
This experience enabled us to meet with key stakeholders to express our concerns and share our recommendations about reducing global warming and addressing its adverse impact on vulnerable communities, nationally and internationally.
\
DWEJ met with several world government leaders, particularly African countries, to build a consensus on establishing a meaningful treaty during the conference.
\
We were particularly focused on ensuring that the global temperature should be closer to 1.5 Celsius, which will ease the devastation of global warming and agricultural development in particular. We are also concerned that developed countries, particularly the United States and China, have not made more aggressive commitments to reducing carbon emissions in the short term.
\
Reportedly, the United States and China are the two top carbon emitters. Recently, China surpassed the U.S. Together, they account for over 40 percent of carbon emissions. We shared these concerns with the White House, as well as the EPA, during the Copenhagen Conference.
\
In order to create a meaningful binding international treaty that is advantageous for developed countries, developing countries and small island states, there must be a more concerted effort from the United States, China, Brazil and India to appoint advisors with a vested interest in promoting environmental justice.
\
This is fundamentally important if we are going to reduce the adverse effects of climate change on national and international vulnerable communities.
\
Additionally, it is our fervent desire that developed countries will engage in more strategic conversations with non-government organizations (NGO's) and other stakeholders who endeavor to achieve a strong semblance of environmental justice.
\
DWEJ believes that the time is now for a climate justice agreement and we readily embrace the Climate Change Treaty, which was developed prior to the Climate Conference to respond to the disastrous weather events experienced by Gulf Coast residents. It is imperative that the Copenhagen Accord (official agreement) fully incorporate these principles to protect our human right to a healthy and safe environment.
\
Highlights of the Climate Change Treaty (Developed by the Advocates for Environmental Human Rights, New Orleans, Louisiana):
\
* Reduce atmospheric carbon dioxide to below 350 parts per million
\
* Transition to a clean energy economy that supports alternatives for workers employed in carbon-intensive industries and communities that rely on such industries
\
* Prioritize improving the environmental health, educational, and economic conditions in communities that suffer from the impacts of carbon-intensive industries
\
* Ensure that vulnerable communities, and women from vulnerable communities, are included in all levels of decision-making on climate change policies
\
* Support the climate resiliency of indigenous and poor communities in the U.S. and around the world by fostering sustainable land use and building materials
\
* Ensure that climate change adaptation policies are aligned with the U.N. Guiding Principles on Internal Displacement
\
* Require best practices in coastal restoration, reforestation flood protection, and disaster mitigation in the U.S. and around the world.
\
For more information and to view the entire Climate Change Treaty, please visit Advocates for Environmental Human Rights at www.ehumanrights.org
\
On Thursday and Friday, Dec. 17-18, many of the world leaders arrived in Copenhagen. On Friday, after stalled talks, President Obama met with China, India, Brazil and South Africa, and created the Copenhagen Accord. Although this document did not assign a deadline for establishing a binding agreement or short-term commitments to reducing carbon emissions, it was a long-awaited step towards an agreement. However, many countries reluctantly accepted the Accord and viewed the conference as a failure.
\
Highlights of the Accord:
\
* Confirms the continuation of the Kyoto protocol and UN Framework Convention on Climate Change
\
* Sets maximum of 2 degrees Celsius for global temperature rise. Will review in 2016 to determine whether it should lower temperature to 1.5 Celsius (request of Africa, developing countries, small island states)
\
* Developed countries will commit $30 billion additional funding for developing countries for 2010-2012, and developed countries will support a goal of jointly mobilizing $100 billion a year by 2020 to address the needs of developing countries
\
* Developed countries commit at least 80 percent emission reduction by year 2050
\
* Mitigation actions subject to international measurement reporting and verification, will be monitored nationally and reported every second year by guidelines accepted by the parties to UNFCC
\
As the Conference of Parties (COP) moves towards establishing a binding treaty, we need for everyone to urge the U.S. Senate to pass an energy bill that is not watered down by the petroleum and coal industry, but achieves climate justice.
\
We need a fair energy bill that will protect low-income communities from the adverse effects of climate change, closely monitor and regulate the emissions reporting system, which is currently based on an honor system, and regulate the cap and trade system which has not been necessarily proven to reduce carbon emissions.
\
In fact, it is likely that older, dirtier facilities will feel compelled to buy more carbon permits than to reduce emissions because of the cost benefit. Call your senators today. U.S. Sen. Carl Levin can be reached at (313) 226-6020 or U.S. Senator Debbie Stabenow can be reached at (313) 961-4330.
\
The next Conference of Parties 16 (COP16), held this year, will take place in Mexico City. COP 17 will take place in South Africa in 2011.
\
For more information and to view the entire Copenhagen Accord, please visit the united Nations Framework Convention on Climate Change at http://unfccc.int/resource/docs/2009/cop15/eng/l07.pdf.
"
