,Full_text
0,"Governor Corzine told a Senate committee considering climate change legislation that moving to cleaner energy will create jobs in nearly every sector of the economy.\Critics of the proposal to cap emissions of carbon dioxide and create a marketplace to trade credits say many of the ""green jobs"" touted by proponents are government subsidized and ignore jobs being lost in more traditional industries.\""We're in the midst of a real revolution right before our very eyes,"" Corzine told the Senate Environment and Public Works Committee. ""It's happening, its positive, it's creating jobs. The transformation will produce tens of thousands of jobs.""\Testimony he submitted to the committee cited investment bankers helping to fund innovations in solar energy, construction firms modernizing ""our aging energy infrastructure"" and scientists at Rutgers University developing ways ""to convert algae into a renewable energy fuel.""\Corzine told the committee New Jersey laws have set the stage for the revolution, by putting the state in a regional pool that trades credits for emitting carbon dioxide and by requiring power companies to develop 30 percent of the state's electricity from renewable sources such as offshore wind farms and solar arrays.\Building wind farms will create jobs for electrical engineers, steel workers and longshoremen, Corzine said. And the state Labor Department has launched a Green Jobs Partnership Training Program to train 300 entry-level workers over the coming year on how to make homes and businesses more energy efficient. Public Service Electric and Gas has committed to hiring 100 of the graduates, Corzine said.\On the same panel as Corzine, North Dakota Gov. John Hoeven criticized the ""cap and trade"" strategy in a bill to combat global warming that passed the House and is now before the Senate Environment and Public Works Committee. Hoeven, a Republican, pointed out that technology to reduce emissions from electric power plants fueled by coal, which the United States has in abundance, are still in the developmental stage.\Republicans on the committee agreed with him, and said ""cap and trade"" would eliminate many jobs through new mandates and regulations.\""You pass this bill, you're going to get an unemployment program with it because it's going to lose jobs,"" said Sen. James Inhofe, R-Okla. He said states along the Atlantic and Pacific coastlines were advocating programs that would disproportionately harm states in the center of the country.\Sen. Christopher Bond, R-Mo., said ""green jobs"" are also heavily subsidized.\""Wind and solar jobs are not so much created as bought,"" he said.\Kevin Roberts, spokesman for the New Jersey Republican Party, questioned why Corzine would be asked to testify about job creation when the state ""is losing clean jobs at the fastest rate in the nation.""\""Perhaps Governor Corzine has called in yet another favor from his Washington friends in an attempt to raise his profile and distract voters from his record as governor,"" Roberts said.\***\E-mail: jackson@northjersey.com\***"
1,"CHRIS CHRISTIE could be ""Mr. October."" No one could confuse New Jersey's governor for a calendar boy. But to a die-hard Yankees fan, which Christie is not, ""Mr. October"" was Reggie Jackson. And ironically, it is something called ""RGGI"" that could propel Christie into a national campaign that will hinge on a strong October showing.\On Thursday, Christie pulled New Jersey out of the 10-state Regional Greenhouse Gas Initiative, commonly known as ""RGGI."" It is a ""cap and trade"" program. My understanding of these types of energy policies is only slightly greater than my understanding of baseball stats.\RGGI is designed to limit the amount of carbon emissions into the atmosphere. A power company buys a carbon allowance from a participating state for every ton of carbon it emits. If it emits below a pre-set cap, it can sell its surplus allowance in a quarterly auction. The credits are traded like pork bellies.\The program encourages companies to go green. It also generates green, in the form of dollars, to the states participating in the program, which ideally should go toward green projects, but often goes for other things, like plugging holes in the state budget.\Environmentalists like ""cap and trade"" and Big Business does not. Big Business sees the purchasing of a carbon allowance as another tax, stifling economic growth and investment in the states participating in RGGI. Christie backed out of RGGI because he said it has been ineffective in reducing carbon emissions, a debatable point.\In a recession, there is less manufacturing, a reduced need for energy and, with that, a reduction in carbon emissions. When the economy improves, the energy needs will grow and RGGI would be a safeguard for the environment. Allowing power companies to self-regulate would be as smart as clustering as many nuclear plants onto one site as possible. Hmm.\Allowing power companies to self-regulate also opens doors to a national campaign.\Charles and David Koch control Koch Industries Inc., a vast business empire rooted in petroleum. They have lots of money, real power. Through foundations, the Brothers Koch are exerting great influence on American politics and domestic policy.\Americans for Prosperity is one such recipient of Koch largess. In New Jersey, former Bogota Mayor Steve Lonegan is the face of AFP, and he has been lobbying loud and hard against RGGI.\""[T]he RGGI cap and trade scheme has been exposed as nothing less than a devious and deceptive tax. This is a program that has been stained by secrecy and open to exploitation by speculators looking to profiteer on the backs of ratepayers all while driving up electricity rates and contributing to the continued exodus of jobs and industry from our state,"" Lonegan said in a statement after Christie backed out of RGGI.\Meanwhile, the New Jersey Sierra Club said: ""Christie is giving a tax cut to polluters while jeopardizing the health and environment of New Jersey. This is all about national politics, not the best interests of our economy, environment, or residents.""\While I believe the governor remains independent and not entirely predictable, the people pushing to kill RGGI are self-interested parties. Metaphorically speaking, when a tree falls in the forest, the Brothers Koch not only hear it, but collect it, mulch it and turn into a roll of paper towels. And the Brothers Koch can have a huge impact on the next presidential election. And they will.\It is ridiculous to expect energy companies to self-regulate. And it is equally foolish to not expect energy companies to do everything they can to fight back regulations. Energy policy - not abortion or gay rights -- is the real litmus test for conservative financial backing in the coming 2012 campaign.\Most Big Money people don't care what you do in your bedroom or with your body. What they care about is making money on heating your home and powering the medical clinic. Energy is the ""new black."" It is the thing we all need, few understand and even fewer are willing to pay more for in the short-term to protect the environment for future generations. Perhaps the joke is on us. We may become the fossil fuel polluting the skies of the 31st century. The Brothers Koch may end up as product in one of their own refineries.\But that is an October far, far away. It is October of 2016 that interests me most. And I expect, interests New Jersey's governor as well.\Reggie Jackson had an up-and-down relationship with fans, but there was a moment in his career when it all came together. Mets fan Christie will hardly look for guidance from a long-ago Yankee, but if sports and politics could truly mix, I would not be surprised to see Christie bound onto a stage in October of 2016 in the final weeks of a presidential campaign, while the Brothers Koch shouted ""RGGI! RGGI!""\Reggie Jackson got a candy bar. Chris Christie could get something sweeter.\Credit: Alfred P. Doblin is the editorial page editor of The Record. Contact him at doblin@northjersey.com. Follow AlfredPDoblin on Twitter."
2,"ENERGY GREENHOUSE GAS\TRENTON When Gov. Chris Christie says New Jersey is withdrawing from a cap-and-trade greenhouse gas program, he means it.\That's how the Republican governor explained his veto Friday of a bill advanced by Democrats requiring the state to remain in the Regional Greenhouse Gas Initiative.\Christie wrote in his veto message that the legislation was ""a political response to my administration's announcement on May 26, 2011, that the state withdraw from RGGI.""\Christie also repeated his reasons for bailing out of the 10-state program, which caps carbon dioxide emissions from electric power plants and charges the plants for the emissions they produce.\""While I acknowledge that that the levels of carbon dioxide and other greenhouse gases in our atmosphere are increasing, that climate change is real, that human activity plays a role in these changes and that these changes are impacting our state, I simply disagree that RGGI is an effective mechanism for addressing global warming,"" he wrote. ""RGGI does nothing more than impose a tax on electricity.""\Christie said greenhouse gas emissions must be addressed on a national and international scale.\The New Jersey Sierra Club's Jeff Tittel said Christie's wishes can be countered by a long-shot override vote in the Legislature, or in the regulatory process also needed to allow exit from RGGI.\The Democratic chairman of the Assembly Environment Committee, John McKeon of Essex County, said he'll try for an override, though no similar second-try votes have worked since Christie took office.\""We must stand up and fight to protect our environment and clean-energy economy from the shortsighted decision by Gov. Christie to pull New Jersey out of RGGI,"" McKeon said.\Bob Jordan: 609-984-4343; bjordan@\njpressmedia.com"
3,"| @bobjordanAPP\Gov. Chris Christie intends to keep New Jersey out of a multistate pollution-reduction pact, despite facing a lawsuit filed Wednesday by two environmental groups seeking to have the state rejoin the Regional Greenhouse Gas Initiative.\Christie a year ago announced an end to participation with nine other states in the RGGI cap-and-trade program, denouncing it as a de facto tax on businesses with potentially higher energy bills for residents.\Environmentalists claim RGGI was delivering on promises to cut air pollution. They said the market for pollution permits had generated $159 million in sales in New Jersey during three years of participation, including $125 million for the state to use toward energy efficiency and renewable projects.\The lawsuit filed by Environment New Jersey and the National Resources Defense Council claims Christie and other state officials acted unilaterally in pulling New Jersey out of the program.\A spokesman for Christie, Michael Drewniak, disagreed.\""There was nothing illegal about our withdrawal from RGGI. Participation in the RGGI consortium was via a contractual arrangement with provisions for any state to pull out with notice and without penalty,"" Drewniak said. ""No one was locked into RGGI, which was a failed public policy that taxed businesses and residents and left New Jersey at a competitive disadvantage.""\Christie is also being pressured by state lawmakers. A resolution approved May 24 compelling the state's return to RGGI sits on Christie's desk.\He has until July 8 to sign it, but Drewniak said, ""No, we will not be rejoining RGGI.""\The lawsuit filed in the Appellate Division of Superior Court in Trenton contends that Christie and the state Department of Environmental Protection violated the state's rulemaking process by failing to take public comment.\""Governor Christie unilaterally made his decision to leave RGGI without taking any input from stakeholders or the public,"" said Matt Elliott, clean energy advocate for Environment New Jersey.\""As we contend today, his actions are not only bad public policy, but also illegal.\The people of New Jersey have spoken out overwhelmingly in support of RGGI. To date, over 50,000 New Jerseyans have called or written their elected officials urging them to stand up for RGGI.""\Bob Jordan: 609-984-4343, bjordan@njpressmedia.com\ID_Code: B3-306070011"
4,"TRENTON -- Democrats in the Legislature are trying to turn the tables after Gov. Chris Christie pulled New Jersey out of a greenhouse gas coalition last year. They are advancing a bill to restore the state's standing in the cap-and-trade program intended to limit carbon emissions.\Both houses have committee-cleared measures ready for votes that would require New Jersey's participation in the Regional Greenhouse Gas Initiative, which was reduced to a nine-state combine when the Republican governor in May 2011, to the dismay of environmental advocates, deemed the program ineffective.\The Senate Environment and Energy Committee vetted the bill (S-1322) Monday and sent it through on a 4-0 vote -- even picking up a vote from a Republican, Somerset County's Christopher ""Kip"" Bateman.\But the panel chairman, Sen. Bob Smith, D-Middlesex, said the prospects of eventually getting Christie to sign the measure or forcing it into law with an override vote are uncertain. Smith and Senate President Stephen Sweeney, D-Gloucester, are co-sponsors.\""There is a disagreement in the government -- basically the majority of the Legislature versus the governor's office -- about the value of participation,"" Smith said.\Smith said the bill ""is a continuation of the expression that we're making a mistake"" by being out of RGGI.\The Legislature last year passed a similar bill that was vetoed by Christie. No override attempt was made.\Gov supported\Christie's position was supported at the Senate committee hearing by Sara Bluhm of the New Jersey Business and Industry Association.\Bluhm testified that RGGI had already been missing some key players before New Jersey departed.\""Our neighbors next door haven't been participating, but what we've still been getting is the dirty air coming from Pennsylvania and Ohio,"" Bluhm said.\Bluhm said New Jersey electricity prices had increased ""artificially"" because of the program, with the state ""having no environmental gain.""\Bluhm said out-of-state pollution could be curbed through an existing federal petition process.\""We think that would do more for our air quality,"" Bluhm said.\But the New Jersey Sierra Club's Jeff Tittel said seeking relief by filing petitions ""would spend millions of dollars of taxpayer money suing each coal plant in Pennsylvania and Ohio, one at a time.""\A component of RGGI includes a carbon allowance auction. With New Jersey on the sidelines, the state is missing out on auction proceeds that could be invested in strategic energy programs, said Matt Elliott, clean energy advocate for Environment New Jersey.\""We're leaving millions of dollars on the table,"" said Elliott, who cited estimates of a $40 million windfall for New Jersey for this year alone and $170 million over a six-year period.\Bob Jordan: 609-984-4343"
5,"| Statehouse Bureau\Democrats in the Legislature are trying to turn the tables after Gov. Chris Christie pulled New Jersey out of a greenhouse gas coalition last year. They are advancing a bill to restore the state's standing in the cap-and-trade program intended to limit carbon emissions.\Both houses have committee-cleared measures ready for votes that would require New Jersey's participation in the Regional Greenhouse Gas Initiative, which was reduced to a nine-state combine when the Republican governor in May 2011, to the dismay of environmental advocates, deemed the program ineffective.\The Senate Environment and Energy Committee vetted the bill (S-1322) Monday and sent it through on a 4-0 vote -- even picking up a vote from a Republican, Somerset County's Christopher ""Kip"" Bateman.\But the panel chairman, Sen. Bob Smith, D-Middlesex, said the prospects of eventually getting Christie to sign the measure or forcing it into law with an override vote are uncertain. Smith and Senate President Stephen Sweeney, D-Gloucester, are co-sponsors.\""There is a disagreement in the government -- basically the majority of the Legislature versus the governor's office -- about the value of participation,"" Smith said.\Smith said the bill ""is a continuation of the expression that we're making a mistake"" by being out of RGGI.\The Legislature last year passed a similar bill that was vetoed by Christie. No override attempt was made.\Gov supported\Christie's position was supported at the Senate committee hearing by Sara Bluhm of the New Jersey Business and Industry Association.\Bluhm testified that RGGI had already been missing some key players before New Jersey departed.\""Our neighbors next door haven't been participating, but what we've still been getting is the dirty air coming from Pennsylvania and Ohio,"" Bluhm said.\Bluhm said New Jersey electricity prices had increased ""artificially"" because of the program, with the state ""having no environmental gain.""\Bluhm said out-of-state pollution could be curbed through an existing federal petition process.\""We think that would do more for our air quality,"" Bluhm said.\But the New Jersey Sierra Club's Jeff Tittel said seeking relief by filing petitions ""would spend millions of dollars of taxpayer money suing each coal plant in Pennsylvania and Ohio, one at a time.""\A component of RGGI includes a carbon allowance auction. With New Jersey on the sidelines, the state is missing out on auction proceeds that could be invested in strategic energy programs, said Matt Elliott, clean energy advocate for Environment New Jersey.\""We're leaving millions of dollars on the table,"" said Elliott, who cited estimates of a $40 million windfall for New Jersey for this year alone and $170 million over a six-year period.\Bob Jordan: 609-984-4343\ID_Code: B3-302290026"
6,"| @bobjordanAPP\Gov. Chris Christie intends to keep New Jersey out of a multistate pollution-reduction pact, despite facing a lawsuit filed Wednesday by two environmental groups seeking to have the state rejoin the Regional Greenhouse Gas Initiative.\Christie a year ago announced an end to participation with nine other states in the RGGI cap-and-trade program, denouncing it as a de facto tax on businesses with potentially higher energy bills for residents.\Environmentalists claim RGGI was delivering on promises to cut air pollution. They said the market for pollution permits had generated $159 million in sales in New Jersey during three years of participation, including $125 million for the state to use toward energy efficiency and renewable projects.\The lawsuit filed by Environment New Jersey and the National Resources Defense Council claims Christie and other state officials acted unilaterally in pulling New Jersey out of the program.\A spokesman for Christie, Michael Drewniak, disagreed.\""There was nothing illegal about our withdrawal from RGGI. Participation in the RGGI consortium was via a contractual arrangement with provisions for any state to pull out with notice and without penalty,"" Drewniak said. ""No one was locked into RGGI, which was a failed public policy that taxed businesses and residents and left New Jersey at a competitive disadvantage.""\Christie is also being pressured by state lawmakers. A resolution approved May 24 compelling the state's return to RGGI sits on Christie's desk.\He has until July 8 to sign it, but Drewniak said, ""No, we will not be rejoining RGGI.""\The lawsuit filed in the Appellate Division of Superior Court in Trenton contends that Christie and the state Department of Environmental Protection violated the state's rulemaking process by failing to take public comment.\""Governor Christie unilaterally made his decision to leave RGGI without taking any input from stakeholders or the public,"" said Matt Elliott, clean energy advocate for Environment New Jersey.\""As we contend today, his actions are not only bad public policy, but also illegal.\The people of New Jersey have spoken out overwhelmingly in support of RGGI. To date, over 50,000 New Jerseyans have called or written their elected officials urging them to stand up for RGGI.""\Bob Jordan: 609-984-4343, bjordan@njpressmedia.com\ID_Code: CN-306060075"
7,"| Statehouse Bureau\Democrats in the Legislature are trying to turn the tables after Gov. Chris Christie pulled New Jersey out of a greenhouse gas coalition last year. They are advancing a bill to restore the state's standing in the cap-and-trade program intended to limit carbon emissions.\Both houses have committee-cleared measures ready for votes that would require New Jersey's participation in the Regional Greenhouse Gas Initiative, which was reduced to a nine-state combine when the Republican governor in May 2011, to the dismay of environmental advocates, deemed the program ineffective.\The Senate Environment and Energy Committee vetted the bill (S-1322) Monday and sent it through on a 4-0 vote -- even picking up a vote from a Republican, Somerset County's Christopher ""Kip"" Bateman.\But the panel chairman, Sen. Bob Smith, D-Middlesex, said the prospects of eventually getting Christie to sign the measure or forcing it into law with an override vote are uncertain. Smith and Senate President Stephen Sweeney, D-Gloucester, are co-sponsors.\""There is a disagreement in the government -- basically the majority of the Legislature versus the governor's office -- about the value of participation,"" Smith said.\Smith said the bill ""is a continuation of the expression that we're making a mistake"" by being out of RGGI.\The Legislature last year passed a similar bill that was vetoed by Christie. No override attempt was made.\Gov supported\Christie's position was supported at the Senate committee hearing by Sara Bluhm of the New Jersey Business and Industry Association.\Bluhm testified that RGGI had already been missing some key players before New Jersey departed.\""Our neighbors next door haven't been participating, but what we've still been getting is the dirty air coming from Pennsylvania and Ohio,"" Bluhm said.\Bluhm said New Jersey electricity prices had increased ""artificially"" because of the program, with the state ""having no environmental gain.""\Bluhm said out-of-state pollution could be curbed through an existing federal petition process.\""We think that would do more for our air quality,"" Bluhm said.\But the New Jersey Sierra Club's Jeff Tittel said seeking relief by filing petitions ""would spend millions of dollars of taxpayer money suing each coal plant in Pennsylvania and Ohio, one at a time.""\A component of RGGI includes a carbon allowance auction. With New Jersey on the sidelines, the state is missing out on auction proceeds that could be invested in strategic energy programs, said Matt Elliott, clean energy advocate for Environment New Jersey.\""We're leaving millions of dollars on the table,"" said Elliott, who cited estimates of a $40 million windfall for New Jersey for this year alone and $170 million over a six-year period.\Bob Jordan: 609-984-4343\ID_Code: CN-302280055"
8,"Senate President Sweeney along with Senators Bob Smith and Peter Barnes recently passed legislation that would require the state to re-enter the Regional Greenhouse Gas Initiative, a northeast and mid-Atlantic regional cap and trade program that will reduce pollution while raising funds for solar and wind projects.\Joseph A. Martens, the Commissioner of the New York State Department of Environmental Conservation, recently wrote that within three years of being enacted, RGGI has led to investments in clean energy that will reduce energy bills by $1.3 billion and will create thousands of jobs.\With New Jersey 's current economic slump, I think those are numbers we can all get behind.\Less money going out the door for utility costs and more jobs for New Jerseyans.\By choosing not to be a part of this program, New Jersey is really missing out -- and I hope that Gov. Christie will sign this legislation.\Senate President Sweeney is right on this and I applaud him for his leadership.\We should be investing in technologies of the future, being progressive in thought and action.\Not only will it be good for the environment, but it will help our economy and create jobs.\Michael Schykerynec\Old Bridge"
9,"Senate President Sweeney along with Senators Bob Smith and Peter Barnes recently passed legislation that would require the state to re-enter the Regional Greenhouse Gas Initiative, a northeast and mid-Atlantic regional cap and trade program that will reduce pollution while raising funds for solar and wind projects.\Joseph A. Martens, the Commissioner of the New York State Department of Environmental Conservation, recently wrote that within three years of being enacted, RGGI has led to investments in clean energy that will reduce energy bills by $1.3 billion and will create thousands of jobs.\With New Jersey 's current economic slump, I think those are numbers we can all get behind.\Less money going out the door for utility costs and more jobs for New Jerseyans.\By choosing not to be a part of this program, New Jersey is really missing out -- and I hope that Gov. Christie will sign this legislation.\Senate President Sweeney is right on this and I applaud him for his leadership.\We should be investing in technologies of the future, being progressive in thought and action.\Not only will it be good for the environment, but it will help our economy and create jobs.\Michael Schykerynec\Old Bridge"
