,Full_text
0,"
CARLSBAD -- Words such as ""utmost foolishness,"" ""an abomination,"" ""greed,"" ""stupidity,"" ""nonsense"" and ""grossly unfair,"" were fired at representatives from the New Mexico Environment Department who were in Carlsbad Tuesday to gather comments on the department's cap and trade petition and cap-only petition.
\
The ""cap"" is a legal limit on the quantity of greenhouse gases that a region can emit each year and ""trade"" means that companies may swap among themselves the permission -- or permits -- to emit greenhouse gases.
\
Representatives from the potash, oil and gas industries, local and state government, business leaders and ordinary citizens spoke strongly against the petitions.
\
They said if the cap and trade measure is passed, it will cost more to do business in New Mexico, jobs would be lost and oil and gas companies will flee the state and drill elsewhere.
\
Representatives from Intrepid Potash and the Potash Association of New Mexico said NMED has no science to back up the need for cap and trade and no studies have been conducted to determine the benefits to the state.
\
""In addition to business and industry, cap and trade is detrimental to all our citizens,"" said Steve McCutcheon, Potash Association of New Mexico chairman and a Carlsbad resident. ""The benefit to our state is unknown, and there still will be pollution coming from our neighboring states of Texas, Arizona and Colorado. You have no science to back up what you are doing, yet you are going forward with this without much thought.""
\
Wayne Ballard, a local contractor, drew applause from the audience at the close of his comments.
\
""The Environment Improvement Board, appointed by the New Mexico Environmental Department -- part of the current Richardson-Denish administration -- is espousing the mass stupidity that brings us here today,"" he said. ""It is fostering sedition against the temporary occupants of our state capital. In the past, people who tried to do so much harm to a state were tarred, feathered and run out of state on a rail. Anyone who would try to cripple the economy of New Mexico should be treated no better, as what they are attempting to do is nothing less than treason.""
\
Ballard said that Albuquerque and Santa Fe, which would be exempt from the cap and trade, should be very careful about what they let happen to southeastern New Mexico.
\
""We, down here, know that if anything adversely affects potash mines and the oil and gas industry, the northern part of the state will suffer, greatly reducing the tax revenue that they so richly enjoy,"" he said.
\
Ballard said the NMED should prove its worth and trust and added, ""Be a responsible patriot and change your stance on this abomination. Let us hope that common sense prevails over greed and stupidity. These proposed regulations would have a devastating effect on our future economy. These regulations, if passed, will make us the laughing stock of the entire nation. This cannot be allowed to happen.""
\
Louise Tracy, a former city councilwoman whose family has agriculture holdings in Eddy County, said everything the NMED does has a direct effect on her family.
\
""You want to change the Pecos River into something that it has never had -- sweet water. You want to kill the extractive industries such as potash, oil and gas and coal with the cap and trade proposals,"" she said. ""These industries make your lifestyles possible.""
\
She said that she is looking forward to a change in the current administration in November and added, ""This petition, I believe, is just one last nail that Gov. Richardson wants to nail into industries that he hates.""
\
Carlsbad retiree Wayne Hughes said that in addition to Albuquerque and Santa Fe receiving an exemption, the cap and trade petition also exempts the Indian Nation and the coal plant that sits on its land.
\
The coal plant is considered to be the largest emitter of greenhouse gases in the state, according to Rep. John Heaton, D-Carlsbad.
\
""It's grossly unfair,"" Hughes said. ""The Indian Nation is sovereign when it comes to the coal plant, but it's not sovereign when it comes to federal health care and education funding. As for Albuquerque and Santa Fe, if they are tired of their brothers down here, then we can make Las Cruces our state capital.""
\
Representing the Carlsbad Chamber of Commerce Board of Directors, Russell Hardy said if the cap and trade was to be implemented on a national scale, he would not have a problem with it. However, New Mexico should not be a lone state for cap and trade regulations.
\
He said it would hurt the economy in Eddy County and other rural areas in the part of the state where the extractive industries provide jobs and help fuel the economy.
\
Heaton, who serves on the New Mexico House Energy Committee, said the committee has heard bills for the past three years concerning greenhouse gas emissions and cap and trade proposals. He said all met defeat, yet the NMED continues to push for these types of regulations.
\
He said there is strong opposition to the cap and trade petition, yet at a time when the state has significant financial problems, money is being wasted on hearings such as the one held in Artesia and Carlsbad on Tuesday.
\
Credit: Stella Davis Current-Argus Staff Writer
"
1,"
SANTA FE - The New Mexico Environment Department has released a proposed draft rule for a cap and trade program aimed at curbing greenhouse gas emissions.
\
The department has yet to file the proposal with the state Environmental Improvement Board, which would have to approve the measure.
\
The proposal defines the conditions that would allow New Mexico to implement a cap and trade program as part of the Western Climate Initiative regional program.
\
One condition is New Mexico will only participate if there are enough pollution allowances within the WCI to make the program efficient and cost effective. The WCI includes 10 other states and Canadian provinces.
\
The program would initially apply only to sources that emit 25,000 metric tons or more of carbon dioxide per year.
\
The department is asking for public comment on the draft rule.
\
Credit: The Associated Press
"
2,"
SANTA FE - The New Mexico Environment Department says a new regulation to cap and trade greenhouse gas emissions is necessary if the state wants to limit the potential impacts of climate change.
\
The department started presenting its case to the state Environmental Improvement Board on Monday. The hearing continues Tuesday in Santa Fe and is expected to last through next week.
\
The board sided with the department Monday by approving a motion to strike testimony from one expert who was scheduled to speak on behalf of the Coalition of Arizona/New Mexico Counties for Stable Economic Growth, which opposes the state's plan.
\
The department argued the witness misrepresented himself and lacked credentials to testify.
\
Outside the hearing, Farmington City Councilor Jason Sandel and other critics rallied, saying such a regulation would harm New Mexico's economy.
\
Credit: SUSAN MONTOYA BRYAN / Associated Press Writer
"
3,"
CARLSBAD -- As people in the state were going to the polls Tuesday, the New Mexico Environmental Improvement Board met and quietly adopted a cap and trade program to cut greenhouse gases, a move that is strongly opposed by business and industry in the state.
\
Rep. Bill Gray, R-Eddy and Otero counties, who has fought against the measure, said given the make up of the board, the cap and trade program was destined to pass.
\
He said the unelected board serves at the pleasure of outgoing Gov. Bill Richardson who pushed for cap and trade. Gray said he expects Richardson will sign off on the cap and trade plan before he leaves office.
\
""I don't believe this (greenhouse gas pollution reduction regulations) will have any affect on global climate - not one bit. What it will do is cause New Mexico to lose jobs and revenue. The oil and gas industry will look to drill in other states and build new refineries. Getting New Mexico to be the first U.S. state to get it passed will look good on Gov. Richardson's resume.""
\
John Waters, Carlsbad Department of Development executive director, said the adoption of the regulations on Election Day was a ""sneaky thing to do"" and a ""major slap in the face"" for rural New Mexico.
\
The regulations exclude Albuquerque.
\
""I am very disappointed that they decided to push it through when a big portion of New Mexico - especially southern New Mexico - provide the state with a lot of oil and gas revenue,"" Waters said.
\
""Cap and trade is not going to help New Mexico,"" he added. ""It's going to adversely affect the state. Cap and trade should have been a federal government decision on a national level. Instead, New Mexico passed it first, saying: 'Hey, look at us. Look what we can do.' This is nothing more than a show. What they should have done is show the cost benefits before passing this. If it is going to protect the environment, they should show us how and have the data to back it up. But they haven't done any of that. You can't just do it to make a political statement. Cap and trade is not going to help air quality in New Mexico.""
\
He said the board is stacked with environmentalists and passage of the regulations was inevitable
\
Gray said Gov.-elect Susana Martinez is against cap and trade and is looking at ways to reverse the board's decision.
\
Martinez told the Albuquerque Journal this week that ""I will do everything to research how it is we are able to put a moratorium, or however it is we can put a repeal to that regulation. ""
\
""I hope she eliminates the board and appoints her own board members and hopefully, undo what the previous board has done,"" Gray said.
\
He said the public hearings held by the board around the state to gather input on the proposed cap and trade initiative was a waste of time and taxpayers' money.
\
""It was just a formality,"" Gray said. ""They were going to pass it anyway. We had over 600 people in Artesia and Carlsbad attend the public hearings that were held here. Everyone who spoke at the hearing was opposed to cap and trade. The board apparently chose not to listen. They just rubber stamped cap and trade on the instructions of the governor.""
\
According to the New Mexico Environment Department, the members of the Environmental Improvement Board are not directly answerable to the people of New Mexico. The seven board members are appointed by the governor with the advice and consent of the state senate. In addition, ""The members of the board are appointed for overlapping terms, with no term exceeding five years. No more than four members are appointed from any one political party.""
\
Of the current seven members, all but two of those currently listed are Santa Fe residents.
\
Gray said although the Republicans still don't have the majority in the House and Senate, Tuesday's elections removed several Democrats from the Legislature, giving the Republicans a few more people in both houses.
\
""I think we will have the votes on both sides of the aisle to break this thing (cap and trade program),"" Gray said.
\
Gray said cap and trade will be devastating to the oil and gas industry in New Mexico, especially in southeastern New Mexico, where the industry is very active. He said cap and trade will also be devastating to the two refineries in New Mexico. Their competition in the Texas Panhandle, El Paso and Big Spring, Texas, will have a significant competitive advantage over the New Mexico refineries.
\
""I was at a meeting just recently and a large petroleum company representative talked to me about the possibility of building a refinery in Eddy County,"" Gray said. ""This was just days before the board approved the cap and trade program. He said if New Mexico has a cap and trade program he will probably look for a refinery site in Texas. The potential for a new refinery in Eddy County is huge. It means more jobs and revenue. But cap and trade could lose that for us.""
\
Gray said the cap and trade program is scheduled to start in 2012 and he is hopeful the incoming administration will be able to stop the measure that, according to the New Mexico Environment Department, is ""the most comprehensive greenhouse gas pollutions reduction regulations in the nation.""
\
The department said the new regulations adopted by the board will enable the state to participate in a regional greenhouse gas cap and trade program with other U.S. states and Canadian provinces through the Western Climate Initiative (WCI). The WCI is a collaborative of seven western states and four Canadian provinces that are developing strategies to address climate change.
\
According to the Environment Department the cap and trade regulations will affect about 63 large industrial sources in New Mexico. Those sources include electric generators and the largest emission sources in the oil and gas sector. Each source would have to reduce its emissions by 2 percent until 2020 or acquire emissions credits from other participants.
\
The program will not be triggered unless at least 100 million tons of emissions are included regionally, which ensures that New Mexico will not implement a trading program alone.
\
Richardson said in a press release that he is happy with the board's action.
\
""I am pleased that the EIB adopted the program I have worked so hard to develop,"" he said. ""I call on the federal government to build on New Mexico's programs and the WCI to implement a national cap and trade program.""
\
Credit: Stella Davis Current-Argus Staff Writer
"
4,"
CARLSBAD -- Legislators representing Eddy County, local government officials and industry and business leaders have come out in opposition to a cap and trade petition proposed by the New Mexico Environmental Improvement Board.
\
The Eddy County Commission in recent months passed two resolutions opposing the petition and, along with a letter, submitted them to the NMED Board. In addition, a representative for the county testified at a recent hearing on the impact it would have in Eddy County if the petition were to be implemented.
\
On Tuesday, the Carlsbad City Council also came out in opposition, voting to submit a letter to the NMED.
\
Russell Hardy, representing the Carlsbad Chamber of Commerce, in his letter to the editor published Friday in the Current-Argus, explained the petition.
\
""The petition, as currently written, would apply only to rural businesses and industries that produce more than 250,000 tons of CO2 annually and would exempt businesses operating in Albuquerque, Santa Fe and on sovereign Indian Nations,"" he explained.
\
""Businesses and industries in our area that would be impacted would include potash mines, Navajo refineries in Artesia and Lovington, Excel Energy generating stations in Lea County, not to mention large-scale manufacturing, mining and utility businesses throughout the rural regions of the state.""
\
Eddy County Commissioner Lewis Derrick, a rancher in north Eddy County, said the Environment Department's petition will hurt the local economy and will have a far-reaching effect if it passes.
\
""I'm looking at this from the possibility of this petition wrecking our tax base and running off businesses,"" Derrick said. ""It's going to impact not only the oil and gas industry. It will impact farmers, ranchers and the trucking industry. The state should stay out of our business. They need to back off this. It's mind boggling that they would do this to the people of New Mexico.""
\
County Manager Allen Sartin said the wind blows across the border from Arizona and other bordering states, and along with it comes pollutants in the air. He said in order to truly minimize greenhouse gases, similar action would need to be implemented by every state or by federal action for all states to comply.
\
Rep. Bill Gray, R-Eddy and Otero
\
Rep. Bill Gray, R-Eddy and Otero Counties, sent a letter to the Environmental Improvement Board chastising it for its proposed petition.
\
""This is another prime example of why New Mexico is considered an anti-business state,"" he wrote. ""These petitions do not include Bernalillo County or the Native American lands. As a side note, the largest greenhouse gas emitter in the state is on Native American lands.""
\
Gray said it is no secret that the Richardson-Denish administration is against the oil and gas industry.
\
""All one has to do is look at the governor- appointed members, along with the qualifications of the Environmental Improvement Board and the Oil Conservation Commission to see how the boards and commissions are opposed to the oil and gas industry.""
\
Gray, who is familiar with the petroleum refining industry through his years of employment with Navajo Refining in Artesia and surrounding states, said if the petition is successful, it will have a devastating impact on the two refineries in the state.
\
""Their competition in the Texas Panhandle, El Paso and Big Spring, Texas, will have a significant competitive advantage over the New Mexico refineries,"" he said.
\
In his letter to the Environmental Improvement board he further added: ""Business that you cost New Mexico will not benefit the atmosphere because if Giant and Navajo were not in business, it would not diminish the use of petroleum products at all. It would simply be taken up by the Texas refineries, which are protected by their government.""
\
Gray, who serves on the New Mexico House Energy Committee, said the committee has heard similar bills in the past three years concerning greenhouse gases and cap and trade proposals.
\
""All have met with defeat, yet the Environmental Improvement Department continues to push for these types of regulations,"" he said.
\
Gray further said the state has significant financial problems but it is wasting financial resources on the Cap and Trade hearings around the state.
\
Rep. John Heaton, D-Carlsbad
\
Rep. John Heaton, D-Carlsbad, said in this past Legislative session wrote and successfully passed bill that required the Environmental Department to do an economic analysis of the impact of the cap and trade proposal on the economy of New Mexico, taking into account oil and gas production, power generation and potash production. But when the study was completed, it was not what he had envisioned or asked for.
\
""They study they (Environment Department) came back with was really a study based on another study, which is hardly the basis for any primary impact decision,"" Heaton said. ""All assumptions of the study are based on the fact the first study was accurate, which is horrible science and creates a horrible unscientific hypothesis.""
\
Heaton said all of the studies place a significant greenhouse gas emission emphasis on automobiles and energy efficiency.
\
""This was never intended to be a study on these two areas, of which energy efficiency is overstated,"" he said. ""I'm really frustrated, Heaton said. ""I personally resent the fact that the models presented do not present impacts to the industries that were expressly requested in the bill. These industries are responsible for 12 to 22 percent of the state's budget, and how they are impacted is a critical economic decision.""
\
Heaton added that the study he asked for did not include analysis of the increased costs to the oil and gas industry and whether companies would be willing to invest in New Mexico when their profits are significantly diminished by additional overhead caused by cap and trade policies.
\
""It they cannot recover their capital costs within a reasonable period of time it is unlikely they will drill in New Mexico when there are literally thousands of places to drill in this country,"" he said.
\
Heaton said that the cap and trade process proposed by the Environment Department allows New Mexico companies to buy offsets from out-of-state, which means that dollars and the economic base of New Mexico will be potentially transferred to other states.
\
""This is a bad business model,"" he said. ""Cap and trade invites huge political decisions and corruption about what is an offset and what is not. It invites huge political manipulation we all hate. We need a new model that is clear, transparent and uniform and puts money directly into our changing system. We cannot afford to wake up 20 years from now and think that all wind and solar will replace base-load capacity.""
\
What: N.M. Environmental Improvement Board cap and trade petition hearing and comments.
\
When: 4-8 p.m. Tuesday
\
Where: Pecos River Village Conference Center Carousel House, 711 Muscatel.
\
The general public and business and industry leaders are encouraged to attend.
\
Credit: Stella Davis Current-Argus Staff Writer
"
5,"
FARMINGTON -- Farmington City Council voted to appeal a decision by state regulators approving a cap-and-trade program, setting the stage for a protracted legal battle that will involve reducing pollution versus protecting economic interests.
\
Councilors voted unanimously at their meeting Tuesday to appeal the state Environmental Improvement Board's decision last month approving a cap-and-trade program aimed at reducing greenhouse gas emissions.
\
The decision followed a private meeting during which councilors were expected to discuss legal strategy. The city's policy is to discuss litigation in private.
\
The city isn't only interested in the effects the regulations will have on its utility: The city owns a stake in the coal-fired power plant San Juan Generating Station, Mayor Tommy Roberts said.
\
In addition, ""We have a duty and a responsibility to the people of San Juan County and more specifically to the citizens of Farmington to weigh in on these kinds of regulatory impacts that will have significant consequences to the city of Farmington,"" he said.
\
He explained that regulations could harm San Juan County's economy by causing a ""huge loss of jobs.""
\
The decision to appeal follows approval Monday by the environmental board of a separate plan developed by environmental group New Energy Economy to cap greenhouse gases. The plan calls for coal-fired power plants and refineries to reduce emissions by 3 percent annually from 2010 levels.
\
The cap-and-trade program, formed by the New Mexico Environment Department, calls for 2 percent reductions in emissions by facilities that discharge more than 25,000 metric tons of greenhouse gases per year.
\
Roberts criticized the regulations, calling them ""symbolic.""
\
""No one asserts that the implementation of these rules will have any significant impact on global warming,"" he said.
\
The environmental board says climate change has led to a declining water supply, snowpack and soil moisture and increased severity and frequency of wildfires.
\
The environment department contends the state won't lose jobs, though job roles may change as New Mexico switches to producing cleaner energy. The program also would spur development of industries that produce clean energy.
\
Under the new regulations, facilities that exceed the cap could buy allowances or offsets as part of a regional trade mechanism. Facilities below the cap could profit by selling their unneeded emission allowances.
\
Free allowances would lessen costs for Farmington's electric utility, according to the environment department. Electric utilities also can reduce emissions by managing energy demand, reducing electricity loss at generating stations, developing carbon capture and storage projects and using renewable energy.
\
The environmental board did not have legal authority to pass greenhouse gas emissions caps, said Tom Outler, an attorney with the Rodey Law Firm in Albuquerque. The city hired the firm to represent it during environmental board hearings and the appeal.
\
Outler explained that because an air quality standard doesn't exist, there cannot be a regulation that attempts to control greenhouse gases.
\
""Since there's no federal or state standard and because the regulations themselves do not attempt to create a standard, the board simply does not have the authority to adopt these regulations,"" Outler said.
\
The city first will file a legal notice with the New Mexico Court of Appeals stating its intent to appeal the regulations, he said. About a month later, it will file another statement that outlines issues and arguments.
\
If additional groups file appeals as expected, the court may combine the appeals, as well as challenges to both greenhouse gas cap programs, he said. Utilities could form one group appealing the decision while the energy industry could comprise another.
\
Litigation could cost the city from $10,000 to $50,000, depending on how many groups join the appeal, he said.
\
The appeals court could take at least a year to rule on the appeal and maybe as many as two years.
\
Meanwhile, attempts by lawmakers and Gov.-elect Susana Martinez to overturn regulations are likely to take place.
\
If those are successful before the appeals court rules, the city could withdraw its appeal, he said.
\
The city's electric utility contends cap and trade will lead to a rate hike of 1 percent annually until 2020 for residential customers and 2 to 2.5 percent for industrial customers.
\
Proponents say cap and trade will reduce greenhouse gas emissions blamed for global warming in New Mexico and won't lead to an electricity rate hike between now and 2020.
\
The environment department contends that climate change will cost New Mexico households $3,400 annually by 2020, or $3.2 billion, because of increased costs of wild fires, health, energy, lost recreation opportunities and storm and flood damage.
\
Steve Lynn:
\
slynn@daily-times.com
\
Credit: Steve Lynn The Daily Times
"
6,"
ALBUQUERQUE (AP) -- New Mexico regulators on Tuesday narrowly approved a proposal to establish what state officials call the most comprehensive greenhouse gas pollution reduction regulations in the nation.Supporters of the cap-and-trade program say it's the first step for New Mexico getting a handle on the pollution blamed for global warming, but critics are worried the new regulations will lead to higher electricity costs for consumers and an exodus of businesses and jobs to surrounding states.Public Service Company of New Mexico, the state's largest electric utility, said annual costs to comply with the new regulations are estimated to reach $110 million by 2020. The utility said those costs will have to be passed on to customers.""We remain convinced that comprehensive federal legislation is the only way to meaningfully reduce emissions, minimize costs to customers and to our economy, and not disadvantage any particular state. As a result, we are disappointed by today's decision,"" said PNM Resources chief executive and president Pat Vincent-Collawn.She said the company will continue to evaluate all options, including possible legal action.The New Mexico Environmental Improvement Board spent more than four hours considered a petition by the Environment Department to allow the state to participate in a regional cap-and-trade program with the other Western states and Canadian provinces that make up the Western Climate Initiative.Board members made one change to the proposal before approving it on a 4-3 vote. They included language that would allow the state to propose cost containment measures if the cost of allowances exceed a certain level.The state's program calls for 2 percent reductions to begin in 2012. Facilities that are over the cap would be able to buy and even bank allowances or offsets as part of the regional trade mechanism. Facilities under the cap could profit by selling their unneeded emission allowances.The program will not be implemented unless there are sufficient greenhouse gas allowances to make trading efficient and cost-effective. It also includes a sunset provision if the federal government were to implement its own program.Supporters contend the cap-and-trade program will benefit the economy by encouraging clean energy development.""This regulation sends a clear signal. New Mexico is open for business in the new energy economy,"" said John Fogarty, a Santa Fe physician who is backing a separate emissions cap proposal still pending before the board. ""It will attract new investment to the state and create good high paying jobs in the renewable energy and efficiency industries.""Department officials were elated with the board's decision.""I'm just really pleased with how thoughtful they were in their deliberations and their consideration of the cost to industry and the consumer as well as the urgency of the matter,"" said Sandra Ely, environment and energy policy coordinator with the Environment Department.""Every single board member agreed that climate change is one of most important issues of our time that has to be addressed. What they didn't all agree on was how to address it,"" Ely said.With the board's approval, the program will become effective Jan. 1.Gov. Bill Richardson, who has been pushing for emissions reductions since 2005, called on the federal government after Tuesday's vote to build on New Mexico's program and implement a national cap-and-trade system.The proposal had been the source of much debate among conservationists, electric utilities and other industry representatives, with critics arguing that New Mexico's emissions are only a fraction of the global problem and that handicapping the state's businesses with another regulation could prove economically disastrous.Dozens of experts spent days testifying before the board earlier this year on the potential impacts.New Mexico's coal-fired power plants and the oil and gas industry pump about 24 million metric tons of carbon emissions into the air each year. The state aims to curb the emissions of those that emit 25,000 metric tons or more.
"
7,"
From the Current-Argus
\
SANTA FE -- The New Mexico Environment Department's petition for a new regulation to cap and trade greenhouse gases will be heard this week by the New Mexico Environmental Improvement Board.
\
The hearing, which began Monday, is scheduled to continue until Sept. 30 at the old Public Employees Retirement Association building, Apodaca Hall, 1120 Paseo de Peralta in Santa Fe. The hearing, which will begin at 9 a.m. each day, will provide a public comment period from 7 to 8 p.m. each day.
\
Public hearings were held recently in Carlsbad and Artesia, drawing large crowds that included representatives from the potash, oil and gas industries, legislators representing Eddy County, local business and industry representatives and local government leaders. All spoke in opposition to the proposed regulation.
\
Several state and local leaders said they plan to attend the hearings in Santa Fe this week.
\
""New Mexico will not implement the program unless there are sufficient greenhouse gas emissions allowances within the region to make the trading program efficient and cost-effective,"" said New Mexico Environment Department Deputy Secretary Sarah Cottrell in a press release.
\
""Cap and trade makes sense by providing cost effective mechanisms to reduce emissions and giving industry considerable flexibility in deciding how to reduce emissions. New Mexico is vulnerable to higher temperatures, reduced snowpack, more severe droughts and increased forest fires as a result of climate change so it is imperative that we act now to control emissions,"" she said.
\
The proposed regulations will enable the state to participate in a regional greenhouse gas cap-and-trade program with other Western Climate Initiative jurisdictions. The initiative consists of seven U.S. states and four Canadian provinces working together to address climate change. The proposal is consistent with existing legislative authority to regulate sources of air pollution in the state.
\
Economic data indicates that New Mexico and the surrounding region can reduce emissions with a modest positive impact to the economy. The program would apply to only the largest emitters in the state ? approximately 63 sources including mostly electric generating units and oil and gas facilities would be part of the program. The program is scheduled to start in 2012 and would require sources to reduce emissions 2 percent annually through 2020 or purchase equivalent allowances.
\
The proposed rule includes language that ""sunsets"" the state regulation if the federal government implements an equally effective national cap-and-trade program.
\
The petition can be downloaded at http://www.nmenv.state.nm.us/cc/.
\
For more information, call Marissa Stone Bardino at (505) 827-0314 or (505) 231-0475.
\
Credit: From the Current-Argus
"
8,"
FARMINGTON -- New Mexico's largest electricity provider filed an appeal Tuesday against the state's new cap-and-trade scheme.
\
PNM, based in Albuquerque, said the program approved by the Environmental Improvement Board will impose unnecessary costs and hurt jobs.
\
""We're concerned about the state's cap and trade largely because of economic concern, that it creates a cost for New Mexico that other states do not have,"" PNM spokesman Don Brown said.
\
He said the program could ""result in a loss of jobs."" PNM also questions whether the Environmental Improvement Board has the authority to regulate carbon emissions, Brown said.
\
The cap-and-trade plan stands to affect San Juan Generating Station, a coal-burning power plant of which PNM owns about half.
\
It is not expected to affect Four Corners Power Plant, which sits on Navajo Nation land and outside of state jurisdiction, Brown said.
\
PNM's appeal lands before the New Mexico Court of Appeals. It is not clear when the court will take up the case.
\
The utility's action is separate from the city of Farmington's appeal set in motion last week. Other entities are expected to file notices of appeal as well, said Jay Burnham, city attorney.
\
The Court of Appeals may opt to combine the appeals.
\
Farmington welcomes the allies, Burnham said.
\
""We do think that there's some advantage in a couple of aspects,"" he said. ""One, it shows solidarity on the part of (cap and trade) opponents. Secondly, we can pool our legal and technical resources.""
\
Farmington city councilors voted unanimously Dec. 7 to appeal the state board's decision last month approving a cap-and-trade program aimed at reducing greenhouse gas emissions.
\
The city owns a stake in the coal-fired power plant San Juan Generating Station, Mayor Tommy Roberts said.
\
""We have a duty and a responsibility to the people of San Juan County, and more specifically to the citizens of Farmington to weigh in on these kinds of regulatory impacts that will have significant consequences to the city of Farmington,"" Roberts said last week.
\
He explained that regulations could harm San Juan County's economy by causing a ""huge loss of jobs.""
\
The cap-and-trade program, initiated by the New Mexico Environment Department, calls for 2 percent reductions in emissions by facilities that discharge more than 25,000 metric tons of greenhouse gases per year.
\
Roberts criticized the regulations, calling them ""symbolic.""
\
""No one asserts that the implementation of these rules will have any significant impact on global warming,"" he said.
\
The state board says climate change has led to a declining water supply, snowpack and soil moisture and increased the severity and frequency of wildfires.
\
The environment department contends the state won't lose jobs, though job roles may change as New Mexico switches to producing cleaner energy.
\
Chuck Slothower:
\
cslothower@daily-times.com
\
Credit: Chuck Slothower The Daily Times
"
9,"
The New Mexico Environment Department (NMED) has asked the state Environmental Improvement Board (EIB) to adopt a cap-and-trade system for New Mexico. The proposal is on a fast track: The EIB could approve the proposal as soon as the fall. The ramifications of a greenhouse gas emission reduction regulation would impact the oil and gas industry, the mining industry, the electric generating and transmission industry, the dairy industry and every rural business, large or small in the state outside of the Albuquerque/Bernalillo area. The NMED is asking appointed officials (EIB) to do what state legislators would not do. NMED twice failed to persuade the state legislature to grant EIB the authority to regulate greenhouse gas emissions. Just this year, all states participating in the Western Climate Initiative have slowed or completely abandoned plans for state-level carbon regulation with the exception of New Mexico and California. An initiative on the ballot this November in California would delay implementing that state's carbon law until the states unemployment rate drops to a specific level. This would leave New Mexico as the only state to implement such a regulation. We do not yet know the full, potential impact on the state's economy. Though the NMED has said the proposal is economically, we DO know that New Mexico energy costs will increase. Under the proposal the state's electric utilities would be forced to reduce production from exiting fossil fuel-fired power plants or pay a price for reductions achieved by other sources of greenhouse gases. Either way, the price of electricity would rise by an unknown amount. The state's oil and gas production industry, a leading employer and major source of funding for state government, would face a similar choice and similarly unknown costs. These added costs would be unique to New Mexico, creating an economic disadvantage for job growth. These costs would not exist in neighboring states providing a powerful incentive for existing businesses to limit growth or leave the sate.
\
We requested that the Environmental Improvement Board conduct a meeting in Hobbs in order that the citizens of southeast New Mexico would have the opportunity to express their concerns to the committee. Regrettably, they refused to travel to our area due to the cost of travel. The EIB will take public comment on the new energy Economy and New Mexico Environment Department's Greenhouse Gas proposed rules for the record on Wednesday, September 1, between 2 p.m. and 8 p.m. at the Lea County Event Center. A hearing officer will take comments on both proposals and will bring a court reporter so that the full board does not have to travel, but can read the transcripts.
\
It is time for citizens across the state to express their concerns regarding the proposed regulations that would set us apart from every other state in the union and threaten the New Mexico economy at a time when revenues are continuing to drop. We strongly encourage you to come to the Lea County Event Center on Wednesday, Sept. 1 and let your voice be heard.
\
(Editor's note: The New Mexico Environmental Improvement Board will also hold public hearings Tuesday, Aug. 31, from 9 a.m. to 2 p.m. in Artesia at the Artesia Center, 612 N. Eighth St., and from 4 to 8 p.m. in Carlsbad at the Pecos River Carousel House, 711 Muscatel St.)
\
Senator Carroll H. Leavell represents District 41, Eddy and Lea counties, in the New Mexico State Senate.
\
Credit: From the Current-Argus
"
