,Full_text
0,"When the dust settles from the end-of-the-session bill-passing frenzy, environmental groups said yesterday, they believe that the legislature's action on some issues - and inaction on others - will mean mixed results for the state's environment.\Sailing through the legislature were an energy bill hailed as a landmark for requiring utilities to buy some of their electricity from alternative-energy sources and a controversial measure to provide funding to rebuild and repair aging sewer and water systems.\But Gov. Rendell's proposed Growing Greener II program was not acted on. The $800 million program was designed to provide dedicated funding for hazardous-waste cleanup and watershed improvements and expand open space and farmland protection.\The bill failed to move because Republicans and industry groups remain staunchly opposed to Rendell's plan to fund the program by imposing fees on polluters and increasing landfill fees.\But Kathleen McGinty, secretary of the Department of Environmental Protection, said in an interview yesterday that failure to approve the funding would have an impact on public health.\With funds rapidly dwindling, she said, her agency has already been forced to scale back its effort to clean up dozens of polluted sites, including wells in East Norriton Township in Montgomery County contaminated with a chemical used in dry cleaning.\The renewable energy bill, which caused a rare division among the state's leading environmental groups, would require that utilities buy 18 percent of their electricity from environmentally friendly sources within 15 years.\Under the bill, the state will have eight times more so-called ""green"" energy - most of it wind power - than it does now, said John Hanger, president of the environmental group PennFuture.\Almost half of that amount would come from wind turbines, solar panels and methane gas emitted by decomposing trash in landfills. The rest would come from a second ""tier"" that includes garbage incinerators, ""waste"" coal and energy efficiency.\Supporters, including Rendell - who said he would sign the bill - believe the green energy would not cost consumers any more than traditional sources and would be a plus for the state's economy and the environment.\Philadelphia-based Peco Energy Co. was among the supporters, after its analysis showed that the bill would not raise rates for customers at least through 2010, spokesman Michael Wood said.\The state already comes close to meeting the target for the second-tier sources - most of it from waste coal, said John Hanger, a former member of the Public Utility Commission.\The bill sparked a rare schism among the environmental movement. Hanger praised it as ""revolutionary,"" while several groups decried the inclusion of incinerators and waste coal.\""These are just inherently dirty resources and they shouldn't be included in an alternative energy standard,"" said Nathan Willcox, an energy advocate at the group PennEnvironment.\Waste coal is the term for coal that is not pure enough to be burned in typical power plants. As of December 2003, at least 258 million tons of waste coal sat in unsightly piles across the state, threatening water quality, according to the Department of Environmental Protection.\Environmentalists also are concerned about the effects of a bill authorizing the spending of $250 million for sewer and water projects, which was approved by voters last May. They say amendments added to the authorization bill will encourage sprawl, rather than prevent it as originally intended.\""The conditions for eligibility for funding have changed, and the language directing money toward fixing what's broken has been removed,"" said Robin Mann, water chairwoman for the Sierra Club, Pennsylvania Chapter.\But McGinty said she was confident the money would go toward its intended purpose: to rebuild and repair aging infrastructure in cities, towns and boroughs.\Meanwhile, Republican leaders yesterday said the legislature would not take up Growing Greener II until the General Assembly returned to work in January.\Rendell, seeking to compel lawmakers back to work this week because their session does not officially end until Nov. 30, has accused the Republican leadership of breaking its promise to advance the Growing Greener II initiative before the end of the session.\But Republicans say there was no such agreement.\Contact staff writer Amy Worden at 717-783-2584 or aworden@phillynews.com.\ \Credit: By Amy Worden and Tom Avril INQUIRER STAFF WRITERS"
1,"Two important and interrelated events occurred recently that mean bad news for tens of thousands of Pennsylvania workers and families.\On Oct. 15, the federal government announced that Pennsylvania had lost another 10,300 jobs in September, pushing the state's unemployment rate to 8.8 percent. Our state has lost nearly 200,000 jobs since September 2008.\The last time Pennsylvania saw unemployment this high was 1984. And there doesn't seem to be a sign of relief on the horizon. Economists are predicting more job losses to come, with the national unemployment rate climbing over 10 percent.\Given these numbers, the last thing Washington politicians should do is introduce legislation that would cost thousands more jobs. But that is exactly what the U.S. Senate did two weeks ago.\With Senate Majority Leader Harry Reid's blessing, California Sen. Barbara Boxer and Massachusetts Sen. John Kerry introduced a 923-page draft of legislation to set up a so-called cap-and-trade program. The program would impose an onerous indirect tax on the production and consumption of carbon-based energy. It would cap the amount of carbon dioxide businesses could emit, imposing a penalty when they exceed the cap, and would require that carbon emissions be cut by 20 percent of 2005 levels by 2020.\Independent studies have found that this would cost the country millions of jobs, but in an industrial state like Pennsylvania, the cap-and-trade tax would be even more harmful than elsewhere. Our state's coal, natural gas and manufacturing industries would be especially hard hit.\Pennsylvania is the fourth-largest coal-producing state in the country and coal plays a major part in the commonwealth's economy and electricity production. Coal accounts for more than half of all electricity produced in Pennsylvania. According to a National Association of Manufacturers' study, coal production would fall by about 85 percent and electricity production by about 21 percent as a result of a similar cap-and-trade bill passed in the House.\Pennsylvania is also home to the Marcellus Shale, one of the largest unconventional natural gas reserves in the world. It has the potential to turn our state into a major producer of clean energy and create thousands of jobs. But the new energy tax could doom this budding industry before it has a chance to develop.\The manufacturers' study finds the House cap-and trade bill would cost Pennsylvania more than 70,000 jobs in the years ahead. But that's not all. In just six years, it would increase gasoline prices by 6 percent to 8 percent, oil prices by 6 percent to 12 percent and natural gas prices by 14 percent to 21 percent.\Over time, this surge would accelerate. President Barack Obama admitted as much in a March interview, saying, ""Under my plan ... electricity rates would necessarily skyrocket."" The increased electricity and gas prices alone would be especially difficult on low-income Pennsylvania families who spend a larger portion of their income on energy.\As the cost of energy increases, Pennsylvania's energy-intensive manufacturing industry would slow significantly. The manufacturers' association predicts Pennsylvania manufacturing would experience decreases in output ranging between 4.9 percent and 5.5 percent, with high-energy industries suffering output losses as high as 9.2 percent. That can only mean one thing: lots more jobs lost in Pennsylvania.\The cap-and-trade proposal is so harmful to Pennsylvania it has garnered bipartisan opposition across the state. When a version of the bill passed the House of Representatives last June, one third of Pennsylvania Democratic congressmen joined all Pennsylvania Republicans in voting against it. In all, 44 House Democrats across the country opposed the bill in a truly bipartisan effort to stop this massive job-killer.\Sadly, that bipartisan group does not include Pennsylvania Rep. Joe Sestak, against whom I am running for the U.S. Senate, who voted for the bill and even expressed regret that it did not go far enough.\We can and must support commonsense policies that protect our environment, but that goal can be achieved without abandoning 70,000 or more Pennsylvania jobs and imposing higher gas and electricity prices on all Pennsylvanians. A focus on renewable energy, conservation, low-carbon energy like natural gas, nuclear energy and cleaner-coal technology are all part of the solution. But as unemployment climbs toward 10 percent, protecting our hard-working families must be our first priority."
2,"HARRISBURG - Gov. Tom Wolf plans to join a coalition of states to set a mandatory, shrinking cap on the amount of carbon dioxide that can be released from Pennsylvania's fossil fuel power plants.\Mr. Wolf issued an executive order Thursday directing the state Department of Environmental Protection to draft regulations to join the nine-state Regional Greenhouse Gas Initiative, a carbon cap-and-trade program with a shared market that has netted its member states $3.2 billion since it took effect in 2009.\Owners of carbon-emitting power plants would pay hundreds of millions of dollars a year at current prices that Pennsylvania could direct toward energy efficiency, renewable energy and other projects designed to reduce the release of climate-warming gases.\The move would hasten Pennsylvania's shift away from dirtier fuels like coal and vastly expand the scope of the nation's first mandatory market-based carbon-cutting initiative.\Pennsylvania has the fifth-highest power sector carbon emissions in the country, according to the U.S. Energy Information Administration. Power plants in the Keystone State emit more greenhouse gases than those in all of the initiative's current member states combined.\""We are in a climate crisis,"" Mr. Wolf said at a news conference, where he referred to hundreds of millions of dollars in property damage caused by record rains in Pennsylvania in 2018. ""Someone has to pay to fix the destroyed houses, roads and bridges and that's going to be all of us.""\""While setting goals and targets is absolutely important we cannot delay any longer in taking action.""\Mr. Wolf, a Democrat, had sought authorization from the Republican-controlled Legislature to start the process of joining the initiative during budget negotiations this spring but did not reach an agreement in time for the final spending deal.\Now, administration officials say Mr. Wolf has the authority under the state's existing air pollution law to join the program without the Legislature's approval, although they say the go-it-alone approach would limit the uses of the funds to state programs designed to curb air pollution.\Some Regional Greenhouse Gas Initiative states have used proceeds from their carbon auctions for broader initiatives, like directly reducing consumer energy bills or making transfers to state general funds.\Mr. Wolf said he intends to work with the General Assembly and other stakeholders to help design the program and decide how to spend its revenues.\""We know that this cannot be done in a vacuum,"" he said.\Legislative pushback\Several state lawmakers are trying to block the Wolf administration's approach. Bills being drafted in the House and Senate would prohibit the governor from joining Regional Greenhouse Gas Initiative or otherwise establishing a carbon price without the Legislature's approval.\House Republican leaders vowed on Thursday to use ""the fullest extent of our legislative power"" to demonstrate that the governor does not have the power to enlist Pennsylvania in a binding, multi-state agreement without the General Assembly's support.\""Our state is not an autocracy,"" they said in a statement, ""and one-sided decisions as significant as this leave out the important voices of Pennsylvania workers, communities and families whose livelihood is built upon important sectors of our energy economy.""\Senate Republican leaders named four factors that must be included in any carbon-cutting plan, including maintaining the diversity of Pennsylvania's energy portfolio - which is currently dominated by gas, coal and nuclear - and requiring that RGGI's other member states ""utilize all aspects"" of that portfolio.\They also called for keeping energy prices affordable and implementing the plan in ""an appropriate legal manner.""\The debate over a carbon price is not neatly partisan in Pennsylvania.\Some Republicans who want to preserve the state's existing fleet of nuclear plants support the idea because it would benefit electricity sources, like nuclear and solar, that don't have smokestack emissions of greenhouse gases. Some Democrats from areas that mine or burn coal oppose it out of concern that it may force power plants and mines to shut down.\Mr. Wolf may face a legal challenge either way.\A group of environmental, citizens and faith groups petitioned the state's environmental rule-making board last year to adopt an economy-wide carbon cap-and-trade program that would be much more sweeping than participation in the Regional Greenhouse Gas Initiative. One of the lead attorneys on the petition said Tuesday that he will sue the commonwealth if regulators reject the petition without offering a viable alternative.\How it works\The Regional Greenhouse Gas Initiative currently includes Connecticut, Delaware, Maine, Maryland, Massachusetts, New Hampshire, New York, Rhode Island and Vermont. New Jersey is rejoining the coalition in January after leaving in 2012 and Virginia may begin participating in 2021.\Each member state designs its own carbon budget and trading program - either through law or regulation - based on the coalition's model rule, but they agree to share broad goals and market infrastructure, Franz Litz, a consultant on cap-and-trade programs, told the state's climate change advisory committee on Tuesday.\Coal-, gas- and oil-fired power plants with a capacity of 25 megawatts or more must buy a credit for every ton of carbon they emit. The price for each carbon credit - or ""allowance"" - sold at the most recent auction in September was $5.20.\The regional emissions cap will shrink by about 3% a year from 2021 to 2030.\Mr. Wolf's executive order says Regional Greenhouse Gas Initiative states have collectively reduced their power sector carbon emissions by over 45% since 2005.\Pennsylvania's power sector had a 28% reduction over the same time period, largely because lower-emitting natural gas plants are displacing coal plants in the competitive power market while improved energy efficiency has kept demand relatively flat.\'Modest program'\Members of the climate advisory committee questioned how much of the Regional Greenhouse Gas Initiative states' reductions could be attributed to the cap-and-trade program.\Mr. Litz said an important feature of the program is that it ensures emissions keep declining.\""It's a fairly modest program that has managed to lock in reductions - whatever their cause,"" he said. ""It would seem to be a tool that could get a state, or a group of states, to where the electricity sector needs to be by mid-century.""\The United Nation's climate science coalition reported last year that global greenhouse gas emissions need to be cut to net zero by 2050 in order to avoid devastating increases in global temperatures.\Mr. Wolf's executive order is the beginning of a process that he estimated will take two years to complete. He directed DEP to present a draft rule to the state Environmental Quality Board by July 31, 2020.\He said the process of crafting the rule should include ""a robust public outreach effort"" to ensure that it ""results in reduced emissions, economic gains and consumer savings.""\Environmental groups praised the governor for what they called the most significant step Pennsylvania has ever taken to cut carbon pollution.\Pittsburgh Mayor Bill Peduto said that by moving to join the initiative, Mr. Wolf ""is helping to further innovation, create green jobs and respond strongly to the challenge of climate change.""\Business and energy interests indicated they want to see how the process unfolds.\Pennsylvania Chamber of Business and Industry CEO Gene Barr said his association supports market-based approaches to achieving environmental goals, but it also encourages legislative input in the process of developing greenhouse gas rules and an analysis of its impact on ratepayers.\A significant part of the review process will involve modeling the environmental and economic impacts of different policy paths, like what sources will be included in Pennsylvania's carbon budget.\Some states, for example, have exempted particular types of generators from their budgets. Power plants that burn waste coal piles in Pennsylvania are likely to seek such an exemption.\Regulators must also work with the existing Regional Greenhouse Gas Initiative states, which will assess whether Pennsylvania's proposal is stringent enough, among other factors, before agreeing to accept a new partner.\CAPTION: \CREDIT: By Laura Legere, Harrisburg Bureau"
3,"The following CORRECTION/CLARIFICATION appeared on April 30, 2009.The April 27 letter ""Cap-and-Trade Is a Good Place for Us to Start"" should have said Pennsylvania's population is less than one-fifth of 1 percent of the world's population. The letter used an incorrect figure** This story has been modified to correct Pennsylvania's population. **.\Regarding ""Forget 'Cap and Trade' "" (April 15 Perspectives), we are simply running out of time to ""continue the climate-change discussion."" With signs of global warming at our doorstep -- severe weather and flooding, unhealthy air days and heat-related deaths, threats to Pennsylvania's agriculture and economy -- our state's environment and economy cannot afford anything less than immediate action. \Our reliance on fossil fuels like coal and oil contributes to global warming emissions more than anything else. Pennsylvania produces 1 percent of the entire world's global warming pollution, though our population is less than 1/5 of 1 percent of the world's population. Studies tell us that left unchecked, global warming will result in Pennsylvania's climate resembling that of present-day Alabama and Georgia. \A federal cap-and-trade program is a viable means to cutting down on these emissions. It employs the ""polluter pays"" principle, holding that the polluters should pay the costs imposed by their pollution on others. It would create a source of revenue we can apply to other smart emission-reduction programs, like making our homes, businesses and vehicles vastly more efficient and moving to clean, renewable energy. \Not only is cap-and-trade a promising approach, it is also the approach on the table. President Obama has called for Congress to pass comprehensive energy and global warming legislation this year, part of which is cap-and-trade. A crucial vote is expected within weeks. \Cap-and-trade may not be a global warming panacea, but it, coupled with other smart energy policies, is a very good start. And we cannot afford to rule out any option any longer."
4,"Robert L. Wichterman, Special to the Sunday News\What would the economic ramifications be if President Obama's ""cap and trade"" legislation were to become the law of the land?\Sen. James Inhofe, R-Okla., attended the Copenhagen, Denmark, global warming conference, and reported on it to the Senate's Environment and Public Works Committee. This meeting was a follow-up to the 1997 Kyoto, Japan, meeting, where goals were set for nations to reduce their carbon dioxide emissions.\However, China, India and other smaller ""developing nations"" would not commit to any binding emission cuts. In addition, China is also opposed to the mandatory verification rule.\(Inspectors would be checking to certify that they were reducing emissions, as per their agreement.) A spokesman for China's foreign ministry remarked, ""It is not possible to accept a binding or compulsory target.""\India's environment minister was equally blunt. ""India will not accept any emission reduction target - period. This is a non-negotiable stand.""\When the Kyoto Treaty was completed in July 1997, the Senate told President Clinton not to submit it to them for approval. In 2003, the Byrd-Hagel resolution was approved 95-0, warning President Bush not to even consider presenting it to them; he accepted their judgment.\In Copenhagen though, President Obama offered the developing nations $1.3 billion, if they would endeavor to comply with the treaty's limits. He was told that that amount of money was insufficient.\Approaching the end of the Copenhagen meeting, China offered to reduce the amount of their CO2 increase by 40-45 percent, and India indicated they would aim for a 20-25 percent decrease of their projected growth. Yet, if China were to successfully cut their expansion 45 percent by 2020, their emissions would still be 250 percent larger than they were in 2009.\Even though a Rasmussen poll found that 59 percent of Americans are against any global warming legislation, the House passed and forwarded to the Senate the Waxman-Markey bill. It meets the Kyoto treaty requirements. Further, recent statements by Todd Stern, the special envoy on climate change, suggests that negotiations to commit America to an emission reduction program are planned.\However, Senate approval is needed to pass any proposed legislation. Sen. Inhofe, joined by Sen. Jim Webb, D-Va., does not believe any global warming measures will come before them ""anytime soon."" Their assessment is that the Copenhagen conference failed.\If that ""turkey"" is ever imposed on us though, it would precipitate an economic disaster in our country. Even the government's Energy Information Administration calculated it would eliminate 2.3 million jobs by 2030, and cost every family $1,700 per year. In addition, the Wharton Economic Forecasting Associates found that if the Kyoto Treaty were implemented here, it would lower our GDP by 3.2 percent ($300 billion annually). This is more than the federal government spends on primary and secondary education. Plus, food prices would rise 11 percent, medicine would go up 14 percent, housing would grow about 7 percent, and the average yearly income of a family of four would decline by $2,700 in the first year.\In 2009, it was disclosed that a group of climate scientists in a British university, who were providing the United Nations with global warming data, were ""cooking"" (falsifying) those figures and statistics, to have them prove their preconceived theories: Global warming is a human-caused phenomenon, known as anthropogenic. But other experts have testified that climate changes are natural, not man-made.\The Earth's average global temperature may be rising slightly. However, when I was in college 55 years ago, it was declining, and some observers feared a new ice age was coming. Thus, due to the economic damage these proposed regulations would inflict upon us, if they were passed, we must convince our senators to vote ""no"" if any of these global warming proposals are put forth.\Robert L. Wichterman, of Manheim Township, is a former GOP committeeman and a retired technical sales representative in heavy industrial chemicals.\Send ""In My Opinion"" submissions to Barbara Hough Roda, P.O. Box 1328, Lancaster, PA 17608-1328, or e-mail to broda@lnpnews.com. Columns should be no more than 600 words."
5,"
Pennsylvania and 14 other states scored a major victory for environmental and public health Friday, when the U.S. Court of Appeals for the District of Columbia Circuit overturned a dangerous Bush administration policy on regulating mercury.
\
The states had adopted rules mandating reductions in mercury emissions by coal-fired power plants, the chief source of the emissions. The Bush administration imposed a ""cap and trade"" rule, by which plants that emit mercury beyond the standards may buy credits from plants with emissions below the standard. That might work for some other types of emissions, but not for mercury, a dangerous neurotoxin. The problem with the cap and trade system is that it could have precluded any actual reductions of mercury pollution, allowing further contamination of waterways.
\
Power plants nationwide spew about 48 tons of mercury into the environment each year. That doesn't sound like much until you consider that a fraction of a teaspoon of mercury is enough to render fish in a 25-acre lake to be unfit for human consumption.
\
Pennsylvania and the other states were correct to insist on actual reductions of mercury emissions from every power plant. The administration should accept the court's decision.
"
6,"Like the climate itself, Gov. Tom Wolf’s decision to include the state in a regional effort to curb greenhouse gas emissions is not a purely partisan matter.\The order directs executive branch agencies to lay the regulatory foundation for the state to join the Regional Greenhouse Gas Initiative. That coalition of nine states operates a “cap-and-trade” program, under which fossil fuel-powered utilities and other industrial polluters are allowed to meet emission caps by buying credits. Governments use the revenue to promote clean energy and develop clean-energy infrastructure. Over time, the amount of available credits declines, creating pressure for higher energy efficiency and fewer emissions.\Members of the RGGI are Connecticut, Delaware, Maine, Maryland, Massachusetts, New Hampshire, New York, Rhode Island and Vermont. New Jersey, an original member that withdrew, is expected to rejoin.\Pennsylvania is unique among those states because, as the nation’s second-leading natural gas producer and third-leading coal producer, it would be the only major fossil-fuel producer in the group. It also would be the only state in the group to be a net exporter of electricity, a majority of which is produced by fossil fuels.\So the economic stakes are higher for Pennsylvania than for the other members.\Although the political fault lines on the issue generally divide pro-environment Democrats and pro-industry Republicans, those lines are not distinct. Many Republican legislators, for example, are proponents of the state’s nuclear power industry, the second largest nationally. Since nuclear power generation does not produce carbon emissions, the industry would be among the foremost beneficiaries of a cap-and-trade pact. Likewise, some legislative Democrats represent districts heavily invested in coal and gas production, and power production dependent upon those fuels.\The cap-and-trade concept has a long bipartisan pedigree. President Ronald Reagan embraced it in the 1980s to help phase out leaded gasoline. In 1989, President George H.W. Bush convinced a Democratic Congress to use it to help reduce sulfur emissions to fight acid rain. President George W. Bush used it in 2005’s Clean Air Interstate Rule to increase Clean Air Act pollution standards.\Wolf’s order is the beginning of a process. Lawmakers of all stripes should find ways to make the idea work within the vast, complex web of Pennsylvania’s energy production and consumption.\Crédito: Opinion"
7,"
Gov. Christie said Thursday that New Jersey would withdraw from the nation's first regional cap-and-trade program for greenhouse gases - an announcement that left environmentalists fuming and political observers speculating over the whether the governor was appealing to the national conservative base.
\
The governor acknowledged there was ""undeniable data"" that levels of carbon dioxide and other greenhouse gases were increasing and affecting the climate.
\
""When you have over 90 percent of the world's scientists who have studied this stating that climate change is occurring and that humans play a contributing role, it's time to defer to the experts. . . . We know enough to know that we are at least a part of the problem,"" he said.
\
But he rejected the Regional Greenhouse Gas Initiative - an agreement among New Jersey and nine other Northeast states - as an effective solution.
\
The program aims to reduce carbon emissions, which are linked to global warming, by 10 percent in participating states by 2018. Under a system known as cap-and-trade, fossil-fuel-burning power plants essentially pay a price for polluting by buying allowances for the carbon they emit. The proceeds are invested in renewable energy and energy efficiency.
\
The price of allowances per ton has fallen from $3.07 at the first auction three years ago to $1.89 at the last event in March. Christie said the allowances ""were never expensive enough to change behavior as they were intended to and ultimately fuel different choices.""
\
""The whole system is not working as it was intended to work,"" he said. ""It's a failure.""
\
A number of the state's environmentalists disagreed.
\
Christie should be working with other states to strengthen the program instead of giving up, said Matt Elliott, a global-warming and clean-energy advocate for Environment New Jersey.
\
""It was always understood that the states agreed, 'Let's try this for a couple years; let's get it working, and we'll review it and make it stronger.' . . . Christie is just throwing up his hands and quitting, which is entirely the wrong approach,"" Elliott said.
\
Some political observers viewed the GOP governor's move as an effort to appeal to a national conservative agenda, similar to his controversial fiscal decisions to halt a commuter tunnel to New York and eliminate state funding for family planning centers.
\
""He's making sure that his stance on cap-and-trade is consistent with the conservative wing of the Republican Party because this really is a key issue,"" said Brigid Harrison, a political science professor at Montclair State University.
\
The Regional Greenhouse Gas Initiative has delivered $789.3 million in revenue to the participating states from Maine to Maryland through December, and $102.2 million to New Jersey since the state joined in 2008 during the administration of former Gov. Jon S. Corzine.
\
""Those investments are saving energy consumers money, making businesses more competitive, and creating jobs in our state economies,"" Emilee Pierce, a spokeswoman for RGGI Inc., said in an e-mail.
\
The organization said in a statement that it would continue with an auction planned for June 8.
\
Participating states include New Hampshire, Vermont, Connecticut, Delaware, New York, Massachusetts, and Rhode Island.
\
The Garden State's investments include more than $29 million for 12 large-scale commercial and industrial renewable-energy and energy-efficiency projects. A report from RGGI said the projects were expected to generate enough electricity annually to power more than 19,600 typical New Jersey households each year.
\
Environment New Jersey estimates that households in the state pay $3.24 on average toward RGGI on their utility bills.
\
Last year, the state diverted $65 million from its RGGI fund to help plug the $11 billion state budget deficit. Other participants raided their greenhouse-gas funds as well.
\
Controversy over the program has been mounting. The New Hampshire Senate voted this month to maintain the state's involvement after the House voted to withdraw. A bill to pull Delaware from the agreement also was recently voted down.
\
On Thursday, the governors of Vermont and Massachusetts pledged their support of RGGI.
\
""It is disappointing that New Jersey has decided not to be part of the solution, but we will continue to work with the RGGI states to tackle this critical issue,"" Massachusetts Gov. Deval Patrick said in a statement.
\
Christie cited a report released by the New Jersey Department of Environmental Protection that said the state's carbon emissions already had fallen below the state limit set for 2020, a trend that the governor attributed to increased consumption of natural gas and reduced use of coal.
\
He also said the state had created a number of incentives for wind, solar, and natural gas generation, making any benefits from RGGI ""minuscule.""
\
""We're not going to participate anymore in something that doesn't work, but that is not an abandonment of our commitment to continue to work toward more renewable energy,"" Christie said.
\
The withdrawal will make New Jersey more competitive with Pennsylvania, which chose not participate in the cap-and-trade agreement, he said.
\
""This program has put New Jersey on an unequal footing as compared to our neighbors, and I applaud Gov. Christie's newest commitment to improving our business and jobs climate in New Jersey,"" Sen. Diane Allen (R., Burlington) said in a statement.
\
Other environmental advocates said the withdrawal from RGGI would cost the state jobs and undermine renewable-energy causes.
\
""He's destroying the environment, and in New Jersey we have a responsibility for New Jerseyans to have clean air,"" said Assemblyman Upendra Chivukula (D., Somerset), who has sponsored laws to curb greenhouse gas emissions.
\
Michael Drewniak, a spokesman for the governor, said in an e-mail that New Jersey's RGGI fund would have $6.3 million by the end of the fiscal year. And $18 million is expected to come in from recent auctions. There is no provision yet in the fiscal 2012 budget allowing for another transfer, he said.
\
Contact staff writer Maya Rao at 609-989-8990 or mrao@phillynews.com.
\
\
Credit: By Maya Rao INQUIRER TRENTON BUREAU
"
8,"THE ISSUE\Gov. Tom Wolf is “working to bring Pennsylvania into a regional consortium that sets a price and caps on greenhouse gas emissions from power plants, part of the Democrat’s agenda to fight climate change,” The Associated Press reported in the Oct. 3 LNP. Pennsylvania is the nation’s fourth-largest emitter of greenhouse gases, and environmental activists long have pushed for the state to join the consortium.\We applaud this move by Gov. Wolf and wish it hadn’t been necessary for him to, as state Republicans lamented, “go it alone.”\Some background: In states that are part of the Regional Greenhouse Gas Initiative, “owners of power plants fueled by coal, oil or natural gas with a capacity of 25 megawatts must buy a credit for every ton of carbon dioxide they emit,” the AP reported. “That gives them an incentive to lower their emissions while making non-emitting plants — such as nuclear power plants, wind turbines and solar installations — more cost competitive in power markets.”\Pennsylvania’s power plants emit about 92 million tons of greenhouse gases per year, according to the AP, which far exceeds the consortium's 2019 cap of 80.2 million tons. Thus, plant owners “could be required to pay hundreds of millions of dollars to the state annually,” the AP reported.\This is known as cap and trade, and Franz Litz, a consultant on those programs, said they can be effective in keeping emissions on a continual decline.\“It’s a fairly modest program that has managed to lock in reductions — whatever their cause,” Litz said, according to the Pittsburgh Post-Gazette. “It would seem to be a tool that could get a state, or a group of states, to where the electricity sector needs to be by mid-century.”\The primary goals, of course, are not to penalize power plant owners or make them pay out millions.\The goal is to encourage, firmly, the reduction of carbon emissions throughout a state’s or region’s energy infrastructure. It is vital to do this as our governments work to aggressively counteract the man-made aspects of global warming.\“Climate change is the most critical environmental threat confronting the world, and power generation is one of the biggest contributors to greenhouse gas emissions,” Wolf stated Oct. 3.\We lauded Wolf’s January executive order calling for Pennsylvania to achieve a 26% reduction of net greenhouse gas emissions by 2025 and an 80% reduction of net greenhouse gas emissions by 2050. But those goals cannot be achieved through wishful thinking; they require governmental intervention.\Wolf’s push to get Pennsylvania into the Regional Greenhouse Gas Initiative is part of that needed movement.\It came, as the AP noted, in the face of potential “pushback from the Republican-controlled Legislature” and the state’s influential coal and natural gas industries.\We agree with Republicans that Wolf shouldn’t (and truly can’t) act alone to guide Pennsylvania into the regional consortium. But Wolf’s big nudge was needed, we believe, to spur timely action by the Legislature. We cannot keep waiting for Harrisburg to take significant action to reduce carbon emissions within the state’s energy sector. Other states — including Connecticut, Maryland, Massachusetts and New York — have accomplished this. Pennsylvania can — and must — too.\In their response to Wolf’s executive action, state House Republican leaders cautioned that all stakeholders must have their voices heard on this topic: “The regulation of carbon dioxide presents significant impacts on our economy, the environment and on the bottom line for Pennsylvania families. ... Our state is not an autocracy, and one-sided decisions as significant as this leave out the important voices of Pennsylvania workers, communities and families whose livelihood is built upon important sectors of our energy economy.”\We understand that. As does Wolf. “This is the beginning of this,” the governor told PennLive, “and I’m looking forward to a robust conversation with the General Assembly, with environmental advocates, with Pennsylvanians all across the state to figure out how we do this right.”\That’s good. But Harrisburg cannot drag its feet. Lawmakers must seek input from stakeholders and then work in purposeful — and bipartisan — fashion to integrate our state into the Regional Greenhouse Gas Initiative in a way that reasonably addresses as many concerns as possible.\Ultimately, though, the biggest concern is our environment. Pennsylvania must significantly lower its annual greenhouse gas emissions.\------------\ Bold steps \Related to this topic, Penn State University is exhibiting leadership with its steps to reduce carbon emissions.\In a story published Oct. 4, NPR detailed how “Penn State’s greenhouse emissions are now down by a third, compared with the peak in 2004.” And within a few years, as a new 500-acre solar farm in Franklin County comes online, Penn State’s emissions will be down by almost 50%.\“Perhaps most amazing: Those reductions have paid for themselves,” NPR noted.\Myriad decisions, large and small, have paved the way for these reductions. They include fine-tuning heating and air conditioning systems, switching from coal to natural gas, installing new energy-saving motors and, as mentioned, the new contract with a solar farm, which is expected to provide 25% of Penn State’s purchased electricity over the next quarter-century.\A combination of activism, smart analysis and purposeful leadership has driven these positive changes by Penn State.\We would like to think it’s an example that Harrisburg can take to heart as it tackles this vital issue for the entire state.\Crédito: THE LNP EDITORIAL BOARD"
9,"
As global warming continues to instill fear in many people, America is on the right track in preventing future climate change. President Barack Obama's environmental policy plan of a market-based cap-and-trade system seems to be a logical and possible solution.
\
When the Clean Air Act of 1990 was in effect, a cap-and-trade system was designed to reduce sulfur emissions, which cause acid rain. As a result, sulfur emissions were reduced 22 percent lower than the mandated levels -- a perfect example of how a cap-and-trade system can work.
\
A cap-and-trade system is necessary to reduce the world's newest environmental concern -- carbon emissions. America should be excited for a cleaner environment and having a helping hand in the process.
\
NICOLE WIDGER
\
YORK
\
Credit: York Daily Record
"
