,Full_text
0,"
This fall, Congress faces a major economic and environmental decision that will affect the lives of all Americans: what to do about climate change. While some Americans question whether global warming is threatening our future, many federal legislators agree it must be addressed. How to do that is the multibillion-dollar question.
\
Congress' answer is to create a cap-and-trade market. Under this approach, the government caps the amount of carbon dioxide companies can emit. The government then auctions or gives away ""emission allowances"" -- each allowance being the right to emit one ton of carbon dioxide. Experts estimate these auctions could amount to more than $100 billion annually. Companies could then trade allowances on a ""carbon market"" open to everyone, including Wall Street players.
\
As a not-for-profit public power utility, we have a huge stake in this debate. Since our mandate is to provide reliable, reasonably priced electric service, while protecting the environment, the cost of climate change legislation is immensely important to us. Unlike investor-owned utilities, we can't absorb new cap-and-trade costs by trimming profit margins or reducing shareholder dividends. Especially in tough economic times, customers don't want us passing on additional costs or sacrificing service.
\
This month, the U.S. Senate debates the American Clean Energy and Security Act (HR2454), a cap-and-trade bill that passed the U.S. House in June. The bill has shortcomings that could result in costs harmful to consumers, the economy and the reliability of our electric system, without providing any environmental benefit.
\
If Congress addresses climate change with a new multibillion-dollar market, they need to get it right.
\
The most important thing the Senate can do is place a ceiling on carbon allowance prices to ensure a cap-and-trade market does not result in runaway prices. Some want a ceiling and a floor to keep prices high enough to motivate changes in behavior without harming our economy. Since HR2454 also contains mandatory reduction targets, emission reductions will occur. But prices must be capped to avoid volatility and limit risk to electricity customers.
\
Any cap-and-trade legislation should also allocate (not auction) emission allowances at no cost to public power and other local distribution utilities so they can pass their value directly to customers. Whether allowances are auctioned or allocated, the emissions cap means greenhouse gas emissions will be reduced. Competitive auctioning allowances would just increase prices.
\
To ensure unregulated generators do not receive windfall profits at the expense of consumers, allowances should be given only to local distribution utilities that directly serve retail customers. These entities are regulated by state and local governments that will require the value of allowances be passed on to customers. Unregulated ""merchant"" generators face no such restrictions and will likely pass that value on to their shareholders. The House climate change bill would allocate up to 10 percent of emission allowances for the electricity industry to merchant generators.
\
If lawmakers want to reduce greenhouse gas, community-owned power groups are asking our leaders to pass laws that are both fair and affordable. Current legislation falls woefully short of this goal. We urge citizens join us in asking Sen. Orrin Hatch (202-224-5251) and Sen. Bob Bennett (202-224-5444) for a law that balances the needs of consumers, our economy and our environment.
\
Jack Taylor is chairman of Utah Associated Municipal Power Systems and public services director in Santa Clara. Mark R. Jones is board chairman of the Utah Municipal Power Agency and mayor of Nephi.
"
1,"
The Number: 50% -- Cap and trade
\
Half support the idea
\
As President Barack Obama and Congress prepare to tackle energy legislation, most Americans are not sure what a so-called ""cap-and-trade"" program is. In a Pew Research News IQ Quiz , less than a quarter (23%) of the public was able to identify cap-and-trade legislation as dealing with energy and the environment (11% said it dealt with health care, 13% banking reform and roughly half admitted they did not know). Not surprisingly, in a different Pew Research survey, just 14% said they had heard a lot about cap and trade; a majority reported hearing nothing at all. However, when such a program is described to Americans, it receives support. Half of the public favors setting limits on carbon dioxide emissions and making companies pay for their emissions, even if it may mean higher energy prices, while 39% are opposed and 11% unsure. Among those who have heard a lot about the policy, opposition to the program runs two-to-one (Republicans are more likely to have heard about cap and trade than Democrats). But political divisions are not that severe on this issue. Conservative Republicans are the only political group in which a majority opposes setting limits on carbon dioxide emissions (60%). Meanwhile, political independents as well as both moderate Republicans and Democrats roughly mirror the country as a whole in support of capping carbon dioxide. One wide divide on cap and trade is among regions of the country. While those on the Pacific coast (62%) and Northeast (56%) favor a cap-and- trade program, Americans in the South (46%), Midwest (44%) and Mountain West (42%) are far less supportive.
"
2," Utah is joining a regional push to cut greenhouse gas emissions that contribute to global warming through a carbon cap-and-trade program, Gov. Jon Huntsman Jr. announced Tuesday.\A proposal crafted through the Western Climate Initiative aims to reduce carbon dioxide and other gas emissions by 15 percent by 2020.\But the plan for now is just a framework, ""the beginning of extensive discussions that will continue with our Legislature and stakeholders to ensure the design works for Utah,"" said Dianne Nielson, Huntsman's energy policy adviser.\Already, though, some state lawmakers worry that the initiative could hinder the state's economic growth.\""We want to protect the environment. We want to protect the air quality and do all those things . . . but we want to make sure that the coal industry and some of these that are important economic drivers for our state"" are not harmed, said House Speaker Greg Curtis, R-Sandy, who was briefed on the program Monday.\As proposed, the Western Climate Initiative, which includes seven Western states and four Canadian provinces, will use emissions from 2010 as a baseline for cap-and-trade.\Beginning in 2012, each partner will be granted emission ""allowances"" that will move the state to the WCI's goal.\It then will be up to each state or province to decide how to distribute its allowance.\Carbon ""offset"" credits from uncapped sectors or entities that reduce emissions could be auctioned.\Nielson said that Utah's approach to greenhouse gas reductions would be spelled out in a bill to be written for the 2010 Legislature.\A task force - composed of lawmakers, executive branch representatives, industry, utilities, energy producers, consumer groups, environmental advocates, local government and others - would be assembled to nail down the details the bill would include, she said.\Under the WCI framework, emissions would be rigorously monitored. If a company, utility or some other entity doesn't have enough allowances to cover its emissions, it could lose some of its allowances as a penalty, forcing it either to buy more credits or cut its emissions.\When Huntsman enlisted the state in the Western Climate Initiative in 2007, some lawmakers were irritated that they weren't consulted first. A bill aimed at limiting the governor's power to enter into such agreements in the future passed the Legislature by an overwhelming margin last session, but Huntsman vetoed it and agreed to consult with legislative leaders before he commits the state to future partnerships.\Curtis said lawmakers want to know more about the cap-and-trade plan.\""I don't feel like we've been deeply consulted,"" said Curtis, who had a planned meeting on the proposal with the governor Monday, but it was replaced with discussion of the state's $272 million budget shortfall.\WCI proponents say that, in addition to reducing emissions, the plan would ease dependence on fossil fuels and spawn new ""green"" industries.\Utah Clean Energy executive director Sarah Wright said Utah's approach likely would be conservative because the state could achieve the ""cap"" part of the plan largely through an aggressive energy efficiency program Huntsman already has in place.\""It's not a sea change in the way we generate and use energy,"" Wright said. ""We're not going to be closing down coal plants.""\Nielson said the WCI wanted a cap-and-trade plan rather than a carbon tax, which would have been more expensive.\""We want it to be an affordable system,"" she said. ""We're looking to be sure we have a diversified energy base, and that includes coal,"" she said.\Britt Weygandt, executive director of the Western Business Roundtable, a pro-industry group, said the organization is still examining the WCI plan. However, he said, a regional cap-and-trade system ""would dramatically increase costs to consumers in the West of virtually everything we buy.""\That's not how the Union of Concerned Scientists sees it. Christopher Bush, a UCS climate economist, said analyses conclude that region's economy would benefit from investments in global warming solutions.\Plan includes seven Western states, four Canadian provinces The Western Climate Initiative includes Arizona, California, Montana, New Mexico, Oregon, Utah and Washington and Canadian provinces British Columbia, Manitoba, Ontario and Quebec.\The group has advanced a plan to reduce global warming pollution by capping greenhouse gas emissions and allowing auctions or trades of credits allocated according to a monitored system.\Each state and province will create its own path to the overall goal of reducing emissions to 2005 levels by 2020.\In Utah, a panel of interest groups will craft necessary policy for consideration by the 2010 Legislature.\All large utilities and industries that emit more than the equivalent of 25,000 metric tons of greenhouse gases must by federal law submit a report on their actual emissions by 2011.\The deadline for WCI member states and provinces to implement their cap-and-trade systems is 2012.\Credit: Robert Gehrke and Patty Henetz The Salt Lake Tribune"
3,"The Western Climate Initiative's cap-and-trade system for reducing CO2 emissions among WCI members - seven Western states and four Canadian provinces - is just a baby step toward substantially cleaner air.\Gov. Jon Huntsman and the other governors know that their state legislators, Utah's perhaps most of all, are not likely to pass legislation to enact the cap-and-trade program if it threatens industries like coal mining. So they are moving slowly. Too slowly.\While the WCI goal to reduce emissions to 2005 levels by 2020 - about a 15 percent reduction - is a start, it is a weak goal that will not bring about real change. It falls far below the action urged by many climate scientists, who warn that global temperatures are rising faster than predicted and that we are facing global castastophe if we don't act fast. It must be considered only a beginning, not an ultimate end point.\The cap-and-trade system would allocate carbon-emission ""allowances"" to each member state. According to state laws still to be adopted, those allowances would go to polluters within the state. If any state or province exceeded the emissions allowed, it would have to purchase credits from another member.\Utah House Speaker Greg Curtis is already setting the stage for opposition in the Legislature. He told a Salt Lake Tribune reporter, ""We want to protect the environment. We want to protect the air quality and do all those things . . . but we want to make sure that the coal industry and some of these that are important economic drivers for our state"" are not hurt. In other words, we want to do all those things, but we don't want to change the status quo.\Unfortunately, that's not possible. Utah's economic focus has to shift from coal-fired power, the worst contributor to global warming, to alternative sources of energy. Some jobs will inevitably be lost, but other jobs will be created in the process of making the change.\Huntsman says Utah would achieve its share of emission reduction largely through an aggressive energy-efficiency program. But much more will have to be done to save the planet.\Our leaders must understand that we cannot avoid making changes in the way we live and do business if we are to avoid the worst effects of fouling our air with fossil fuels.\Credit: Tribune Editorial"
4,"Bill Barron is the last guy you'd think of as a politician. Soft-spoken and admittedly shy, the unaffiliated, unlikely candidate is trying to unseat Sen. Orrin Hatch because he's concerned about something other politicians don't talk about -- climate change. So, like Democratic challenger Scott Howell, he's spent months jabbing yard signs into supporters' lawns and handing out fliers.\""I see it as an opportunity to get the message out,"" Barron says, canvassing his own central Salt Lake City neighborhood on a brilliant fall morning, his pocket stuffed with brochures and green placards tucked under his arm. ""It's a central issue that's not being addressed.""\Many of the people he meets agree with Barron, that candidates and voters ought to be talking more about the environment, even though it's not getting much traction this campaign season.\The presidential candidates haven't mentioned wildlands, clean air or fishable water. Nor have they uttered the words ""climate change"" in three debates.\Only Friday did President Barack Obama mention climate change in an interview on MTV. After noting the impact on future generations, he pointed to his administration's emissions-cutting steps, including stepping up energy conservation, fuel-efficiency and clean-energy production.\""We are not moving as fast as we need to,"" said Obama .\Republican challenger Mitt Romney, meanwhile, has recently said that, while he believes the climate is changing, he does not think climate science is settled enough to take steps to reduce the emissions blamed for the rapid buildup of greenhouse gasses. As Massachusetts governor, Romney's administration helped develop a regional cap-and-trade program, then abandoned it over fear about cost.\Political insiders say there's nothing new to the short shrift voters give to environmental issues.\""In poll after poll,"" energy-industry lobbyist Frank Maisano told a gathering of reporters this month, ""it ranks at the bottom of [voters' priority lists] every time.""\James Browning, a regional director for the government watchdog group Common Cause in the Midwest, said industry, with its big image-making budget, has sidelined concern about the environment.\""A lot of people who are very concerned about climate change don't have very good electoral options,"" he said.\Which is where the third-party candidates come in, both nationally and in Utah.\Salt Lake City-based presidential candidate Rocky Anderson calls environmental issues a driving force behind his own presidential bid. In every appearance, he raises the problem of climate change, ""the most urgent and consequential issue on the planet."" He blames the power of money in Washington for making Democrats and Republicans alike beholden to campaign contributors in the fossil fuel industry.\""We could overcome that if there was the interest and the energy at the grass-roots level,"" he said, adding that the mainstream media ignore candidates like himself who raise the climate change issue.\As an unaffiliated candidate running in Utah's second congressional district against Republican Chris Stewart and Democrat Jay Seegmiller, Joe Andrade also regards climate change as a central issue in his campaign -- and one that voters struggle to reconcile with a healthy economy. He tries to tell them there are reasonable answers.\""It can't be dealt with just as climate change,"" he said, suggesting dealing with climate is actually a solution for creating jobs and the strengthening the economy.\For Barron, there have been disappointments, like the people who say climate change is not a problem. There was also the guy who blasted his horn during a honk-and-wave last week so he could brandish an insulting middle finger.\But many have been like Bradley Bassie and his sweetheart Cassie Craig, who promised Barron their votes after he told them about carbon-control legislation that would increase jobs and boost the economy.\""I don't know why it's not"" a big election issue, says Craig, ""and I think its egregious.""\fahys@sltrib.com\Twitter: @judyfutah\Environmental issues overlooked in race 2012\Environmental issues: A concern in Utah's state races\The Utah Chapter of the Sierra Club has a list of endorsements for Utah candidates in races for the state Legislature and some local offices: http://tinyurl.com/8e8ewdk The group also has a scorecard to help voters learn about key environmental votes in the Legislature: http://tinyurl.com/8eea9g6\The non-partisan Utah Foundation surveyed voters this year and found environmental issues were the seventh highest priority in the election year, making them a consistent top-ten issue for Utah voters.\In the group's latest ""Utah Priorities Survey,"" 53 percent of Utahns said they are concerned or very concerned with environmental issues in general. Some 64 percent cited air quality as an issue about which they were concerned or very concerned. You can read the summary: http://tinyurl.com/8gtzy23\Credit: By Judy Fahys The Salt Lake Tribune"
5,"ddemille@thespectrum.com\ST. GEORGE - A wide range of environmental issues are on the table Saturday, during a combination Earth Day and birthday celebration hosted by Citizens for Dixie's Future, a local conservation group.\As debates rage nationally over cap-and-trade, renewable energy, oil dependence and ways to address global warming, Southern Utah's always-critical discussion over resource management has taken on even greater significance. The recently passed Washington County Lands Bill has been called a blueprint for how to balance wilderness protection with development, the area has been targeted as a possible hot spot for solar energy and debate continues to surround the idea of the Lake Powell Pipeline.\Saturday's event, which starts 11 a.m. at the Grace Episcopal Church in St. George, features representatives from a number of local groups involved with resource management, including the City of St. George, Dixie Escalante Power, the Washington County Solid Waste District and Red Cliffs Desert Reserve.\""It's the single most important issue facing us today, especially here, where we're so much effected,"" said Randy Black, St. George, who rode his bike Thursday morning to ""take advantage of another beautiful day in Utah.""\Black said local residents should feel a responsibility to be informed on environmental issues, given the area's recent growth and unusual set of resources.\Mike Empey, local representative for U.S. Rep. Jim Matheson's office, is speaking about Matheson's Water-Use Efficiency and Conservation Research Act, a bill that would authorize $100 million over five years to create a research and development program on water-use efficiency and conservation.\Regardless of political affiliation, the event should provide important information for people who are interested, Empey said.\""With all that is happening on the national scene and local scene, with use of resources and conservation of resources, I sense it's very much on peoples' minds,"" he said. ""Regardless, of how you might feel about a particular subject.""\Paul Van Dam, executive director of CDF, said the event includes information on a variety of environmental concerns, from water conservation and alternative power systems to recycling, air quality and endangered species. He said the wide range of issues present in Southern Utah exemplify the larger national and global focus on resource management.\""It does fit in, in so many ways,"" he said. ""So many of our issues revolve around conservation, and green energy and living within our means. Those are the themes that we have focused on.""\Southern Utah, with its national parks, water concerns, potential for solar power and other characteristics, could be an important model as far as how to handle a growing population with limited resources, Van Dam said.\""If we can create a community that follows the principles of Vision Dixie, we could break the cycles of southern California and L.A., of Las Vegas and Phoenix, and create an area that uses its resources wisely,"" he said.\Info Box:Birthday and Earth Day celebration\When: 11 a.m. to 3 p.m., Saturday.\Where: Grace Episcopal Church, 1072 E. 900 South, St. George.\Activities: Speakers, lunch, music, information booths and games for children.\Cost: None (donations appreciated.)\For more information: Visit www.citizensfordixie.org."
6,"Lt. Gov. Gary Herbert signaled Monday that, once he becomes governor, he will stick to the same path on environmental issues as his predecessor -- even though they have disagreed on the high-profile issue of climate change.\That means, if Gov. Jon Huntsman is confirmed as ambassador to China as expected and Herbert becomes the state's chief executive, the Utah governor's office will continue to:\- participate in the Western Climate Initiative to fight climate change;\- fight EnergySolutions' plans to use its disposal site for low-level radioactive waste from foreign nations; and\- support key staff, including Amanda Smith, whom The Tribune has learned is Huntsman's nominee to head the state's Department of Environmental Quality.\Herbert said in a news conference Monday he and Huntsman have always agreed on ""core issues.""\""We understand the importance of clean air and clean water and being good stewards of the Earth.""\Though Herbert has said he does not believe in man-made climate change, he told reporters, ""I have no plans to pull us out"" of the bipartisan cap-and-trade program being developed by Western states, a move called for by some conservative Republican legislators.\He pledged to discuss the issue with fellow governors. Yet, he noted his concern that controlling pollution blamed for climate change will increase energy prices and drive jobs overseas.\""We need to be thoughtful as we move forward,"" Herbert said.\In addition, Herbert cited concerns about conserving disposal capacity for domestic radioactive waste as a key reason to oppose foreign waste.\""We have been very consistent on saying that we don't think we want to have foreign waste imported into Utah,"" he said.\The Salt Lake City-based nuclear waste company EnergySolutions Inc. won a federal court ruling last week that would allow it to use its Tooele County disposal site for low-level radioactive waste from foreign countries. The governor and a regional organization Utah belongs to have yet to decide whether to appeal.\Herbert also said Monday he doesn't intend to sever a 2007 ""gentlemen's agreement"" that prevents EnergySolutions from expanding.\""I have no plans to change anything Governor Huntsman has done with regards to EnergySolutions,"" Herbert told reporters.\The governor-in-waiting referred to EnergySolutions as a ""good corporate citizen.""\The feelings are apparently mutual.\In a statement Saturday to The Tribune , EnergySolutions CEO Steve Creamer said he has ""worked with [Herbert] for many years. He will make an outstanding governor and [I] look forward to continuing our great working relationship.""\Herbert also said he would make no changes to Huntsman's Cabinet, even an appointee who has yet to be confirmed -- Smith, who is being proposed to take over the state agency that oversees clean air, land and water programs.\Smith, expected to be officially named today has worked with community groups, businesses and lawmakers as Huntsman's legislative director.\The Senate could confirm her as soon as Wednesday. Senators meeting in a special session would have to take a vote to suspend their rules to consider her appointment within a 15-day limit typically required for nominations.\""It will be a great way to put a fine tune on the work we have been doing"" in Huntsman's administration, Smith said, ""and to make sure going forward we can implement the policies of the Legislature and the governor.""\fahys@sltrib.com\Credit: By Judy Fahys The Salt Lake Tribune"
7,"
BURNT WOODS, Ore. -- Driving through the verdant timberlands of Oregon's Coast Range, Matt Fehrenbacher pointed out a mountainside where every tree had been clearcut.
\
""That's business as usual,"" said Fehrenbacher, a forester with The Pacific Forest Trust, a conservation group that manages private forests, both to produce lumber and to store carbon as a hedge against global warming.
\
Later Fehrenbacher walked through the forest he manages for the Van Eck Forest Foundation, showing off tall Douglas firs that are breaking into a new growth spurt after trees around them were cut to let in more sun, dead logs with mushrooms sprouting from them left behind on the forest floor, and hemlock seedlings planted next to stumps left from logs sold for lumber.
\
""There's a sweet spot where a landowner can potentially balance your timber value with your carbon values,"" said Fehrenbacher. ""As this market emerges, it's becoming more of a reality. Landowners' interest is very high right now.""
\
The Van Eck Oregon Forest that Fehrenbacher manages is not yet getting paid for the carbon it stores, but it is positioning itself for the day when it will be, either under an emerging voluntary market for carbon credits, or if climate legislation -- one of President Obama's top priorities -- is enacted in the U.S. Senate.
\
Trees naturally absorb carbon dioxide as part of photosynthesis, and store it in their leaves and wood. When trees burn, rot or are cut down, they return carbon to the atmosphere. The trick is to maximize the amount that gets stored.
\
While the climate bill has drawn strong opposition from conservatives wary of creating a cap and trade system that charges carbon producers, like coal-fired power plants, it has united two longtime adversaries.
\
Timberland owners and environmental groups both want to see the bill pass. For timberland owners, it means new sources of revenue immune to the boom and bust of the housing industry. One comes from the cap and trade market paying for leaving trees standing. Another comes from promoting the sale of biomass -- small trees cut to reduce fire danger and make room for other trees to grow -- that can be mixed with coal in power plants, or turned into pellets for wood-fired furnaces.
\
For conservation groups, it is a way to stop millions of acres of forest land from falling to development, leaving it standing for fish and wildlife habitat.
\
""A lot of people in the Senate want to get the whole thing through without cap and trade,"" said Andrew Light, a senior fellow at the Center for American Progress, a liberal think tank in Washington, D.C. ""Some are starting to realize ... that if you don't get cap and trade, you don't get all the great forestry stuff, which is bringing together a lot of strange bedfellows.""
\
As yet, the bill does not address national forests or the desire of wood products manufacturers to get credit for lumber and plywood that will store carbon in buildings for a century or more.
\
The ""forestry stuff"" does have timberland owners very interested.
\
""We're taking it on the chin right now,"" said Dave Tenny, a former Bush administration timber official now heading the National Alliance of Forest Owners. ""Markets are down. The economics pressures are real for every class of landowner. Now, here comes an opportunity for new incentives or markets for these forests to make a contribution, not only to the environment, but to landowners as well.""
\
Landowners are already starting to reap the benefits of leaving trees standing as companies look for ways to voluntarily offset their carbon footprint.
\
Walt Disney Co. recently pledged $7 million to protect or restore tens of thousands of acres of forest in the Congo basin, the Amazon basin, California's North Coast and the lower Mississippi Valley.
\
Pacific Gas and Electric Co. is paying the city of Arcata, Calif., $400,000 to manage part of its city forest to store carbon for the next 100 years.
\
Brian C. Murray, director for economic analysis at Duke University's Nicholas Institute for Environmental Policy Solutions, said carbon credits could move tens of millions of acres of cropland into forest, particularly in the Southeast and Midwest, where they have moved back and forth since the Civil War.
\
""It would be largest land movement we've ever seen in such a short period of time,"" he said.
"
8,"
WASHINGTON -- In the 1970s and early '80s, having seized control of the U.N. apparatus (by power of numbers), Third World countries decided to cash in. The Organization of Petroleum Exporting Countries was pulling off the greatest wealth transfer from rich to poor in history. Why not them? So in grand U.N. declarations and conferences, they began calling for a ""New International Economic Order.""
\
The NIEO's essential demand was simple: to transfer fantastic chunks of wealth from the industrialized West to the Third World.
\
On what grounds? In the name of equality -- wealth redistribution via global socialism -- with a dose of post-colonial reparations thrown in.
\
The idea of essentially taxing hard-working citizens of the democracies in order to fill the treasuries of Third World kleptocracies went nowhere, thanks mainly to Ronald Reagan and Margaret Thatcher (and the debt crisis of the early '80s). They put a stake through the enterprise.
\
But such dreams never die. The raid on the Western treasuries is on again, but today with a new rationale to fit current ideological fashion. With socialism dead, the gigantic heist is now proposed as a sacred service of the newest religion: environmentalism.
\
One of the major goals of the Copenhagen climate summit is another NIEO shakedown: the transfer of hundreds of billions from the industrial West to the Third World to save the planet by, for example, planting green industries in the tristes tropiques.
\
Politically it's an idea of genius, engaging at once every left-wing erogenous zone: rich man's guilt, post-colonial guilt, environmental guilt. But the idea of shaking down the industrial democracies in the name of the environment thrives not just in the refined internationalist precincts of Copenhagen. It thrives on the national scale too.
\
On the day Copenhagen opened, the U.S. Environmental Protection Agency claimed jurisdiction over the regulation of carbon emissions by declaring them an ""endangerment"" to human health.
\
Since we operate an overwhelmingly carbon-based economy, the EPA will be regulating practically everything. No institution that emits more than 250 tons of CO2 a year will fall outside EPA control. This means more than a million building complexes, hospitals, plants, schools, businesses and similar enterprises. (The EPA proposes regulating emissions only above 25,000 tons, but it has no such authority.) Not since the creation of the Internal Revenue Service has a federal agency been given more intrusive power over every aspect of economic life.
\
This naked assertion of vast executive power in the name of the environment is the perfect fulfillment of the prediction of Czech President (and economist) Vaclav Klaus that environmentalism is becoming the new socialism, i.e., the totemic ideal in the name of which government seizes the commanding heights of the economy and society.
\
Socialism having failed so spectacularly, the left was adrift until it struck upon a brilliant gambit: metamorphosis from red to green. The cultural elites went straight from the memorial service for socialism to the altar of the environment. The objective is the same: highly centralized power given to the best and the brightest, the new class of experts, managers and technocrats. This time, however, the alleged justification is not abolishing oppression and inequality but saving the planet.
\
Not everyone is pleased with the coming New Carbon-Free International Order. When the Obama administration signaled (in a gesture to Copenhagen) a U.S. commitment to major cuts in carbon emissions, Democratic Sen. Jim Webb wrote the president protesting that he lacks the authority to do so unilaterally. That requires congressional concurrence by legislation or treaty.
\
With the Senate blocking President Barack Obama's cap-and-trade carbon legislation, the EPA coup d'etat served as the administration's loud response to Webb: The hell we can't. With this EPA ""endangerment"" finding, we can do as we wish with carbon. Either the Senate passes cap-and-trade, or the EPA will impose even more draconian measures: all cap, no trade.
\
Forget for a moment the economic effects of severe carbon chastity. There's the matter of constitutional decency. If you want to revolutionize society -- as will drastic carbon regulation and taxation in an energy economy that is 85 percent carbon-based -- you do it through Congress reflecting popular will. Not by administrative fiat of EPA bureaucrats.
\
Congress should not just resist this executive overreaching, but trump it: Amend existing clean air laws and restore their original intent by excluding CO2 from EPA control and reserving that power for Congress and future legislation.
\
Do it now. Do it soon. Because Big Brother isn't lurking in CIA cloak. He's knocking on your door, smiling under an EPA cap.
\
Charles Krauthammer's e-mail address is "">letters@charleskrauthammer.com.
"
9,"I recently attended a panel discussion organized by Sen. Orrin Hatch and Gov. Gary Herbert on the purported financial costs of a carbon cap-and-trade program. The panel consisted entirely of representatives of local energy companies, such as Rocky Mountain Power and the Utah Petroleum Association. Glaringly absent were environmental groups and those who support the bill. The program was discussed solely on the basis of the economic impact to consumers of energy in Utah.\One question brought up the indirect costs from allowing unchecked climate change -- the negative effects on health and the environment, which could significantly affect tourism. She was met by boos.\I was appalled both by the lack of civility and by the arrogance and ignorance of individuals who are only concerned with immediate profits and who refuse to see how their actions impact the future.\If we are going to have a real discussion on cap and trade, as opposed to a tutorial from the energy sector on preserving their profits, Hatch and Herbert need to invite representatives from both sides to discuss the costs and benefits of a cap-and-trade program in social, environmental and economic terms.\Kate Whitbeck\Salt Lake City\Credit: Public Forum Letter"
