,Full_text
0,"One of the things that made the first Earth Day, April 22, 1970, stand out is that it cut across political lines. On that day Republicans and Democrats both spoke out on the need to confront major environmental problems.\In today's political environment that may seem foreign.\But remember that the Clean Air Act, Endangered Species Act, Clean Water Act and the legislation that dealt with acid rain were signed into law by Republican presidents and enjoyed widespread support in both parties.\The fact that this should not be forgotten underscores an important point ---- no meaningful environmental legislation will get passed unless it has the support of both political parties.\Right now we see this playing out in the battle to enact meaningful climate-change legislation. Once an issue confined to the Democratic left, climate change is now in the mainstream of American politics. This change has been driven by rising extremes in weather including prolonged heat waves, record droughts, rising sea levels and the threat of stronger storms.\But now that climate change is on magazine covers and being debated by presidential candidates the question is: What kind of policy both Republicans and Democrats will support?\A cap-and-trade system is the answer. The policy both cuts the carbon pollution that causes climate change and creates new opportunities for workers and businesses.\The cap-and-trade system has a history of bipartisan support. The first President Bush used this system to combat acid rain by reducing sulfur-dioxide emissions, which are a primary cause of acid rain. Although there was initial skepticism, the program met its pollution level goals quicker than expected and for a quarter of the original estimated cost.\Fortunately bipartisan leaders are coming forward to combat climate change. A coalition lead by Sens. John Warner, R-Va., and Joe Lieberman, I-Conn., are co-sponsoring America's Climate Security Act, which would create a national cap-and-trade system. If Sen. Jim Webb, D-Va., supports the measure, it will truly show bipartisan support from our Virginia leaders in Washington.\In addition to combating global warming, the cap-and-trade program can create new economic opportunities. The cap would create demand for new sources of energy that don't give off large amounts of carbon pollution. Companies here in Virginia would respond to this demand, and the profits that come with it, by producing clean energy sources like biodiesel, ethanol and solar power. This would create high-tech, high-wage jobs for Virginia's workers.\Looking at the cap-and-trade system you get a cleaner environment and new jobs, without increasing taxes or more government spending and bureaucracy. That sounds like something that we can all support.\Coady is the field director for the Virginia Climate Initiative ( www.vaclimate.org), a coalition of Virginia citizens and businesses working to protect the state's natural heritage."
1,"The Democratic Party, particularly its liberal wing, is doing a lot of talking these days. What isn't clear is that they're listening. They seem to have missed what the nation has been saying.\Before the new Congress convened, you didn't see people rallying at the Capitol calling for cap-and-trade legislation. You didn't see marchers in front of the White House demanding wholesale health-care reform.\If Democratic leaders had inclined their ear to the conversations Americans are having around their kitchen tables and break rooms, if they could tune in to the worries that gnaw at people in the middle of the night, what they'd hear, to paraphrase Bill Clinton's mantra, is ""It's the jobs, stupid."" Which isn't actually to impugn anybody's intelligence, only to observe that the drums the Democratic congressional majority is beating are out of sync with Americans' concerns. And will actually make them worse.\Americans are worried about hanging on to their jobs. With good reason: About 6.7 million jobs have disappeared in this recession, and economists expect that employment will be the laggard in this recovery.\But the signature initiatives of the Democrats' agenda will further undermine the jobs situation.\Those initiatives include the continued bailout of financial firms begun under the Bush administration, plus rescue plans for automakers - the latter swelled by ""cash for clunkers."" They poured $787 billion into economic stimulus spending, much of it going to federal, state and local governments, protecting these jobs, even adding to their numbers.\But the trillions of dollars to pay for this will come from taxpayers, present and future. And more money going to taxes means less money for discretionary spending. That means less to buy the goods and services produced by the companies that employ the Americans who are worried about their jobs.\By protecting the jobs of government, financial and automotive workers, the Democrats' rescue plan is undermining jobs in other corners of the economy.\The public is figuring that out. According to a new USA Today/Gallup poll, most Americans worry that stimulus money is being wasted, and they're more likely to think the stimulus will make their own financial situation worse than that it will make it better.\The drivers behind health-care reform seem not to have picked up on the fact that most Americans are pretty satisfied with their coverage. Their worries tend to be about specific problems with our system, such as coverage of pre-existing conditions, sick people losing insurance and the cost of insurance and care. But instead of targeting those problems, the Democrats would clear the health-care landscape and replace it with an approach that will increase the cost to taxpayers, businesses and those who pay for insurance.\There are other things on Americans' minds, of course. They're worried about our continued involvement in war, but you can watch a lot of CSPAN without seeing evidence that it's much on Congress' mind. They're concerned about the environment, but the only aspect of that to capture Congress' attention is the cap-and-trade approach to reducing global warming.\And they are definitely worried about deficit spending and the national debt. But the policies of the administration and Congress will only make those worse.\When a majority of American voters chose ""Change we can believe in,"" they weren't believing in wholesale and expensive overhauls of systems they don't think are broken, or in a rising tide of debt that will put a chokehold on their future and that of their children."
2,"WASHINGTON -- John McCain heads to the Pacific Northwest today to propose a climate-change plan, addressing an issue integral to his presidential bid in a region that could be crucial. \The Arizona senator, who often cites climate change as a policy difference with President Bush, plans to renew support for a ""cap-and-trade"" system that ""sets clear limits on all greenhouse gases, while also allowing the sale of rights to excess emissions,"" according to excerpts of his speech released Sunday. \McCain is scheduled to speak at a wind power facility in Portland, Ore. ""The facts of global warming demand our urgent attention, especially in Washington,"" McCain says in the prepared remarks. \McCain, the presumptive GOP presidential candidate, plans to propose a series of goals for reduction of carbon emissions, ending at 60% below 1990 levels by the year 2050. \A cap-and-trade system would ""change the dynamic of our energy economy,"" McCain says in the prepared remarks. It would encourage industry to adopt or develop cleaner forms of energy, such as wind, solar, nuclear and ""clean coal."" \After a day in Oregon, McCain also is scheduled to discuss the environment Tuesday in Washington state. Those states are among those ""being discussed as target states"" for the fall campaign, said Tucker Bounds, a McCain campaign spokesman. \A native of Oregon, Bounds said voters there like politicians who work with members of the other party. ""They tend to be more independent, much more in the framework of John McCain,"" he said. \The Democratic National Committee, meanwhile, is challenging McCain's credentials as an environmentalist. It developed a list of McCain supporters who have lobbied for oil companies or run companies that have been cited for pollution. DNC Chairman Howard Dean said in a statement that McCain would ""appoint right-wing judges bent on gutting environmental regulations."" \As a senator, McCain has long backed cap-and-trade legislation. The idea is that companies that exceed emissions caps could buy credits from those that pollute less, giving them time to develop cleaner technologies without cutting production. \Bush has warned that government-imposed restrictions would hurt the U.S. economy. The administration has sponsored meetings among the world's major polluters to work out voluntary plans to reduce heat-trapping emissions. \During a recent appearance on The Daily Show, McCain talked about his differences with the Bush administration, citing climate change along with increases in federal spending and ""the failed strategy that was employed in the war in Iraq."" Democrats have repeatedly tried to link McCain to the unpopular Republican president. \Bush and McCain do agree on some environmental and energy items. Both support the increased use of nuclear power. Both also say any global climate-change agreement should include China and India, major polluters as well as international economic competitors. \In the prepared remarks, McCain says that if China and India refuse to participate in an international solution to global warming, he would work with other governments to impose some sort of ""cost equalization mechanism"" on those nations. \Environmental organizations said McCain deserves credit for his cap-and-trade proposals, but some called them inadequate in face of the threats posed by global warming. One group, the League of Conservation Voters, said McCain has a congressional career score of 24% on environmental issues. In a statement, Gene Karpinski, the group's president, said it appears that McCain ""hopes to use global warming and the environment to distance himself from the Bush administration,"" but given McCain's record, ""that distance can be measured in inches."""
3,"Reasonable people can disagree about how bad global warming will eventually be if nothing is done, and some of the doomsday scenarios might well be overblown. But virtually all climate scientists concur that it's a dire enough threat that the wise course of action is to sharply curb use of carbon-based fuels such as coal, oil and natural gas. \Ideally, that would happen without raising costs to consumers or causing some job loss, but that's a little like saying it would be nice to go to heaven without doing what's necessary to get there. Solar, wind, nuclear and virtually all lower-emission energy alternatives will cost more, at least initially. The only sure way to move from traditional fuels to a greener mix anytime soon is to begin making it more expensive to continue on the current path and let the market work out the most effective way to do it. \The simplest solution would be a gradually rising tax on carbon-based fuels. In the real world, however, that is a political non-starter, and any tax would inevitably become complex after Congress got done writing in exemptions and discounts for various groups. Further, a tax wouldn't set a hard limit on greenhouse gas emissions. \That leaves the ""cap-and-trade"" approach pending on Capitol Hill. \There are plenty of reasons to dislike cap-and-trade. It's complex, intrusive and would cost money and jobs. But if the threat of human-induced global warming is real, and the overwhelming weight of scientific evidence suggests that it is, this plan or something like it is probably the best tool the political system can produce to begin to counter it. \Cap-and-trade gets its name from the way it would work: Cap greenhouse gas emissions; sell or give away permits for emissions that are allowed; and have utilities, factories and other emitters trade those permits in a special market. A utility, for example, could either fix its plant to emit less greenhouse gases or buy permits from some other business to keep emitting a higher amount. Over time, the cap would get tighter and the permits more expensive. \It's complicated, but it works. Europe's cap-and-trade system for greenhouse gases, in place since 2005, has helped cut emissions 5% below 1990 levels, and reductions are on track to more than double by 2012. Closer to home, the U.S. began battling acid rain in 1990 with a cap-and-trade regime for sulfur dioxide, which combines with water vapor in the atmosphere to produce sulfuric acid. That plan worked better than even its supporters hoped, slashing emissions at far less cost than projected. \To combat climate change and promote clean energy, the House passed a cap-and-trade bill in June on a 219-212 vote that demonstrated how controversial the measure is. The Senate is waiting to take it up sometime after health care, and it won't be easy. Every Republican on the Senate Environment and Public Works Committee boycotted the session when the panel approved a bill this month. \The House plan certainly needs improvement. It is stuffed with favors for well-connected lobbies, a distasteful reminder of Congress' inability to focus sharply on the national interest. And critics claim consumer costs would be in the range of $3,000 or $4,000 a year per household. But the neutral, non-partisan Congressional Budget Office paints a more manageable picture. \CBO's analysis of the House bill forecasts an average net cost per household of $175 a year, with the lowest-income households receiving $40 a year in benefits and the highest-income households paying $245. CBO projects that job loss could be ""significant"" in industries tied to traditional fuels but would be offset by new jobs elsewhere. That all seems an acceptable price compared with the potential consequences of global warming -- melting ice caps, rising sea levels, droughts and wildfires, shifting agricultural patterns and political instability. \Perhaps the most potent arguments against cap-and-trade are that unilateral U.S. action wouldn't be enough to reverse global warming, and that it would be self-destructive for the U.S. to act without ensuring that rapidly growing greenhouse gas polluters, such as China and India, also limit emissions. \Taken together, though, these criticisms amount to an argument for doing nothing, which is simply not an option after years of official U.S. indifference. When world leaders gather next month in Copenhagen to try to set a framework for international action, they'll be looking to the U.S. for direction. \It's true that if the U.S. acts, there's no guarantee others will go along. But it's a virtual certainty that if the U.S. doesn't lead, then no one else is likely to follow."
4,"
Cap-and-trade system will give us energy to keep us safe and growing
\
To the Editor:
\
Everyone knows that our economy has hit a rough patch. But it is important to remember that over the years our economy has weathered many storms and been able to grow and diversify at an astonishing rate. This growth has created new products and raised the standard of living for millions of people around the world.
\
But for our economy to grow over the long term we need a steady and stable supply of energy. The progress we have worked so hard to achieve could be permanently lost if we do not develop a solid plan for our nation's energy security.
\
Generally, when someone refers to energy, there is a good chance they are talking about oil. The cars we drive to work, the trucks that transport goods across the country and other big pieces of our economy depend on oil. As we have seen in recent months, these are all costing more as gas prices sky rocket. If OPEC raises oil prices even more, our economy will be hit by even worse inflation and energy shortages.
\
In addition to its rising costs, oil carries serious national security risks. We depend on unstable regions and regimes, like Venezuela and the Middle East, to continue selling us oil which complicates diplomatic efforts
\
Using too much oil also threatens the environment. Burning oil releases carbon dioxide into the atmosphere, contributing to global warming. CO2 is the most abundant of the primary greenhouse gases, and because of its profusion, it has the greatest environmental impact. Scientists warn that if we allow this to continue, extreme weather conditions like long droughts, rising sea levels, and stronger hurricanes will become more common.
\
The current energy situation may seem dire, but there are ways to ensure future energy and economic stability while taking steps to protect the earth against climate change.
\
If Congress wants to address these problems, the best thing they can do is pass legislation that cuts the carbon pollution that comes from burning oil and frees the market to pick the best way to do it.
\
This system would encourage businesses to innovate and create economic opportunities, while making us less dependent on foreign oil.
\
Under this new cap, companies would be rewarded for shifting away from fuels like oil, which give off high levels of greenhouse gases, to cleaner energy sources including wind power, biodiesel, and ethanol. Power producers will be encouraged to run more efficient facilities, which will lower electricity prices.
\
An increased demand for energy efficiency would spur businesses to cater to the new market by developing new, energy efficient products, creating new manufacturing jobs in Virginia and across the country.
\
When businesses use less oil, because of a combination of using energy efficient technology and cleaner fuels, we will no longer have to send billions of dollars over to the Middle East and other unstable oil producing areas. This would keep resources here, where they could further fuel our economy.
\
But if we want these new economic opportunities to open up, we need leaders in Washington, D.C. like Congressman J. Randy Forbes. Rep. Forbes, R-Va., is sponsoring the New Manhattan Project for Energy Independence. The plan calls for the U.S. to achieve 50 percent energy independence in 10 years and 100 percent energy independence in 20 years.
\
We support what Rep. Forbes is trying to do, but the question of how to fund such a program must be addressed.
\
Senators John Warner and John McCain also recognize the need for action to gain energy independence which is why they support cap-and-trade as the means to get there. This system utilizes the market to find the best way to limit overall carbon emissions. A cap-and-trade system would not only result in a cleaner environment, but it would also help spur new economic opportunities here in Virginia by encouraging innovation in clean energy technologies. Cap-and-Trade can help fund the New Manhattan Project and we encourage Congressman Forbes to make it a part of his program.
\
We know we need to protect and strengthen our country, environment, and economy from growing threats. Making America energy independent will allow us to do all three. The only question is how long will Congress wait to give us the chance to get there?
\
Rob Jones, Director
\
Virginia Climate Initiative
\
Richmond
\
McCain is out of touch with average Americans
\
To the Editor:
\
John McCain is truly out of touch with the average American citizens.
\
He does not have a full grasp of the current economic situation and how it is negatively impacting millions of working class people.
\
It is time for change -- Barack Obama will restore what the United States used to be... a place where everyone counts!
\
Thomas Bock
\
Suffolk
"
5,"In scouting for big differences between the two candidates for governor, Virginia voters can look to the environment as one issue offering a stark contrast.\Based on voting records, position papers, campaign platforms and interviews with friends and foes, two images become clear: State Sen. Creigh Deeds, the Democrat, is the choice of environmentalists and progressives who want more attention and action on protecting things green, and who favor a faster shift away from fossil fuels.\Former Attorney General Bob McDonnell, the Republican, is the clear champion of business and industry interests, who want fewer environmental rules, which they say often complicates economic development with higher costs and hassles, and who favor a slower, more deliberate transition to alternative energy.\Deeds, a lawyer from Bath County west of Charlottesville, has been endorsed by the Virginia League of Conservation Voters and the Sierra Club. He has sponsored land-conservation initiatives, authored a law to punish ""bad-actor"" farmers caught polluting and helped to create a state fund for cleaning up abandoned landfills that leak toxic wastes.\McDonnell, too, has backed tax incentives that promote land conservation. And he's pledged to increase those incentives as part of a larger promise to protect 400,000 acres of undeveloped property.\During his time as a state delegate from Virginia Beach, McDonnell was perhaps best known for his anti-environmental positions, including efforts to limit, and terminate, a state wetlands-protection program approved over his no vote in 2000.\In speeches, McDonnell can sound like former Gov. George Allen in appealing for a ""business-first"" approach to state government that keeps taxes and regulation ""at a minimum.""\McDonnell, a military veteran and attorney, has been endorsed by several business groups, including the Virginia Association of Realtors.\He receives generous contributions from developers and oil, gas and electric companies, as well as Smithfield Foods, the meat-packing giant, and its director Joe Luter.\Speaking in Norfolk last week, McDonnell described a cap-and-trade proposal pending in Congress to tackle climate change as ""a horrible new energy tax."" He urged Congress to defeat the measure, which President Barack Obama and Gov. Timothy M. Kaine endorse.\Deeds served on Kaine's Climate Change Commission last year. He said in a recent debate that he believes global warming is a serious problem but does not favor the cap-and-trade plan.\McDonnell supports drilling for oil and natural gas at least 50 miles off the Virginia Beach coast, expanding nuclear power by ""getting more of those reactors on line"" and exploiting the state's ""incredible natural resources"" such as coal and natural gas.\Deeds is more measured when discussing fossil fuels. He says he ""remains open"" to offshore drilling if done safely and without interruption of military training and commercial fishing.\He could support more nuclear energy, he says, ""provided we first address all issues critical to safety, including national security, disposal and the safe operation of any plant.""\Deeds says Virginia's energy portfolio must be balanced and include coal and gas extraction as well as coal-fired power plants, such as the one under construction in Wise County by Virginia Dominion Power, the state's largest electric utility. Environmentalists are challenging the project in court.\McDonnell says he fully supports a larger coal-fired plant proposed in Surry County by Old Dominion Electric Cooperative. Deeds is less committal, saying ""all options should be on the table.""\Both candidates say they would encourage alternative energy and seek to create more green jobs, though Deeds offers more specifics on how he would accomplish both.\The gap between Democratic and Republican candidates has long been wide in Virginia politics, especially in gubernatorial elections, but the difference this year ""is about as clear as you can get,"" said Lisa Guthrie, executive director of the state League of Conservation Voters."
6,"A good first step\The House of Representatives recently passed the American Clean Energy and Security Act. Although it includes a variety of items, most importantly it establishes a ""cap-and-trade"" system for carbon emissions. The bill sets a national limit on carbon emissions and creates a market for trading the right to pollute. This is the critical first step to weaning our economy off fossil fuel - a must for slowing global climate change and the acidification of the oceans. But it awaits passage by the Senate.\Historically, the economics of fossil fuel consumption stemmed from the costs of finding, extracting, processing, transporting and burning it. Consumer demand and supply set the price (and sometimes taxes, such as those on gasoline, add to the cost). Missing in this chain is the link to the very real cost of pollution created by the fossil fuel industry. As it stands, Dominion Power pays for the coal it burns, but not for carbon dioxide pollution it produces. While no one receives a bill for the pollution, we all pay for it with a degraded environment, the consequences of which will fall most heavily on our descendants.\The cap-and-trade system will include the cost of carbon dioxide pollution in the price of energy production from fossil fuels. This will make fossil fuels more expensive to consume, spurring the development of sustainable and nonpolluting sources of energy such as wind and solar. Detractors complain that cap and trade is essentially a tax on fossil fuel consumption. They fail to understand that fossil fuel consumption already taxes the environment, which is clearly buckling from the burden.\Cap and trade really does work to significantly reduce pollution. In the 1990s the Environmental Protection Agency showed great success with such a system to reduce coal plant emissions that cause acid rain. This proven system can do the same for carbon pollution. Voters should contact Sens. Mark Warner and Jim Webb and Reps. Glenn Nye and Rob Wittman to let them know that now is the time to support a cap-and-trade system\Benjamin Cuker\Hampton\Cleaning it up\I commend Newport News City Councilwoman Tina Vick's efforts in appropriating funds to revitalize the ast end of Jefferson Avenue.\My business dealings take me through the area several times a week. It seems to me that the efforts could start today. If the residents of the area would stop using the streets as a trash can and properly dispose of their waste paper, it would go a long way in showing that they are concerned about the neighborhood's appearance. The city could then pursue additional efforts toward revitalization.\Charlie Tiedeken\Newport News"
7,"Those who are unwilling to look at reducing carbon emissions despite the record increases in tornadoes, hurricanes, flooding, droughts and polar ice cap melting should ask themselves how it is possible to dump ""tens of millions of tons a day"" of heat-trapping gases into the atmosphere without long-term negative effects like heat trapping (""What's going down? Not temperatures, or your AC bill,"" Our view, Heat wave debate, Thursday)? \Climate change skeptic Rep. Max Thornberry, R-Texas, warns against ""jumping to conclusions."" He argues that if we invest in reducing carbon emissions, China will not follow suit, and that a ""cap and trade"" or similar proposal will cost the taxpayer money; however, the cost of not doing anything is incalculable. He also argues that the solution should not come from Washington, which might make the problem worse. Maybe the writer is implying that the solution should come from China; he apparently believes that country should take the lead. \He asks that we should ""pray for rain."" While we're at it, we could also pray that our congressional leaders have the skills to develop programs that focus on jobs and the economy, as well as crafting regulations that lead to a healthier environment, and that we the people have the wisdom to choose representatives who do. \Susan A. MacDermaid \Ann Arbor, Mich. \Bring troops home \I can't believe that I agree with Medea Benjamin, co-founder of that despicable group Code Pink! However, she hit the nail on the head in the opposing view ""'It's time to get out'"" (Afghanistan debate, Wednesday). \Afghanistan is not worth one more drop of American blood nor one red cent. We need to declare victory and bring all our armed forces home. Now, not in six months. Too many have already paid too high a price. \Larry Schwartz \Ellisville, Mo. \Benefits of brevity \Al Neuharth's short but to the point column ""New book tells us how to tell it simply"" summarizes why I love to start each day reading USA TODAY. It's concise, informative and easy to understand, without becoming too wordy (The Forum, Friday). \In 1982, USA TODAY got its format right for today's hectic world with 24/7 news coverage on cable TV, Internet and cellphones. \With so much demand on our time, one can easily read and enjoy USA TODAY, get all the pertinent national news, and ""avoid long-worded, longwindedness."" \Cecile Whitney \Newport Beach, Calif. \Beware of hacking \One of the issues listed in USA TODAY's article about people using smartphones to pay for purchases in stores was about security (""Mobile payments gain traction,"" Cover story, News, Thursday). \How is it that the article missed one of the largest security issues, namely hacking? Sure you can lose your phone, you can stop it remotely and you will notice it is gone. \However, you may not know your phone and all that nice private stuff has been hacked, even though one uses the latest and greatest security tools available to consumers, until financial damage has occurred. \Russ Larkin \North Augusta, S.C."
8,"With Republicans set to control the U.S. House of Representatives, many environmental advocates view the next six weeks as their best chance to pass climate and energy legislation.\Gone is the idea of a cap-and-trade program on carbon emissions, which was shelved months ago after U.S. Sen. Lindsay Graham, R-S.C., withdrew his support for the bill.\Still, federal lawmakers in the coming weeks may consider a handful of less controversial bills that will have implications in Virginia. Among them is the renewable electricity standard, which would require utilities to generate 15 percent of their power from alternative energy sources, such as wind, solar, and biomass, by 2021.\""We think that that might come through this year,"" said J.R. Tolbert, assistant director for the Virginia chapter of the Sierra Club.\Introduced by U.S. Sen. Jeff Bingham, D-N.M., who is chairman of the Senate's Energy and Natural Resources Committee, the bill has 34 co-sponsors. Virginia's Democratic Sens. Jim Webb and Mark Warner are not co-sponsors.\The bill could push states, such as Virginia, without mandated renewable energy goals away from fossil fuels. Reliant on coal, nuclear and natural gas, roughly 3 percent of Virginia's power comes from renewable energy.\It also would help develop industries, such as offshore wind power, which could lead to manufacturing jobs in Hampton Roads or other East Coast ports.\Aviv Goldsmith, managing director of development for New Jersey-based wind power company Fishermen's Energy, said required alternative energy goals will help spur the nascent industry forward.\""We are a firm believer in state-by-state mandated renewable energy portfolios,"" he said Wednesday at an environment forum Wednesday in Hampton.\Gov. Bob McDonnell's administration rejects the idea because renewable energy is typically more expensive than fossil fuels. With the economy slumping, it's not the right time for policy that could cause energy prices to spike, state Secretary of Natural Resources Doug Domenech said.\""We don't feel like we should be forcing people into that,"" he said.\The House passed an oil-spill response bill earlier this summer, but the Senate is mired in debate because of an unlimited liability clause that Republicans and some Democrats say could put small oil companies out of business.\If approved, the legislation could help the industry move forward after the disastrous Gulf of Mexico oil spill that prompted federal regulators to close Virginia's coast to offshore drilling. McDonnell last month reiterated his support for offshore drilling, saying it will create jobs and help secure the nation's energy needs.\Also under consideration is a $100 billion tax package that could include credits for energy efficiency and biofuels development.\Virginia leaders in these industries have said additional investment is needed because money from the American Reinvestment and Recovery Act of 2009, also known as the federal stimulus package, is running out."
9,"C.J. Wheeler feels like he has been picking up trash everywhere at the 2010 National Scout Jamboree.\Though he is a little disappointed in other Scouts, the 16-year-old from Henrico County was encouraged by how many people joined him at the Conservation Environment Area yesterday.\""It's really good to see that everyone is looking at it and trying to keep things clean for the future,"" Wheeler said.\As he made his way through the 25 exhibits at Fort A.P. Hill with Jason Bamford, 17, of Midlothian, the two expressed frustration with the BP oil spill in the Gulf of Mexico.\""It's just sad that big oil companies don't take seriously the regulations,"" Wheeler said. ""They just kind of glaze over stuff to just continue to do what they want.""\Bamford grew more optimistic as he learned how his generation can help protect the environment.\""I just think we need to step up,"" Bamford said.\Bamford and Wheeler are among more than 40,000 Scouts, leaders and staff members at Fort A.P. Hill for the 10-day Jamboree, which concludes tomorrow.\Enabling Scouts with the knowledge to ""step up"" is a goal of the Conservation Environment Area.\Each exhibit stressed the growth potential of jobs in environmental industries. National Wildlife law enforcement officers spoke with Scouts, as did civil engineers and attorneys in environmental law.\Older Scouts discussed national regulations and international treaties concerning energy use. A representative from the Air and Waste Management Association engaged Scouts on air-quality issues. Another instructor encouraged Scouts to talk to their parents about electricity use and how cap-and-trade laws would affect energy costs.\""I think they're picking it up,"" said Henry Graham, an instructor from the Water Environment Federation. ""But we try not to overwhelm them.""\Graham and Scout leaders who work in the water-treatment field taught Scouts about the importance of wastewater treatment. Scouts were reminded to avoid putting household cleaning products, grease and prescription medicine down drains. Graham explained that such products should not go through septic tanks and wastewater treatment facilities. Chemicals in household cleaning products kill the bacteria needed for breaking down natural waste.\Scouts also got to crawl through clean sewer pipes set up between exhibits. ""The only thing that's been through these sewers is Scouts,"" Graham joked.\Another set of instructors waited at the other end of the sewer lines to show Scouts how pH tests work.\Wheeler said he's proud of his troop's awareness of the environment and plans to share what he learned in the Conservation Environment Area.\""Our troop, we're pretty good about it,"" Wheeler said. ""We make sure we clean after every meal and before every meal. Our camp is really clean."""
