,Full_text
0,"Wisconsin's two U.S. senators wisely voted against a sneaky attempt to ram cap-and-trade legislation through the Senate this month.\Sens. Herb Kohl and Russ Feingold joined 24 other Democrats and all 41 Republicans in rejecting a procedural move that would have limited debate and amendments - and prevented a filibuster - on this complex issue.\Climate change is a serious threat that requires a broad range of action to reduce greenhouse gas emissions. A cap-and-trade system that essentially taxes carbon energy may be justified if it's designed carefully with the environment and the economy in mind. Such a system could significantly boost cleaner energy alternatives and technology.\But rushing such sweeping policy through the Senate using a procedural trick intended only for narrow budget action would be wrong.\""We have to take a look at what's in proposals and how it impacts the economy and jobs in the (Midwest), where we have so much coal to get our energy,"" Kohl told the Milwaukee Journal Sentinel. ""That's a very complicated thing.""\Feingold said in a written statement that the parliamentary procedure in question, called ""reconciliation,"" has a narrow purpose - deficit reduction - that doesn't apply to cap and trade.\""I have strongly opposed past efforts to use reconciliation to address policy matters, such as drilling in the Arctic National Wildlife Refuge,"" Feingold said. ""It wasn't appropriate then. It isn't appropriate now.""\That means cap and trade will need at least 60 votes to ensure passage, rather than a bare majority of 50.\If designed well, cap-and-trade legislation could cap carbon emissions and require those companies that exceed the cap to buy or trade credits. It would use market-based principles rather than inflexible regulations.\But if designed poorly, Wisconsin and other states that rely heavily on coal for energy to power homes, businesses and manufacturing plants could be socked with fat bills that further stall the economy.\Kohl and Feingold wisely helped stop their Democratic colleagues from short-circuiting the process for debate and refinement. A rush job of federal legislation that batters Wisconsin's economy isn't the answer."
1,"Conservation and stewardship. Aren't they core Republican values?\It is hard to imagine how someone can be considered a conservative if they don't want to be conservative with the most important thing we have -- our environment. Some even perpetuate the myth that conservation and environmental protection are liberal causes to justify their opposition.\Past Republican leaders have been strong advocates for the environment and were responsible for enacting some of our most significant environmental legislation. Theodore Roosevelt was responsible for greatly expanding our national parks system. Richard Nixon enacted many of the nation's landmark environmental laws, including creation of the EPA. Gerald Ford adopted the motor vehicle fuel-efficiency standards, the creation of 18 national parks and designation of 3.4 million acres of wilderness areas.\Ronald Reagan preserved a total of 10.6 million acres of wilderness. He signed the Montreal Protocol, which dramatically reduced depletion of the upper-atmosphere's protective ozone layer. He developed a cap-and-trade system that prevented acid rain from blowing into Canada.\John McCain, during his 2008 presidential campaign, proposed a pragmatic national energy policy based upon good stewardship, good science and reasonableness. He co-sponsored cap-and-trade bills in the Senate in 2003, 2005 and 2007.Cap-and-trade once was considered the market solution to reducing carbon emissions.\But now, Republican leaders are claiming cap-and-trade would cost too much; but the Congressional Budget Office estimates the cost would average $175 per household and that associated savings would reduce the federal deficit by about $19 billion by 2020. The misinformation, the damage to the environment and the additional expense that would be caused by not acting should alarm traditional Republicans. However, according to the Republicans for Environmental Protection, ""the GOP establishment has lost sight of its core conservative values, largely due to the influence of corporate lobbies and political leaders beholden to them for campaign support.""\Do Republicans need to reclaim their environmental leadership role?\Kim Everett\Mishicot"
2,"
(EDITOR'S NOTE: The writer is addressing the question, Will cap-and-trade legislation currently before Congress make businesses less competitive?
\
""Cap-and-trade"" sounds fabulous: Those who emit carbon dioxide will have to obtain permits for their emissions. If they are able to reduce emissions cheaply, they will cut their emissions, enabling them to sell the permits they don't need to those who can't cut emissions as cheaply.
\
Thus, the efficient are rewarded, the environment saved. But once you read the fine print, cap-and-trade doesn't look as good.
\
First, for the system to be effective the permits must be worth something. Permits are valuable only if there are not enough of them available for current emissions levels.
\
President Obama originally proposed selling the permits through an auction, but special interests have already watered down the bill to provide that 80 percent of the permits will be given to existing emitters. The same thing happened under the European Union's plan, which failed miserably. As a result of the giveaway, the desired reductions won't appear.
\
Let's ignore that problem and imagine Congress decides on a system that will cut emissions.
\
As American legislation, the cap-and-trade system applies only to American emissions, but only 22.2 percent of the world's carbon-dioxide emissions come from U.S. sources.
\
Because it is world emissions that potentially affect the climate, reducing just one country's emissions does little good unless worldwide emissions are cut. As major sources such as China (18.4 percent), European Union (15 percent), Russia (5.6 percent), India (4.9 percent) and Japan (4.6 percent) have not yet agreed to reduce emissions, and many developing countries' emissions are increasing as their economies grow, reducing U.S. emissions merely puts American companies at a disadvantage to foreign competitors.
\
Worse, by reducing U.S. emissions before we reach an agreement with other source countries, the United States would give up its most valuable negotiating chip without getting anything in return.
\
Because many major emitters, including China and India, have shown no willingness to reduce emissions on their own, a unilateral move by the United States makes it less likely that we will be able to negotiate an effective worldwide agreement.
\
Even if we could get other countries to sign on, a cap-and-trade system that works will be an economic disaster because it will raise prices of everything.
\
Unlike many other pollutants, carbon-dioxide emissions are the product of the combustion of carbon-based energy sources such as coal, oil, wood, and natural gas. Some 98 percent of U.S. carbon dioxide emissions are energy-related.
\
Cutting carbon-dioxide emissions thus isn't a matter of tweaking an existing process or adding a filter to a smokestack--it requires either dramatic changes in energy production or major reductions in energy use.
\
For example, the federal Energy Information Administration's calculation of total system costs for land-based wind-generated power turn out to be more than 50 percent greater than conventional coal or natural gas power.
\
Solar photovoltaic electricity costs four times as much as power from coal or natural gas. Even if we could quickly increase wind's contribution from the 1.3 percent of electricity it generated in 2008, and reduce the percentage generated from fossil fuels from 70.9 percent, the cost of doing so would be staggering.
\
Yet to actually reduce emissions, cap-and-trade must significantly raise energy prices, and so the price of everything made using energy will go up. Such widespread price increases will likely produce both inflation and unemployment, returning us to the stagflation of the 1970s.
\
Cap-and-trade sounds good, but what it offers is either a chance for politicians to reward special interests or a road to economic ruin. As players in a struggling world economy, we can't afford either.
\
Andrew P. Morriss is the H. Ross & Helen Workman Professor of Law and Business and professor at the Institute of Government and Public Affairs, University of Illinois at Urbana-Champaign. Readers may write to him at UI College of Law, 504 East Pennsylvania Ave., Champaign, Ill. 61820.
\
Credit: ANDREW P. MORRISS
"
3,"
Some environmentalist groups say climate change legislation pending in Congress doesn't go far enough. Some industrial groups say it goes too far. But we're with those who say the legislation provides a good step in the right direction, one that can be built on or adjusted as time goes on.
\
According to the preponderance of scientific opinion, climate change is here, and human activity is a primary cause. Reversing that course will require leadership from the United States, and that requires leadership from the Obama administration and Congress, leadership that could start with legislation now on the table.
\
Such legislation would put in place a cap-and-trade system that places a cost on carbon dioxide emissions and other greenhouse gases released into the atmosphere. The system would limit the amount of emissions and then seek to reduce them over time to help keep the concentration of gases in the air from reaching dangerous levels.
\
Those who argue that the legislation doesn't go far enough are placing the ideal above what's possible now. And what's possible now is the creation of a cap-and-trade system that places a limit on greenhouse gas emissions and then moves toward reducing those emissions.
\
Those who argue that the bill goes too far are ignoring the reality of what's already happening. The climate is changing, and humans are having an impact on that change. If countries can mitigate that change, so much the better. And while key players such as India and China have yet to sign on to the global effort to reduce the human impact, if the United States sets the course, others may follow.
\
It's a course most Americans support: According to Environment and Energy Publishing, the Democratic firm Mellman Group and the Republican group Public Opinion Strategies conducted a survey that found that 78% of voters still want the United States to reduce greenhouse gas emissions. That number is virtually unchanged since the firms asked that question in March -- prior to the start of the House energy debate -- when 77% supported action to reduce emissions.
\
Additionally, 72% of voters support the core principles of the energy legislation that would reduce emissions and force expanded use of renewable energy. Eighteen percent oppose such legislation.
\
Legislation moving through Congress seeks to reduce emissions to 17% percent below 2005 levels by 2020. To do that, it would create a cap-and-trade system in which polluters would be required to obtain credits -- which could be bought and sold -- for the greenhouse gases they produce. But the bill, which early Friday was running to more than 1,200 pages, also contains a system of caveats, safety valves and rule changes meant to satisfy unhappy Democrats, many from farming states.
\
The resulting legislation could significantly change the U.S. energy industry and build new businesses in carbon trading and so-called green technology.
\
Under the plan, emitters would have to reduce their emissions or buy credits to keep releasing the gases. The value of carbon credits in the U.S. could reach as much as $220 billion in the first year alone. At first, the government would give away the vast majority of those credits. The rest would be auctioned off, and the majority of the revenue from those sales would be used to help consumers offset increases in energy costs through credits or rebates, supporters note.
\
The Washington Post reported Friday that the bill gives some emissions credits free to rural electric cooperatives so they can sell them and use the money to cushion consumers. And it gives the Department of Agriculture, not the Environmental Protection Agency, oversight of a key program. That would allow farmers to sell ""offsets"" for carbon dioxide that their crops soak up from the air or for reducing greenhouse gases from animal waste.
\
The cost of energy consumption would go up, and that's a reason for concern, especially in the Midwest and Wisconsin, as Diana Marrero and Thomas Content of the Journal Sentinel reported in an article last week. Wisconsin is more reliant than most states on coal plants, a primary factor in carbon emissions. People in the Midwest also are more likely to drive greater distances, operate farms or work in manufacturing than those who live in coastal states.
\
Among others, Journal Sentinel business columnist John Torinus and Rep. Jim Sensenbrenner (R-Wis.) have sounded warnings about cost. Such warnings deserve attention, but the bottom line has to be a serious strategy to significantly reduce emissions before it's too late to affect warming trends.
\
And estimates on the cost of the bill vary widely. Some critics have placed it at as high as $1,000 or more annually for the average household by 2020. But the U.S. Environmental Protection Agency estimates that the costs to consumers and businesses would be too small to significantly dampen economic growth, and the Congressional Budget Office has estimated the cost at $175 per household with offsets.
\
Wisconsin manufacturing jobs could also benefit if the legislation spurs an upsurge in so-called green technology jobs in the fields of conservation and renewable energy production.
\
The reality is that something needs to be done. ""Climate change is going to be addressed, so we better figure out how to do it in a way that is not only effective but protects our industries and energy costs as best as we can,"" said Roy Thilly, chief executive of WPPI Energy in Sun Prairie and co-chairman of the Governor's Task Force on Global Warming. Thilly is right, and the Wisconsin delegation should help make sure that the legislation that Obama eventually signs strikes the right balance.
\
The bottom line is that the nation needs to move now on climate change. There will be a cost in acting, but it won't be nearly as great as the cost of doing nothing.
\
What do you think about a cap-and-trade system? E-mail your opinion to jsedit@journalsentinel.com to be considered for publication as a letter to the editor. Please see letters guidelines.
\
Copyright 2009, Journal Sentinel Inc. All rights reserved. (Note: This notice does not apply to those news items already copyrighted and received through wire services or other media.)
"
4," Sen. Russ Feingold accused the Bush administration Sunday night of succumbing to special interests instead of adopting stricter restrictions on mercury pollution.\ Speaking in Madison at the International Conference on Mercury as a Global Pollutant, the Wisconsin Democrat also condemned the Environmental Protection Agency's ""cap-and-trade"" mercury rule, which aims to reduce environmental mercury by 21 percent by 2010 and 69 percent by 2018.\ In the cap-and-trade system, each state willing to participate must meet a mercury standard set by the EPA. The cap-and-trade rule, which was adopted in March 2005, uses the same method as the EPA's acid rain program.\ Feingold attacked the EPA for failing to respond to its own mercury research and create a stricter, more immediately effective plan.\ ""The need for stringent mercury controls has never been more urgent,"" Feingold said to a packed ballroom at the Monona Terrace Convention Center. ""The rule we have now turns back the clock 10 years.""\ Representatives of the EPA are attending the conference.\ An EPA air specialist spokesperson in Washington would not comment today because no transcript of Feingold's speech was available.\ Feingold's Washington office was unable this morning to provide an alternative to the cap-and-trade program. But a staff member did point to a Senate Environment and Public Works Committee vote in May to restore the quality of the Great Lakes. Feingold co-sponsored the effort, which includes reducing mercury levels in the water.\ Feingold also said he has significant backing in the Senate for stronger mercury controls that could gain momentum depending on who has control of Congress after November's midterm elections.\ ""I have hope that we can quickly reverse this rule,"" Feingold said.\ Though Feingold garnered laughter and applause from an audience of international activists, politicians and scholars, not all were convinced.\ ""I think some of his comments were a little strong and a bit (of) rhetoric,"" said John Jansen, principal scientist for Southern Company, an electricity supplier serving Georgia, Alabama and Mississippi. ""The cap-and-trade program is not a step backwards.""\ The conference, which will run through Friday, is the first of an annual series to produce a declaration summarizing findings of expert panels. The conference also will give independent researchers, students and non-government agencies the opportunity to share their work and take part in conference committees.\ Research on mercury exposure has found that high levels of mercury pose many health risks, from asthma, to nervous system problems, to a lowered IQ."
5,"
Wisconsin lawmakers are paying more attention to the environment than at any time in the past decade.
\
Pollution bans, river and groundwater protections, pro-hunting and fishing initiatives, and measures to fight global warming are getting strong consideration, even as the state grapples with record budget deficits.
\
""It's been an incredibly proactive pro-conservation session,"" said Jennifer Giegerich, capitol liaison with the Wisconsin League of Conservation Voters.
\
The activity has been pushed along by Democrats, who took control of both houses of the Legislature in January. But it's also driven by a sharper interest in energy and environmental issues, especially renewable power and strategies to control greenhouse gas emissions.
\
""What you've seen is that we had about a dozen years of rather relaxed efforts on environmental legislation,"" said Rep. Spencer Black (D-Madison), chairman of the Assembly Natural Resources Committee. ""Now we are going full steam.""
\
Environmentalists say they are better organized than when Republicans controlled the Assembly and environmentalists had to fight efforts to thwart green regulation.
\
And, ""the public is demanding it -- it sits well with constituents back home,"" said George Meyer, executive director of the Wisconsin Wildlife Federation.
\
Republicans have complained about the cost of some initiatives and emphasize that the most important issues have not been passed.
\
""We have a different viewpoint,"" said Rep. Scott Gunderson (R-Waterford). ""They (the Democrats) don't always look at the economy.""
\
One example: He said many are worried about a proposal to place stricter limits on the use of groundwater, which might harm industry and agriculture.
\
So far this year, the state's deficit has dominated lawmakers' attention.
\
Environmentalists pleased
\
Still, environmentalists say they are pleased with what they see as substantial progress:
\
- A bill banning the use of phosphorus in most lawn fertilizers has been signed into law.
\
- Two northern Wisconsin rivers -- portions of the Brunsweiler and Totagatic -- are getting state Wild Rivers designation, which limits development. The rivers are only the fourth and fifth to achieve the status since the law was adopted more than 40 years ago.
\
- The influential Joint Finance Committee has more than doubled tipping fees that communities are required to pay to send garbage to landfills. The measure, which has angered many communities, would raise tax revenue for other uses. Environmentalists say it will discourage people from throwing away more garbage.
\
- A bill banning electronic waste from landfills, patterned after Minnesota's, has cleared the full Senate and an Assembly committee.
\
- Oil filters and material used to clean up oil might also be kept out of landfills. On Tuesday, the Assembly is scheduled to vote on the ban.
\
- A bipartisan bill would give authority to the state Public Service Commission to determine the best permitting standards for wind farms. The measure has been approved by an Assembly committee. It would replace a patchwork of local regulations that wind advocates say dissuades investment in the technology. More than a dozen wind projects have been slowed by local opposition in the state.
\
- At a time when hunting participation is declining, a bill that establishes a mentoring program for hunters as young as 10 is awaiting the signature of Gov. Jim Doyle.
\
- Doyle has also signed legislation that delays the start of the musky fishing season in northern Wisconsin until after the spawning season in the spring.
\
Greenhouse gases
\
Once the budget is approved, more contentious issues are expected.
\
The biggest: What role will Wisconsin play in controlling carbon dioxide emissions?
\
The majority of climate scientists say greenhouse gases from power plants, cars and other sources are contributing to global warming.
\
""All other bills will pale in comparison,"" said Scott Manley, director of environmental policy for Wisconsin Manufacturers & Commerce.
\
The Doyle administration and legislative leaders have been meeting privately on the legislation, but the recommendations of Doyle's task force on global warming are expected to be the template for legislative proposals.
\
The task force recommendations include cuts in greenhouse gas emissions by 75% from 2005 levels by 2050.
\
Another proposal calls for the state to obtain 25% of its electricity from renewable sources by 2025.
\
A third proposal supports participation in a cap-and-trade program that uses the market to limit carbon emissions.
\
The task force said it prefers a national cap-and-trade system. But one option under consideration, if Congress is slow to act, is a regional cap-and-trade program in which high-carbon companies in the Midwest could trade emissions among themselves.
\
The concept of a cap-and-trade system -- especially the regional approach -- worries business groups because the Midwest heavily depends on coal for electricity.
\
""That would be devastating to the regional economy,"" Manley said.
\
Businesses and environmentalists also are gearing up for a fight over what renewable power really means. Environmentalists want to see more electricity generated from renewable sources to come from Wisconsin -- not shipped over power lines from other states.
\
And finally, despite opposition from Doyle and business groups, a majority of lawmakers in both houses have cosponsored legislation giving back control of the Department of Natural Resources to the seven-member Natural Resources Board.
\
Since 1995, governors have had the power to appoint the head of the environmental enforcement and conservation agency.
\
That's long angered environmentalists who believe the system puts too much authority over an agency that was created to be insulated from politics into the hands of the governor.
\
Doyle long held the same opinion. But in January, he raised doubts about his support for an independent secretary.
\
His position is even clearer now:
\
Through a spokesman, Doyle said last week he now supports the system in which a DNR secretary is answerable to him.
\
Copyright 2009, Journal Sentinel Inc. All rights reserved. (Note: This notice does not apply to those news items already copyrighted and received through wire services or other media.)
"
6,"
Bush administration lags in clearing the air
\
By PAUL KRUGMAN
\
Sunday, April 28, 2002
\
On Earth Day, President Bush staged a photo op in the wilderness and touted his ""clean skies"" initiative. Democrats jeered and called him a tool of polluting interests.
\
Is there anything good to say about the Bush administration's air quality plans? The answer is yes. But -- you knew there would be a but -- the good stuff is tentative and inadequate, while the bad stuff is being instituted with alacrity and determination.
\
The current system for controlling air pollution badly needs an overhaul. Back in the 1970s, the Clean Air Act set strict rules -- but only for ""new"" sources of pollution. Existing power plants, factories and so on were grandfathered. The idea was that over time, old, dirty facilities would close down.
\
The result was predictable. Polluters kept those old facilities operating, precisely because they were exempted from the new rules. Corporations poured money into existing power plants and factories, expanding their capacity, rather than build new ones.
\
The Clinton administration tried to crack down on this practice, suing companies that it said were creating new pollution sources under the guise of maintaining old ones. Not surprisingly, polluters hated ""new source review,"" and they contributed millions to Bush's campaign.
\
There ought to be a better way, and there is. It's called ""cap and trade."" Under cap and trade, existing pollution sources receive permits to emit specified amounts of pollutants -- but they can sell those permits to others. This creates an incentive to reduce pollution from old facilities in order to free permits for sale. Cap and trade has been instituted for some pollutants, notably sulfur dioxide from power plants, with great success. By gradually reducing the number of permits, the government can use cap and trade to achieve long-term reductions in pollution.
\
Sure enough, the substantive part of the Bush administration's air pollution plan is a cap-and-trade system for sulfur dioxide, nitrogen oxides and mercury. So what is there to complain about? Alas, lots.
\
First, the plan conspicuously fails to include carbon dioxide, the main cause of global warming. Aside from violating one of Bush's campaign pledges, this omission casts a long shadow over future policy. Environmental experts tell me that it would be much cheaper to reduce carbon dioxide emissions as part of an integrated, multipollutant strategy than to add carbon dioxide controls later, after key investment decisions have already been made. So by doing nothing about global warming, this administration compromises the policies of future administrations, too.
\
Second, the Bush plan still allows twice as much pollution as experts at the Environmental Protection Agency privately think appropriate. The cost of an additional 50% reduction in pollution, according to internal EPA documents, would be pretty small. But the administration apparently prefers not to ask industry to bear even those small costs.
\
Finally, and most important, the administration's ""clean skies"" initiative so far is pie in the sky: No legislation has been introduced, and there doesn't seem to be any urgency. Meanwhile, the administration is moving rapidly to scuttle new source review, saving its financial backers billions in cleanup costs at the expense of the environment (especially in the downwind states of the Northeast). By scuttling new source review, the administration may well be undermining political support for its own anti-pollution initiative. As long as they were under the gun, polluting companies favored a new, less cumbersome system of pollution control. Now, they and their powerful congressional allies would just as soon leave things as they are.
\
Demoralization is evident at the EPA, where the hazardous-waste ombudsman recently joined a parade of officials resigning in protest. Staff members feel that they have no backing from their political superiors. Eric Schaeffer, who recently quit as the chief of civil enforcement, put it this way: ""The EPA is in the back seat, or maybe even riding the bumper, and the energy industry is having a field day.""
\
So what's actually on offer is a modest new pollution initiative - - maybe, eventually, if and when the administration gets around to it. Don't you know there's a war on? Meanwhile, the big polluters get what they paid for in campaign contributions: multibillion- dollar free passes.
\
Paul Krugman is a columnist for The New York Times.
"
7,"Recently, John Kerry joined with his ""Band of Brothers"" on the DNC stage. Here I would like to talk about another ""Band of Brothers,"" the sportsmen of central Wisconsin and beyond.\I have been privileged to interact with many of these men in the past two years. I have to tell you, there is no more generous group than these hunters/fishers. To a person, they are passionate about preserving habitat and saving natural resources. I like to think of them as compassionate conservationists.\Two examples come to mind: During the campaign for a new ""Education Center"" at MeadSWA, I approached a dozen+ hunting/fishing groups. All donated to this project, which hopes to pass on to future generations the legacy of ""natural resource stewardship."" Moreover, I stood shoulder to shoulder with sportsmen who opposed the trapshooting range in the BVG. Together, we won to keep the BVG ""trapshoot free.""\And, now, it looks like ""the Brothers"" are on the right track again. In 2000, they strongly supported Bush over Gore because they thought he would maintain a healthier environment. But now, President Bush has an environmental track record and it ""ain't pretty."" Sportsmen don't like what they see.\For example, on July 30 (Worcester Telegram and Gazette), the National Wildlife Federation (NWF) put out a report critical of the administration for a ""cap and trade"" program for mercury emissions from coal-fired plants. Trout Unlimited in Maine and other states are also critical.\In Wisconsin, the NWF recently surveyed hunters/anglers (SPJ Outdoors, July 22) and found: 1) 70 percent believe the best way to address America's energy needs is through expanding renewables (45 percent) and conservation (25 percent); 2) 67 percent oppose the administration on mercury pollution; and 3) 64 percent oppose the administration's stand on clean water that eliminates protection for up to 20 million acres of wetlands.\Who knew? Bush's promises sure sounded good in 2000. I call on the ""Brotherhood of Sportsmen"" to join me in supporting the only presidential ticket that will seek renewable energy alternatives and clean water and air. Vote Kerry-Edwards.\Kent D. Hall\Stevens Point\Ex-gay educators' message criticized\We've often been told we're to be tolerant toward homosexuals. ""Live and let live"" seems to be the code. In an open society, this should work both ways, but apparently some in the homosexual community don't like the idea.\The recently held National Education Association's (NEA) conference in Washington, D.C., is one example. According to reports, a group known as the ""Ex-Gay Educators Caucus"" was largely ignored and faced a barrage of verbal abuse from NEA delegates as they walked by their booth. Reportedly one delegate told members of the ex-gay caucus that there was a ""special place in hell for us.""\Noe Gutierrez, a former homosexual activist, is now a member of the Ex-Gay Caucus. To the Washington Times he said: ""People made the association between us and gay-bashers. I mean, they definitely lumped us in with a whole lot of bad and came to our booth with that attitude, not open in any way to learning. Isn't that funny? So at an educators caucus, there is no learning taking place.""\Kevin Jennings, head of the Gay, Lesbian and Straight Education Netword, is to have told the Times, ""Ex-gay messages have no place in our nation's public schools.""\All of this should make us wonder about public education. Is it truly public and is it education? Are there any attempts in the Stevens Point schools to tell young minds that such a group as this Ex-gay caucus exists? That people do leave homosexuality? If not, why not?\Dan Schobert\Plover\Not all proud of `Day Out' event\I'm responding to your article dated 7/27/04: ""Point community proud to host Day Out event."" My heart goes out to gays. Even though I am not a lesbian, I was ashamed of what I believed and afraid of what others thought. Wanting to please everyone but in the process losing my own identity and forgetting who I am; a Christian. I'm no longer ashamed. For so long I've been passive, accepting immorality, afraid to take a stand. Today I am taking a stand. I'm so blessed to be apart of the Stevens Point community, but I can not in good conscience accept the fact that the Stevens Point Journal assumes that all of us support the gay and lesbian's ""Day Out event."" I am not a proud supporter of this event!\There is a call out for Christians to stand for righteousness in our nation. In the process of immorality becoming socially accepted we are losing all that this country stood for. Nations have been destroyed by greed. In Scandinavia, marriage went from being between a man and a woman to: same sex marriage to: marriage being distasteful. Taking a stand is not aggression but expressing the truth. Becoming a solution provider, not problem makers, finding the balance between being loving while still speaking out against unrighteousness.\I thank God for the pastor he has given our church and this community, a man of integrity that stands for righteousness, and speaks the heart of God. America needs more leaders like him and normal people like us to not be passive and stand. And yes, sometimes it hurts but look at the persecution that faced the leaders who signed the Constitution of the U.S. In America we are not currently persecuted for what we believe, but it could happen, look at Canada. I was so proud of my daughter when she took a stand against abortion by doing a speech last year at a public school. She was afraid, but she knew what was right. Remember, nations are destroyed because good men (women) do nothing.\Julie Worzella\Stevens Point"
8,"Gannett Washington Bureau\WASHINGTON -- Rep. Steve Kagen is a hero in the eyes of at least one group dedicated to protecting the environment. The Appleton Democrat voted 100 percent of the time for the environment over the past year and a half, according to a scorecard released Wednesday by Wisconsin Environment.\""He supported new investments in clean energy and conservation efforts to protect the Great Lakes for future generations,"" said Dan Kohler, director of Wisconsin Environment. ""We are pleased to honor him for his commitment to protect our state's natural heritage.""\Along with Kagen, Reps. Tammy Baldwin, Ron Kind, Gwen Moore and Dave Obey, and Sens. Russ Feingold and Herb Kohl, also scored 100 percent on the 2009 scorecard compiled by Environment America, a federation of 28 state-based groups, including Wisconsin Environment.\The group based its scoring on 15 votes in the House of Representatives, including the cap-and-trade bill passed last June, and seven in the Senate.\Baldwin, Kagen, Kind, Moore and Obey were among 144 House members who made the ""champions"" list for their 100 percent scores. Feingold and Kohl were among 40 senators on the list.\Lawmakers who did not vote for the environment on any of the measures -- there were 26 senators and 17 House members -- were labeled ""natural disasters.""\The scoring typically broke down along partisan lines, with Democrats receiving the highest scores and Republicans the lowest. All five Wisconsin lawmakers who scored 100 were Democrats.\None of the state's three Republican House members -- Tom Petri, Paul Ryan and James Sensenbrenner -- made the ""natural disaster"" list. Petri scored 40 percent, while Ryan and Sensenbrenner each were at 13 percent. None could be reached for comment Wednesday afternoon.\Kohler said the scorecard gives Wisconsin voters a glimpse into how their lawmakers feel about protecting the air, the Earth and water.\As for the partisan divide, Kohler said: ""You can't help but quickly see that. We wish it wasn't that way. What is it about protecting the Great Lakes, what is it about protecting the air that should be partisan?""\Kohler said Wisconsin Environment was impressed particularly with Kagen because he's still relatively new to Congress.\""He's still developing a voting record, and the people in Northeast Wisconsin should see they got someone in Congress committed to protecting the environment,"" Kohler said.\By comparison, Kagen has averaged 91 percent since taking office in 2007 on the League of Conservation Voters annual scorecard.\""As a physician specializing in asthma, I deeply appreciate the intimate connection between healthy environments and healthy people,"" Kagen said in a statement. ""Wisconsin has a proud heritage of environmental activism.""\Contact Larry Bivins at lbivins@htrnews.com."
9,"
This commentary was among those written by students in the Washington Seminar program at Janesville Parker High School.
\
In a time of economic stress, it is imperative that we not forget about our environmental problems. If we fail to do this, we will face a bigger predicament once the economy turns around. We will find ourselves trying to adapt to the sobering, bleak world we have created through our neglect.
\
The most popular piece of legislation for the environment that is getting the most support is the Cap and Trade Bill. This bill would sell credits to big emitting companies that would allow them to keep spewing emissions as much as they do, but the money earned from them buying the credits would go back to repairing the environment.
\
Many of the organizations I interviewed said that the biggest things we need to work on is our consumption levels and how much this country emits so we can slow global warming and climate change. As we live our day-to-day lives, we do not realize how much we consume.
\
""The average Google search takes enough energy to heat a cup of tea,"" stated Laura Loomis, executive director of the National Parks Conservation Association.
\
We also fail to see that almost every family is consuming just as much as our own, and that everything we do adds up.
\
""It's what's consumed, what's utilized, our nature of transport. Everything from electricity use to the type of light bulbs, you name it,"" said Scott Hajost of the International Union for the Conservation of Nature. ""There is a broad litany of things in which one can actually make a difference.""
\
The United States is one of the largest emitters in the world, alongside China and India, and if we do not change, the future for our children and grandchildren will not be bright. We also need to work on International Conservation Policy, which would attempt to get other big emitters, such as China, on board to reduce their emissions.
\
While in Washington, D.C., I became aware of many issues that will affect the quality of our lives if we are not more aware of our impacts on the environment.
\
First, I am fully convinced that global warming and climate change are happening. Evidence is in the rise in sea levels and the rapid growth of endangered species.
\
Second, I am worried about water quantity and quality for future generations.
\
""Basically we are putting too much into the ocean, whether that's runoff or plastics, or waste,"" said Jennifer Palmer, International Union for the Conservation of Nature. ""We are taking too much out, we are over-fishing way beyond our means of a sustainable market--and then we are not doing too good of a job protecting the edge (the coasts). The costal habitats are really important places for the ecosystems.""
\
Finally, there is a concern about the loss of biodiversity, which directly affects our way of life.
\
Credit: EMILY VILES MONARI
"
