,Full_text
0,"Money to repair highways, rising health-care costs and controversies surrounding attempts to combat global warming are among topics the nation's governors plan to tackle when they gather this week in West Virginia. The National Governors Association summer meeting, which runs until Saturday at The Greenbrier resort in White Sulphur Springs, comes as states find themselves grappling with an array of issues that defy easy answers. Those include long-range funding for infrastructure upgrades, the effects of prolonged drought and adequately funding public schools and colleges.\States' economic conditions generally have improved since the national recession, but the retirement of the baby boom population will put pressure on governments as public pension and health care costs continue to rise, said Jack Pitney, a political science professor at Claremont McKenna College in southern California.\""In the short term, it's not too bad because the economy has been recovering and a lot of the states are not in those dire fiscal situations they were in a few years ago, Pitney said. ""However, every farsighted state governor knows the good times won't last.\Some storm clouds already are appearing. An Associated Press analysis this spring found that at least 22 states will be dealing with budget shortfalls for the 2016 fiscal year. This month, the AP also found that enrollments and costs have surged way beyond projections in many of the states that opted to expand Medicaid under the federal Affordable Care Act.\Because Medicaid costs account for such a large part of state budgets, that is raising concerns that states will have to make cuts in education and other areas to afford the low-income health care program once the federal government begins reducing its share.\Missing from the conference will be the four governors who are vying for the Republican nomination for president next year. Chris Christie of New Jersey, Bobby Jindal of Louisiana, John Kasich of Ohio and Scott Walker of Wisconsin have commitments elsewhere, according to their staffs and campaign officials.\Democratic Gov. John Hickenlooper of Colorado, the association chairman, and Republican Gov. Gary Herbert of Utah, the vice chairman, did not make themselves available for interviews before the meeting.\West Virginia's struggling southern coalfields help illustrate the divide between governors who urge swift action on climate change and those who are fighting regulations against greenhouse gas emissions because of their state's reliance on the fossil fuel industry.\California Gov. Jerry Brown had been scheduled to give an address at the conference but instead flew to Rome, where he attended a Vatican summit called by Pope Francis following the release of his encyclical on climate change and poverty. In a speech Tuesday, Brown said global warming deniers were putting ""troglodytes into office rather than environmentally responsible leaders.\The Democratic governor is pushing a state plan that his administration calls the most aggressive carbon-reduction benchmark in North America. It would increase statewide renewable electricity use to 50 percent, have drivers use half as much gasoline and make buildings twice as energy-efficient as they are now.\By comparison, elected officials from both parties in West Virginia blast the Obama administration's push to curb greenhouse gas emissions. They say the regulations unfairly target an already-fizzling Appalachian coal industry.\The state has led or joined lawsuits against several U.S. Environmental Protection Agency regulations.\This year, West Virginia got rid of its state alternative energy standard, although it was hardly strict. Burning many types of coal - and even tires - counted as alternative energy. The coal industry helped write the law in the first place but came out in opposition to it this year.\""When we look at changes in our policy in this country, we need to also look at the economics involved with it and what effect it's having on coal states, said West Virginia Gov. Earl Ray Tomblin, a Democrat. ""Obviously, we can all see what effect it's having here in West Virginia, as far as the loss of jobs and, which goes along with that, the loss in tax dollars.\Faced with ballooning health-care costs, governors also will hear from U.S. Department of Health and Human Services Secretary Sylvia Mathews Burwell, a West Virginia native. U.S. Department of Labor Secretary Thomas Perez will be the other high-level federal official addressing the group.\Governors also are anxiously awaiting action from Congress on a transportation bill as their roads, highways and bridges worsen. Senate Majority Leader Mitch McConnell, R-Kentucky, announced a deal on a six-year funding bill earlier this week, but it immediately ran into procedural delays from Democrats.\Authority for transportation programs expires July 31, which would eliminate the transportation department's ability to process promised highway and transit aid to states.\Already, the total money available to states from the Federal Highway Trust Fund has declined 3.5 percent during the five-year period ending in 2013, according to figures compiled by The Associated Press.\Some states, including ones like Michigan with Republican leadership, are mulling tax and fee hikes to address pressing road problems.\Credit: Jonathan Mattise The Associated Press"
1,"The day after West Virginia Republican lawmakers started tax reform talks, coal giant Murray Energy laid off 214 miners with a clear message calling for lower state taxes to unearth coal. After last week's layoffs, Murray's subsidiary condemned the Obama administration and lamented cheaper natural gas reserves. What surprised Gov. Earl Ray Tomblin, though, was that Murray blasted the state coal severance tax as ""extremely excessive.\""That's really the first time I've had anyone say anything about our severance tax, said Tomblin, a Democrat.\The tax will be under review as the GOP-led Legislature mulls ways to reshape the tax code, said Senate President Bill Cole, R-Mercer.\During the industry's downturn, the spigot of coal severance cash has slowed considerably. Tomblin expressed concerns about trying to cut an already-shrinking revenue source that helps cover a variety of costs, from education to health care.\A chunk also goes back to county governments. Recently, struggling southern coal counties have laid off law enforcement officers and made other cuts, attributing them at least partly to falling severance money.\""One of the things we're blessed with is our energy in West Virginia, Tomblin said. ""I can't imagine right now reducing the taxes.\Cole called the tax review ""the next step to help coal, after passing bills last session to trim mining regulations and scrap a state alternative energy standard. Tomblin signed both.\A committee on tax reform is underway, and the next session starts in January.\Robert Murray, the company's namesake and a loud critic of President Obama's energy policies, just last week bet even bigger on coal. Murray Energy paid $1.4 billion for a controlling interest of Foresight Energy, which mines the thick coal seams in the Illinois Basin. Murray's West Virginia mines are up north, which has remained a more productive region than the state's thinning southern seams.\The coal executive also gave state Republicans a big lift last election. His company's $250,000 donation to a conservative super PAC was one of the biggest all cycle, and helped lift Republicans to their first state legislative majorities in more than eight decades.\At the federal level, Murray and other coal operators say they'll be crippled by Obama's climate change pushes, which call for reductions in carbon emissions from coal-fired power plants.\At the state level, the company says coal pays well more than its fair share.\Other than a surtax likely disappearing next year, the coal severance tax hasn't been raised since 1989. In 1997, mines with thinner seams got a break.\Companies now pay 1, 2 or 5 percent, depending on seam thickness.\Since December 2005, producers have paid 56 cents per ton to cover a worker's compensation debt, a tax expected to be dropped sometime next year, according to the Department of Revenue.\Combined, coal severance brought in $407.2 million last budget year, including $63.7 million for the debt payback. That's compared to $451.6 million in 2013 and $531.1 million in 2012.\Similar taxes exist for extracting resources like natural gas, which has boomed and helped prop up the budget during coal's decline.\It's hard to compare severance taxes across states because different coal burns at different rates, state Deputy Revenue Secretary Mark Muchow said.\Wyoming charges 3.74 percent underground and 7 percent for surface mining; Kentucky taxes a flat 4.5 percent; Pennsylvania has none; Ohio levies 10 cents per ton, plus reclamation fees; and North Dakota taxes 37.5 cents per ton, according to the West Virginia Department of Revenue.\West Virginia Coal Association President Bill Raney said the state's severance tax level puts it at a competitive disadvantage. However, he doesn't want money that goes to counties cut, either.\""I think there's a balance in there, Raney said. ""I don't know where that line is.\Credit: JONATHAN MATTISE The Associated Press"
2,"The day after West Virginia Republican lawmakers started tax reform talks, coal giant Murray Energy laid off 214 miners with a clear message calling for lower state taxes to unearth coal. After last week's layoffs, Murray's subsidiary condemned the Obama administration and lamented cheaper natural gas reserves. What surprised Gov. Earl Ray Tomblin, though, was that Murray blasted the state coal severance tax as ""extremely excessive.\""That's really the first time I've had anyone say anything about our severance tax, said Tomblin, a Democrat.\The tax will be under review as the GOP-led Legislature mulls over ways to reshape the tax code, said Senate President Bill Cole, R-Mercer.\During the industry's downturn, the spigot of coal severance cash has slowed considerably. Tomblin expressed concerns about trying to cut an already-shrinking revenue source that helps cover a variety of costs, from education to health care.\A chunk also goes back to county governments. Recently, struggling southern coal counties have laid off law enforcement officers and made other cuts, attributing them at least partly to falling severance money.\""One of the things we're blessed with is our energy in West Virginia, Tomblin said. ""I can't imagine right now reducing the taxes.\Cole called the tax review ""the next step"" to help coal, after passing bills last session to trim mining regulations and scrap a state alternative energy standard. Tomblin signed both.\A committee on tax reform is underway, and the next session starts in January.\Robert Murray, the company's namesake and a loud critic of President Obama's energy policies, just last week bet even bigger on coal. Murray Energy paid $1.4 billion for a controlling interest in Foresight Energy, which mines the thick coal seams in the Illinois Basin. Murray's West Virginia mines are up north, which has remained a more productive region than the state's thinning southern seams.\The coal executive also gave state Republicans a big lift last election. His company's $250,000 donation to a conservative super PAC was one of the biggest all cycle, and helped lift Republicans to their first state legislative majorities in more than eight decades.\At the federal level, Murray and other coal operators say they'll be crippled by Obama's climate change pushes, which call for reductions in carbon emissions from coal-fired power plants.\At the state level, the company says coal pays well more than its fair share.\Other than a surtax likely disappearing next year, the coal severance tax hasn't been raised since 1989. In 1997, mines with thinner seams got a break.\Companies now pay 1, 2 or 5 percent, depending on seam thickness.\Since December 2005, producers have paid 56 cents per ton to cover a worker's compensation debt, a tax expected to be dropped sometime next year, according to the Department of Revenue.\Combined, coal severance brought in $407.2 million last budget year, including $63.7 million for the debt payback. That's compared to $451.6 million in 2013 and $531.1 million in 2012.\Similar taxes exist for extracting resources like natural gas, which has boomed and helped prop up the budget during coal's decline.\It's hard to compare severance taxes across states because different coal burns at different rates, Deputy Revenue Secretary Mark Muchow said.\Wyoming charges 3.74 percent underground and 7 percent for surface mining; Kentucky taxes a flat 4.5 percent; Pennsylvania has none; Ohio levies 10 cents per ton, plus reclamation fees; and North Dakota taxes 37.5 cents per ton, according to the West Virginia Department of Revenue.\West Virginia Coal Association President Bill Raney said the state's severance tax level puts it at a competitive disadvantage. However, he doesn't want money that goes to counties cut, either.\Credit: Jonathan Mattise The Associated Press"
3,"A global warming skeptic and leading climate change expert plan to debate the potential impact of cap-and-trade legislation on West Virginia's economy. \David Hawkins, director of the Natural Resources Defense Council's Climate Center, and Patrick Michaels, a senior fellow at the Cato Institute, will face off at 6 p.m. Monday at University of Charleston's Geary Auditorium.\Under legislation passed by the U.S. House and now under consideration in the Senate, the federal government would set limits on carbon dioxide emissions. Businesses would then buy and sell permits to emit the gasses.\Hawkins says the proposal would provide opportunities for economic growth.\Michaels says the proposal would lead to job losses in mining, trucking railroad and other industries.\""Cap and trade is a very difficult issue to discuss,"" said UC President Ed Welch, who will moderate the debate. ""One side says that cap and trade would devastate the economy of West Virginia, while the other side believes that without it we will destroy our environment. I hope we can have a real dialogue on what cap-and-trade proposals mean to West Virginia.""\The Rotary Club of Charleston is organizing the debate, which is open to the public. The Charleston Gazette and Charleston Daily Mail are the event's main sponsors."
4,"WHEN Congress returns from its summer recess, the U.S. Senate is expected to begin consideration of the House Bill 2454, the American Clean Energy and Security Act of 2009, otherwise known as ""cap and trade.""\While the House of Representatives narrowly passed (219-212) this legislation at the end of June, I am thankful that West Virginia's three representatives - Alan Mollohan, Shelley Moore Capito and Nick Rahall - stood up for our state and voted against this.\Now it is time for Sens. Robert Byrd and Jay Rockefeller to work to defeat this proposal once and for all.\Byrd already has come out and has stated his opposition to HR 2454, and Rockefeller has said he has ""serious reservations.""\This is good news, but they need to go further. The West Virginia Chamber of Commerce urges our senators to fight against this legislation on the Senate floor and to exercise their clout and seniority to defeat this legislation.\The bill would severely hurt West Virginia by threatening the economic use of coal, establishing even more burdensome federal regulations, piling new costs on state manufacturers and businesses, and imposing a new tax on everyone.\Here are some unnerving statistics about House bill 2454, from a study prepared recently by the National Association of Manufacturers. The measure would:\* Cause an estimated 2.4 million jobs to be lost by 2030, which will result in a 6 percent to 7 percent drop in domestic manufacturing jobs.\* Reduce industrial input by 5.3 percent to 6.5 percent by 2030.\* Raise electricity prices between 31 percent and 50 percent by 2030.\* Drop coal production by 38 percent by 2020 and up to 75 percent by 2030..\* Cause a decline in annual American household income of between $730 and $1,248\This report shows West Virginia will be one of 15 states disproportionately impacted by passage of HR 2454. This is a very high price to pay for legislation that does more to provide for ""income redistribution"" than to help the environment.\While employers appreciate the various points of view surrounding climate change and environmental issues, how Congress addresses this matter will have a bearing on our state's overall well-being, on our jobs, on our families' incomes, and on energy costs.\The West Virginia chamber, along with other national groups, suggests that climate change should be addressed as part of an overall energy strategy that balances a number of issues, including sustaining a healthy economy, encouraging better use of energy, and nurturing investments in our existing energy industry and in new technologies:\* Efficiency: We must find more ways to encourage energy consumers and producers to use fuel and power more efficiently by improving building designs and appliance standards, and by improving our electricity and transportation infrastructure.\* Technology: Government and businesses should promote investment in and use of new technologies that use traditional sources more cleanly and examine how we can incorporate emerging and alternative energies as part of our nation's energy production portfolio.\* Global action: The United States should exert strong, inclusive global leadership to conclude a successor agreement to the Kyoto Protocol that emphasizes technology, efficiency, and flexibility and includes ALL greenhouse gas emitters.\West Virginians will be hurt severely by HR 2454 and by the continued, ludicrous attacks on our nation's affordable, abundant energy supplies.\Think of the results here in West Virginia of what the House of Representatives is proposing - significant increases in electricity prices; devastation of our energy sector; the loss of thousands of mining and manufacturing jobs; cuts in schools, public safety, community services, and health care; and the loss of millions and millions in tax revenues.\Worse, if we continue to restrict domestic production and impose new costs and hardships on industries and businesses, then America as a whole will be less competitive, jobs and investment will continue to go overseas - and we will be more dependent on foreign supplies of energy.\HR 2454 is a recipe for disaster.\Now is the time to speak up for our state's future and to defend our livelihoods. The U.S. Senate needs to defeat this legislation."
5,"THE Washington power play to pass cap-and-trade legislation is deflating like a punctured balloon, but all the air is not out of it yet. \According to Reuters, Sen. Lindsey Graham, R-S.C., a climate legislation supporter, told environmental leaders in a private meeting last week that ""cap-and-trade is dead."" Graham has been working with John Kerry, D-Mass., and Joe Lieberman, I-Conn., for months to get a cap-and-trade bill through the Senate.\The House of Representatives approved a climate bill last June.\But in recent months, climate fears have dissipated. Americans are much more worried about the economy - and less convinced that man's activities are causing a global meltdown.\A nationwide poll done by West Virginia's Mark Blankenship Enterprises for the National Federation of Independent Businesses found that 52 percent of Americans oppose cap-and-trade, while 37 percent support the legislation.\Americans worry that cap-and-trade will drive up their energy bills, cost jobs, and limit economic growth.\Those are additional burdens Americans want to avoid at a time when they continue to struggle with an uncertain economy and a slow recovery.\Now Kerry-Graham-Liberman have developed a fallback position to try to revive the process. The New York Times reports the trio will propose ""different types of limits for different sectors of the economy, beginning with electric utilities and then turning later to manufacturers such as chemical plants and pulp and paper mills.""\Meanwhile, the pressure is building on the Environmental Protection Agency to back away from its attempt to regulate greenhouse gas emissions by fiat. The EPA is in the process of designating carbon and other greenhouse gases as pollutants, then using the Clean Air Act to reduce the amount of carbon released into atmosphere.\Sen. Lisa Murkowski, R-Ark., is pushing a measure in the Senate aimed at stopping the EPA, and now there's a similar measure in the House of Representatives. Two top House Democrats, Collin Peterson, D-Minn., and Ike Skelton, D-Mo., are co-sponsoring a resolution along with Jo Ann Emerson, R-Mo., to trump the EPA's attempts to regulate carbon emissions.\Meanwhile, Sens. Jay Rockefeller and Robert Byrd of West Virginia have sent a letter to the EPA telling the agency not to proceed with greenhouse gas regulations. The letter, co-signed by a number of other energy state senators, says the EPA should leave it to the Congress to develop energy policy.\EPA has agreed to slow down its implementation of the Clean Air regulations on CO2 until at least 2011. Total regulation would not come until 2013.\That gives the Democrats some breathing room until they have a better opportunity to pass climate legislation.\So here's how the merry-go-round works:\The Obama administration and some members of Congress want cap-and-trade legislation to protect the environment and bring in billions of dollars in new revenue. When the bill starts to bog down, the EPA threatens to regulate carbon on its own.\Proponents of cap-and-trade think the EPA action is enough to convince wavering lawmakers that it's better for the Congress to pass cap-and-trade than live by the EPA's decision.\It was a pretty smart maneuver, the ultimate Washington power play.\And it could still work if lawmakers like Byrd and Rockefeller continue to see cap-and-trade as inevitable.\But the advocates have misjudged by not considering the full impact of Climategate revelations or the obvious reluctance of the American people to further damage the economy and raise their own taxes to achieve the improbable goal of lowering the earth's temperature by a fraction."
6,"More than 400 people gathered at the Culture Center at the state Capitol on Saturday to protest cap-and-trade legislation being considered by the U.S. Senate. \Last month, the House passed legislation that would cut carbon dioxide emissions in the U.S., particularly those from coal-fired power plants.\Rep. Shelley Moore Capito, R-W.Va., opened a town hall meeting at the Culture Center, which was followed by a rally on the Capitol steps at noon.\Capito expressed her concern about saving jobs for West Virginia coal miners, who make on average $63,000 a year.\Capito believes the American Clean Energy and Security Act of 2009, passed by the House, could cost a household of four between $1,700 and $3,000 a year.\""A lot of people in West Virginia are living on fixed incomes. This also puts our nation at a competitive disadvantage across the world,"" she said.\At the recent G8 Summit meeting in Italy, Capito noted, ""Obama couldn't get China to sign on to reducing anything on emissions until 2050....\""Go off to the outer continental shelf and drill for our own resources,"" she said to strong applause from the audience.\""We need clean coal. We need more alternative energy - wind, solar, a good natural gas industry. And we need to use nuclear power.""\Don Nehlen, retired West Virginia University football coach, said, ""I am a friend of coal. I am not an expert on the environment. I am not an expert on global warming. But I am a friend of coal....\""This bill is bad for West Virginia. It is bad for the coal industry. And it is bad for America,"" Nehlen said.\Delegate Troy Andes, R-Putnam, a public relations official for Massey Energy, led the rally on the Capitol steps.\""I love the climate just the way it is,"" Andes said. ""Do you want to pay 90 percent more for electricity?""\People attending the rally carried signs stating: ""Cap & Trade Will Cost Jobs,"" ""Cap & Trade is Another Tax for West Virginia"" and ""Obama: Anti-Christ.""\Mike Stuart, who heads the West Virginia Conservative Foundation, urged people attending the rally to ""call Sen. Rockefeller and tell him to get off the fence.""\On Friday, Rockefeller said, ""I will absolutely fight for the future of coal and jobs in our state. I will not support an energy bill that threatens West Virginia's future.\""Technology can make coal even cleaner, but our nation cannot survive without energy from coal.\""People in the rest of the country need to know how dependent on West Virginia coal they are,"" Rockefeller said.\The Senate is working on its own energy bill, which could come up for consideration this fall.\The bill passed by the House is 1,500 pages long and contains 365 new federal regulations.\Reps. Nick J. Rahall and Alan Mollohan, both D-W.Va., also voted against cap-and-trade legislation.\Rahall said on June 26, ""It would be a mistake to sit back and allow other countries to devise international rules that will affect America's economic and energy interests....\""The international community has no interest in protecting American businesses.""\Rahall believes the U.S. should lead an international effort to reduce greenhouse gas emissions, but must ""strike a balance between environmental preservation and the preservation of jobs.""\China leads the world in carbon dioxide emissions, the leading greenhouse gas, with 24 percent of the worldwide total.\That's followed by the U.S. (21 percent), the European Union (12 percent), India (8 percent) and Russia (6 percent), according to an estimate by the Netherlands Environmental Assessment Agency.\Charles Wilfong, president of the West Virginia Farm Bureau, told the audience at the Culture Center that cap-and-trade legislation will ""probably be the biggest tax increase in American history.""\Wilfong rejected the ""assumption that global warming is caused by humans...a radical fringe is trying to implement this legislation.""\He added, ""A little under $1 trillion in new taxes over a 10-year period will be spent on social programs supported by the liberal leaders of Congress.""\Kenny Kemp | Sunday Gazette-Mail photos Crystal Newman, husband, Chris, and son Tristen, 10, protest cap-and-trade legislation at the state Capitol Saturday.\People at the rally were encouraged to send e-mails to Sen. Jay Rockefeller, D-W.Va., telling him to oppose cap-and-trade legislation. A Friends of Coal sticker can be seen on one of the laptops.\RIGHT: The cap-and-trade rally took place on the Capitol steps following a town hall meeting at the Culture Center.\Credit: Staff writer"
7,"GOV. Manchin is a relentless optimist. He believes the merits of his argument combined with the force of his personality can ultimately bring skeptics and opponents over to his way of thinking. \MoJo is West Virginia's salesman-in-chief.\Thursday, he took his pitch for coal to the White House. He and governors from a dozen other energy states met behind closed doors with President Obama, Vice President Biden and top members of his administration to talk about the nation's energy strategy.\Manchin's pitch: Coal is crucial to the long-term energy needs of the country. Cap-and-trade will be ruinous for West Virginia's economy. West Virginia needs the EPA to be clearer about rules for mountaintop removal mining.\""It was the most honest, frank, respectful dialogue I've ever had at that level,"" Manchin told me on Metronews Talkline a day after the meeting.\Manchin appeared hopeful Obama and his people had heard him.\But did they?\The president came out of the meeting with a commitment to clean coal technology and the construction of five to 10 carbon capture and sequestration demonstration projects by 2016.\That sounds like a small carrot, which is attached to a considerably larger stick.\That stick is cap-and-trade legislation; Pass cap-and-trade or a carbon tax and there will be a few billion for clean coal.\The same day Manchin and the other governors were meeting with President Obama, Carol Browner, the administration's ""Climate Czar"" was touting carbon taxes to representatives of renewable energy companies.\The message is clear: Tax carbon-based fuels such as coal and oil and use the money to prop up green energy firms.\The New York Times reports that Browner used the words ""cap"" and ""price signal"" several times, and told the group that President Obama is not backing away from his commitment to a carbon trading system.\Browner said carbon caps would reduce ""dangerous pollutants that contribute to global warming"" and create jobs in a new green economy.\Not in West Virginia, however.\A study by the WVU Bureau of Business and Economic Research released last month found that the House of Representatives' version of cap-and-trade would cost the state almost 23,000 jobs and $1.8 billion in gross domestic product by 2030.\Browner wasn't alone.\The Times reported that Undersecretary of Energy Kristina Johnson told conferees: ""Let's not give up the fight"" for a ""comprehensive energy and climate bill.""\I'm not sure exactly what Manchin was told by President Obama and others in the administration during their meeting, but we do know what the people in charge of the president's environment and energy policies are saying when they're not locked in a room of coal state governors.\Their views should be enough to dampen even Gov. Manchin's dogged optimism."
8,"West Virginia's two U.S. senators said Wednesday there's a long way to go before they will vote for environmental legislation that could hurt the state's coal industry. \Sen. Robert Byrd and Sen. Jay Rockefeller, both Democrats, indicated they could not support new Senate legislation that would limit, or cap, companies' right to release carbon dioxide and set up a system to trade rights to emit the gas.\The House passed a bill earlier this summer that included such a ""cap and trade"" system, which is meant to reduce the emission of the gas many scientists say is causing global climate change.\The new 821-page Senate bill, introduced by Sen. John Kerry, D-Mass., and Sen. Barbara Boxer, D-Calif., tries to rebrand that cap and trade system as the ""Clean Energy Jobs and American Power Act.""\The bill's stated goal is to ""create clean energy jobs, promote energy independence, reduce global warming pollution and transition to a clean energy economy.""\But both West Virginia senators said it would hurt the coal industry.\Rockefeller, who coal industry officials and environmentalists say is fence sitting, was blunt in his assessment.\""The climate legislation proposed today by Senators Boxer and Kerry is a disappointing step in the wrong direction and I am against it,"" the senator said in a statement.\He said the bill's call for a 20 percent reduction in carbon dioxide emissions by 2020 was ""unrealistic and harmful.""\Byrd's position is similar.\""I will continue to work with my colleagues to strike a balance that treats West Virginia's interests fairly as the legislative process moves forward,"" Byrd said in a statement.\""However, I will actively oppose any bill that would harm the workers, families, industries or our resource-based economy in West Virginia.""\Byrd said he was glad to see the bill put ""greater focus"" on clean coal technology.\""While this is an encouraging sign, we have a long way to go on this legislation,"" Byrd said. ""Many issues have yet to be addressed. There is still a tough road ahead.""\Both West Virginia senators are also pushing for the bill to encourage more energy efficiency and provide more funding for ""clean coal"" technologies, like carbon capture and storage, which could allow power companies to continue burning coal without emitting as much carbon dioxide. Much of that technology is so far unproven on a large scale.\Rockefeller and other senators from coal-producing states are likely to try to make the climate change bill more favorable to coal.\""I will continue studying the bill and all of its implications for our state and the coal industry,"" Rockefeller said. ""This is by no means the defining word on climate legislation in the Senate.""\West Virginia's senators stand in stark contrast to other Senate Democrats who spent Wednesday trying out a new catch phrase to sell their global warming bill: pollution reduction and investment, or PRI.\But it's just another name for cap and trade, a term derided by Republican critics as ""cap and tax"" because it will increase energy prices. Democratic polls have shown it faring poorly with voters.\The rebranding is an indication of the uphill battle the climate bill - which would cap greenhouse gases and also allow industries to buy emission allowances - faces in the Senate.\A number of Democratic senators, currently entangled in the heated health care debate, said they continued to have trouble with key elements of the climate legislation. Several said it would be a huge challenge - perhaps impossible - to try to get a climate bill passed this year.\The idea to remake ""cap and trade"" into ""pollution reduction and investment"" came from Kerry, author of the bill unveiled Wednesday. He came up with it about a month ago to refocus attention on what the bill would do, not how it goes about doing it.\""Cap and trade doesn't mean anything to people, "" Kerry said in an interview, insisting that ""this is an actual description of what's happening here.""\At a news conference on the bill, cap and trade, the legislation's centerpiece, got nary a mention. Instead, the buzz words were ""national security,"" ""economic growth"" and ""jobs from clean energy development.""\""We are here and we introduced this legislation because of one word - security,"" said Kerry. ""It is time to reinvent the way Americans use energy.""\The words ""cap and trade,"" ""global warming"" and ""climate"" also didn't appear in a White House statement responding to the bill's introduction.\""With the draft legislation ... we are one step closer to putting America in control of our energy future and making America more energy independent,"" President Barack Obama said. ""My administration is deeply committed to passing a bill that creates new American jobs and the clean energy incentives that foster innovation.""\Cap and trade is still the centerpiece of the Senate bill, as it is in the House-passed version. Under cap and trade, emissions of heat-trapping gases from power plants, refineries and factories would face increasingly more stringent limits, or caps. Companies could then invest in pollution-reducing technologies, or buy and sell permits to meet the cap - the trade portion.\The bill calls for a 20 percent reduction in greenhouse gases by 2020, and an 80 percent cut by mid-century.\Environmentalists said Wednesday that all along they had been touting the energy security and jobs that would come from the bill.\""We don't even talk about it in terms of cap and trade,"" said Anna Aurilio, director of Environment America. ""Cap and trade is a very confusing term and it is not accurate. What we are doing is reducing pollution.""\Republican critics, who frequently have referred to the House-passed bill as ""cap and tax"" maintaining it would lead to soaring energy prices, weren't about to join in on the rhetorical shift.\""These are fancy, complicated words for high-cost energy,"" said Sen. Lamar Alexander, R-Tenn.\Sen. James Inhofe, R-Okla., a strong critic of climate legislation, said Kerry and Boxer were making ""an earnest attempt ... to refashion the obvious"" but that they ""produced yet another massive energy tax that will destroy jobs (and) raise electricity and gasoline prices.""\Sen. Roger Wicker, R-Miss., called the Democratic bill a ""cap and trade scheme"" that ""would suppress our economic recovery, cost jobs across our economy and result in higher prices on everything from energy to food for every single American.""\The Environmental Protection Agency, meanwhile, put additional pressure on Congress to address climate change by announcing that for the first time it will regulate carbon dioxide releases from new power plants, factories and refineries or whenever they are significantly expanded. Supporters of the climate legislation have argued Congress should act to avoid less flexible action by the EPA."
9,"WASHINGTON - In the 1970s and early '80s, having seized control of the United Nations apparatus (by power of numbers), Third World countries decided to cash in. \OPEC was pulling off the greatest wealth transfer from rich to poor in history. Why not them?\So in grand U.N. declarations and conferences, they began calling for a ""New International Economic Order.""\The NIEO's essential demand was simple: Transfer fantastic chunks of wealth from the industrialized West to the Third World.\On what grounds? In the name of equality - wealth redistribution via global socialism - with a dose of post-colonial reparations thrown in.\The idea of essentially taxing hard-working citizens of the democracies to fill the treasuries of Third World kleptocracies went nowhere, thanks mainly to Ronald Reagan and Margaret Thatcher (and the debt crisis of the early '80s). They put a stake through the enterprise.\But such dreams never die.\The raid on the Western treasuries is on again, but today with a new rationale to fit current ideological fashion. With socialism dead, the gigantic heist is now proposed as a sacred service of the newest religion: environmentalism.\One of the major goals of the Copenhagen climate summit is another New International Economic Order shakedown: the transfer of hundreds of billions from the industrial West to the Third World to save the planet by, for example, planting green industries in the tristes tropiques.\Politically it's an idea of genius, engaging at once every left-wing erogenous zone: rich man's guilt, post-colonial guilt, environmental guilt.\But the idea of shaking down the industrial democracies in the name of the environment thrives not just in the refined internationalist precincts of Copenhagen. It thrives on the national scale, too.\On the day Copenhagen opened, the U.S. Environmental Protection Agency claimed jurisdiction over the regulation of carbon emissions by declaring them an ""endangerment"" to human health.\Since we operate an overwhelmingly carbon-based economy, the EPA will be regulating practically everything. No institution that emits more than 250 tons of CO2 a year will fall outside EPA control.\This means over a million building complexes, hospitals, plants, schools, businesses and similar enterprises. (The EPA proposes regulating emissions only above 25,000 tons, but it has no such authority.)\Not since the creation of the Internal Revenue Service has a federal agency been given more intrusive power over every aspect of economic life.\This naked assertion of vast executive power in the name of the environment is the perfect fulfillment of the prediction of Czech President (and economist) Vaclav Klaus that environmentalism is becoming the new socialism, i.e., the totemic ideal in the name of which government seizes the commanding heights of the economy and society.\Socialism having failed so spectacularly, the left was adrift until it struck upon a brilliant gambit: metamorphosis from red to green. The cultural elites went straight from the memorial service for socialism to the altar of the environment.\The objective is the same: highly centralized power given to the best and the brightest, the new class of experts, managers and technocrats.\This time, however, the alleged justification is not abolishing oppression and inequality but saving the planet.\Not everyone is pleased with the coming New Carbon-Free International Order.\When the Obama administration signaled (in a gesture to Copenhagen) a U.S. commitment to major cuts in carbon emissions, Democratic Sen. Jim Webb wrote the president protesting that he lacks the authority to do so unilaterally. That requires congressional concurrence by legislation or treaty.\With the Senate blocking President Obama's cap-and-trade carbon legislation, the EPA coup d'etat served as the administration's loud response to Webb:\The hell we can't. With this EPA ""endangerment"" finding, we can do as we wish with carbon.\Either the Senate passes cap-and-trade, or the EPA will impose even more draconian measures: all cap, no trade.\Forget for a moment the economic effects of severe carbon chastity. There's the matter of constitutional decency.\If you want to revolutionize society - as will drastic carbon regulation and taxation in an energy economy that is 85 percent carbon-based - you do it through Congress reflecting popular will. Not by administrative fiat of EPA bureaucrats.\Congress should not just resist this executive overreaching, but trump it:\Amend existing clean air laws and restore their original intent by excluding CO2 from EPA control and reserving that power for Congress and future legislation.\Do it now. Do it soon.\Because Big Brother isn't lurking in CIA cloak.\He's knocking on your door, smiling under an EPA cap."
