,State,article_link
0,CA,https://search.proquest.com/docview/914600923?accountid=13360 
1,CA,https://search.proquest.com/docview/926047667?accountid=13360 
2,CA,https://search.proquest.com/docview/1030474200?accountid=13360 
3,CA,https://search.proquest.com/docview/1156102331?accountid=13360 
4,CA,https://search.proquest.com/docview/1289247954?accountid=13360 
5,CA,https://search.proquest.com/docview/1369578083?accountid=13360 
6,CA,https://search.proquest.com/docview/1417815882?accountid=13360 
7,CA,https://search.proquest.com/docview/1437284207?accountid=13360 
8,CA,https://search.proquest.com/docview/1476555684?accountid=13360 
9,CA,https://search.proquest.com/docview/1509166037?accountid=13360 
10,CA,https://search.proquest.com/docview/1521873271?accountid=13360 
11,CA,https://search.proquest.com/docview/1529675304?accountid=13360 
12,CA,https://search.proquest.com/docview/1544718412?accountid=13360 
13,CA,https://search.proquest.com/docview/1562298821?accountid=13360 
14,CA,https://search.proquest.com/docview/1609887562?accountid=13360 
15,CA,https://search.proquest.com/docview/1628711543?accountid=13360 
16,CA,https://search.proquest.com/docview/1640950039?accountid=13360 
17,CA,https://search.proquest.com/docview/1652991300?accountid=13360 
18,CA,https://search.proquest.com/docview/1677701366?accountid=13360 
19,CA,https://search.proquest.com/docview/1693309250?accountid=13360 
20,CA,https://search.proquest.com/docview/1701705665?accountid=13360 
21,CA,https://search.proquest.com/docview/1709935081?accountid=13360 
22,CA,https://search.proquest.com/docview/1718563168?accountid=13360 
23,CA,https://search.proquest.com/docview/1736613264?accountid=13360 
24,CA,https://search.proquest.com/docview/1744604808?accountid=13360 
25,CA,https://search.proquest.com/docview/1758057423?accountid=13360 
26,CA,https://search.proquest.com/docview/1768522164?accountid=13360 
27,CA,https://search.proquest.com/docview/1780423556?accountid=13360 
28,CA,https://search.proquest.com/docview/1791545915?accountid=13360 
29,CA,https://search.proquest.com/docview/1803670576?accountid=13360 
30,CA,https://search.proquest.com/docview/1813502972?accountid=13360 
31,CA,https://search.proquest.com/docview/1826845233?accountid=13360 
32,CA,https://search.proquest.com/docview/1840606485?accountid=13360 
33,CA,https://search.proquest.com/docview/1849820288?accountid=13360 
34,CA,https://search.proquest.com/docview/1881641811?accountid=13360 
35,CA,https://search.proquest.com/docview/1901582043?accountid=13360 
36,CA,https://search.proquest.com/docview/1909090860?accountid=13360 
37,CA,https://search.proquest.com/docview/1922787141?accountid=13360 
38,CA,https://search.proquest.com/docview/1933399967?accountid=13360 
39,CA,https://search.proquest.com/docview/1949878582?accountid=13360 
40,CA,https://search.proquest.com/docview/1977621349?accountid=13360 
