,State,article_link
0,CT,https://search.proquest.com/docview/914414207?accountid=13360 
1,CT,https://search.proquest.com/docview/969122052?accountid=13360 
2,CT,https://search.proquest.com/docview/1081674156?accountid=13360 
3,CT,https://search.proquest.com/docview/1125334395?accountid=13360 
4,CT,https://search.proquest.com/docview/1265821315?accountid=13360 
5,CT,https://search.proquest.com/docview/1318378584?accountid=13360 
6,CT,https://search.proquest.com/docview/1366070930?accountid=13360 
7,CT,https://search.proquest.com/docview/1417993583?accountid=13360 
8,CT,https://search.proquest.com/docview/1449473585?accountid=13360 
9,CT,https://search.proquest.com/docview/1473655032?accountid=13360 
10,CT,https://search.proquest.com/docview/1526956843?accountid=13360 
11,CT,https://search.proquest.com/docview/1544427615?accountid=13360 
12,CT,https://search.proquest.com/docview/1622346858?accountid=13360 
13,CT,https://search.proquest.com/docview/1666792294?accountid=13360 
14,CT,https://search.proquest.com/docview/1675002576?accountid=13360 
15,CT,https://search.proquest.com/docview/1695797485?accountid=13360 
16,CT,https://search.proquest.com/docview/1705533884?accountid=13360 
17,CT,https://search.proquest.com/docview/1753903750?accountid=13360 
18,CT,https://search.proquest.com/docview/1750225329?accountid=13360 
19,CT,https://search.proquest.com/docview/1781350358?accountid=13360 
20,CT,https://search.proquest.com/docview/1812836341?accountid=13360 
21,CT,https://search.proquest.com/docview/1819656057?accountid=13360 
22,CT,https://search.proquest.com/docview/1836140334?accountid=13360 
23,CT,https://search.proquest.com/docview/1845498856?accountid=13360 
24,CT,https://search.proquest.com/docview/1859751331?accountid=13360 
25,CT,https://search.proquest.com/docview/1864909331?accountid=13360 
26,CT,https://search.proquest.com/docview/1873988359?accountid=13360 
27,CT,https://search.proquest.com/docview/1883614747?accountid=13360 
28,CT,https://search.proquest.com/docview/1898707130?accountid=13360 
29,CT,https://search.proquest.com/docview/1899051879?accountid=13360 
30,CT,https://search.proquest.com/docview/1904716060?accountid=13360 
31,CT,https://search.proquest.com/docview/1919072219?accountid=13360 
32,CT,https://search.proquest.com/docview/1922264004?accountid=13360 
33,CT,https://search.proquest.com/docview/1925370079?accountid=13360 
34,CT,https://search.proquest.com/docview/1936761135?accountid=13360 
35,CT,https://search.proquest.com/docview/1938781009?accountid=13360 
36,CT,https://search.proquest.com/docview/1941895359?accountid=13360 
37,CT,https://search.proquest.com/docview/1953571440?accountid=13360 
38,CT,https://search.proquest.com/docview/1961737845?accountid=13360 
39,CT,https://search.proquest.com/docview/1973332539?accountid=13360 
