,State,article_link
0,FL,https://search.proquest.com/docview/918781181?accountid=13360 
1,FL,https://search.proquest.com/docview/927911772?accountid=13360 
2,FL,https://search.proquest.com/docview/1013829963?accountid=13360 
3,FL,https://search.proquest.com/docview/1040842605?accountid=13360 
4,FL,https://search.proquest.com/docview/1145611772?accountid=13360 
5,FL,https://search.proquest.com/docview/1266025464?accountid=13360 
6,FL,https://search.proquest.com/docview/1353334843?accountid=13360 
7,FL,https://search.proquest.com/docview/1477784765?accountid=13360 
8,FL,https://search.proquest.com/docview/1492273180?accountid=13360 
9,FL,https://search.proquest.com/docview/1508137294?accountid=13360 
10,FL,https://search.proquest.com/docview/1521425389?accountid=13360 
11,FL,https://search.proquest.com/docview/1525992723?accountid=13360 
12,FL,https://search.proquest.com/docview/1546301737?accountid=13360 
13,FL,https://search.proquest.com/docview/1566170514?accountid=13360 
14,FL,https://search.proquest.com/docview/1623495177?accountid=13360 
15,FL,https://search.proquest.com/docview/1645934397?accountid=13360 
16,FL,https://search.proquest.com/docview/1662441698?accountid=13360 
17,FL,https://search.proquest.com/docview/1664792742?accountid=13360 
18,FL,https://search.proquest.com/docview/1700132659?accountid=13360 
19,FL,https://search.proquest.com/docview/1709433104?accountid=13360 
20,FL,https://search.proquest.com/docview/1710387905?accountid=13360 
21,FL,https://search.proquest.com/docview/1716026645?accountid=13360 
22,FL,https://search.proquest.com/docview/1768592146?accountid=13360 
23,FL,https://search.proquest.com/docview/1771862299?accountid=13360 
24,FL,https://search.proquest.com/docview/1787154279?accountid=13360 
25,FL,https://search.proquest.com/docview/1792400783?accountid=13360 
26,FL,https://search.proquest.com/docview/1793920566?accountid=13360 
27,FL,https://search.proquest.com/docview/1807625712?accountid=13360 
28,FL,https://search.proquest.com/docview/1807907866?accountid=13360 
29,FL,https://search.proquest.com/docview/1818354043?accountid=13360 
30,FL,https://search.proquest.com/docview/1829547596?accountid=13360 
31,FL,https://search.proquest.com/docview/1829547426?accountid=13360 
32,FL,https://search.proquest.com/docview/1845243997?accountid=13360 
33,FL,https://search.proquest.com/docview/1862160371?accountid=13360 
34,FL,https://search.proquest.com/docview/1870041687?accountid=13360 
35,FL,https://search.proquest.com/docview/1885250452?accountid=13360 
36,FL,https://search.proquest.com/docview/1925434143?accountid=13360 
37,FL,https://search.proquest.com/docview/1933647639?accountid=13360 
38,FL,https://search.proquest.com/docview/1938636990?accountid=13360 
39,FL,https://search.proquest.com/docview/1945873226?accountid=13360 
