,State,article_link
0,AZ,https://search.proquest.com/docview/918364007?accountid=13360 
1,AZ,https://search.proquest.com/docview/1022758429?accountid=13360 
2,AZ,https://search.proquest.com/docview/1034381443?accountid=13360 
3,AZ,https://search.proquest.com/docview/1220392658?accountid=13360 
4,AZ,https://search.proquest.com/docview/1315330243?accountid=13360 
5,AZ,https://search.proquest.com/docview/1365701904?accountid=13360 
6,AZ,https://search.proquest.com/docview/1501029822?accountid=13360 
7,AZ,https://search.proquest.com/docview/1475124587?accountid=13360 
8,AZ,https://search.proquest.com/docview/1517417743?accountid=13360 
9,AZ,https://search.proquest.com/docview/1522943083?accountid=13360 
10,AZ,https://search.proquest.com/docview/1527383766?accountid=13360 
11,AZ,https://search.proquest.com/docview/1626833660?accountid=13360 
12,AZ,https://search.proquest.com/docview/1677369936?accountid=13360 
13,AZ,https://search.proquest.com/docview/1683609642?accountid=13360 
14,AZ,https://search.proquest.com/docview/1689875223?accountid=13360 
15,AZ,https://search.proquest.com/docview/1695154463?accountid=13360 
16,AZ,https://search.proquest.com/docview/1696177466?accountid=13360 
17,AZ,https://search.proquest.com/docview/1707071105?accountid=13360 
18,AZ,https://search.proquest.com/docview/1708153779?accountid=13360 
19,AZ,https://search.proquest.com/docview/1730107037?accountid=13360 
20,AZ,https://search.proquest.com/docview/1764894131?accountid=13360 
21,AZ,https://search.proquest.com/docview/1748840816?accountid=13360 
22,AZ,https://search.proquest.com/docview/1773437027?accountid=13360 
23,AZ,https://search.proquest.com/docview/1783768795?accountid=13360 
24,AZ,https://search.proquest.com/docview/1804201523?accountid=13360 
25,AZ,https://search.proquest.com/docview/1807275975?accountid=13360 
26,AZ,https://search.proquest.com/docview/1824566403?accountid=13360 
27,AZ,https://search.proquest.com/docview/1843319926?accountid=13360 
28,AZ,https://search.proquest.com/docview/1848110762?accountid=13360 
29,AZ,https://search.proquest.com/docview/1851690403?accountid=13360 
30,AZ,https://search.proquest.com/docview/1870849054?accountid=13360 
31,AZ,https://search.proquest.com/docview/1878514022?accountid=13360 
32,AZ,https://search.proquest.com/docview/1902827496?accountid=13360 
33,AZ,https://search.proquest.com/docview/1905129616?accountid=13360 
34,AZ,https://search.proquest.com/docview/1905381786?accountid=13360 
35,AZ,https://search.proquest.com/docview/1922808004?accountid=13360 
36,AZ,https://search.proquest.com/docview/1992169603?accountid=13360 
37,CA,https://search.proquest.com/docview/914600923?accountid=13360 
38,CA,https://search.proquest.com/docview/926047667?accountid=13360 
39,CA,https://search.proquest.com/docview/1030474200?accountid=13360 
40,CA,https://search.proquest.com/docview/1156102331?accountid=13360 
41,CA,https://search.proquest.com/docview/1289247954?accountid=13360 
42,CA,https://search.proquest.com/docview/1369578083?accountid=13360 
43,CA,https://search.proquest.com/docview/1417815882?accountid=13360 
44,CA,https://search.proquest.com/docview/1437284207?accountid=13360 
45,CA,https://search.proquest.com/docview/1476555684?accountid=13360 
46,CA,https://search.proquest.com/docview/1509166037?accountid=13360 
47,CA,https://search.proquest.com/docview/1521873271?accountid=13360 
48,CA,https://search.proquest.com/docview/1529675304?accountid=13360 
49,CA,https://search.proquest.com/docview/1544718412?accountid=13360 
50,CA,https://search.proquest.com/docview/1562298821?accountid=13360 
51,CA,https://search.proquest.com/docview/1609887562?accountid=13360 
52,CA,https://search.proquest.com/docview/1628711543?accountid=13360 
53,CA,https://search.proquest.com/docview/1640950039?accountid=13360 
54,CA,https://search.proquest.com/docview/1652991300?accountid=13360 
55,CA,https://search.proquest.com/docview/1677701366?accountid=13360 
56,CA,https://search.proquest.com/docview/1693309250?accountid=13360 
57,CA,https://search.proquest.com/docview/1701705665?accountid=13360 
58,CA,https://search.proquest.com/docview/1709935081?accountid=13360 
59,CA,https://search.proquest.com/docview/1718563168?accountid=13360 
60,CA,https://search.proquest.com/docview/1736613264?accountid=13360 
61,CA,https://search.proquest.com/docview/1744604808?accountid=13360 
62,CA,https://search.proquest.com/docview/1758057423?accountid=13360 
63,CA,https://search.proquest.com/docview/1768522164?accountid=13360 
64,CA,https://search.proquest.com/docview/1780423556?accountid=13360 
65,CA,https://search.proquest.com/docview/1791545915?accountid=13360 
66,CA,https://search.proquest.com/docview/1803670576?accountid=13360 
67,CA,https://search.proquest.com/docview/1813502972?accountid=13360 
68,CA,https://search.proquest.com/docview/1826845233?accountid=13360 
69,CA,https://search.proquest.com/docview/1840606485?accountid=13360 
70,CA,https://search.proquest.com/docview/1849820288?accountid=13360 
71,CA,https://search.proquest.com/docview/1881641811?accountid=13360 
72,CA,https://search.proquest.com/docview/1901582043?accountid=13360 
73,CA,https://search.proquest.com/docview/1909090860?accountid=13360 
74,CA,https://search.proquest.com/docview/1922787141?accountid=13360 
75,CA,https://search.proquest.com/docview/1933399967?accountid=13360 
76,CA,https://search.proquest.com/docview/1949878582?accountid=13360 
77,CA,https://search.proquest.com/docview/1977621349?accountid=13360 
78,CT,https://search.proquest.com/docview/914414207?accountid=13360 
79,CT,https://search.proquest.com/docview/969122052?accountid=13360 
80,CT,https://search.proquest.com/docview/1081674156?accountid=13360 
81,CT,https://search.proquest.com/docview/1125334395?accountid=13360 
82,CT,https://search.proquest.com/docview/1265821315?accountid=13360 
83,CT,https://search.proquest.com/docview/1318378584?accountid=13360 
84,CT,https://search.proquest.com/docview/1366070930?accountid=13360 
85,CT,https://search.proquest.com/docview/1417993583?accountid=13360 
86,CT,https://search.proquest.com/docview/1449473585?accountid=13360 
87,CT,https://search.proquest.com/docview/1473655032?accountid=13360 
88,CT,https://search.proquest.com/docview/1526956843?accountid=13360 
89,CT,https://search.proquest.com/docview/1544427615?accountid=13360 
90,CT,https://search.proquest.com/docview/1622346858?accountid=13360 
91,CT,https://search.proquest.com/docview/1666792294?accountid=13360 
92,CT,https://search.proquest.com/docview/1675002576?accountid=13360 
93,CT,https://search.proquest.com/docview/1695797485?accountid=13360 
94,CT,https://search.proquest.com/docview/1705533884?accountid=13360 
95,CT,https://search.proquest.com/docview/1753903750?accountid=13360 
96,CT,https://search.proquest.com/docview/1750225329?accountid=13360 
97,CT,https://search.proquest.com/docview/1781350358?accountid=13360 
98,CT,https://search.proquest.com/docview/1812836341?accountid=13360 
99,CT,https://search.proquest.com/docview/1819656057?accountid=13360 
100,CT,https://search.proquest.com/docview/1836140334?accountid=13360 
101,CT,https://search.proquest.com/docview/1845498856?accountid=13360 
102,CT,https://search.proquest.com/docview/1859751331?accountid=13360 
103,CT,https://search.proquest.com/docview/1864909331?accountid=13360 
104,CT,https://search.proquest.com/docview/1873988359?accountid=13360 
105,CT,https://search.proquest.com/docview/1883614747?accountid=13360 
106,CT,https://search.proquest.com/docview/1898707130?accountid=13360 
107,CT,https://search.proquest.com/docview/1899051879?accountid=13360 
108,CT,https://search.proquest.com/docview/1904716060?accountid=13360 
109,CT,https://search.proquest.com/docview/1919072219?accountid=13360 
110,CT,https://search.proquest.com/docview/1922264004?accountid=13360 
111,CT,https://search.proquest.com/docview/1925370079?accountid=13360 
112,CT,https://search.proquest.com/docview/1936761135?accountid=13360 
113,CT,https://search.proquest.com/docview/1938781009?accountid=13360 
114,CT,https://search.proquest.com/docview/1941895359?accountid=13360 
115,CT,https://search.proquest.com/docview/1953571440?accountid=13360 
116,CT,https://search.proquest.com/docview/1961737845?accountid=13360 
117,CT,https://search.proquest.com/docview/1973332539?accountid=13360 
118,DE,https://search.proquest.com/docview/913475384?accountid=13360 
119,DE,https://search.proquest.com/docview/1000277992?accountid=13360 
120,DE,https://search.proquest.com/docview/1033183296?accountid=13360 
121,DE,https://search.proquest.com/docview/1033732139?accountid=13360 
