,article
0,"With Arizona's annual electricity demands projected to double to 32,000 megawatts by 2030, the state must have more renewable-energy resources such as solar and wind power, said Kris Mayes, former chairwoman of the Arizona Corporation Commission.\""It used to be that nobody at utilities wanted to work in the renewable-energy department, but now, everybody wants to work there,"" said Mayes, speaking earlier this month at the Curbing Carbon Forum, sponsored by the Southwest Renewable Energy Institute and held at the Hyatt Regency hotel in downtown Phoenix.\""We're going to be doing more solar rooftops in the state of Arizona than any other state except California,"" Mayes said.\If Arizona had to support its growth in the same old-fashioned way, Mayes said, it would have to build eight new Hoover Dams, 28 new combined-cycle natural-gas plants, or four new Palo Verde Nuclear Generating Stations.\The Curbing Carbon Forum focused on issues from coal plants nearing the end of their design life to a discussion of what a future would look like with renewable- energy resources.\Like Mayes, Kurt Yeager, vice chairman of Galvin Electricity Institute, said America cannot build ""a 21st- century economy with a 20th-century electricity system.""\Because of the unreliability, inefficiency and productivity penalties of our current system, billions of dollars of value is being lost in the U.S. economy, he said.\Arizona Public Service and Salt River Project both are working toward more renewable-energy sources for the state.\""We project we're going to add approximately 750,000 new homes and businesses to our grid by 2030 (about a 65percent increase),"" said Jenna Shaver, an APS spokeswoman. ""And we plan to meet the demand that customer growth is going to have for electricity through renewable energy and our energy-efficiency program.""\Shaver said that:\In less than a decade, APS' renewable portfolio has grown from less than 1 megawatt to more than 900megawatts in operation or in development.\More than 17,500 customers have participated in the APS Renewable Energy Incentive Program, helping them offset the costs of installing renewable resources to their homes or businesses.\Solar development can power Arizona's economy, attracting new companies, projects and quality jobs. For example, she said, APS' AZ Sun Program is creating more than 3,000 construction jobs over the next five years and will bring 200 megawatts of solar power to APS customers.\For its part, SRP in May had a public process in which it solicited input from stakeholders and customers about what level of investment they would like to see from SRP.\What came out of the process is that it's really important for customers, stakeholders and SRP's board to move even further than they already have in sustainable investments, said Barry Petrey, manager of Resource Acquisition and Analysis Group.\""As a result, SRP has increased its sustainable portfolio from a target of 15 percent to a more aggressive target,"" Petrey said. ""Twenty percent of the energy that we produce for our retail customers will need to come from sustainable resources by 2020. We're doing more, and we're doing more sooner.""\Additionally, Petrey talked about SRP's approach.\""Our board understands the importance of doing this in a cost-effective manner for our customers and has afforded us a tremendous amount of flexibility,"" he said. ""So, we are able to pursue the most cost-effective mix and balance for our customers and be able to hit that target in a way that can still leave our pricing as reasonable as possible.""\Dave Olsen, managing director of the Western Grid Group, said at the conference that the move to a clean-energy economy is the best way to create jobs and spur revitalization. His group seeks to accelerate the incorporation of a broad range of low-carbon technologies into the electric system in the western U.S. As an example, he cited the U.S. Army, which has set goals to reduce energy consumption, increase efficiency and reduce adverse impacts on the environment.\""Energy now really matters to the people in Arizona,"" Mayes told conference attendees. She noted that Deer Valley High School students demanded that their school building be solarized. In addition, the Gila Bend community is becoming the solar-energy capital not only in the country but also potentially the world because of its innovative policy on solar-power project permits.\""You can walk into a restaurant or any gas station in Gila Bend and talk to a waitress or a gas-station employee, and they'll speak with you intelligently about solar energy,"" Mayes said. ""Why? Because they've come to believe that solar energy can help make their lives better economically and that renewable energy is Arizona's economic destiny.""\This will not come from a ""magical"" vote by Congress or a single Environmental Protection Agency decision; it will be the people who will drive the transition away from coal, Mayes said.\Here's what Mayes said Arizona needs to be doing now:\Audit its coal fleet to see which plants are least efficient and most polluting. These would make the most sense to ramp down\Formulate a plan that involves stakeholder input.\Treat renewables as a mainstream resource.\Put its focus on renewables.\But Mayes recognized that politics might hinder this transition.\She said there is ""a political problem in this country and in the West"" in advancing the diversification of energy portfolios. The federal government must do a better job, she said, because this is the top threat to advancing renewable energy throughout the West.\To discuss the efficient integration of renewable resources, the Western Conference of Public Service Commissioners will hold a joint meeting in Sunriver, Ore., in the spring."
1,"A committee in the Arizona Senate approved a measure that would freeze the state's renewable-energy standard at 15percent by 2025.\The Republican-sponsored bill passed on a 4-2 party-line vote with one member of the Government Reform Committee not voting.\House Bill 2789 originally had sought to get the state Legislature and governor more involved in regulations regarding alternative energy, rules that currently are made by the Arizona Corporation Commission.\But a striker amendment simplified the bill to state that no public utility can be held to a higher renewable-energy standard than those already in place.\The Corporation Commission, five elected statewide officials who oversee utility rates, voted in 2006 to require utilities such as Arizona Public Service Co. to get 15percent of their power from renewable sources such as solar and wind by 2025.\|\24,000 at US Airways to share $12 mil in profits\Eligible US Airways employees received profit-sharing checks totaling $12million Wednesday.\About 24,000 of US Airways' 32,000 employees received the payments, based on the company's $111million profit for 2011.\The $12million pool is less than the $47million shared by employees last year before rising fuel costs began cutting into the company's profit.\Chairman and CEO Doug Parker said in a statement that committed employees helped make US Airways profitable in 2011 despite higher fuel costs and that the company is pleased to share its financial success with them.\usairways.com\|\Company's co-founder due honor at Pentagon\Joyce Stewart, co-founder of AGM Container Controls Inc. in Tucson, is being honored for providing service and leadership in military packaging and handling for 50 years.\She is the first woman to receive the NIPHLE Special Award from the National Institute of Packaging, Handling and Logistics Engineers. The award will be presented at the Pentagon during a March 27-29 conference.\Stewart and her husband, Roger Stewart, founded the company in 1970 and initially manufactured environmental- control hardware for containers holding missiles and other sensitive equipment. Since then, the company has branched out to design and make products that control and monitor moisture, pressure and vacuum changes, and shock and vibration for a variety of industries.\The Stewarts retired from their business last year. Their son, Howard, who has been with the company since 1971, is the president.\agmcontainer.com or niphle.com\|\SRP among 'champions' for customer service\J.D. Power and Associates has named Salt River Project one of 50 nationwide ""customer-service champions.""\Other companies on the list include Amazon.com, Apple, JetBlue Airways, Lexus and Shea Homes.\""Consumer expectations have heightened since the onset of the recession ... ,"" said Gina Pingitore, chief research officer at J.D. Power. ""They expect a superior product supported by responsive and concerned people. In addition, the price must be perceived as fair and competitive.""\jdpower.com\|\First Solar names Hughes to handle global markets\First Solar Inc. announced Wednesday that it has hired James Hughes as chief commercial officer. In the newly created role, designed to accelerate First Solar's entry into emerging markets, Hughes will have comprehensive leadership responsibility for global business development and sales; project development; engineering, procurement and construction; product management and international public affairs and communications.\Most recently, Hughes was CEO and director of AEI, which owned and operated businesses engaged in power distribution, power generation, natural-gas transportation and services, and natural-gas distribution in emerging markets worldwide."
2,"The Surprise Tea Party Patriots, which won national exposure this month by continuing to question President Barack Obama's birth certificate, will host a speech by British global-warming skeptic Lord Christopher Monckton on Monday.\The talk will be at Sun City West Foundation Plaza, 14465 W. R.H. Johnson Blvd., and donations will go to Sheriff Joe Arpaio's cold-case posse.\Monckton and conservative author Tom Ballantyne also will speak to the Red Mountain Tea Party. That talk will be Tuesday at East Valley High School, 7420 E. Main St., in Mesa.\Arpaio has cited petitions from the Surprise group as the impetus to send his cold-case posse to Hawaii to investigate Obama's birth certificate.\Monckton, the third viscount of Brenchley, also has waded into the controversy. While denying that he is a ""birther,"" Monckton told syndicated radio host Dennis Miller in March that he believes the birth certificate posted by the White House is a forgery that can be taken apart with software.\The controversial speaker has had a varied career in journalism, politics and business. His biography states that he served as a science-policy adviser to former Prime Minister Margaret Thatcher.\He has given speeches around the world based on his theory that the increasing concentration of carbon dioxide in the atmosphere essentially is harmless and that scientists and politicians have manipulated data to exaggerate the problem.\Mainstream scientists around the world disagree.\Surprise Tea Party founder Jim Wise said Monckton was invited because the group seeks out alternate views.\""Our main thrust is education, and he has a perspective on climate change,"" Wise said.\Ballantyne, who wrote ""Oh Really, O'Reilly! The Spin Starts Here ... Apparently!"" will precede Monckton.\Ballantyne said his talk will focus on ""the identity fraud being committed by the president of the United States.""\Ballantyne said he is adding a chapter to his book about the investigation by Arpaio's cold-case posse called ""One Mean Hombre -- America's Last Best Hope: Another Lawman from Arizona.""\|\'Tea Party' speeches\Surprise Tea Party Patriots speech: 6:30p.m. Monday. Sun City West Foundation Plaza, 14465 W. R.H. Johnson Blvd., Sun City West. The event costs $100 for Gold Patron seating, which includes a meet and greet, and is free for other seats.\More details: www.surpriseteaparty patriots.com.\Red Mountain Tea Party, Arizona Patriots speech: 7p.m. Tuesday, East Valley High School, 7420 E. Main St., Mesa. Seats are $2.50.\More details: www.redmountainteaparty .com."
3,"Green is such a good color on Arizona. On Sunday, public-interest organization Valley Forward Association announced the winners of its Environmental Excellence Awards. Bravo to the West Valley organizations that hit the mark and showed just what sustainability and renewable energy mean to the region.\To their credit, several West Valley cities have embraced renewable energy as a way of life and for economic development reasons.\Although they didn't make the list of Valley Forward's winners, other West Valley residents were acknowledged for their dedication to the environment. Goodyear, Buckeye and Sun City West were crowned ""Arizona Solar Community"" by Arizona SmartPower, a non-profit that promotes clean, renewable energy.\More than 1,150 Buckeye homeowners have installed solar photovoltaic panels on their homes. SmartPower challenged 14 Arizona communities to install such panels in 5percent of homes by 2015, but the three West Valley communities rose to the challenge faster than imagined.\State director of Arizona SmartPower Toni Bouchard said she never imagined communities would complete the goal so quickly but believes it is a sign of the future for Arizona.\""There's a growing understanding that the sun is a resource for Arizona,"" she said, adding that solar energy is especially embraced by retirees on fixed incomes for economic reasons.\Buckeye Public Works Director Scott Lowe said the town is trying to be as efficient as possible through solar power, LED bulbs in its traffic lights and streetlights and reuse of waste water to irrigate baseball fields. Goodyear's Mayor Georgia Lord has installed solar panels on her house and has been praising solar power for quite some time.\Residents in the three areas have embraced solar power, but they are not alone in their mission. Several West Valley towns and cities operate on a ""green"" schedule, with extended hours Mondays through Thursdays. That means the communities save a bit of energy on Fridays.\Avondale is such a city, and it is also making other strides to become more environmentally friendly. Avondale spokeswoman Ingrid Melle said the city has green initiatives such as the ""Clean Air Make More""' campaign for air-pollution prevention through promoting carpooling and bus services to residents and city employees.\Some cities and towns have community gardens and farmers markets as well. Surprise is opening a garden at Lizard Run Park on Oct. 26.\Renewable energy and sustainability are growing trends in the West Valley, and green is the new color of choice for many. Let's hope it doesn't go out of style."
4,"There comes a point in some arguments where politeness just isn't an option anymore. Filmmaker Craig Scott Rosebraugh is clearly past the point of pleasantries, right down to the title of his documentary, ""Greedy Lying Bastards,"" named for the businesspeople, politicians and shareholders who have a vested, monetary interest in preventing any progress in environmental policy.\Rosebraugh has a point -- there's plenty to be mad about. Much of the film plays out like a disaster-film montage: tornadoes tearing swaths through the Midwest, Hurricane Katrina laying waste to New Orleans, wildfires destroying hundreds of homes in Colorado, the severity and intensity of which are attributable to human-influenced increases in global temperatures.\Unlike Al Gore's 2006 climate-change documentary, ""An Inconvenient Truth,"" the film's not interested in arguing the reality of human-caused climate change, frontloading the film with grave expertise in the form of infographics and interviews to establish the scientific certainty of climate change. Instead, the film explores why nothing is being done to change humanity's destructive habits when we've suspected the consequences of our consumption for decades (particularly cute is a clip of a science film from the 1950s predicting the ecological disasters we currently face).\To find the answer, Rosebraugh follows the money trail. It leads from the bottom-feeding TV carnival barkers who make the rounds on cable news channels spouting lies, to such politicians as Sen. James Inhofe who line their pockets with campaign cash from the oil industry, all the way up to the villainous Koch brothers, billionaire bogeymen of the liberal left, with pot shots at Fox News and the ""tea party"" along the way.\In Rosebraugh's uncompromising hands, it plays out like a strident screed for those already burning with righteous indignation. It isn't interested in making friends and influencing people, but in firing up the base. It can be off-putting, even for those playing on the same team, and that's unfortunate, because the film is at its most convincing when Rosebraugh gets out of the way and dispenses with the snide commentary to let the tearful interviews with families who've lost their homes, or farmers who've lost their crops, make the case for making change.\There's even little catharsis in Rosebraugh's big ""gotcha"" moment. After a failed attempt to get ExxonMobil CEO Rex Tillerson on the phone for an interview (""I guess he was busy with world domination that day"" he quips, self-satisfied), Rosebraugh decides to crash the company's annual shareholders' meeting, Michael Moore-style, to ask Tillerson point-blank about his stance on global warming in front of an audience and a few secret cameras.\And what does he get from Tillerson? Some well-rehearsed, polite platitudes about the seriousness of global warming and the importance of keeping an open dialogue.\Rosebraugh's conclusion? ""These companies care more about making money than they do about our lives and the health of the planet."" Contemptible? Yes. But it hardly qualifies as a game-changing bombshell. Who ever thought corporations cared about people?\Again, there's a lot to be angry about. And though Rosebraugh shines a light on plenty of jaw-dropping corruption, it plays out like a shrill rallying cry without catharsis for the already initiated.\|\'Greedy Lying Bastards'\***\Director: Craig Scott Rosebraugh.\Rating: PG-13 for brief strong language.\Note: At Harkins Valley Art.\Great ***** Good **** Fair *** Bad ** Bomb *\|\Reach the writer at barbara.vandenburgh@arizonarepublic.com."
5,"In honor of Earth Day next Monday, more than 100 religious leaders in Arizona affirm that ""climate change is one of the most pressing challenges facing our world today."" We urge other religious leaders in Arizona and members of mosques, churches, temples and synagogues across the state to join us.\The debate about climate change usually centers on economics and politics. We assert that climate disruption is, first and foremost, a spiritual and moral issue, rooted in our relationship with God and our neighbors.\Our materialism and energy consumption threaten life as we know it. All of our sacred scriptures -- Torah, Bible, Quran -- declare that the Earth is a sacred gift of God and that human beings are charged with protecting and preserving Earth's beauty and bounty.\Whether our fellow creatures have two legs or four, wings or paws, fur or feathers or skin, soft leaves or sharp spines, they are our neighbors. They sustain and enrich our lives. We are called to love and care for them.\Where some see irreconcilable division between faith and science, we recognize that scientists are sometimes God's contemporary prophets. Christians, Muslims, Jews and Buddhists across Arizona agree with the scientific consensus that ""global climate patterns are bringing more extreme weather events to Arizona, the United States and our world.""\These events include droughts, extreme temperatures, floods, storm surges and wildfires. Global climate disruption threatens our economy, national security, agriculture, our health and safety, and the well-being of our children and future generations. Those who are least able to adapt to climate change and who contribute least to the problem suffer the worst consequences.\We affirm: ""There are many actions that can be taken by individuals, families, congregations, businesses, local communities and the state to reduce the threat of worldwide climate disruptions, such as reducing energy use in our homes and vehicles and using renewable energy sources.""\But signers of the statement believe that individual actions, though necessary and important, are not enough. ""The global nature of the problem ... means that effective action requires leadership at the local, state and national levels to form policies and strategies that address responsible energy use to ensure that we protect creation and its most vulnerable populations from the significant threats posed by global climate change.""\We urge our state Legislature and the Arizona Corporation Commission to lead with courage and wisdom.\Support clean renewable-energy and energy-efficiency programs. Protect and help recover endangered species. Care for and restore our rivers and our streams. Stop pitting jobs against environmental stewardship. Our jobs and economy depend on a healthy environment.\This Earth Day, get outside. Take a walk. Drive less. Live more simply. Find a faith community or environmental organization protecting the Earth and get involved. Celebrate God's good Earth!\**\The Rev. Doug Bland is the co-executive director of Arizona Interfaith Power & Light, www.azipl.org."
6,"Twenty-four Phoenix-owned properties have solar panels, which moves the nation's sixth-largest city closer to its goal of harnessing more renewable energy.\City officials hope that at least 15percent of the city's energy use comes from ""green"" sources, including solar, by 2025.\The solar projects account for about 4percent of the city's energy use.\That is progress, said Vice Mayor Bill Gates, who leads the City Council's sustainability subcommittee.\""I think the city is very serious about reaching that goal of 15percent.... I think we made great strides by adding solar panels to buildings,"" Gates said. ""What I've been pushing the city is to develop other forms of renewable energy.""\City officials are considering other options, such as harnessing energy from the gasses coming from landfills or producing electricity by using treated wastewater.\But the most prominent renewable resource the city uses comes from the Arizona sun.\Gates said the city will outfit two other Phoenix parking garageswith solar panels early next year.\Solar contracts\Phoenix has installed some of the systems itself, using grants or city funds to finance the projects.\The projects aren't cheap. For example, the solar panels at the Sunnyslope Community Center cost $480,000, city officials said.\But the city also has more recently worked with SunPower Corporation. SunPower installed the panels on aviation facilities, a water-treatment plant and downtown garages, city officials said.\SunPower owns the solar systems. It pays for the design, construction and installation, and then operates and maintains them. Phoenix commits to buy the energy output, city officials said.\Dimitrios Laloudakis, the acting director of Phoenix's Public Works Department, said the 24 facilities generate an estimated 14,056 kilowatts. The city estimates it will save about $9million for 13 megawatts over 20 years, he said.\""There is a net savings over time,"" Laloudakis said. ""We pay less for energy.""\Solar history\Phoenix began to place solar equipment on its properties during the late 1990s, city officials said. The first included smaller panels on bus stations along Central Avenue.\Phoenix started the big solar push in 2007, when the city put larger panels at the Pecos Park and Ride, near Pecos Road and 40th Street in Ahwatukee.\The city then added solar panels to other facilities, such as the North Transfer Station, the Phoenix Convention Center's west building and Camp Colley, 50 miles north of Payson, in 2009.\Last year, the city placed a nine solar-panel systems on buildings.\City officials had to weigh facility layout and potential output of energy when deciding where to place the panels. Officials looked at whether a building had a plenty of space, faced the sun and could be committed to a long-term solar-project installation.\|\Phoenix properties with solar panels\Pecos Park and Ride.\North Transfer Station/parking lot.\Camp Colley.\North Mountain Park Visitor Center.\Pecos Community Center.\Phoenix Convention Center-west building.\Washington Adult Center.\Audubon Visitor Center.\Fire Training Academy.\Fire Station No.72.\Fire Station No.1.\Paradise Village Apartments.\McCarty on Monroe.\Maryvale pool.\Sunnyslope Community Center.\Downtown Transit Building.\US Airways parking garage.\Arizona State University Downtown-Walter Cronkite School of Journalism.\Metro Facilities Building.\Burton Barr Central Library.\Phoenix Children's Museum.\Sky Harbor International Airport's east economy garages and rental-car center.\Lake Pleasant.\Walker Building."
7,"The hottest summer on record helped make 2013 the eighth-warmest year ever in Phoenix, according to a National Weather Service review of data released Monday.\The city's average temperature, combining night and day year-round, was 75.9. The average high of 87.6 was the 10th-warmest, while the average low (64.2) was the sixth-warmest low temperature.\A hotter summer and streaky precipitation throughout the year contributed to a lack of clarity about what's really normal anymore.\Whether climate change or the urban ""heat island"" effect are contributing to rising average temperatures, 2013 was hot in Tucson, too, where it was the fifth-warmest year, averaging 70.9 degrees. Tucson also experienced a record 81 consecutive nights at 70 degrees or warmer.\A year that started with an unusual cold spell for Phoenix, including a 29-degree reading on Jan. 15, was broiling by June. At 94.8 degrees, an average of 4 degrees above normal, it was hotter than any previous June. At 119 degrees, June29 was the fourth-hottest day in recorded Phoenix history.\With seven of the city's 10 hottest years coming since 2000, the thermometer seems to be trending increasingly upward. This hotter stretch of years has coincided with a fierce drought and wildfires statewide.\State Climatologist Nancy Selover said climate change may be playing a role. ""Exactly how much, I don't know,"" she said.\One thing she's sure of, though, is that an odd pattern of humid nights broken by sporadic monsoon rains helped store heat overnight for long stretches of time last summer.\A major contributor to the sweltering summer likely was the Valley's continued growth and the heat-trapping qualities of urban environments, said Michael Leuthold, a University of Arizona research meteorologist. Blacktop and buildings collect warmth that once dissipated overnight.\""If you start out the morning 2 or 3 degrees warmer than it was 20 years ago,"" Leuthold said, ""you're certainly going to get hotter.""\The effects of climate change are hard to gauge, he said, but theories common among scientists predict wider swings in the region's future weather.\""It's never cut-and-dried with weather,"" Leuthold said, ""but I think the majority of it is growth in the Phoenix valley.""\Hotter summers mean higher energy bills for air-conditioning and greater water use as outdoor plants are stressed.\In Phoenix in 2013, there were 115 days that exceeded 100 degrees and 25 days above 110 degrees -- both measures outpacing the average since 1981.\The city finished 2013 with 8.42 inches of rain, pushed over the average of 8.03 by an unusual late-November storm in which much of Maricopa County got more than 2 inches.\That was welcome relief in the 15th year of the Southwest's most-intense drought in recorded history. But the region's water supply will remain troubled until some big winters pile up snow in northern Arizona and in the Rocky Mountains.\The U.S. Bureau of Reclamation on Monday listed Lake Powell as 44percent full, which is low enough that managers will start slowing releases downstream to Lake Mead this year. Without a rebound, these major reservoirs could face a shortage that would reduce the state's share of Colorado River water.\That wouldn't put the Phoenix area's municipal systems at risk for immediate shortage, though. The state has stored river water in aquifers, and Salt River Project expects that even a slightly dry winter would fill its in-state reservoirs to about 80 percent of capacity.\High temperatures didn't just affect urban areas. Prescott experienced a late-June heat wave, which wildfire investigators determined affected the deadly Yarnell Hill Fire. Temperatures for the year at Prescott's airport were a half-degree above normal.\But not all the state suffered sustained heat. In the northern forests, where years of drought and warming winters have contributed to tree-killing beetle outbreaks, many locations logged average temperatures slightly cooler than usual.\Flagstaff was 0.6-degree cooler than usual.\Page, Bellemont, and Walnut Canyon and Wupatki national monuments all had their wettest monsoon seasons, while Flagstaff, Tusayan and Grand Canyon's Phantom Ranch had their second-wettest monsoons, said Megan Schwitzer, a Weather Service meteorologist.\""The wet monsoon season definitely helped our annual water budget,"" she said."
8,"Arizona faces significant threats from climate change. That gives us a big stake in moving beyond denial and into productive problem-solving.\A focus on addressing climate change requires finding effective strategies for well-known Arizona problems. It means protecting human health, the environment and economic development.\Vetted, peer-reviewed studies have shown that global warming is happening, caused by human activities, primarily burning oil, gas and coal. A recent report from the U.N. Intergovernmental Panel on Climate Change says greenhouse-gas emissions need to be drastically cut worldwide in order to avert a major climate catastrophe. That won't be easy.\Scientists working on an update of the congressionally mandated National Climate Assessment say Arizona faces a number of major challenges. Most involve known problems. All need to be addressed, regardless of whether politicians accept what scientists are saying.\As a desert state, Arizona will feel the effects of climate change most severely around ""water, water, water"" as the state gets hotter and drier, says Don Wuebbles, professor of atmospheric science at the University of Illinois and one of many respected scientists working on the update of the climate assessment.\Arizona water experts, such as former Sen. Jon Kyl, urge that planning start now for water shortages. Climate scientists' predictions of prolonged droughts make it more important to look beyond current overallocated sources.\The non-profit Environmental and Energy Study Institute says snowpack levels and stream flow are already down measurably in the Southwest. This impacts one of Arizona's major water sources, the Colorado River.\Arizona needs a serious and sustained discussion about balancing the needs of agriculture with growing urban centers. Water conservation and reclamation must be creatively and vigorously pursued, along with new sources of water.\Drier conditions, more severe insect infestations and increasingly intense fires threaten our forests. Arizona talks about the need to thin forests and address pests, such as bark beetles. But little real progress has been made. The state moves into yet another fire season without having met the human-safety needs identified after the deaths of 19 hotshots last year.\Climate change means increasingly severe weather events, including haboobs and highway dust storms. This, too, involves an existing problem. Yet nothing has been done to address stretches of Interstate 10 that are particularly subject to deadly flash dust storms.\Hotter conditions will result in more heat-related deaths. This is of particular concern because the elderly are among the most vulnerable, and Baby Boomers are aging. How does Arizona ensure that homes are properly insulated and that affordable cooling is available?\This is dicey. The price of electricity affects individuals and economic development, but cutting greenhouse-gas emissions can push up costs.\Environmental Protection Agency orders to reduce pollution from northern Arizona's Navajo Generating Station -- the largest coal-fired energy plant in the West -- threatened to do just that. The EPA agreed to a solution last year that does not unduly raise costs. But President Barack Obama is moving forward with proposed plans to further limit carbon emissions.\Arizona needs to be ready with ideas and solutions, not just arguments about whether global warming is a figment of Al Gore's imagination.\Climate change is real. It's a threat to Arizona. Facing that scientific fact can give added urgency to tackling long-standing state needs.\|\REPUBLIC EDITORIAL BOARD: John Zidich, Joanna Allhands, Steve Benson, Phil Boas, Jennifer Dokes, Robert Leger, Randy Lovely, Doug MacEachern, Robert Robb and Linda Valdez"
9,"It's always amusing when laymen declare the scientific debate about climate change to be over.\What in the world does that mean?\It can't mean climate science has become fixed and unchanging. Scientists express their views about climate change and its effects in terms of ranges and probabilities, which constantly change. Climate computer models are continuously refined. And they are proliferating, as more scientists get into the act.\Moreover, there are unexplained anomalies. Global warming has been pretty flat the past 15 years. That's acknowledged by the latest assessment of the U.N.'s Intergovernmental Panel on Climate Change and the U.S. National Climate Assessment, whose release this week triggered a tornado of ""the debate is over"" proclamations.\The climate models don't predict this. There are a variety of theories as to why it has happened, but nothing the scientists claim is proven. And then there is the three-decade cooling period between 1940 and 1970, when the Industrial Revolution was fully humming. There are theories about that, as well, but again nothing regarded as proven. Those are some big anomalies.\There is tension between the IPCC assessment and the National Climate Assessment. The U.S. document makes bold predictions about regional effects and links to extreme weather events that the IPCC is far more cautious about.\The most prominent layman declaring the debate over is President Barack Obama. But there could be a robust debate between the Obama who ran for president in 2008 and the Obama who ran for re-election in 2012. The 2008 Obama was an anti-fossil-fuel warrior, pledging to slow the rise of the oceans and begin healing the planet. The 2012 Obama ran as an all-of-the-above energy guy, bragging about an increase in oil and natural-gas production.\In its most recent report, the IPCC offers a sensible summary: ""Responding to climate-related risks involves decision-making in a changing world, with continuing uncertainty about the severity and timing of climate-change impacts.""\That hardly describes a debate that is over. But it offers a useful starting point for a discussion about what the laymen who are politicians should be doing about it.\There should be healthy skepticism about the precision of computer models of something as complex as the climate of the entire world.\Still, the natural atmosphere serves us well. Unleashing man-made greenhouse gases changes it. Doing less of that is better than doing more of it.\The Obama administration is trying to choke coal to death through regulation. That might be OK if it were simultaneously removing barriers to natural-gas exploration, production and export.\Fracking has been the most effective climate-change response to date. Expanding the supply and reducing the cost of cleaner-burning natural gas has substantially reduced U.S. greenhouse emissions. The most effective thing the U.S. government could do to reduce global emissions would be to unleash U.S. natural-gas exports.\Domestically, it's unclear what the Obama administration is trying to accomplish by breathing political life back into the climate-change issue. Obama ran away from the issue in 2012. There doesn't seem to be a political advantage to raising its profile before the 2014 election, when Democrats from energy-producing states are highly vulnerable.\Other than strangling coal through regulation, the administration isn't promoting a big climate-change initiative. The administration couldn't get cap-and-trade passed when Democrats had firm control of Congress. Since then, cap-and-trade has proved a bust in Western Europe, where it has done much more to reward rent-seekers than to reduce greenhouse-gas emissions.\I continue to believe the most appropriate policy response would be the establishment of a small, revenue-neutral carbon tax. Working through the mechanics of a carbon tax would be a giant step forward.\A carbon tax, even a small one, would be a signal that carbon emissions have become a variable cost to be minimized. And a U.S.-designed carbon tax would be an exportable policy idea, to the extent other countries are willing to do something.\A carbon tax isn't on the table, either. Rather than declaring the debate over, maybe we should start having one.\|\Reach Robb at robert.robb@arizonarepublic.com."
