,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL
0,"More renewable energy vital to state, forum told","Yanez, Brenda","Arizona Republic; Phoenix, Ariz.","Jan 25, 2012","Phoenix, Ariz.",NA,Business,https://www.proquest.com/newspapers/more-renewable-energy-vital-state-forum-told/docview/918364007/se-2?accountid=13360
1,VALLEY & STATE BRIEFS: Panel approves capping renewable-energy quota,NA,"Arizona Republic; Phoenix, Ariz.","Mar 15, 2012","Phoenix, Ariz.",NA,Business,https://www.proquest.com/newspapers/valley-state-briefs/docview/1022758429/se-2?accountid=13360
2,Climate-change skeptic to talk to 'tea party' groups,"Wright, Lesley","Arizona Republic; Phoenix, Ariz.","May 26, 2012","Phoenix, Ariz.",NA,VALLEY & State,https://www.proquest.com/newspapers/climate-change-skeptic-talk-tea-party-groups/docview/1034381443/se-2?accountid=13360
3,"West Valley embracing renewable energy, sustainability",NA,"Arizona Republic; Phoenix, Ariz.","Oct 3, 2012","Phoenix, Ariz.",NA,Surprise Republic 1,https://www.proquest.com/newspapers/west-valley-embracing-renewable-energy/docview/1220392658/se-2?accountid=13360
4,Climate-change film 'Bastards' screams to the choir,"VanDenburgh, Barbara","Arizona Republic; Phoenix, Ariz.","Mar 8, 2013","Phoenix, Ariz.",P.3,Movie Preview,https://www.proquest.com/newspapers/climate-change-film-bastards-screams-choir/docview/1315330243/se-2?accountid=13360
5,"Climate change is a moral issue, as well; we need leadership from all levels","Bland, Doug","Arizona Republic; Phoenix, Ariz.","Apr 20, 2013","Phoenix, Ariz.",25,Northeast Phoenix Republic 7,https://www.proquest.com/newspapers/climate-change-is-moral-issue-as-well-we-need/docview/1365701904/se-2?accountid=13360
6,Phoenix makes inroads on renewable energy,"Reid, Betty","Arizona Republic; Phoenix, Ariz.","Dec 6, 2013","Phoenix, Ariz.",3,Northeast Phoenix Republic 7,https://www.proquest.com/newspapers/phoenix-makes-inroads-on-renewable-energy/docview/1501029822/se-2?accountid=13360
7,"Seven of city's 10 hottest years have come since 2000. Experts say Valley's 'heat island' effect, climate change may be to blame.","Loomis, Brandon","Arizona Republic; Phoenix, Ariz.","Jan 7, 2014","Phoenix, Ariz.",A.1,Front,https://www.proquest.com/newspapers/seven-citys-10-hottest-years-have-come-since-2000/docview/1475124587/se-2?accountid=13360
8,"Climate change real in Ariz., too",NA,"Arizona Republic; Phoenix, Ariz.","Apr 17, 2014","Phoenix, Ariz.",A.14,Opinions,https://www.proquest.com/newspapers/climate-change-real-ariz-too/docview/1517417743/se-2?accountid=13360
9,Let's have a legitimate debate on climate change,"Robb, Robert","Arizona Republic; Phoenix, Ariz.","May 9, 2014","Phoenix, Ariz.",A.18,Opinions,https://www.proquest.com/newspapers/lets-have-legitimate-debate-on-climate-change/docview/1522943083/se-2?accountid=13360
10,Study links climate change to rise in devastating wildfires,"Ruiz, Celeste","Arizona Republic; Phoenix, Ariz.","May 21, 2014","Phoenix, Ariz.",A.26,News,https://www.proquest.com/newspapers/study-links-climate-change-rise-devastating/docview/1527383766/se-2?accountid=13360
11,"Follow tribes' lead, join EPA plan to combat climate change","Richardson, Bill","Arizona Republic; Phoenix, Ariz.","Nov 20, 2014","Phoenix, Ariz.",A.13,Opinions,https://www.proquest.com/newspapers/follow-tribes-lead-join-epa-plan-combat-climate/docview/1626833660/se-2?accountid=13360
12,Climate change cited in Ariz. wildfire forecast,"Pitzl, Mary Jo","Arizona Republic; Phoenix, Ariz.","May 1, 2015","Phoenix, Ariz.",A.5,Front,https://www.proquest.com/newspapers/climate-change-cited-ariz-wildfire-forecast/docview/1677369936/se-2?accountid=13360
13,Climate-change skeptics offer flawed forecast,Montini; Ed,"Arizona Republic; Phoenix, Ariz.","May 28, 2015","Phoenix, Ariz.",A.3,Front,https://www.proquest.com/newspapers/climate-change-skeptics-offer-flawed-forecast/docview/1683609642/se-2?accountid=13360
14,Pope's climate change message is welcome,NA,"Arizona Republic; Phoenix, Ariz.","Jun 19, 2015","Phoenix, Ariz.",A.19,Front,https://www.proquest.com/newspapers/popes-climate-change-message-is-welcome/docview/1689875223/se-2?accountid=13360
15,The dirty little secret about renewable energy,NA,"Arizona Republic; Phoenix, Ariz.","Jul 10, 2015","Phoenix, Ariz.",A.15,Front,https://www.proquest.com/newspapers/dirty-little-secret-about-renewable-energy/docview/1695154463/se-2?accountid=13360
16,Five actions we can take to impact climate change,NA,"Arizona Republic; Phoenix, Ariz.","Jul 15, 2015","Phoenix, Ariz.",Z.24,Northwest Valley 20,https://www.proquest.com/newspapers/five-actions-we-can-take-impact-climate-change/docview/1696177466/se-2?accountid=13360
17,Obama to speak 'frankly' on 11-day climate change tour,"Korte, Gregory","Arizona Republic; Phoenix, Ariz.","Aug 25, 2015","Phoenix, Ariz.",B.2,Valley & State,https://www.proquest.com/newspapers/obama-speak-frankly-on-11-day-climate-change-tour/docview/1707071105/se-2?accountid=13360
18,Arizona uranium mining can battle climate change,NA,"Arizona Republic; Phoenix, Ariz.","Aug 31, 2015","Phoenix, Ariz.",A.12,Front,https://www.proquest.com/newspapers/arizona-uranium-mining-can-battle-climate-change/docview/1708153779/se-2?accountid=13360
19,"Antarctica gaining ice despite climate change, study says",NA,"Arizona Republic; Phoenix, Ariz.","Nov 5, 2015","Phoenix, Ariz.",B.1,Valley & State,https://www.proquest.com/newspapers/antarctica-gaining-ice-despite-climate-change/docview/1730107037/se-2?accountid=13360
