,char_start,char_end,selected_content,Document number,labeled frame,clean_text
0,0,193,"Cain also said the customers involved would pay premium rates for the special generation and that the cost of the projects would not be passed on to the rest of Alabama Power's customer base. 
",2,F2-L-P,cain also say customer involve would pay premium rate special generation cost project would pass rest alabama power customer base
1,78,226,"which would not be passed on to the broader customer base, and that the program was not designed for residential customers, at least at the start. 
",3,F2-L-P,would pass broader customer base program design residential customer least start
2,308,489,"This filing achieves that policy directive while also allowing for solar and new renewable energy projects that are expected to provide economic benefit for all of our customers."" 
",3,F2-L-P,file achieves policy directive also allow solar new renewable energy project expect provide economic benefit customer
3,0,263,"""Renewables are going to be a part of utility portfolios going forward,"" Johnston said. ""It's adding diversity to the fuel mix and it's adding jobs as we saw with Google up in north Alabama. I'm glad Alabama Power is finally coming around to seeing it that way.""
",3,F1-L-P,renewables go part utility portfolio go forward johnston say add diversity fuel mix add job saw google north alabama glad alabama power finally come around see way
4,256,468,"But one industry – renewable energy, one of the fastest growing in the U.S. and worldwide – won't be coming to Alabama any time soon, despite studies confirming Alabama's potential for wind and solar deployment.
",4,F1-L-P,one industry renewable energy one fast grow u worldwide come alabama time soon despite study confirm alabama potential wind solar deployment
5,219,844,"would have reaped millions of dollars in tax revenues and economic benefits from new wind projects, without a penny of state or local incentives – a big deal in the state that paid Hyundai $117,000 per job.  Instead, special laws were passed by local legislators making the projects impossible, in part because opponents couldn't stand that wind projects are eligible for federal tax credits.  The hypocrisy is breathtaking – this same group of legislators led the latest bailout, including $3 million from Etowah County taxpayers, of Goodyear's Gadsden plant which has failed for years to operate without taxpayer support. 
",4,F1-L-P,would reap million dollar tax revenue economic benefit new wind project without penny state local incentive big deal state pay hyundai per job instead special law pass local legislator make project impossible part opponent stand wind project eligible federal tax credit hypocrisy breathtaking group legislator lead late bailout include million etowah county taxpayer goodyear gadsden plant fail year operate without taxpayer support
6,237,749,"Fifteen Alabama businesses around the state already employ more than 100 people manufacturing wind and solar components (to be used elsewhere).  Neighboring ""red"" states like Georgia and Tennessee are plunging ahead with renewables.  Alabama Power, Georgia Power and TVA already buy large amounts of wind energy from other states, and Georgia is studying its off-shore wind potential.  Wal-Mart, one of Alabama's largest employers, recently agreed to purchase wind power from one of my company's Texas projects.
",4,F1-L-P,fifteen alabama business around state already employ people manufacture wind solar component use elsewhere neighbor red state like georgia tennessee plunge ahead renewables alabama power georgia power tva already buy large amount wind energy state georgia study shore wind potential wal mart one alabama large employer recently agree purchase wind power one company texas project
7,52,273,"It is happening already all around the country and in states right next door, and Alabama is getting left behind.  The situation will change only if people make their voices heard in support of clean energy investment.  
",4,F1-P,happen already around country state right next door alabama get leave behind situation change people make voice hear support clean energy investment
8,0,273,"Renewable energy is a big opportunity for Alabama.  It is happening already all around the country and in states right next door, and Alabama is getting left behind.  The situation will change only if people make their voices heard in support of clean energy investment.  
",4,F1-P,renewable energy big opportunity alabama happen already around country state right next door alabama get leave behind situation change people make voice hear support clean energy investment
9,121,291," America's quality of life and influence the workforce with increasingly higher levels of entry level skill requirements,"" said Helen McAlpine, president of Drake State.
",6,F2-P,america quality life influence workforce increasingly high level entry level skill requirement say helen mcalpine president drake state
10,0,142,"So what does renewable energy mean for consumers? A greater cost on the front end, Willingham said, with significant savings on the back end.
",6,F2-P,renewable energy mean consumer great cost front end willingham say significant saving back end
11,0,252,"The cost in a home would be about $5,000 extra for each ton of a heating and cooling unit, Willingham said. Homes typically have heating and cooling units of about four or five tons. The savings, however, come in utility bills cut by about 50 percent.
",6,F2-P,cost home would extra ton heat cool unit willingham say home typically heat cool unit four five ton saving however come utility bill cut percent
12,0,234,"According to Alabama Power, the proposal has specific customers in mind and would allow Alabama Power to serve those customers renewable energy at a premium price without increasing electricity costs for the rest of its rate-payers. 
",8,F2-L-P,accord alabama power proposal specific customer mind would allow alabama power serve customer renewable energy premium price without increase electricity cost rest rate payer
13,310,407,"offering renewable energy options would help to attract those kinds of businesses to the state. 
",8,F1-L-P,offer renewable energy option would help attract kind business state
14,214,326,"anticipated ""positive economic benefit"" to all Alabama Power customers and putting downward pressure on rates. 
",8,F2-L-P,anticipate positive economic benefit alabama power customer put downward pressure rate
15,0,208,"""We believe this proposal gives us the flexibility to move quickly to meet some of the interest our customers have for renewables in a way that benefits not only them, but benefits our entire customer base.""
",8,F2-L-P,believe proposal give u flexibility move quickly meet interest customer renewables way benefit benefit entire customer base
16,0,226,"""While many questions remain about the details of the proposal, it is clear that utilities are acknowledging the energy shift already underway and the cost-savings and benefits that come with renewables like solar and wind."" 
",8,F2-L-P,many question remain detail proposal clear utility acknowledge energy shift already underway cost saving benefit come renewables like solar wind
17,369,452,"while also making sure those energy decisions benefit customers across the state.""
",8,F2-L-P,also make sure energy decision benefit customer across state
18,0,140,"Combined with 30 percent federal tax credits and depreciation tax credits, the system should pay for itself in six to seven years, he said.
",11,F2-P,combine percent federal tax credit depreciation tax credit system pay six seven year say
19,0,138,"But it's not as simple as it sounds, Shearburn said, because it has significant up-front costs and it's not easy to get financing for it.
",11,F2-P,simple sound shearburn say significant front cost easy get financing
20,0,167,"""For a commercial business to wait six to seven years to get its money back, that's a long wait,"" he said, noting paying off a residential system could take 10 years.
",11,F2-P,commercial business wait six seven year get money back long wait say note pay residential system could take year
21,62,213,"He said the program unwisely spends money on alternative energy sources that are costly and make up only a tiny fraction of the nation's energy needs.
",12,F1-N,say program unwisely spend money alternative energy source costly make tiny fraction nation energy need
22,0,197,"""This reduced funding level will stifle Federal investment in innovative clean energy research and development (R&D) at a time of significant global competition and progress,"" the statement reads.
",12,F1-P,reduce funding level stifle federal investment innovative clean energy research development r time significant global competition progress statement read
23,0,399,"The scientists at the University of Alabama in Huntsville are known throughout the environmental community as being skeptical that climate change (or global warming) will have a catastrophic effect on the earth. The crux of the matter is that their research, using satellite data to measure temperatures in the atmosphere, disagrees with climate models they say that overstates the earth's warming.
",13,S1-N,scientist university alabama huntsville know throughout environmental community skeptical climate change global warming catastrophic effect earth crux matter research use satellite data measure temperatures atmosphere disagrees climate model say overstates earth warm
24,0,154,"Yes, they agree, that there is climate change. Yes, they agree, humans play a role in that climate change. No, they agree, it's not a catastrophic event.
",13,S1-N,yes agree climate change yes agree human play role climate change agree catastrophic event
25,0,286,"What Christy and Spencer (who then worked for NASA at Marshall Space Flight Center just down the street from UAH) announced at that press conference on March 29, 1990, was that their study of temperature data from satellites indicated the world was not warming as much as was believed.
",13,S1-N,christy spencer work nasa marshall space flight center street uah announce press conference march study temperature data satellite indicate world warm much believe
26,0,528,"Christy: The impression people make with that statement is that 97 percent of scientists agree with my view of climate change, which typically is one of catastrophic change. So if a Senate hearing or the president or vice president says 97 percent of the scientists agree with me, that's not true. The American Meteorological Society did their survey and they specifically asked the question, Is man the dominate controller of climate over the last 50 years? Only 52 percent said yes. That is not a consensus at all in science.
",13,S1-N,christy impression people make statement percent scientist agree view climate change typically one catastrophic change senate hearing president vice president say percent scientist agree true american meteorological society survey specifically ask question man dominate controller climate last year percent say yes consensus science
27,412,594,"How many poor people are you going to hurt? How many more people are you going to make poor through energy poverty because they are paying five to 10 times as much for their energy?
",13,F2-N,many poor people go hurt many people go make poor energy poverty pay five time much energy
