,State,Title,Author,Publication_date,article
0,AL,"Alabama Power eyes future renewable energy projects
",Dennis Pillion,"Sep 28, 2016","Alabama Power Company posted a request for proposals this week for renewable energy projects that could bring additional solar, wind, geothermal or other kinds of renewable energy to Alabama. 
\Alabama's largest utility has announced more than 90 megawatts of solar power projects since late last year, and John Kelley, Alabama Power's director of forecasting and resource planning, said the company wanted to weigh its options for additional renewable energy projects in the future.
\""Alabama Power supports renewable energy, where it makes sense for our customers,"" Kelley said in a news release announcing the RFP. ""Renewable markets change a lot, and this proposal gives us a chance to see what may be out there in the 2017 and 2018 time frame.""
\Last year the utility received approval from the Alabama Public Service Commission to develop up to 500 megawatts of renewable energy projects, and has since moved forward with a handful of those, including solar power installations at Anniston Army Depot and Fort Rucker and a 72 megawatt solar farm in Chambers County developed with Walmart.
\Those projects were planned with specific customers in mind, to meet the customers' renewable energy goals. 
\Walmart has a long-term goal of being supplied by 100 percent renewable energy, and aims to produce or procure 7 billion kilowatt hours of renewable power by 2020.
\The U.S. Department of Defense aims to offset 25 percent of the power used in all its facilities with renewable generation by 2025, and the Army, Navy and Air Force have been instructed to secure one gigawatt of renewable energy each.
\Alabama Power's RFP calls for several kinds of renewable projects including solar, wind, geothermal, tidal or ocean current projects, low-impact hydro, gas derived from sewage treatment processes, gas derived from solid municipal waste or landfill projects, hydrogen sourced from renewable resources, biomass materials and/or gases derived from biomass materials.
\The projects could range in size from 5 to 80 MW, and could be ""turnkey"" proposals that Alabama Power would own upon completion, or power purchase agreements lasting 10 or 25 years. In addition to its own resources, Alabama Power purchases substantial amounts of wind energy from facilities in the Midwest. 
\Alabama Power spokesman Michael Sznajderman said via email that any projects selected through the RFP process would count under the 500 megawatt certificate received last year. Individual projects would still have to be approved by the PSC.
\Notice of intent to bid must be received by 6 p.m. CDT on Oct. 14, 2016. Completed bids must be received by 6 p.m. CST on Nov. 15, 2016.
"
1,AL,"PSC approves Alabama Power's renewable energy project request, with modifications
",Dennis Pillion,"Sep 1, 2015","The Alabama Public Service Commission voted 3-0 to approve a proposal by Alabama Power to construct up to 500 megawatts of renewable energy generation projects in the state over the next six years. 
\Alabama Power spokesman Michael Sznajderman said the decision will allow the company to meet the demands of larger customers, primarily businesses and military facilities, that wish to add renewable energy to their portfolio.
\The projects will be designed to meet the needs of specific Alabama Power customers and could include, but would not be limited to, solar and wind installations of up to 80 megawatts each, or purchase agreements for renewable energy generated outside of the state. 
\""We've had some ongoing conversations with customers that are interested in renewable projects, some of the military bases among those,"" Sznajderman said. ""Now that we've gotten the PSC's approval, we can sort of move quickly to hopefully bring some of these together.""
\During a public hearing last month discussing the proposal, Alabama Power regulatory policy manager Noel Cain stated that the military and many Fortune 500 companies have instituted renewable energy mandates, and that having the ability to complete these types of projects will help attract businesses to the utility's service area. Cain said some customers have deadlines to meet their renewable goals, making time a factor. 
\Cain also said the customers involved would pay premium rates for the special generation and that the cost of the projects would not be passed on to the rest of Alabama Power's customer base. 
\The commission staff did include some modifications to the proposal as first submitted by Alabama Power, including requirements that the company submit generic requests for proposal on a biennial basis for projects submitted, that individual projects must be approved by a vote of the commission and limits that no more than 160 megawatts be submitted and approved in a calendar year, without a written request to the commission. 
\Sznadjerman said Alabama Power did not object to any of the modifications to the proposal. 
\Representatives from several conservation and green energy advocacy groups were on hand for the meeting and expressed optimism about the future of renewable energy in Alabama. 
\""We're excited that this has been approved and we look forward to working with Alabama Power and others to expand renewables in the state,"" said Conservation Alabama executive director Tammy Herrington. ""We think it's a good first step. We're excited to see what comes next.""
\Keith Johnston of the Southern Environmental Law Center said that he was pleased to see the commission approve the request, though he said there were lingering questions about the proposal that warranted review and further consideration. 
\""It's time that renewables have a place,"" Johnston said. ""We're still looking at the process, but the bottom line is we're happy that they're making this step forward.""
"
2,AL,"Alabama Power proposes up to 500 megawatts in renewable energy projects, including solar
",Dennis Pillion,"July 14, 2015","Alabama Power petitioned the Alabama Public Service Commission last month for permission to install up to 500 megawatts of renewable energy projects, including solar power, company spokesman Michael Sznajderman confirmed Tuesday. 
\Sznajderman said the company is seeking a way to provide renewable energy for corporate customers who desire it in their energy portfolio or have renewable energy mandates to meet. The proposal must still be approved by the PSC.  
\""This allows us to negotiate with these companies so that we can find ways to provide them with renewable energy, either by building our own projects, or possibly purchasing renewable energy from other sources,"" Sznajderman said.
\Sznadjerman said that the renewable electricity would come at a premium cost, which would not be passed on to the broader customer base, and that the program was not designed for residential customers, at least at the start. 
\""This is kind of a first step to try to work more aggressively with a portion of our customer base to provide renewables and predominantly solar,"" Sznajderman said. ""There's a growing interest in solar. The price has been coming down, but it's not quite to that point where it's at parity with conventional sources of power.
\""We're hoping that the Commission will give us this sort of broad ability to work with customers and get up to that 500 megawatt number.""
\The individual projects could be up to 80 megawatts each, but Sznajderman said that if the PSC signs off on the broader package, it would save the company from having to seek approval for each individual smaller project. 
\According to an announcement on Alabama Power's news site, 500 megawatts of solar power is roughly four to five percent of the company's total capacity.
\""This proposal provides a common-sense path for expanding renewables in Alabama,"" Nick Sellers, Alabama Power vice president of regulatory and corporate affairs said in the announcement. ""The Public Service Commission has been clear that they do not want renewables to be subsidized by all of our customers. This filing achieves that policy directive while also allowing for solar and new renewable energy projects that are expected to provide economic benefit for all of our customers."" 
\Alabama Power has previously lagged behind other regional utilities in solar capacity, even within its parent organization, Southern Company. Georgia Power, also owned by Southern Company, reported 900 megawatts of solar capacity and growing as of last year. 
\Keith Johnston, managing attorney for the Southern Environmental Law Center -- who earlier this month co-authored a guest editorial on AL.com criticizing Alabama Power's lack of investment in solar energy -- said the announcement sounded like a positive step, although he would like to know more details about the proposal. 
\""Renewables are going to be a part of utility portfolios going forward,"" Johnston said. ""It's adding diversity to the fuel mix and it's adding jobs as we saw with Google up in north Alabama. I'm glad Alabama Power is finally coming around to seeing it that way.""
\Non-profit group Conservation Alabama released a statement Tuesday afternoon praising the proposal. 
\""This is the beginning of what we would like to see as a long-term change in how Alabama produces and uses energy,"" said Tammy Herrington, executive director of Conservation Alabama in a news release. ""Alabama Power is signaling their commitment to renewable energy, and we look forward to working with them to expand this program to make our state a leader in solar energy.""
"
3,AL,"When it comes to renewable energy, is Alabama closed for business?: guest opinion
",Andy Bowman,"Sep 2, 2014","For decades Alabama has been a jobs and investment juggernaut, one of the country's fiercest competitors for new industry.  The state can rightfully crow about its successes drawing new business in the auto, aerospace and aviation sectors, to name a few.  But one industry – renewable energy, one of the fastest growing in the U.S. and worldwide – won't be coming to Alabama any time soon, despite studies confirming Alabama's potential for wind and solar deployment.
\Alabama's business climate of late has been downright hostile for renewable energy.  One wind company tried to develop a project near Alabama's windy coast, only to see a special law passed banning wind projects in the whole county.   My company spent four years and $2 million developing wind projects in Etowah and Cherokee counties, only to come to the same end.  Two companies were sued recently just for planning a wind project in Cleburne County.  And solar is doing no better – Alabama's solar policies earned an ""F"" in one recent national comparison.
\Why is Alabama's business climate so bad for renewable energy?  In part because some elected officials are putting politics ahead of common sense.  Gadsden, the fourth poorest city in America in 2013, and Etowah County would have reaped millions of dollars in tax revenues and economic benefits from new wind projects, without a penny of state or local incentives – a big deal in the state that paid Hyundai $117,000 per job.  Instead, special laws were passed by local legislators making the projects impossible, in part because opponents couldn't stand that wind projects are eligible for federal tax credits.  The hypocrisy is breathtaking – this same group of legislators led the latest bailout, including $3 million from Etowah County taxpayers, of Goodyear's Gadsden plant which has failed for years to operate without taxpayer support. 
\Politics is a fact of life and we all know politicians will do just about anything to get re-elected.  Rather, it is the silence of those who know better that is the bigger reason why renewable energy is going nowhere in Alabama.  Not one of Alabama's business recruitment champions – the Governor's office, the Department of Commerce, the Business Council of Alabama – spoke up in defense of wind or solar investment.  Democratic leaders and most environmental groups supporting clean energy were also silent; apparently, they had higher priorities.  But this should be troubling for business leaders, because nothing says poor business environment like bad politics trumping good business, and everyone going along with it.
\Some can try to explain all this by saying that Alabama just doesn't like renewable energy: politically speaking, Alabama is a ""red"" state, Obama likes renewable energy, so therefore Alabama doesn't.  But clearly it is not that simple.  Fifteen Alabama businesses around the state already employ more than 100 people manufacturing wind and solar components (to be used elsewhere).  Neighboring ""red"" states like Georgia and Tennessee are plunging ahead with renewables.  Alabama Power, Georgia Power and TVA already buy large amounts of wind energy from other states, and Georgia is studying its off-shore wind potential.  Wal-Mart, one of Alabama's largest employers, recently agreed to purchase wind power from one of my company's Texas projects.
\Renewable energy is a big opportunity for Alabama.  It is happening already all around the country and in states right next door, and Alabama is getting left behind.  The situation will change only if people make their voices heard in support of clean energy investment.  
\Andy Bowman is president of Pioneer Green Energy.
"
4,AL,"Alabama A&M professor leading the charge in renewable energy
",Mike Kelley ,"Sep 1, 2014","HUNTSVILLE, Alabama -- Alabama may not yet be at the forefront of the renewable energy movement, but an Alabama A&M University mechanical engineering professor isn't waiting around.
\Dr. Showkat Chowdhury, who's been teaching mechanical engineering at A&M for the past dozen years, has launched a new series of courses this fall term aimed at getting engineering students geared up in the basics of renewable energy technology.
\""The energy crisis has just started, and we're not going to easily get out of it. Renewable energy is one of our best solutions.""
\Funded by a $300,000 National Science Foundation grant, the two new courses will ground A&M engineering students in the growing renewable energy field. They include:
\ME 441 Renewable Energy, a survey course touching on all renewable technologies:  solar, wind, geothermal, biomass, and hydroelectric. 
\ME 442, offered in Spring 2015, will take a deeper plunge into solar thermal, solar photovoltaic (i.e. solar electricity) and wind power.
\Both courses will have additional work options for graduate students.
\Chowdhury says the energy situation in the U.S. is bad and getting worse.
\ ""The energy crisis has just started, and we're not going to easily get out of it. Renewable energy is one of our best solutions.""
\About $100,000 of the grant has been used to buy renewable energy research equipment to support the course and Chowdhury's ongoing research.  A six-foot long wind tunnel will allow various windmill scenarios to be tested.
\ ""We can change the number of blades, the pitch of the blades, and wind velocity."" 
\A unique solar testing device will allow researchers and 15 student assistants to study how changes in solar radiation intensity and electrical loads affect solar energy output and efficiency.
\Chowdhury heads a energy research team consisting of himself as principle researcher assisted by his wife Tamara and fellow A&M engineering professor Dr. Wing Chen.
"
5,AL,"Finding the cool in the sun, renewable energy lab opens at Drake State
",Paul Gattis,"Jun 18, 2012","HUNTSVILLE, Alabama  --Monday's warm sunshine made for a cool morning at Drake State Technical College.
\The school formally opened its Renewable Energy Laboratory on campus, showing off a small house cooled by a two-ton unit operating solely on solar energy.
\""What was your first feeling when you walked in the door?"" said Ricky Willingham, director of workforce development at Drake State. ""This is cool. The sun is cooling this building. This sells itself.""
\Along with the renewable energy lab, the school also cut the ribbon on its original building that is now known as the Salon Management Technology Building.
\The ceremony included remarks from Huntsville Mayor Tommy Battle, state school board member Mary Scott Hunter as well as Susan Price, chancellor of the state community college system, to a crowd of local business leaders and Drake State supporters.
\""The event today heralds Drake State's success at keeping pace with the rapid changes occurring in technology that impact America's quality of life and influence the workforce with increasingly higher levels of entry level skill requirements,"" said Helen McAlpine, president of Drake State.
\While the renovation of Building 600, the cosmetology building, is one of Drake State's largest programs and considered ""recession-proof,"" McAlpine said, the renewable energy lab was the crown jewel of Monday's activities.
\The lab isn't expansive -- perhaps the size of a large living room -- Willingham said it makes its point as a solar-sustaining building. It is not connected to the electrical grid, he said, and all energy is derived from the sun.
\In addition to the two-ton heating and cooling unit, the lab operates a 60-gallon water heater as well as powering lights and electrical outlets.
\The heating and cooling unit draws air from underground that is consistently about 55 to 60 degrees, Willingham said. That's much more efficient than cooling outside air on a 90-degree day or heating outside air on a 30-degree day, he said.
\The white lab, financed through a $458,000 Department of Labor grant and built to resemble a home complete with the details of a front porch and hanging baskets, will be used as a training facility. It also includes a charging station for electric cars.
\Willingham said 200 people are expected to undergo renewable energy training during the summer.
\""We're on the proactive, front side of it,"" Willingham said. ""A lot of time with training like we do, there's a need and we try to meet the need. (Renewable energy) is a buzzword. People in the program are either going to work as installers or they are going to be contractors.""
\So what does renewable energy mean for consumers? A greater cost on the front end, Willingham said, with significant savings on the back end.
\The cost in a home would be about $5,000 extra for each ton of a heating and cooling unit, Willingham said. Homes typically have heating and cooling units of about four or five tons. The savings, however, come in utility bills cut by about 50 percent.
\The renewable energy training offered at Drake State is also available cost-free, funded by the federal grant, Willingham said. Veterans looking for training are a target audience for the program as well as the unemployed or even contractors eager to learn more about renewable energy.
\""We spent a lot of time training to ascertain what's important for this community,"" McAlpine said. ""The renewable energy piece is something that's being talked about across the country.""
"
6,AL,"TVA ranked in top 10 nationally in renewable energy sales
",Brian Lawson ,"Jul 15, 2014","HUNTSVILLE, Alabama -- The Tennessee Valley Authority announced today it was ranked in the top 10 nationally for renewable energy sales among U.S. utilities in 2013.
\It marks the first time since 2003 that TVA has made the list. The utility cited customer support for its Green Power Switch program as a key reason for the sales performance listed ninth in the U.S. Department of Energy rankings.
\TVA was the only utility in the southeast to make the top 10. 
\Green Power Switch, which began in 2000, gives utility customers the option of buying a small amount of green power as part of their monthly bill. That money is then used by TVA to buy power from renewable sources – like solar and wind – in the Tennessee Valley.
\The program has grown, but only a small fraction of TVA's overall customer base has signed up. 
\TVA said it has 12,600 Green Power Switch residential or business customers. The utility serves about 4 million households in all or part of seven states.
\There are nearly 1,100 residential and 14 business Green Power Switch customers in Alabama. Those figures include 939 Huntsville Utilities customers, TVA said today.
\The program offers customers a chance to buy defined percentages of their estimated monthly electricity use from green sources, on top of their current rates.  A given home's participation doesn't mean green power goes directly to that customer, but rather to TVA's overall system.
\TVA offers six options, in blocks of 150 kilowatt hours – about one-tenth of a monthly power bill – for green power purchases, starting a $4 a month for 12 percent green power, up to $32 a month for 100 percent green power support.
\TVA spokesman Duncan Mansfield said solar power is the most common source for renewable energy purchased by the utility in the Tennessee Valley.
\He said there nearly 2,000 solar photovoltaic installations in the valley and TVA has approved 340 more that are ""on the way."" TVA will buy the power and offers incentive programs to encourage solar installations in homes and small businesses.
\""There is a great deal of activity on the side of (renewable  power) generators,"" Mansfield said. ""People want to sell their electricity.""
\TVA also has a program encouraging solar farms, that provided incentives for generation of up to 20 megawatts. The size of the program was increased this year, Mansfield said, and incentives for solar farms up to 100 megawatts are available.
\He said that program has four installations with 11 more applications currently.
\Mansfield said TVA will spend about $25 million this year to buy solar energy through the programs.
\TVA spends just over $460 million on renewable energy annually, Mansfield said, with much of that spending going to wind farm power purchases from providers in the Midwest, from states like Illinois and Kansas.
\TVA didn't find enough consistent wind available in the valley to expand aggressively into wind farms. The Midwest has proven to be a better region for that power, he said.
\Those purchases don't relate to the Green Power Switch program, but there are wind farms in the Tennessee Valley, with the largest site near Oak Ridge, Tenn. at Buffalo Mountain. TVA developed the site with three turbines, but it has expanded. Invenergy, which installed and runs the turbines, has installed 15 more turbines.TVA buys the power from the company.
\TVA is also working with a company called Strata Solar in the development of two joined wind farms in western Tennessee, Mansfield said.
\ The utility is currently working on its integrated resource plan -- its guideline for how it will generate power for the next years -- and Mansfield said the TVA board is expected to vote on the plan next fall. 
\ There will be public forums and other opportunities for public comment on the plan in the coming months, he said. 
"
7,AL,"Public Service Commission hears testimony on proposed 500 MW renewable energy project
",Dennis Pillion,"Aug 12, 2015","The Alabama Public Service Commission heard testimony for more than three hours Wednesday about a petition submitted by Alabama Power seeking permission to offer up to 500 megawatts of renewable energy to its customers, either through new installations or purchase-power agreements with providers in other states. 
\The small-scale renewable energy projects would be up to 80 megawatts each, and could include new solar and wind energy projects, according to details of the proposal provided by Alabama Power. 
\According to Alabama Power, the proposal has specific customers in mind and would allow Alabama Power to serve those customers renewable energy at a premium price without increasing electricity costs for the rest of its rate-payers. 
\Noel Cain, Alabama Power's regulatory policy manager, testified at the public hearing that Alabama Power had been contacted by multiple customers, including military installations and private businesses, that are seeking the option to purchase renewable electricity for their facilities, and that the petition would allow Alabama Power to meet those needs. 
\Cain said that the military facilities were under a mandate to generate up to 25 percent of their electricity from renewable sources by 2025. She noted that many Fortune 500 companies, including Google, Facebook, Amazon, Apple, Wal-Mart and others have similar internal mandates for renewable energy, and that offering renewable energy options would help to attract those kinds of businesses to the state. 
\She cited as an example the $600 million data center Google plans to build in Jackson County, Ala., which will be powered entirely by renewable energy.
\The petition did not disclose details about individual projects, which would be negotiated between Alabama Power and the prospective customers. Cain said that the deals would be only be executed that would show an anticipated ""positive economic benefit"" to all Alabama Power customers and putting downward pressure on rates. 
\Cain said the proposal could also help Alabama Power and the state of Alabama comply with environmental regulations like the Environmental Protection Agency's Clean Power Plan, which was finalized last week, although she referred to compliance as a ""secondary benefit."" 
\The PSC is expected to include the petition on the agenda for its next meeting on Sept. 1. 
\""We're hopeful that the commission will find this proposal beneficial,"" Alabama Power spokesman Michael Sznajderman said after the meeting. ""Obviously we brought it to them thinking it is (beneficial), meeting a growing interest among our customers for renewables.
\""We believe this proposal gives us the flexibility to move quickly to meet some of the interest our customers have for renewables in a way that benefits not only them, but benefits our entire customer base.""
\Time is a key factor, as a federal tax credit for renewable energy is set to expire after 2016. Projects not completed by then risk losing the tax credit if it is not reauthorized by Congress. 
\Sznajderman said that since the announcement was made about the petition, the company has received additional inquiries from customers interested in purchasing renewable energy and from those interested in installing the projects.
\The plan was designed for commercial rather than residential power customers, but Cain testified that nothing in the proposal prohibited a community-scale solar project from being part of the project.
\Cain testified and answered questions by representatives from the PSC, Alabama Power, the Alabama Attorney General's office, and multiple private groups in Wednesday's hearing. 
\""We're really excited to see Alabama invest in renewable energy,"" said Amelia Shenstone, organizing manager for the Southern Alliance for Clean Energy. ""We know that that works in Alabama and we're really excited for it to start happening here.""
\The SACE was one of several groups sending representatives to the hearing to ask questions, including the Jobkeeper Alliance, the Alabama Environmental Council, and the Alabama Industrial Energy Consumers.
\""We appreciate the chance to participate in these hearings, and would like to continue the conversation about how Alabama can approach smart investments in clean energy,"" said Michael Churchman, executive director of the Alabama Environmental Council, which was represented at the hearing by the Southern Environmental Law Center.
\""While many questions remain about the details of the proposal, it is clear that utilities are acknowledging the energy shift already underway and the cost-savings and benefits that come with renewables like solar and wind."" 
\""As evidenced by Google's decision to expand into northern Alabama's TVA territory, we are witnessing an increasing demand for clean energy options from business leaders,"" said Keith Johnston from the Southern Environmental Law Center.  ""Our hope is that Alabama Power will take this opportunity and make renewable generation a more widely used and available resource, while also making sure those energy decisions benefit customers across the state.""
"
8,AL,"Electrical and HVAC contractors to students: Want a job? Know about renewable energy
",Mike Kelley ,"Sep 5, 2014","HUNTSVILLE, Alabama -- Want a good job in heating/air-conditioning? Make sure you get some training in energy conservation and renewable energy.
\It can make a difference in getting that first job, officials at Calhoun Community College and Drake State Technical College say. Presidents and program directors at both schools say the energy training programs and training facilities put in place in 2012 have paid off big for their graduates.
\""We had area contractors coming to us and saying they need graduates with training in renewable energy,"" says Drake State President Dr. John Reutter.  ""We're seeing more future jobs that require energy training.""
\""We had area contractors coming to us and saying they need graduates with training in renewable energy.""
\Time spent in Drake State's Renewable Energy Laboratory , designed to help teach students the basics of solar photovoltaic, solar thermal, and geothermal installation, is part of both the HVAC and electrical technology requirement. Packed into the lab's 800 square feet is control and monitoring equivalent for a large geothermal loop and the roof-mounted solar array.
\Solar power, just beginning to catch on in north Alabama, uses a ""photovoltaic"" process to convert sunlight shining on solar panels into electrical energy. A geothermal loop uses the ground's constant temperature for heating and cooling.
\Calhoun Community College, with campuses in Huntsville and Decatur, has also been quick to jump into renewable energy training. Motorists passing the main campus on U.S. 31 north of Decatur can hardly miss the large 100 kilowatt solar array adjacent to the Alabama Center for Excellence in Clean Energy Technology. The center provides HVAC students additional training in renewable energy technologies such as photovoltaic, geothermal, and wind power.  
\Calhoun's Applied Technology in Renewable Energy program graduates about 30 students per year, says program director Jerry Adams. Students also get specialized training in industry-focused classes such as the ""building envelope tightness verifier"" class, which trains students in the fast-growing field of building energy tightness.
\Energy knowledge gives students an edge when looking for work with Huntsville area contractors. Jim Batson of Huntsville's H.C. Blake Co. says today it's all about home performance. ""That helps us give better value to our customers. Some customers are very concerned about how tight their homes are, and employees who understand that help us.""
\All Season's 1-Hour Heating and Air Conditioning wants employees who know something about solar and geothermal as well as basic air conditioning. New standards for HVAC ducting require workers who understand the new requirements. ""The students who know this are more valuable to us,"" says manager Todd Little. ""They're trained before going out into the field, and it gives them a much better grasp.""
\To find out more about Calhoun's Applied Technology in Renewable Energy program, click here.
\To learn more about Drake State's Electrical Technologies and HVAC programs, click here. 
"
9,AL,"Southern Co. enters sixth solar deal with Ted Turner's Turner Renewable Energy
",Stan Diel ,"Nov 5, 2013","BIRMINGHAM, Alabama – Southern Power, a subsidiary of Southern Co. (NYSE: SO), has agreed to acquire a 20-megawatt solar facility in California in partnership with Turner Renewable Energy.
\The acquisition of the Adobe Solar Facility will be the sixth for the partnership. The deal, the terms of which were not disclosed, is expected to close when construction of the facility is completed in the spring, Southern Power said in a prepared statement.
\Southern Co. CEO Thomas Fanning said the deal reflects the company’s commitment to developing a “full portfolio of energy resources.”
\The company has added more than 1,700 megawatts of renewable energy resources since January, 2012, Fanning said.
\The new facility, being built on 160 acres in Kern County, Calif., will be operated by SunEdison.
\Turner Renewable owner Ted Turner said in a statement that his company is dedicated to the development of renewable energy.
\""Renewable energy is playing an increasingly important role in meeting America's energy needs,"" he said.
\Last week Southern Power announced it had begun commercial production at its Campo Verde Solar Facility, which also is a joint-venture with Turner Renewable.
"
